customer_id,pays,ville,segment_client,date_inscription
CUS00193,Maroc,Rabat,Premium,2022-09-15
CUS00194,Ghana,Kumasi,Occasionnel,2023-10-09
CUS00195,Belgique,Bruxelles,Occasionnel,2023-06-04
CUS00196,Nigeria,Kano,Standard,2021-07-07
CUS00197,Cameroun,Douala,Nouveau,2022-07-06
CUS00198,Cote d'Ivoire,Bouake,Standard,2023-06-25
CUS00199,Maroc,Casablanca,Nouveau,2023-06-12
CUS00200,Belgique,Bruxelles,Standard,2023-04-17
CUS00201,Nigeria,Abuja,Occasionnel,2021-11-26
CUS00202,Nigeria,Abuja,Occasionnel,2022-08-14
CUS00203,Ghana,Accra,Standard,2022-10-07
CUS00204,Maroc,Rabat,Premium,2023-04-08
CUS00205,Cote d'Ivoire,Daloa,Standard,2022-01-20
CUS00206,Nigeria,Kano,Occasionnel,2023-06-25
CUS00207,Cote d'Ivoire,Bouake,Standard,2021-09-26
CUS00208,Maroc,Rabat,Nouveau,2023-09-20
CUS00209,Senegal,Dakar,Nouveau,2024-05-31
CUS00210,Cameroun,Douala,Standard,2021-01-29
CUS00211,Ghana,Accra,Standard,2021-08-21
CUS00212,Belgique,Bruxelles,Occasionnel,2021-11-12
CUS00213,Belgique,Liege,Occasionnel,2022-07-14
CUS00214,Ghana,Kumasi,Nouveau,2022-05-15
CUS00215,Belgique,Bruxelles,Standard,2024-05-12
CUS00216,France,Paris,Standard,2023-04-30
CUS00217,Nigeria,Kano,Standard,2021-01-06
CUS00218,Maroc,Marrakech,Standard,2024-04-17
CUS00219,Belgique,Bruxelles,Standard,2023-09-19
CUS00220,Nigeria,Abuja,Occasionnel,2024-01-18
CUS00221,Ghana,Kumasi,Nouveau,2022-01-22
CUS00222,Cameroun,Yaounde,Standard,2023-04-22
CUS00223,Cote d'Ivoire,Yamoussoukro,Occasionnel,2023-02-20
CUS00224,Ghana,Accra,Standard,2021-03-17
CUS00225,France,Marseille,Nouveau,2023-06-21
CUS00226,Senegal,Saint-Louis,Nouveau,2021-02-01
CUS00227,France,Bordeaux,Nouveau,2021-11-13
CUS00228,Senegal,Thies,Occasionnel,2022-06-27
CUS00229,Nigeria,Kano,Occasionnel,2021-06-14
CUS00230,Nigeria,Kano,Nouveau,2023-02-18
CUS00231,Nigeria,Kano,Occasionnel,2023-09-27
CUS00232,Cote d'Ivoire,Abidjan,Standard,2022-08-12
CUS00233,Cameroun,Douala,Standard,2021-07-21
CUS00234,Senegal,Thies,Standard,2022-09-06
CUS00235,Cote d'Ivoire,Abidjan,Standard,2021-04-25
CUS00236,Maroc,Rabat,Standard,2021-10-26
CUS00237,Cameroun,Yaounde,Occasionnel,2022-01-04
CUS00238,France,Lyon,Premium,2023-02-23
CUS00239,Cameroun,Yaounde,Nouveau,2021-10-21
CUS00240,Cameroun,Yaounde,Occasionnel,2023-07-31
CUS00241,Maroc,Marrakech,Premium,2023-08-11
CUS00242,Maroc,Marrakech,Occasionnel,2021-06-01
CUS00243,Belgique,Liege,Nouveau,2022-09-05
CUS00244,Ghana,Kumasi,Standard,2022-09-11
CUS00245,Cameroun,Yaounde,Nouveau,2021-08-07
CUS00246,Cameroun,Yaounde,Occasionnel,2024-03-23
CUS00247,Maroc,Marrakech,Standard,2023-03-22
CUS00248,Maroc,Casablanca,Occasionnel,2021-04-11
CUS00249,Belgique,Liege,Occasionnel,2022-04-17
CUS00250,Nigeria,Lagos,Occasionnel,2024-06-25
CUS00251,Maroc,Marrakech,Occasionnel,2021-10-08
CUS00252,Senegal,Saint-Louis,Occasionnel,2022-09-25
CUS00253,Belgique,Bruxelles,Occasionnel,2021-09-27
CUS00254,Senegal,Thies,Standard,2023-05-01
CUS00255,France,Lyon,Premium,2024-01-10
CUS00256,Nigeria,Kano,Occasionnel,2022-07-13
CUS00257,France,Marseille,Nouveau,2023-09-14
CUS00258,Maroc,Marrakech,Nouveau,2021-08-24
CUS00259,Belgique,Bruxelles,Premium,2022-04-08
CUS00260,Ghana,Kumasi,Premium,2023-03-20
CUS00261,Cote d'Ivoire,Yamoussoukro,Occasionnel,2023-07-21
CUS00262,Nigeria,Kano,Occasionnel,2022-06-21
CUS00263,Ghana,Kumasi,Premium,2022-04-24
CUS00264,Belgique,Bruxelles,Occasionnel,2024-02-24
CUS00265,Nigeria,Kano,Standard,2021-05-10
CUS00266,Belgique,Liege,Occasionnel,2021-08-27
CUS00267,France,Paris,Nouveau,2022-09-16
CUS00268,Belgique,Bruxelles,Premium,2024-01-06
CUS00269,France,Bordeaux,Standard,2024-01-12
CUS00270,Ghana,Accra,Nouveau,2021-07-22
CUS00271,Belgique,Liege,Nouveau,2022-07-27
CUS00272,Cote d'Ivoire,Yamoussoukro,Standard,2023-06-30
CUS00273,Cameroun,Yaounde,Premium,2023-01-23
CUS00274,Nigeria,Lagos,Standard,2022-01-24
CUS00275,Senegal,Thies,Premium,2022-03-11
CUS00276,Cote d'Ivoire,Abidjan,Occasionnel,2022-05-14
CUS00277,France,Lyon,Premium,2024-02-10
CUS00278,Cameroun,Douala,Occasionnel,2022-04-23
CUS00279,Nigeria,Lagos,Occasionnel,2024-05-05
CUS00280,Cote d'Ivoire,Yamoussoukro,Nouveau,2021-10-24
CUS00281,France,Marseille,Occasionnel,2021-08-14
CUS00282,Cote d'Ivoire,Bouake,Premium,2022-05-03
CUS00283,Nigeria,Lagos,Standard,2021-04-18
CUS00284,France,Bordeaux,Occasionnel,2021-05-11
CUS00285,Belgique,Liege,Occasionnel,2023-11-18
CUS00286,Senegal,Thies,Occasionnel,2024-06-13
CUS00287,Cote d'Ivoire,Yamoussoukro,Standard,2021-03-05
CUS00288,Cote d'Ivoire,Daloa,Occasionnel,2023-05-24
CUS00289,Senegal,Thies,Occasionnel,2023-06-28
CUS00290,Senegal,Dakar,Standard,2021-10-31
CUS00291,Senegal,Dakar,Standard,2024-04-13
CUS00292,Nigeria,Abuja,Nouveau,2023-12-23
CUS00293,Maroc,Rabat,Occasionnel,2023-06-01
CUS00294,Senegal,Saint-Louis,Premium,2024-02-04
CUS00295,Cameroun,Yaounde,Standard,2022-04-13
CUS00296,Ghana,Kumasi,Occasionnel,2023-03-28
CUS00297,Ghana,Accra,Standard,2022-10-03
CUS00298,Maroc,Rabat,Nouveau,2023-08-30
CUS00299,Senegal,Dakar,Occasionnel,2021-07-10
CUS00300,Ghana,Accra,Occasionnel,2023-02-03
CUS00301,France,Paris,Occasionnel,2024-02-25
CUS00302,Nigeria,Kano,Premium,2022-12-26
CUS00303,Ghana,Accra,Nouveau,2024-05-14
CUS00304,Maroc,Rabat,Premium,2023-11-06
CUS00305,Cameroun,Douala,Occasionnel,2022-04-05
CUS00306,Senegal,Thies,Occasionnel,2023-01-23
CUS00307,Senegal,Thies,Occasionnel,2023-05-29
CUS00308,Cote d'Ivoire,Yamoussoukro,Premium,2022-07-14
CUS00309,Maroc,Rabat,Standard,2022-01-07
CUS00310,France,Bordeaux,Premium,2021-03-04
CUS00311,Senegal,Saint-Louis,Occasionnel,2023-02-10
CUS00312,Ghana,Kumasi,Standard,2023-01-28
CUS00313,Maroc,Marrakech,Standard,2024-03-08
CUS00314,Senegal,Dakar,Standard,2024-06-19
CUS00315,Cote d'Ivoire,Abidjan,Standard,2023-05-19
CUS00316,Belgique,Liege,Standard,2022-03-18
CUS00317,Senegal,Thies,Standard,2022-08-04
CUS00318,Belgique,Liege,Premium,2023-03-21
CUS00319,Cote d'Ivoire,Abidjan,Standard,2022-03-09
CUS00320,France,Marseille,Standard,2021-09-03
CUS00321,Cote d'Ivoire,Daloa,Occasionnel,2021-12-26
CUS00322,France,Bordeaux,Occasionnel,2022-04-17
CUS00323,Nigeria,Lagos,Standard,2021-03-28
CUS00324,Ghana,Accra,Standard,2021-06-09
CUS00325,Nigeria,Kano,Standard,2023-04-09
CUS00326,Ghana,Kumasi,Premium,2021-02-12
CUS00327,Nigeria,Lagos,Occasionnel,2024-06-19
CUS00328,Belgique,Liege,Premium,2021-08-05
CUS00329,Cameroun,Yaounde,Occasionnel,2023-12-10
CUS00330,Senegal,Thies,Nouveau,2022-11-27
CUS00331,Cameroun,Yaounde,Occasionnel,2021-06-06
CUS00332,Senegal,Saint-Louis,Occasionnel,2022-12-17
CUS00333,Nigeria,Kano,Nouveau,2021-10-30
CUS00334,Cameroun,Douala,Premium,2022-02-09
CUS00335,France,Lyon,Occasionnel,2021-06-04
CUS00336,France,Bordeaux,Standard,2024-02-29
CUS00337,Belgique,Liege,Nouveau,2022-10-10
CUS00338,France,Bordeaux,Premium,2023-06-25
CUS00339,Maroc,Rabat,Occasionnel,2022-12-22
CUS00340,Senegal,Thies,Standard,2021-03-19
CUS00341,Cote d'Ivoire,Yamoussoukro,Occasionnel,2021-06-07
CUS00342,Senegal,Saint-Louis,Occasionnel,2023-02-27
CUS00343,Belgique,Bruxelles,Standard,2024-03-16
CUS00344,Cameroun,Yaounde,Occasionnel,2023-10-24
CUS00345,France,Paris,Standard,2022-12-05
CUS00346,Senegal,Saint-Louis,Occasionnel,2021-03-22
CUS00347,Cameroun,Yaounde,Nouveau,2023-12-10
CUS00348,France,Marseille,Standard,2022-08-03
CUS00349,Ghana,Kumasi,Occasionnel,2024-05-09
CUS00350,Cote d'Ivoire,Yamoussoukro,Premium,2021-07-13
CUS00351,Ghana,Kumasi,Standard,2024-05-19
CUS00352,France,Marseille,Premium,2021-10-17
CUS00353,Nigeria,Abuja,Nouveau,2023-03-14
CUS00354,France,Paris,Standard,2023-02-11
CUS00355,Nigeria,Lagos,Occasionnel,2023-12-15
CUS00356,Senegal,Saint-Louis,Occasionnel,2023-11-08
CUS00357,Nigeria,Lagos,Standard,2022-01-05
CUS00358,Cameroun,Yaounde,Nouveau,2023-09-23
CUS00359,Cameroun,Douala,Nouveau,2021-11-14
CUS00360,Senegal,Thies,Occasionnel,2021-07-27
CUS00361,Cote d'Ivoire,Yamoussoukro,Nouveau,2024-06-19
CUS00362,France,Bordeaux,Standard,2022-01-06
CUS00363,France,Bordeaux,Premium,2023-01-17
CUS00364,Cameroun,Yaounde,Occasionnel,2023-07-09
CUS00365,Cameroun,Douala,Standard,2023-08-19
CUS00366,Cameroun,Yaounde,Occasionnel,2024-03-14
CUS00367,Belgique,Liege,Occasionnel,2023-02-22
CUS00368,Ghana,Accra,Occasionnel,2024-05-23
CUS00369,France,Marseille,Premium,2023-09-12
CUS00370,Nigeria,Kano,Nouveau,2023-11-23
CUS00371,Senegal,Thies,Premium,2021-11-25
CUS00372,Maroc,Rabat,Nouveau,2021-10-29
CUS00373,Ghana,Accra,Nouveau,2022-03-31
CUS00374,Belgique,Liege,Nouveau,2023-04-30
CUS00375,Cote d'Ivoire,Daloa,Occasionnel,2022-04-28
CUS00376,Ghana,Accra,Standard,2021-02-27
CUS00377,Nigeria,Lagos,Occasionnel,2022-11-18
CUS00378,France,Lyon,Premium,2023-08-26
CUS00379,France,Bordeaux,Standard,2021-01-11
CUS00380,Senegal,Dakar,Standard,2021-11-03
CUS00381,Ghana,Accra,Occasionnel,2022-05-02
CUS00382,Maroc,Casablanca,Premium,2023-05-10
CUS00383,Belgique,Bruxelles,Premium,2023-10-21
CUS00384,Cote d'Ivoire,Bouake,Occasionnel,2022-08-20
CUS00385,Ghana,Accra,Occasionnel,2022-05-08
CUS00386,Ghana,Accra,Occasionnel,2021-06-25
CUS00387,Nigeria,Lagos,Nouveau,2024-01-20
CUS00388,Cote d'Ivoire,Daloa,Nouveau,2021-03-31
CUS00389,Ghana,Kumasi,Standard,2021-02-03
CUS00390,Nigeria,Lagos,Standard,2021-08-01
CUS00391,Nigeria,Lagos,Premium,2024-01-24
CUS00392,Nigeria,Kano,Standard,2023-08-10
CUS00393,Belgique,Bruxelles,Occasionnel,2021-05-10
CUS00394,Belgique,Bruxelles,Standard,2021-03-31
CUS00395,Cameroun,Douala,Standard,2022-09-28
CUS00396,Ghana,Kumasi,Standard,2022-01-27
CUS00397,Maroc,Rabat,Nouveau,2021-04-08
CUS00398,Nigeria,Abuja,Premium,2023-01-24
CUS00399,Ghana,Kumasi,Occasionnel,2023-03-03
CUS00400,Nigeria,Lagos,Standard,2023-10-16
CUS00401,Nigeria,Kano,Standard,2021-06-19
CUS00402,Ghana,Accra,Standard,2022-01-05
CUS00403,Maroc,Rabat,Premium,2022-11-03
CUS00404,Maroc,Rabat,Standard,2023-05-23
CUS00405,France,Bordeaux,Standard,2021-03-28
CUS00406,Nigeria,Kano,Nouveau,2022-07-17
CUS00407,Cote d'Ivoire,Abidjan,Occasionnel,2023-04-12
CUS00408,Nigeria,Kano,Occasionnel,2021-11-24
CUS00409,Cote d'Ivoire,Bouake,Occasionnel,2023-06-17
CUS00410,Cote d'Ivoire,Bouake,Premium,2023-01-21
CUS00411,Nigeria,Abuja,Nouveau,2021-03-08
CUS00412,France,Bordeaux,Nouveau,2023-02-01
CUS00413,Belgique,Bruxelles,Occasionnel,2023-12-21
CUS00414,Nigeria,Abuja,Standard,2022-07-25
CUS00415,Cameroun,Douala,Premium,2022-01-17
CUS00416,Belgique,Liege,Nouveau,2021-08-30
CUS00417,Maroc,Rabat,Occasionnel,2022-03-16
CUS00418,Maroc,Marrakech,Nouveau,2023-10-03
CUS00419,Cameroun,Douala,Premium,2021-06-01
CUS00420,Belgique,Bruxelles,Nouveau,2023-07-01
CUS00421,Senegal,Saint-Louis,Nouveau,2022-10-17
CUS00422,Nigeria,Kano,Premium,2024-01-16
CUS00423,Maroc,Rabat,Nouveau,2021-12-23
CUS00424,Nigeria,Kano,Standard,2022-02-16
CUS00425,France,Lyon,Occasionnel,2021-02-23
CUS00426,Nigeria,Kano,Occasionnel,2023-08-16
CUS00427,France,Paris,Premium,2023-03-27
CUS00428,Belgique,Liege,Occasionnel,2024-03-23
CUS00429,Senegal,Dakar,Nouveau,2021-06-01
CUS00430,Belgique,Liege,Occasionnel,2022-12-07
CUS00431,France,Lyon,Occasionnel,2021-09-22
CUS00432,Ghana,Accra,Occasionnel,2023-11-28
CUS00433,France,Marseille,Standard,2022-10-23
CUS00434,Cameroun,Yaounde,Nouveau,2023-11-29
CUS00435,Maroc,Casablanca,Standard,2024-02-03
CUS00436,Maroc,Casablanca,Occasionnel,2024-06-12
CUS00437,Senegal,Saint-Louis,Occasionnel,2024-04-27
CUS00438,France,Lyon,Occasionnel,2024-05-24
CUS00439,Nigeria,Kano,Premium,2021-02-28
CUS00440,Senegal,Dakar,Nouveau,2024-03-27
CUS00441,Maroc,Marrakech,Standard,2024-03-17
CUS00442,Ghana,Accra,Standard,2024-01-23
CUS00443,Maroc,Marrakech,Nouveau,2023-09-17
CUS00444,Cameroun,Yaounde,Standard,2021-05-30
CUS00445,Cote d'Ivoire,Bouake,Standard,2023-09-19
CUS00446,Belgique,Bruxelles,Standard,2021-10-22
CUS00447,Nigeria,Kano,Standard,2022-12-09
CUS00448,Ghana,Accra,Occasionnel,2023-11-21
CUS00449,Senegal,Thies,Standard,2021-09-08
CUS00450,Maroc,Rabat,Standard,2021-07-18
CUS00451,Cote d'Ivoire,Yamoussoukro,Nouveau,2024-06-14
CUS00452,Ghana,Accra,Nouveau,2021-11-24
CUS00453,Nigeria,Kano,Occasionnel,2022-01-24
CUS00454,France,Bordeaux,Nouveau,2023-08-15
CUS00455,Belgique,Liege,Standard,2021-07-04
CUS00456,Ghana,Kumasi,Nouveau,2022-03-17
CUS00457,Nigeria,Lagos,Premium,2023-10-11
CUS00458,Belgique,Liege,Occasionnel,2021-08-09
CUS00459,Ghana,Accra,Nouveau,2023-01-20
CUS00460,Ghana,Kumasi,Premium,2021-04-15
CUS00461,Cameroun,Yaounde,Occasionnel,2021-05-31
CUS00462,Ghana,Kumasi,Occasionnel,2022-07-27
CUS00463,Senegal,Dakar,Nouveau,2023-03-18
CUS00464,Nigeria,Abuja,Occasionnel,2023-01-19
CUS00465,France,Lyon,Occasionnel,2023-04-03
CUS00466,Cote d'Ivoire,Abidjan,Premium,2022-11-14
CUS00467,Belgique,Liege,Premium,2023-11-22
CUS00468,France,Marseille,Nouveau,2022-10-15
CUS00469,France,Bordeaux,Nouveau,2022-09-05
CUS00470,Nigeria,Kano,Occasionnel,2023-12-27
CUS00471,Belgique,Liege,Standard,2021-02-04
CUS00472,Nigeria,Abuja,Occasionnel,2023-05-04
CUS00473,Maroc,Marrakech,Nouveau,2021-02-24
CUS00474,Belgique,Liege,Nouveau,2024-03-30
CUS00475,Cameroun,Douala,Occasionnel,2021-12-16
CUS00476,Ghana,Accra,Occasionnel,2022-05-12
