inscription_id,apprenant_id,parcours_id,date_inscription,statut,progression_pct,csat,jours_depuis_inscription,mois_inscription,est_inscription_weekend,nb_sessions,duree_totale_min,nb_semaines_actives,engagement_score,nb_jours_inactif,at_risk_dropout
INS00020,APP0016,PAR006,2022-06-21,En cours,50.0,,740,6,0,54.0,2682.0,34.0,49.46352410230514,12.0,0
INS00021,APP0017,PAR003,2022-09-16,Abandonne,33.0,,653,9,0,0.0,0.0,0.0,0.0,653.0,1
INS00022,APP0017,PAR002,2022-09-16,Suspendu,23.0,,653,9,0,0.0,0.0,0.0,0.0,653.0,1
INS00023,APP0018,PAR004,2022-03-15,Termine,100.0,4.0,838,3,0,0.0,0.0,0.0,0.0,838.0,0
INS00024,APP0019,PAR003,2023-09-09,Abandonne,5.0,,295,9,1,1.0,2.0,1.0,0.7655868004865363,98.0,1
INS00025,APP0020,PAR009,2022-05-19,En cours,75.0,,773,5,0,0.0,0.0,0.0,0.0,773.0,1
INS00026,APP0021,PAR004,2022-05-17,En cours,34.0,,775,5,0,0.0,0.0,0.0,0.0,775.0,1
INS00027,APP0021,PAR012,2022-05-17,En cours,13.0,,775,5,0,3.0,19.0,3.0,2.3798673217089297,270.0,1
INS00028,APP0022,PAR009,2023-09-20,Termine,100.0,3.0,284,9,0,0.0,0.0,0.0,0.0,284.0,0
INS00029,APP0023,PAR010,2022-02-09,En cours,71.0,,872,2,0,0.0,0.0,0.0,0.0,872.0,1
INS00030,APP0023,PAR009,2022-02-09,Abandonne,25.0,,872,2,0,8.0,451.0,8.0,8.905579812234949,23.0,1
INS00031,APP0023,PAR011,2022-02-09,En cours,65.0,,872,2,0,35.0,1355.0,23.0,30.01033744167317,1.0,0
INS00032,APP0024,PAR012,2022-11-09,Termine,100.0,5.0,599,11,0,22.0,1252.0,20.0,23.732127020538123,5.0,0
INS00033,APP0025,PAR009,2022-05-23,Termine,100.0,5.0,769,5,0,0.0,0.0,0.0,0.0,769.0,0
INS00034,APP0026,PAR012,2022-07-23,Suspendu,24.0,,708,7,1,8.0,339.0,8.0,8.189581730086953,83.0,1
INS00035,APP0026,PAR002,2022-07-23,Termine,100.0,4.0,708,7,1,0.0,0.0,0.0,0.0,708.0,0
INS00036,APP0027,PAR007,2022-09-21,Termine,100.0,4.0,648,9,0,0.0,0.0,0.0,0.0,648.0,0
INS00037,APP0027,PAR008,2022-09-21,En cours,60.0,,648,9,0,0.0,0.0,0.0,0.0,648.0,1
INS00038,APP0028,PAR002,2023-06-09,Abandonne,43.0,,387,6,0,37.0,1131.0,24.0,29.66727685160687,3.0,1
INS00039,APP0029,PAR002,2023-01-14,Abandonne,33.0,,533,1,1,0.0,0.0,0.0,0.0,533.0,1
INS00040,APP0029,PAR003,2023-01-14,Abandonne,22.0,,533,1,1,0.0,0.0,0.0,0.0,533.0,1
INS00041,APP0030,PAR001,2023-02-22,En cours,41.0,,494,2,0,0.0,0.0,0.0,0.0,494.0,1
INS00042,APP0031,PAR008,2022-12-18,Suspendu,6.0,,560,12,1,1.0,7.0,1.0,0.7975510005824289,215.0,1
INS00043,APP0032,PAR006,2022-09-22,Termine,100.0,5.0,647,9,0,0.0,0.0,0.0,0.0,647.0,0
INS00044,APP0033,PAR005,2024-02-28,Termine,100.0,4.0,123,2,0,26.0,1076.0,15.0,21.868191658955418,3.0,0
INS00045,APP0033,PAR006,2024-02-28,Termine,100.0,4.0,123,2,0,40.0,1464.0,17.0,29.887829272671198,3.0,0
INS00046,APP0034,PAR003,2022-01-26,Termine,100.0,5.0,886,1,0,24.0,1304.0,21.0,25.153490275765094,9.0,0
INS00047,APP0034,PAR008,2022-01-26,Abandonne,6.0,,886,1,0,0.0,0.0,0.0,0.0,886.0,1
INS00048,APP0035,PAR010,2023-03-14,Termine,100.0,5.0,474,3,0,24.0,1016.0,19.0,22.479019016908346,40.0,0
INS00049,APP0036,PAR009,2022-09-26,Termine,100.0,5.0,643,9,0,0.0,0.0,0.0,0.0,643.0,0
INS00050,APP0036,PAR006,2022-09-26,Termine,100.0,4.0,643,9,0,42.0,1870.0,29.0,38.155591228020704,17.0,0
INS00051,APP0036,PAR003,2022-09-26,Termine,100.0,5.0,643,9,0,45.0,2090.0,29.0,40.57041939358451,28.0,0
INS00052,APP0037,PAR012,2022-03-22,Termine,100.0,4.0,831,3,0,22.0,1220.0,19.0,23.11088947325774,3.0,0
INS00053,APP0037,PAR005,2022-03-22,Termine,100.0,4.0,831,3,0,0.0,0.0,0.0,0.0,831.0,0
INS00054,APP0038,PAR001,2024-06-30,En cours,0.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00055,APP0038,PAR002,2024-06-30,En cours,4.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00056,APP0039,PAR004,2024-02-11,Termine,100.0,5.0,140,2,1,0.0,0.0,0.0,0.0,140.0,0
INS00057,APP0040,PAR003,2024-02-26,Termine,100.0,5.0,125,2,0,0.0,0.0,0.0,0.0,125.0,0
INS00058,APP0041,PAR012,2022-06-13,Termine,100.0,5.0,748,6,0,45.0,2132.0,30.0,41.25558534105668,18.0,0
INS00059,APP0041,PAR003,2022-06-13,Suspendu,12.0,,748,6,0,0.0,0.0,0.0,0.0,748.0,1
INS00060,APP0042,PAR012,2022-12-18,Suspendu,15.0,,560,12,1,0.0,0.0,0.0,0.0,560.0,1
INS00061,APP0043,PAR004,2023-04-26,Termine,100.0,3.0,431,4,0,0.0,0.0,0.0,0.0,431.0,0
INS00062,APP0044,PAR005,2022-11-16,Termine,100.0,3.0,592,11,0,44.0,2067.0,32.0,41.33724961936189,10.0,0
INS00063,APP0045,PAR003,2023-02-05,Termine,100.0,4.0,511,2,1,35.0,1485.0,23.0,30.84140664416638,5.0,0
INS00064,APP0046,PAR004,2023-01-29,Abandonne,43.0,,518,1,1,8.0,375.0,7.0,8.003057304110714,100.0,1
INS00065,APP0047,PAR003,2022-08-18,Suspendu,6.0,,682,8,0,0.0,0.0,0.0,0.0,682.0,1
INS00066,APP0048,PAR002,2022-06-17,En cours,49.0,,744,6,0,43.0,2391.0,30.0,42.23906199846089,9.0,0
INS00067,APP0049,PAR007,2022-06-17,Abandonne,34.0,,744,6,0,0.0,0.0,0.0,0.0,744.0,1
INS00068,APP0050,PAR012,2022-03-09,Suspendu,21.0,,844,3,0,0.0,0.0,0.0,0.0,844.0,1
INS00069,APP0051,PAR002,2023-11-27,Abandonne,22.0,,216,11,0,8.0,222.0,8.0,7.441619447843065,26.0,1
INS00070,APP0051,PAR012,2023-11-27,Termine,100.0,3.0,216,11,0,28.0,1168.0,18.0,24.378601848282866,7.0,0
INS00071,APP0052,PAR001,2024-06-30,En cours,1.0,,0,6,1,1.0,98.0,1.0,1.3792994423276743,0.0,0
INS00072,APP0052,PAR008,2024-06-30,En cours,0.0,,0,6,1,1.0,30.0,1.0,0.9445863210235349,0.0,0
INS00073,APP0053,PAR007,2022-10-12,Suspendu,12.0,,627,10,0,0.0,0.0,0.0,0.0,627.0,1
INS00074,APP0053,PAR001,2022-10-12,Suspendu,20.0,,627,10,0,8.0,334.0,8.0,8.15761752999106,2.0,0
INS00075,APP0053,PAR004,2022-10-12,En cours,29.0,,627,10,0,0.0,0.0,0.0,0.0,627.0,1
INS00076,APP0054,PAR002,2022-11-01,Termine,100.0,4.0,607,11,0,47.0,2299.0,30.0,42.995458531822514,9.0,0
INS00077,APP0055,PAR001,2024-06-30,En cours,2.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00078,APP0056,PAR011,2024-01-28,Abandonne,7.0,,154,1,1,0.0,0.0,0.0,0.0,154.0,1
INS00079,APP0057,PAR009,2023-08-13,Abandonne,23.0,,322,8,1,0.0,0.0,0.0,0.0,322.0,1
INS00080,APP0058,PAR010,2022-04-21,En cours,87.0,,801,4,0,23.0,707.0,20.0,20.58416366386734,19.0,0
INS00081,APP0058,PAR001,2022-04-21,Suspendu,21.0,,801,4,0,7.0,355.0,7.0,7.539066049945631,120.0,1
INS00082,APP0059,PAR008,2023-09-03,En cours,33.0,,301,9,1,0.0,0.0,0.0,0.0,301.0,1
INS00083,APP0059,PAR002,2023-09-03,Termine,100.0,5.0,301,9,1,0.0,0.0,0.0,0.0,301.0,0
INS00084,APP0060,PAR005,2022-02-11,Abandonne,42.0,,870,2,0,19.0,813.0,16.0,18.250600224107544,30.0,1
INS00085,APP0060,PAR001,2022-02-11,Suspendu,13.0,,870,2,0,3.0,191.0,3.0,3.4794358050076357,129.0,1
INS00086,APP0061,PAR002,2022-04-08,En cours,26.0,,814,4,0,0.0,0.0,0.0,0.0,814.0,1
INS00087,APP0062,PAR005,2022-11-15,Abandonne,7.0,,593,11,0,1.0,61.0,1.0,1.1427643616180692,221.0,1
INS00088,APP0063,PAR011,2022-06-06,En cours,75.0,,755,6,0,0.0,0.0,0.0,0.0,755.0,1
INS00089,APP0063,PAR001,2022-06-06,Suspendu,0.0,,755,6,0,1.0,91.0,1.0,1.3345495621934247,606.0,1
INS00090,APP0064,PAR002,2022-08-05,Abandonne,20.0,,695,8,0,0.0,0.0,0.0,0.0,695.0,1
INS00091,APP0065,PAR002,2022-06-30,Termine,100.0,5.0,731,6,0,90.0,3973.0,42.0,73.15085423653241,8.0,0
INS00092,APP0066,PAR010,2023-04-05,Abandonne,27.0,,452,4,0,7.0,245.0,6.0,6.419186981169325,27.0,1
INS00093,APP0067,PAR004,2022-07-07,Abandonne,42.0,,724,7,0,15.0,488.0,13.0,13.578389402748476,11.0,1
INS00094,APP0068,PAR010,2022-08-18,Suspendu,23.0,,682,8,0,2.0,39.0,2.0,1.7549230016443207,192.0,1
INS00095,APP0068,PAR004,2022-08-18,Suspendu,13.0,,682,8,0,0.0,0.0,0.0,0.0,682.0,1
INS00096,APP0069,PAR003,2024-06-29,En cours,9.0,,1,6,1,1.0,34.0,1.0,0.970157681100249,1.0,0
INS00097,APP0070,PAR011,2024-02-29,Abandonne,41.0,,122,2,0,11.0,345.0,9.0,9.653008798213229,26.0,1
INS00098,APP0071,PAR006,2022-01-26,Suspendu,12.0,,886,1,0,0.0,0.0,0.0,0.0,886.0,1
INS00099,APP0072,PAR001,2022-05-03,Abandonne,34.0,,789,5,0,0.0,0.0,0.0,0.0,789.0,1
INS00100,APP0073,PAR002,2024-04-24,Suspendu,27.0,,67,4,0,9.0,421.0,5.0,7.7999290654411055,7.0,0
INS00101,APP0074,PAR003,2022-01-15,Termine,100.0,5.0,897,1,1,24.0,903.0,16.0,20.506628094741174,67.0,0
INS00102,APP0074,PAR005,2022-01-15,Suspendu,4.0,,897,1,1,2.0,113.0,2.0,2.2279931630635312,11.0,0
INS00103,APP0075,PAR010,2022-04-04,Suspendu,9.0,,818,4,0,1.0,6.0,1.0,0.7911581605632503,177.0,1
INS00104,APP0076,PAR006,2023-01-19,Abandonne,24.0,,528,1,0,17.0,816.0,15.0,17.180843169935386,25.0,1
INS00105,APP0076,PAR012,2023-01-19,Suspendu,18.0,,528,1,0,0.0,0.0,0.0,0.0,528.0,1
INS00106,APP0077,PAR003,2022-12-26,Abandonne,45.0,,552,12,0,0.0,0.0,0.0,0.0,552.0,1
INS00107,APP0078,PAR009,2022-09-07,Termine,100.0,4.0,662,9,0,22.0,729.0,20.0,20.388671690507753,25.0,0
INS00108,APP0079,PAR012,2022-08-18,En cours,14.0,,682,8,0,5.0,408.0,5.0,6.3722843300657335,61.0,1
INS00109,APP0079,PAR010,2022-08-18,Suspendu,18.0,,682,8,0,5.0,219.0,5.0,5.164037566440992,52.0,1
INS00110,APP0079,PAR004,2022-08-18,Termine,100.0,3.0,682,8,0,25.0,947.0,20.0,22.79071417603321,17.0,0
INS00111,APP0080,PAR009,2023-04-15,Suspendu,23.0,,442,4,1,4.0,59.0,4.0,3.38838204292425,55.0,1
INS00112,APP0081,PAR010,2023-06-11,Abandonne,19.0,,385,6,1,3.0,65.0,3.0,2.673937962591142,29.0,1
INS00113,APP0082,PAR002,2023-10-26,En cours,36.0,,248,10,0,0.0,0.0,0.0,0.0,248.0,1
INS00114,APP0082,PAR012,2023-10-26,En cours,24.0,,248,10,0,8.0,507.0,7.0,8.846912186642278,24.0,1
INS00115,APP0083,PAR010,2022-10-05,Abandonne,21.0,,634,10,0,0.0,0.0,0.0,0.0,634.0,1
INS00116,APP0084,PAR001,2022-03-13,Suspendu,28.0,,840,3,1,0.0,0.0,0.0,0.0,840.0,1
INS00117,APP0085,PAR009,2022-12-25,Termine,100.0,3.0,553,12,1,0.0,0.0,0.0,0.0,553.0,0
INS00118,APP0085,PAR004,2022-12-25,En cours,27.0,,553,12,1,0.0,0.0,0.0,0.0,553.0,1
INS00119,APP0086,PAR012,2023-06-25,Suspendu,9.0,,371,6,1,0.0,0.0,0.0,0.0,371.0,1
INS00120,APP0087,PAR004,2024-06-30,En cours,7.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00121,APP0088,PAR005,2022-10-06,En cours,53.0,,633,10,0,16.0,764.0,15.0,16.512281035156594,18.0,0
INS00122,APP0088,PAR003,2022-10-06,Termine,100.0,3.0,633,10,0,42.0,1582.0,25.0,34.64778663583063,10.0,0
INS00123,APP0088,PAR009,2022-10-06,Abandonne,45.0,,633,10,0,9.0,570.0,8.0,10.002462228298704,4.0,1
INS00124,APP0089,PAR001,2022-06-22,Abandonne,43.0,,739,6,0,0.0,0.0,0.0,0.0,739.0,1
INS00125,APP0089,PAR002,2022-06-22,Termine,100.0,3.0,739,6,0,57.0,2854.0,34.0,51.57149594694839,3.0,0
INS00126,APP0090,PAR004,2024-06-17,En cours,6.0,,13,6,0,0.0,0.0,0.0,0.0,13.0,0
INS00127,APP0091,PAR009,2022-01-19,En cours,11.0,,893,1,0,0.0,0.0,0.0,0.0,893.0,1
INS00128,APP0092,PAR012,2022-07-05,Suspendu,16.0,,726,7,0,0.0,0.0,0.0,0.0,726.0,1
INS00129,APP0093,PAR008,2023-01-12,Abandonne,11.0,,535,1,0,0.0,0.0,0.0,0.0,535.0,1
INS00130,APP0094,PAR006,2022-05-19,Suspendu,18.0,,773,5,0,0.0,0.0,0.0,0.0,773.0,1
INS00131,APP0094,PAR010,2022-05-19,Abandonne,25.0,,773,5,0,0.0,0.0,0.0,0.0,773.0,1
INS00132,APP0095,PAR003,2024-03-04,Suspendu,28.0,,118,3,0,0.0,0.0,0.0,0.0,118.0,1
INS00133,APP0095,PAR008,2024-03-04,Abandonne,17.0,,118,3,0,4.0,73.0,4.0,3.477881803192749,37.0,1
INS00134,APP0096,PAR011,2023-01-18,En cours,76.0,,529,1,0,0.0,0.0,0.0,0.0,529.0,1
INS00135,APP0097,PAR002,2024-06-30,En cours,0.0,,0,6,1,2.0,73.0,1.0,1.5556128956297237,0.0,0
INS00136,APP0098,PAR003,2022-08-28,Abandonne,34.0,,672,8,1,9.0,316.0,7.0,7.962014196760693,50.0,1
INS00137,APP0099,PAR006,2022-03-31,Termine,100.0,5.0,822,3,0,0.0,0.0,0.0,0.0,822.0,0
INS00138,APP0100,PAR007,2024-04-08,Termine,100.0,5.0,83,4,0,0.0,0.0,0.0,0.0,83.0,0
INS00140,APP0102,PAR004,2023-09-14,Termine,100.0,5.0,290,9,0,20.0,491.0,13.0,15.278240191713573,18.0,0
INS00141,APP0103,PAR009,2022-10-13,Termine,100.0,3.0,626,10,0,0.0,0.0,0.0,0.0,626.0,0
INS00142,APP0104,PAR004,2022-02-24,Suspendu,10.0,,857,2,0,0.0,0.0,0.0,0.0,857.0,1
INS00143,APP0105,PAR007,2022-02-21,Termine,100.0,5.0,860,2,0,51.0,2437.0,33.0,46.4722082695952,5.0,0
INS00144,APP0106,PAR002,2022-06-10,Termine,100.0,3.0,751,6,0,0.0,0.0,0.0,0.0,751.0,0
INS00145,APP0107,PAR006,2022-02-21,Termine,100.0,3.0,860,2,0,91.0,3867.0,37.0,70.72601431494766,10.0,0
INS00146,APP0107,PAR002,2022-02-21,Abandonne,49.0,,860,2,0,0.0,0.0,0.0,0.0,860.0,1
INS00147,APP0108,PAR008,2022-01-31,Termine,100.0,4.0,881,1,0,0.0,0.0,0.0,0.0,881.0,0
INS00148,APP0108,PAR002,2022-01-31,Termine,100.0,5.0,881,1,0,0.0,0.0,0.0,0.0,881.0,0
INS00149,APP0108,PAR009,2022-01-31,En cours,84.0,,881,1,0,0.0,0.0,0.0,0.0,881.0,0
INS00150,APP0109,PAR003,2024-06-30,En cours,2.0,,0,6,1,2.0,213.0,1.0,2.450610498314717,0.0,0
INS00151,APP0110,PAR008,2022-04-13,Termine,100.0,5.0,809,4,0,23.0,788.0,18.0,20.268650372087464,30.0,0
INS00152,APP0110,PAR006,2022-04-13,En cours,21.0,,809,4,0,16.0,837.0,15.0,16.97895835655662,9.0,0
INS00153,APP0110,PAR005,2022-04-13,En cours,31.0,,809,4,0,10.0,320.0,9.0,9.157053343952255,340.0,1
INS00154,APP0111,PAR009,2022-11-22,Termine,100.0,3.0,586,11,0,0.0,0.0,0.0,0.0,586.0,0
INS00155,APP0112,PAR012,2022-01-13,Termine,100.0,4.0,899,1,0,0.0,0.0,0.0,0.0,899.0,0
INS00156,APP0112,PAR001,2022-01-13,Abandonne,30.0,,899,1,0,0.0,0.0,0.0,0.0,899.0,1
INS00157,APP0113,PAR002,2022-07-30,Termine,100.0,3.0,701,7,1,92.0,3592.0,45.0,72.63745109678841,5.0,0
INS00158,APP0114,PAR006,2022-04-13,Abandonne,9.0,,809,4,0,5.0,163.0,5.0,4.806038525366995,108.0,1
INS00159,APP0115,PAR008,2022-08-09,En cours,68.0,,691,8,0,0.0,0.0,0.0,0.0,691.0,1
INS00160,APP0115,PAR002,2022-08-09,En cours,80.0,,691,8,0,0.0,0.0,0.0,0.0,691.0,0
INS00161,APP0116,PAR007,2024-03-20,En cours,16.0,,102,3,0,0.0,0.0,0.0,0.0,102.0,1
INS00162,APP0117,PAR005,2022-06-10,En cours,83.0,,751,6,0,0.0,0.0,0.0,0.0,751.0,0
INS00163,APP0117,PAR008,2022-06-10,Suspendu,15.0,,751,6,0,0.0,0.0,0.0,0.0,751.0,1
INS00164,APP0118,PAR010,2023-04-06,Termine,100.0,4.0,451,4,0,0.0,0.0,0.0,0.0,451.0,0
INS00165,APP0118,PAR005,2023-04-06,Suspendu,5.0,,451,4,0,0.0,0.0,0.0,0.0,451.0,1
INS00166,APP0119,PAR011,2022-05-08,Termine,100.0,5.0,784,5,1,0.0,0.0,0.0,0.0,784.0,0
INS00167,APP0120,PAR008,2023-05-09,En cours,37.0,,418,5,0,14.0,734.0,11.0,13.981560260351545,13.0,0
INS00168,APP0121,PAR004,2022-03-03,Suspendu,1.0,,850,3,0,2.0,163.0,2.0,2.5476351640224575,124.0,1
INS00169,APP0122,PAR009,2023-04-25,Termine,100.0,3.0,432,4,0,56.0,2525.0,35.0,49.54878379352381,8.0,0
INS00170,APP0123,PAR007,2023-06-17,Abandonne,15.0,,379,6,1,9.0,302.0,8.0,8.28918110315886,27.0,1
INS00171,APP0124,PAR005,2022-01-19,En cours,26.0,,893,1,0,0.0,0.0,0.0,0.0,893.0,1
INS00172,APP0125,PAR007,2022-01-14,Suspendu,9.0,,898,1,0,0.0,0.0,0.0,0.0,898.0,1
INS00173,APP0126,PAR004,2023-02-05,Abandonne,45.0,,511,2,1,23.0,1238.0,17.0,22.72876171405113,22.0,1
INS00174,APP0127,PAR002,2022-06-11,Abandonne,16.0,,750,6,1,0.0,0.0,0.0,0.0,750.0,1
INS00175,APP0128,PAR008,2024-03-08,Termine,100.0,4.0,114,3,0,16.0,605.0,9.0,12.995819472107206,10.0,0
INS00176,APP0128,PAR011,2024-03-08,En cours,11.0,,114,3,0,2.0,125.0,1.0,1.8880405766270072,61.0,1
INS00177,APP0129,PAR006,2024-06-30,En cours,11.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00178,APP0130,PAR003,2022-11-07,Abandonne,21.0,,601,11,0,3.0,187.0,3.0,3.453864444930921,136.0,1
INS00179,APP0131,PAR001,2023-01-14,Termine,100.0,5.0,533,1,1,0.0,0.0,0.0,0.0,533.0,0
INS00180,APP0132,PAR011,2022-05-09,En cours,29.0,,783,5,0,7.0,352.0,7.0,7.519887529888095,147.0,1
INS00181,APP0133,PAR008,2024-06-30,En cours,1.0,,0,6,1,2.0,98.0,1.0,1.7154338961091868,0.0,0
INS00182,APP0134,PAR011,2023-01-19,Termine,100.0,3.0,528,1,0,51.0,1750.0,32.0,41.66366050975289,2.0,0
INS00183,APP0135,PAR002,2022-10-07,Termine,100.0,4.0,632,10,0,0.0,0.0,0.0,0.0,632.0,0
INS00184,APP0136,PAR007,2022-09-12,Abandonne,22.0,,657,9,0,16.0,596.0,14.0,15.021617245267935,4.0,1
INS00185,APP0136,PAR008,2022-09-12,Suspendu,20.0,,657,9,0,6.0,285.0,5.0,5.922099461488287,35.0,1
INS00186,APP0137,PAR009,2022-02-05,En cours,65.0,,876,2,1,30.0,922.0,23.0,25.56156544446131,18.0,0
INS00187,APP0138,PAR011,2023-03-24,En cours,57.0,,464,3,0,0.0,0.0,0.0,0.0,464.0,1
INS00188,APP0139,PAR011,2022-03-15,Suspendu,27.0,,838,3,0,0.0,0.0,0.0,0.0,838.0,1
INS00189,APP0140,PAR002,2022-03-21,Termine,100.0,4.0,832,3,0,89.0,3889.0,44.0,73.11105455447321,7.0,0
INS00190,APP0141,PAR002,2023-04-17,Termine,100.0,4.0,440,4,0,0.0,0.0,0.0,0.0,440.0,0
INS00191,APP0142,PAR003,2022-01-28,Abandonne,38.0,,884,1,0,0.0,0.0,0.0,0.0,884.0,1
INS00192,APP0142,PAR007,2022-01-28,Termine,100.0,5.0,884,1,0,79.0,3570.0,40.0,66.04372738387349,7.0,0
INS00193,APP0143,PAR007,2022-10-23,En cours,12.0,,616,10,1,6.0,165.0,6.0,5.571625325853532,151.0,1
INS00194,APP0144,PAR012,2022-12-22,Suspendu,22.0,,556,12,0,0.0,0.0,0.0,0.0,556.0,1
INS00195,APP0144,PAR010,2022-12-22,En cours,72.0,,556,12,0,0.0,0.0,0.0,0.0,556.0,1
INS00196,APP0144,PAR002,2022-12-22,En cours,73.0,,556,12,0,47.0,2025.0,26.0,39.57715369990093,2.0,0
INS00197,APP0145,PAR012,2022-02-03,Abandonne,10.0,,878,2,0,2.0,20.0,2.0,1.633459041279929,15.0,1
INS00198,APP0145,PAR003,2022-02-03,Termine,100.0,5.0,878,2,0,0.0,0.0,0.0,0.0,878.0,0
INS00199,APP0146,PAR002,2022-05-06,Termine,100.0,4.0,786,5,0,94.0,3487.0,43.0,71.80513846900436,24.0,0
INS00200,APP0147,PAR006,2023-08-16,Termine,100.0,4.0,319,8,0,87.0,4402.0,39.0,73.63497924341544,3.0,0
INS00201,APP0148,PAR004,2022-11-30,Abandonne,100.0,,578,11,0,0.0,0.0,0.0,0.0,578.0,1
INS00202,APP0149,PAR006,2022-07-05,Abandonne,12.0,,726,7,0,0.0,0.0,0.0,0.0,726.0,1
INS00203,APP0150,PAR004,2022-04-05,En cours,42.0,,817,4,0,0.0,0.0,0.0,0.0,817.0,1
INS00204,APP0150,PAR010,2022-04-05,Termine,100.0,4.0,817,4,0,32.0,1217.0,22.0,27.703055491015334,2.0,0
INS00205,APP0151,PAR007,2022-12-17,Termine,100.0,3.0,561,12,1,0.0,0.0,0.0,0.0,561.0,0
INS00206,APP0152,PAR002,2022-06-14,Termine,100.0,4.0,747,6,0,64.0,3368.0,38.0,58.877023559943396,12.0,0
INS00207,APP0152,PAR004,2022-06-14,Abandonne,31.0,,747,6,0,0.0,0.0,0.0,0.0,747.0,1
INS00208,APP0153,PAR007,2022-09-02,Abandonne,40.0,,667,9,0,0.0,0.0,0.0,0.0,667.0,1
INS00209,APP0154,PAR012,2023-03-08,En cours,70.0,,480,3,0,23.0,785.0,20.0,21.082805185363263,12.0,0
INS00210,APP0155,PAR008,2024-02-10,Termine,100.0,4.0,141,2,1,0.0,0.0,0.0,0.0,141.0,0
INS00211,APP0155,PAR005,2024-02-10,Suspendu,5.0,,141,2,1,1.0,3.0,1.0,0.7719796405057149,5.0,0
INS00212,APP0156,PAR012,2024-06-30,En cours,14.0,,0,6,1,3.0,72.0,1.0,1.8853545093920578,0.0,0
INS00213,APP0157,PAR010,2023-07-15,Abandonne,7.0,,351,7,1,0.0,0.0,0.0,0.0,351.0,1
INS00214,APP0157,PAR012,2023-07-15,Termine,100.0,5.0,351,7,1,0.0,0.0,0.0,0.0,351.0,0
INS00215,APP0158,PAR005,2023-03-20,Termine,100.0,3.0,468,3,0,49.0,2713.0,37.0,49.231029873992114,4.0,0
INS00216,APP0158,PAR011,2023-03-20,En cours,86.0,,468,3,0,0.0,0.0,0.0,0.0,468.0,0
INS00217,APP0158,PAR007,2023-03-20,Termine,100.0,4.0,468,3,0,70.0,3005.0,37.0,58.15656268900401,4.0,0
INS00218,APP0159,PAR006,2024-06-30,En cours,0.0,,0,6,1,2.0,38.0,1.0,1.3318634949584758,0.0,0
INS00219,APP0160,PAR008,2022-05-16,En cours,34.0,,776,5,0,9.0,281.0,9.0,8.571598129422778,6.0,0
INS00220,APP0161,PAR011,2022-10-15,En cours,85.0,,624,10,1,26.0,992.0,20.0,23.414526430677757,23.0,0
INS00221,APP0161,PAR010,2022-10-15,Suspendu,23.0,,624,10,1,2.0,337.0,2.0,3.6599893273595194,153.0,1
