inscription_id,apprenant_id,parcours_id,date_inscription,date_fin_reelle,statut,progression_pct,csat,certificat_obtenu
INS00037,APP0027,PAR008,2022-09-21,,En cours,60.0,,0
INS00038,APP0028,PAR002,2023-06-09,2023-08-01,Abandonne,43.0,,0
INS00039,APP0029,PAR002,2023-01-14,2023-02-14,Abandonne,33.0,,0
INS00040,APP0029,PAR003,2023-01-14,2023-02-04,Abandonne,22.0,,0
INS00041,APP0030,PAR001,2023-02-22,,En cours,41.0,,0
INS00042,APP0031,PAR008,2022-12-18,,Suspendu,6.0,,0
INS00043,APP0032,PAR006,2022-09-22,2023-01-22,Termine,100.0,5.0,1
INS00044,APP0033,PAR005,2024-02-28,2024-05-04,Termine,100.0,4.0,1
INS00045,APP0033,PAR006,2024-02-28,2024-08-26,Termine,100.0,4.0,1
INS00046,APP0034,PAR003,2022-01-26,2022-04-10,Termine,100.0,5.0,1
INS00047,APP0034,PAR008,2022-01-26,2022-02-10,Abandonne,6.0,,0
INS00048,APP0035,PAR010,2023-03-14,2023-04-26,Termine,100.0,5.0,1
INS00049,APP0036,PAR009,2022-09-26,2022-12-15,Termine,100.0,5.0,0
INS00050,APP0036,PAR006,2022-09-26,2023-02-20,Termine,100.0,4.0,1
INS00051,APP0036,PAR003,2022-09-26,2022-11-10,Termine,100.0,5.0,1
INS00052,APP0037,PAR012,2022-03-22,2022-05-27,Termine,100.0,4.0,1
INS00053,APP0037,PAR005,2022-03-22,2022-05-22,Termine,100.0,4.0,1
INS00054,APP0038,PAR001,2024-06-30,,En cours,0.0,,0
INS00055,APP0038,PAR002,2024-06-30,,En cours,4.0,,0
INS00056,APP0039,PAR004,2024-02-11,2024-05-10,Termine,100.0,5.0,1
INS00057,APP0040,PAR003,2024-02-26,2024-05-09,Termine,100.0,5.0,1
INS00058,APP0041,PAR012,2022-06-13,2022-08-09,Termine,100.0,5.0,1
INS00059,APP0041,PAR003,2022-06-13,,Suspendu,12.0,,0
INS00060,APP0042,PAR012,2022-12-18,,Suspendu,15.0,,0
INS00061,APP0043,PAR004,2023-04-26,2023-06-26,Termine,100.0,3.0,1
INS00062,APP0044,PAR005,2022-11-16,2023-01-17,Termine,100.0,3.0,1
INS00063,APP0045,PAR003,2023-02-05,2023-03-29,Termine,100.0,4.0,1
INS00064,APP0046,PAR004,2023-01-29,2023-03-07,Abandonne,43.0,,0
INS00065,APP0047,PAR003,2022-08-18,,Suspendu,6.0,,0
INS00066,APP0048,PAR002,2022-06-17,,En cours,49.0,,0
INS00067,APP0049,PAR007,2022-06-17,2022-07-01,Abandonne,34.0,,0
INS00068,APP0050,PAR012,2022-03-09,,Suspendu,21.0,,0
INS00069,APP0051,PAR002,2023-11-27,2023-12-27,Abandonne,22.0,,0
INS00070,APP0051,PAR012,2023-11-27,2024-02-07,Termine,100.0,3.0,1
INS00071,APP0052,PAR001,2024-06-30,,En cours,1.0,,0
INS00072,APP0052,PAR008,2024-06-30,,En cours,0.0,,0
INS00073,APP0053,PAR007,2022-10-12,,Suspendu,12.0,,0
INS00074,APP0053,PAR001,2022-10-12,,Suspendu,20.0,,0
INS00075,APP0053,PAR004,2022-10-12,,En cours,29.0,,0
INS00076,APP0054,PAR002,2022-11-01,2023-02-01,Termine,100.0,4.0,1
INS00077,APP0055,PAR001,2024-06-30,,En cours,2.0,,0
INS00078,APP0056,PAR011,2024-01-28,2024-03-07,Abandonne,7.0,,0
INS00079,APP0057,PAR009,2023-08-13,2023-09-13,Abandonne,23.0,,0
INS00080,APP0058,PAR010,2022-04-21,,En cours,87.0,,0
INS00081,APP0058,PAR001,2022-04-21,,Suspendu,21.0,,0
INS00082,APP0059,PAR008,2023-09-03,,En cours,33.0,,0
INS00083,APP0059,PAR002,2023-09-03,2024-01-20,Termine,100.0,5.0,1
INS00084,APP0060,PAR005,2022-02-11,2022-03-08,Abandonne,42.0,,0
INS00085,APP0060,PAR001,2022-02-11,,Suspendu,13.0,,0
INS00086,APP0061,PAR002,2022-04-08,,En cours,26.0,,0
INS00087,APP0062,PAR005,2022-11-15,2022-11-22,Abandonne,7.0,,0
INS00088,APP0063,PAR011,2022-06-06,,En cours,75.0,,0
INS00089,APP0063,PAR001,2022-06-06,,Suspendu,0.0,,0
INS00090,APP0064,PAR002,2022-08-05,2022-09-14,Abandonne,20.0,,0
INS00091,APP0065,PAR002,2022-06-30,2022-10-05,Termine,100.0,5.0,1
INS00092,APP0066,PAR010,2023-04-05,2023-04-10,Abandonne,27.0,,0
INS00093,APP0067,PAR004,2022-07-07,2022-08-07,Abandonne,42.0,,0
INS00094,APP0068,PAR010,2022-08-18,,Suspendu,23.0,,0
INS00095,APP0068,PAR004,2022-08-18,,Suspendu,13.0,,0
INS00096,APP0069,PAR003,2024-06-29,,En cours,9.0,,0
INS00097,APP0070,PAR011,2024-02-29,2024-03-12,Abandonne,41.0,,0
INS00098,APP0071,PAR006,2022-01-26,,Suspendu,12.0,,0
INS00099,APP0072,PAR001,2022-05-03,2022-06-09,Abandonne,34.0,,0
INS00100,APP0073,PAR002,2024-04-24,,Suspendu,27.0,,0
INS00101,APP0074,PAR003,2022-01-15,2022-03-21,Termine,100.0,5.0,1
INS00102,APP0074,PAR005,2022-01-15,,Suspendu,4.0,,0
INS00103,APP0075,PAR010,2022-04-04,,Suspendu,9.0,,0
INS00104,APP0076,PAR006,2023-01-19,2023-02-08,Abandonne,24.0,,0
INS00105,APP0076,PAR012,2023-01-19,,Suspendu,18.0,,0
INS00106,APP0077,PAR003,2022-12-26,2023-01-06,Abandonne,45.0,,0
INS00107,APP0078,PAR009,2022-09-07,2022-11-22,Termine,100.0,4.0,1
INS00108,APP0079,PAR012,2022-08-18,,En cours,14.0,,0
INS00109,APP0079,PAR010,2022-08-18,,Suspendu,18.0,,0
INS00110,APP0079,PAR004,2022-08-18,2022-11-14,Termine,100.0,3.0,1
INS00111,APP0080,PAR009,2023-04-15,,Suspendu,23.0,,0
INS00112,APP0081,PAR010,2023-06-11,2023-06-17,Abandonne,19.0,,0
INS00113,APP0082,PAR002,2023-10-26,,En cours,36.0,,0
INS00114,APP0082,PAR012,2023-10-26,,En cours,24.0,,0
INS00115,APP0083,PAR010,2022-10-05,2022-10-25,Abandonne,21.0,,0
INS00116,APP0084,PAR001,2022-03-13,,Suspendu,28.0,,0
INS00117,APP0085,PAR009,2022-12-25,2023-02-23,Termine,100.0,3.0,1
INS00118,APP0085,PAR004,2022-12-25,,En cours,27.0,,0
INS00119,APP0086,PAR012,2023-06-25,,Suspendu,9.0,,0
INS00120,APP0087,PAR004,2024-06-30,,En cours,7.0,,0
INS00121,APP0088,PAR005,2022-10-06,,En cours,53.0,,0
INS00122,APP0088,PAR003,2022-10-06,2022-12-12,Termine,100.0,3.0,1
INS00123,APP0088,PAR009,2022-10-06,2022-11-05,Abandonne,45.0,,0
INS00124,APP0089,PAR001,2022-06-22,2022-07-28,Abandonne,43.0,,0
INS00125,APP0089,PAR002,2022-06-22,2022-10-22,Termine,100.0,3.0,1
INS00126,APP0090,PAR004,2024-06-17,,En cours,6.0,,0
INS00127,APP0091,PAR009,2022-01-19,,En cours,11.0,,0
INS00128,APP0092,PAR012,2022-07-05,,Suspendu,16.0,,0
INS00129,APP0093,PAR008,2023-01-12,2023-01-28,Abandonne,11.0,,0
INS00130,APP0094,PAR006,2022-05-19,,Suspendu,18.0,,0
INS00131,APP0094,PAR010,2022-05-19,2022-06-01,Abandonne,25.0,,0
INS00132,APP0095,PAR003,2024-03-04,,Suspendu,28.0,,0
INS00133,APP0095,PAR008,2024-03-04,2024-03-30,Abandonne,17.0,,0
INS00134,APP0096,PAR011,2023-01-18,,En cours,76.0,,0
INS00135,APP0097,PAR002,2024-06-30,,En cours,0.0,,0
INS00136,APP0098,PAR003,2022-08-28,2022-09-16,Abandonne,34.0,,0
INS00137,APP0099,PAR006,2022-03-31,2022-08-11,Termine,100.0,5.0,1
INS00138,APP0100,PAR007,2024-04-08,2024-07-16,Termine,100.0,5.0,1
INS00139,APP0101,PAR007,2022-09-19,2022-11-14,Abandonne,28.0,,0
INS00140,APP0102,PAR004,2023-09-14,2023-11-12,Termine,100.0,5.0,1
INS00141,APP0103,PAR009,2022-10-13,2023-01-01,Termine,100.0,3.0,1
INS00142,APP0104,PAR004,2022-02-24,,Suspendu,10.0,,0
INS00143,APP0105,PAR007,2022-02-21,2022-06-11,Termine,100.0,5.0,0
INS00144,APP0106,PAR002,2022-06-10,2022-09-08,Termine,100.0,3.0,1
INS00145,APP0107,PAR006,2022-02-21,2022-07-30,Termine,100.0,3.0,1
INS00146,APP0107,PAR002,2022-02-21,2022-03-13,Abandonne,49.0,,0
INS00147,APP0108,PAR008,2022-01-31,2022-03-26,Termine,100.0,4.0,1
INS00148,APP0108,PAR002,2022-01-31,2022-06-22,Termine,100.0,5.0,1
INS00149,APP0108,PAR009,2022-01-31,,En cours,84.0,,0
INS00150,APP0109,PAR003,2024-06-30,,En cours,2.0,,0
INS00151,APP0110,PAR008,2022-04-13,2022-06-07,Termine,100.0,5.0,1
INS00152,APP0110,PAR006,2022-04-13,,En cours,21.0,,0
INS00153,APP0110,PAR005,2022-04-13,,En cours,31.0,,0
INS00154,APP0111,PAR009,2022-11-22,2023-01-18,Termine,100.0,3.0,1
INS00155,APP0112,PAR012,2022-01-13,2022-03-09,Termine,100.0,4.0,1
INS00156,APP0112,PAR001,2022-01-13,2022-03-03,Abandonne,30.0,,0
INS00157,APP0113,PAR002,2022-07-30,2022-10-30,Termine,100.0,3.0,1
INS00158,APP0114,PAR006,2022-04-13,2022-07-04,Abandonne,9.0,,0
INS00159,APP0115,PAR008,2022-08-09,,En cours,68.0,,0
INS00160,APP0115,PAR002,2022-08-09,,En cours,80.0,,0
INS00161,APP0116,PAR007,2024-03-20,,En cours,16.0,,0
INS00162,APP0117,PAR005,2022-06-10,,En cours,83.0,,0
INS00163,APP0117,PAR008,2022-06-10,,Suspendu,15.0,,0
INS00164,APP0118,PAR010,2023-04-06,2023-05-14,Termine,100.0,4.0,1
INS00165,APP0118,PAR005,2023-04-06,,Suspendu,5.0,,0
INS00166,APP0119,PAR011,2022-05-08,2022-07-05,Termine,100.0,5.0,1
INS00167,APP0120,PAR008,2023-05-09,,En cours,37.0,,0
INS00168,APP0121,PAR004,2022-03-03,,Suspendu,1.0,,0
INS00169,APP0122,PAR009,2023-04-25,2023-06-28,Termine,100.0,3.0,1
INS00170,APP0123,PAR007,2023-06-17,2023-07-09,Abandonne,15.0,,0
INS00171,APP0124,PAR005,2022-01-19,,En cours,26.0,,0
INS00172,APP0125,PAR007,2022-01-14,,Suspendu,9.0,,0
INS00173,APP0126,PAR004,2023-02-05,2023-02-18,Abandonne,45.0,,0
INS00174,APP0127,PAR002,2022-06-11,2022-07-15,Abandonne,16.0,,0
INS00175,APP0128,PAR008,2024-03-08,2024-05-12,Termine,100.0,4.0,1
INS00176,APP0128,PAR011,2024-03-08,,En cours,11.0,,0
INS00177,APP0129,PAR006,2024-06-30,,En cours,11.0,,0
INS00178,APP0130,PAR003,2022-11-07,2022-12-02,Abandonne,21.0,,0
INS00179,APP0131,PAR001,2023-01-14,2023-04-10,Termine,100.0,5.0,1
INS00180,APP0132,PAR011,2022-05-09,,En cours,29.0,,0
INS00181,APP0133,PAR008,2024-06-30,,En cours,1.0,,0
INS00182,APP0134,PAR011,2023-01-19,2023-03-25,Termine,100.0,3.0,1
INS00183,APP0135,PAR002,2022-10-07,2023-03-02,Termine,100.0,4.0,1
INS00184,APP0136,PAR007,2022-09-12,2022-11-07,Abandonne,22.0,,0
INS00185,APP0136,PAR008,2022-09-12,,Suspendu,20.0,,0
INS00186,APP0137,PAR009,2022-02-05,,En cours,65.0,,0
INS00187,APP0138,PAR011,2023-03-24,,En cours,57.0,,0
INS00188,APP0139,PAR011,2022-03-15,,Suspendu,27.0,,0
INS00189,APP0140,PAR002,2022-03-21,2022-08-15,Termine,100.0,4.0,1
INS00190,APP0141,PAR002,2023-04-17,2023-07-23,Termine,100.0,4.0,1
INS00191,APP0142,PAR003,2022-01-28,2022-02-26,Abandonne,38.0,,0
INS00192,APP0142,PAR007,2022-01-28,2022-05-31,Termine,100.0,5.0,1
INS00193,APP0143,PAR007,2022-10-23,,En cours,12.0,,0
INS00194,APP0144,PAR012,2022-12-22,,Suspendu,22.0,,0
INS00195,APP0144,PAR010,2022-12-22,,En cours,72.0,,0
INS00196,APP0144,PAR002,2022-12-22,,En cours,73.0,,0
INS00197,APP0145,PAR012,2022-02-03,2022-03-08,Abandonne,10.0,,0
INS00198,APP0145,PAR003,2022-02-03,2022-04-21,Termine,100.0,5.0,1
INS00199,APP0146,PAR002,2022-05-06,2022-09-18,Termine,100.0,4.0,1
INS00200,APP0147,PAR006,2023-08-16,2024-01-09,Termine,100.0,4.0,1
INS00201,APP0148,PAR004,2022-11-30,2023-01-06,Abandonne,108.0,,0
INS00202,APP0149,PAR006,2022-07-05,2022-09-07,Abandonne,12.0,,0
INS00203,APP0150,PAR004,2022-04-05,,En cours,42.0,,0
INS00204,APP0150,PAR010,2022-04-05,2022-05-22,Termine,100.0,4.0,1
INS00205,APP0151,PAR007,2022-12-17,2023-04-06,Termine,100.0,3.0,1
INS00206,APP0152,PAR002,2022-06-14,2022-10-15,Termine,100.0,4.0,1
INS00207,APP0152,PAR004,2022-06-14,2022-07-01,Abandonne,31.0,,0
INS00208,APP0153,PAR007,2022-09-02,2022-10-19,Abandonne,40.0,,0
INS00209,APP0154,PAR012,2023-03-08,,En cours,70.0,,0
INS00210,APP0155,PAR008,2024-02-10,2024-04-20,Termine,100.0,4.0,1
INS00211,APP0155,PAR005,2024-02-10,,Suspendu,5.0,,0
INS00212,APP0156,PAR012,2024-06-30,,En cours,14.0,,0
INS00213,APP0157,PAR010,2023-07-15,2023-07-30,Abandonne,7.0,,0
INS00214,APP0157,PAR012,2023-07-15,2023-09-30,Termine,100.0,5.0,1
INS00215,APP0158,PAR005,2023-03-20,2023-06-04,Termine,100.0,3.0,1
INS00216,APP0158,PAR011,2023-03-20,,En cours,86.0,,0
INS00217,APP0158,PAR007,2023-03-20,2023-06-23,Termine,100.0,4.0,1
INS00218,APP0159,PAR006,2024-06-30,,En cours,0.0,,0
INS00219,APP0160,PAR008,2022-05-16,,En cours,34.0,,0
INS00220,APP0161,PAR011,2022-10-15,,En cours,85.0,,0
INS00221,APP0161,PAR010,2022-10-15,,Suspendu,23.0,,0
INS00222,APP0162,PAR007,2022-09-14,,En cours,46.0,,0
INS00223,APP0163,PAR008,2023-02-14,2023-04-07,Termine,100.0,4.0,1
INS00224,APP0163,PAR009,2023-02-14,2023-03-18,Abandonne,48.0,,0
INS00225,APP0164,PAR005,2023-03-27,2023-06-22,Termine,100.0,4.0,1
INS00226,APP0164,PAR003,2023-03-27,,Suspendu,7.0,,0
INS00227,APP0165,PAR008,2024-06-30,,En cours,4.0,,0
INS00228,APP0166,PAR002,2022-03-21,,Suspendu,0.0,,0
INS00229,APP0167,PAR002,2022-11-16,2023-03-12,Termine,100.0,5.0,1
INS00230,APP0167,PAR005,2022-11-16,2023-01-24,Termine,100.0,5.0,1
INS00231,APP0167,PAR008,2022-11-16,2023-01-25,Termine,100.0,4.0,1
INS00232,APP0168,PAR008,2022-07-06,2022-08-02,Abandonne,17.0,,0
INS00233,APP0168,PAR004,2022-07-06,2022-09-10,Termine,100.0,5.0,1
INS00234,APP0169,PAR011,2022-03-19,,En cours,51.0,,0
INS00235,APP0169,PAR003,2022-03-19,2022-03-26,Abandonne,13.0,,0
INS00236,APP0170,PAR001,2022-03-07,,Suspendu,6.0,,0
INS00237,APP0171,PAR002,2022-06-01,,En cours,33.0,,0
INS00238,APP0172,PAR012,2022-06-17,2022-08-04,Termine,100.0,5.0,1
INS00239,APP0173,PAR001,2024-06-30,,En cours,9.0,,0
INS00240,APP0174,PAR002,2022-07-08,,Suspendu,8.0,,0
INS00241,APP0174,PAR008,2022-07-08,,Suspendu,16.0,,0
INS00242,APP0175,PAR011,2022-12-13,2023-02-17,Termine,100.0,3.0,1
INS00243,APP0176,PAR001,2023-03-05,2023-03-15,Abandonne,22.0,,0
INS00244,APP0177,PAR003,2023-01-03,2023-03-21,Termine,100.0,5.0,1
INS00245,APP0177,PAR007,2023-01-03,2023-04-14,Termine,100.0,4.0,1
INS00246,APP0177,PAR010,2023-01-03,2023-02-26,Termine,100.0,4.0,1
INS00247,APP0178,PAR011,2022-08-08,2022-10-31,Termine,100.0,5.0,1
INS00248,APP0178,PAR006,2022-08-08,2023-01-13,Termine,100.0,5.0,1
INS00249,APP0178,PAR003,2022-08-08,2022-09-07,Abandonne,28.0,,0
INS00250,APP0179,PAR005,2024-06-30,,En cours,4.0,,0
INS00251,APP0179,PAR010,2024-06-30,,En cours,8.0,,0
INS00252,APP0180,PAR010,2024-04-27,2024-06-24,Termine,100.0,5.0,1
INS00253,APP0181,PAR002,2022-11-14,,Suspendu,23.0,,0
INS00254,APP0182,PAR002,2022-02-04,2022-04-03,Abandonne,6.0,,0
INS00255,APP0182,PAR011,2022-02-04,2022-02-13,Abandonne,10.0,,0
INS00256,APP0183,PAR009,2022-08-17,2022-09-05,Abandonne,26.0,,0
INS00257,APP0183,PAR008,2022-08-17,,Suspendu,8.0,,0
INS00258,APP0184,PAR008,2022-06-08,,Suspendu,9.0,,0
INS00259,APP0185,PAR004,2022-10-15,,Suspendu,3.0,,0
INS00260,APP0185,PAR005,2022-10-15,,En cours,81.0,,0
INS00261,APP0186,PAR011,2022-08-25,,Suspendu,26.0,,0
INS00262,APP0187,PAR008,2022-10-29,,En cours,50.0,,0
INS00263,APP0188,PAR008,2023-02-19,2023-04-25,Termine,100.0,4.0,1
INS00264,APP0189,PAR009,2023-03-23,,En cours,73.0,,0
INS00265,APP0190,PAR005,2023-03-01,2023-05-19,Termine,100.0,4.0,1
INS00266,APP0190,PAR009,2023-03-01,,En cours,66.0,,0
INS00267,APP0191,PAR006,2023-06-18,2023-10-19,Termine,100.0,5.0,1
INS00268,APP0191,PAR009,2023-06-18,,Suspendu,1.0,,0
INS00269,APP0192,PAR009,2023-09-29,,Suspendu,18.0,,0
INS00270,APP0192,PAR001,2023-09-29,2023-12-18,Termine,100.0,5.0,1
INS00271,APP0193,PAR001,2022-08-13,,En cours,88.0,,0
INS00272,APP0193,PAR007,2022-08-13,,En cours,52.0,,0
INS00273,APP0194,PAR002,2024-06-30,,En cours,10.0,,0
INS00274,APP0195,PAR007,2024-06-30,,En cours,9.0,,0
INS00275,APP0195,PAR008,2024-06-30,,En cours,3.0,,0
INS00276,APP0196,PAR006,2022-05-20,,Suspendu,24.0,,0
INS00277,APP0197,PAR007,2024-06-30,,En cours,2.0,,0
INS00278,APP0198,PAR008,2023-02-28,,Suspendu,9.0,,0
INS00279,APP0198,PAR012,2023-02-28,,Suspendu,2.0,,0
INS00280,APP0199,PAR001,2023-01-08,2023-02-19,Abandonne,9.0,,0
INS00281,APP0200,PAR001,2022-03-22,2022-06-22,Termine,100.0,5.0,1
INS00282,APP0201,PAR003,2022-12-29,2023-03-07,Termine,100.0,3.0,1
INS00283,APP0201,PAR009,2022-12-29,,En cours,43.0,,0
INS00284,APP0202,PAR011,2022-08-14,,En cours,39.0,,0
INS00285,APP0202,PAR005,2022-08-14,,Suspendu,26.0,,0
INS00286,APP0203,PAR012,2024-06-30,,En cours,6.0,,0
INS00287,APP0204,PAR003,2023-11-07,2023-12-30,Termine,100.0,4.0,1
INS00288,APP0204,PAR008,2023-11-07,2024-01-24,Termine,100.0,5.0,1
INS00289,APP0204,PAR007,2023-11-07,,En cours,38.0,,0
INS00290,APP0205,PAR003,2022-11-11,,En cours,73.0,,0
INS00291,APP0205,PAR005,2022-11-11,2023-02-10,Termine,100.0,3.0,1
INS00292,APP0206,PAR012,2023-11-05,,En cours,74.0,,0
INS00293,APP0207,PAR007,2022-09-10,,Suspendu,16.0,,0
INS00294,APP0208,PAR008,2022-02-06,,Suspendu,27.0,,0
INS00295,APP0209,PAR002,2024-06-30,,En cours,2.0,,0
INS00296,APP0209,PAR010,2024-06-30,,En cours,10.0,,0
INS00297,APP0210,PAR011,2022-12-26,2023-03-30,Termine,100.0,4.0,1
INS00298,APP0210,PAR008,2022-12-26,,En cours,17.0,,0
INS00299,APP0210,PAR009,2022-12-26,2023-03-22,Termine,100.0,4.0,1
INS00300,APP0211,PAR011,2022-06-08,2022-08-11,Termine,100.0,4.0,1
INS00301,APP0212,PAR009,2023-05-06,2023-06-05,Abandonne,13.0,,0
INS00302,APP0212,PAR010,2023-05-06,2023-05-15,Abandonne,28.0,,0
INS00303,APP0212,PAR008,2023-05-06,2023-07-08,Termine,100.0,3.0,1
INS00304,APP0213,PAR008,2024-04-17,,En cours,31.0,,0
INS00305,APP0214,PAR009,2023-09-09,2023-09-30,Abandonne,45.0,,0
INS00306,APP0215,PAR003,2022-08-07,2022-08-16,Abandonne,47.0,,0
INS00307,APP0216,PAR009,2022-02-08,2022-02-19,Abandonne,26.0,,0
INS00308,APP0217,PAR001,2024-04-01,,En cours,18.0,,0
INS00309,APP0218,PAR007,2022-10-01,2023-01-10,Termine,100.0,4.0,1
INS00310,APP0218,PAR005,2022-10-01,2022-12-22,Termine,100.0,5.0,1
INS00311,APP0219,PAR008,2022-01-15,2022-03-23,Termine,100.0,5.0,1
INS00312,APP0220,PAR010,2022-03-18,2022-04-26,Termine,100.0,4.0,1
INS00313,APP0221,PAR007,2022-01-22,2022-02-15,Abandonne,34.0,,0
INS00314,APP0221,PAR010,2022-01-22,,Suspendu,9.0,,0
INS00315,APP0222,PAR011,2023-04-10,2023-04-20,Abandonne,38.0,,0
INS00316,APP0222,PAR006,2023-04-10,2023-10-09,Termine,100.0,3.0,1
INS00317,APP0223,PAR005,2024-06-11,2024-07-18,Abandonne,45.0,,0
INS00318,APP0224,PAR006,2023-06-13,2023-12-22,Termine,100.0,5.0,1
INS00319,APP0225,PAR001,2022-04-01,2022-07-04,Termine,100.0,5.0,1
INS00320,APP0226,PAR001,2024-06-30,,En cours,1.0,,0
INS00321,APP0226,PAR010,2024-06-30,,En cours,13.0,,0
INS00322,APP0226,PAR012,2024-06-30,,En cours,7.0,,0
INS00323,APP0227,PAR003,2022-03-23,,Suspendu,27.0,,0
INS00324,APP0227,PAR006,2022-03-23,,En cours,73.0,,0
INS00325,APP0227,PAR011,2022-03-23,,Suspendu,6.0,,0
INS00326,APP0228,PAR012,2024-02-07,,Suspendu,16.0,,0
INS00327,APP0229,PAR010,2022-12-11,,Suspendu,8.0,,0
INS00328,APP0230,PAR001,2022-01-02,2022-02-06,Abandonne,22.0,,0
INS00329,APP0231,PAR011,2022-04-04,,Suspendu,25.0,,0
INS00330,APP0232,PAR006,2022-02-15,2022-03-05,Abandonne,28.0,,0
INS00331,APP0233,PAR007,2022-12-15,2023-03-17,Termine,100.0,5.0,1
INS00332,APP0234,PAR002,2023-08-11,2023-09-02,Abandonne,49.0,,0
INS00333,APP0234,PAR007,2023-08-11,,Suspendu,17.0,,0
INS00334,APP0235,PAR006,2023-03-28,2023-06-03,Abandonne,14.0,,0
INS00335,APP0236,PAR006,2024-04-16,,Suspendu,16.0,,0
INS00336,APP0237,PAR007,2023-03-07,2023-04-03,Abandonne,48.0,,0
INS00337,APP0238,PAR006,2022-03-22,,En cours,45.0,,0
INS00338,APP0239,PAR001,2023-06-04,2023-08-10,Termine,100.0,3.0,1
INS00339,APP0239,PAR011,2023-06-04,2023-08-22,Termine,100.0,4.0,1
INS00340,APP0240,PAR004,2023-01-04,2023-03-25,Termine,100.0,4.0,1
INS00341,APP0241,PAR004,2022-09-17,2022-09-24,Abandonne,38.0,,0
INS00342,APP0241,PAR012,2022-09-17,2022-11-11,Termine,100.0,4.0,1
INS00343,APP0242,PAR011,2024-02-26,2024-05-03,Termine,100.0,3.0,1
INS00344,APP0242,PAR005,2024-02-26,,En cours,76.0,,0
INS00345,APP0242,PAR010,2024-02-26,,En cours,68.0,,0
INS00346,APP0243,PAR002,2024-06-30,,En cours,0.0,,0
INS00347,APP0243,PAR012,2024-06-30,,En cours,14.0,,0
INS00348,APP0244,PAR005,2022-07-13,2022-09-25,Termine,100.0,5.0,1
INS00349,APP0245,PAR002,2022-10-18,,En cours,33.0,,0
INS00350,APP0246,PAR006,2023-02-11,2023-08-17,Termine,100.0,3.0,1
INS00351,APP0246,PAR003,2023-02-11,,En cours,77.0,,0
INS00352,APP0247,PAR001,2023-07-04,2023-09-27,Termine,100.0,4.0,1
INS00353,APP0248,PAR009,2023-06-07,2023-07-12,Abandonne,40.0,,0
INS00354,APP0249,PAR006,2022-02-07,2022-02-23,Abandonne,16.0,,0
INS00355,APP0249,PAR001,2022-02-07,,En cours,23.0,,0
