session_id,apprenant_id,parcours_id,date_session,heure_connexion,duree_minutes,module_consulte,appareil,est_weekend
SES000214,APP2996,PAR005,2024-03-28,11,8,Module_11,Tablette,0
SES000215,APP4342,PAR009,2023-07-20,11,5,Module_10,Mobile,0
SES000216,APP4342,PAR009,2022-12-09,7,41,Module_07,Mobile,0
SES000217,APP4342,PAR009,2023-09-03,18,45,Module_03,Mobile,1
SES000218,APP4342,PAR009,2023-05-31,9,31,Module_15,Mobile,0
SES000219,APP4342,PAR009,2022-10-05,17,29,Module_13,Mobile,0
SES000220,APP4342,PAR009,2024-03-11,13,15,Module_10,Tablette,0
SES000221,APP4342,PAR009,2023-04-08,12,39,Module_14,Mobile,1
SES000222,APP3806,PAR009,2023-11-16,8,14,Module_06,Desktop,0
SES000223,APP3806,PAR009,2024-04-27,21,121,Module_20,Mobile,1
SES000224,APP3806,PAR009,2024-02-18,10,19,Module_19,Mobile,1
SES000225,APP3806,PAR009,2023-08-15,19,66,Module_19,Mobile,0
SES000226,APP3806,PAR009,2024-01-07,14,116,Module_03,Mobile,1
SES000227,APP3806,PAR009,2023-11-02,12,80,Module_01,Mobile,0
SES000228,APP3806,PAR009,2023-08-08,10,200,Module_18,Tablette,0
SES000229,APP3806,PAR009,2023-05-02,20,55,Module_05,Mobile,0
SES000230,APP3806,PAR009,2023-10-01,11,57,Module_20,Desktop,1
SES000231,APP3806,PAR009,2024-04-27,22,32,Module_08,Desktop,1
SES000232,APP3806,PAR009,2024-05-27,14,174,Module_10,Desktop,0
SES000233,APP3806,PAR009,2023-12-12,12,3,Module_13,Desktop,0
SES000234,APP3806,PAR009,2024-02-29,17,37,Module_05,Mobile,0
SES000235,APP2244,PAR003,2023-09-13,17,137,Module_10,Mobile,0
SES000236,APP2244,PAR003,2023-09-15,8,3,Module_04,Mobile,0
SES000237,APP2244,PAR003,2024-05-24,20,1,Module_04,Mobile,0
SES000238,APP2244,PAR003,2024-06-15,18,23,Module_09,Mobile,1
SES000239,APP2244,PAR003,2024-01-07,8,107,Module_08,Mobile,1
SES000240,APP2244,PAR003,2023-02-06,10,5,Module_13,Desktop,0
SES000241,APP2244,PAR003,2023-12-23,19,31,Module_08,Mobile,1
SES000242,APP2244,PAR003,2023-08-17,19,15,Module_15,Desktop,0
SES000243,APP2244,PAR003,2023-01-10,11,42,Module_07,Mobile,0
SES000244,APP2244,PAR003,2023-03-09,19,8,Module_14,Tablette,0
SES000245,APP2244,PAR003,2023-03-05,17,31,Module_16,Mobile,1
SES000246,APP2244,PAR003,2023-01-07,16,3,Module_08,Mobile,1
SES000247,APP2244,PAR003,2022-11-04,11,1,Module_14,Mobile,0
SES000248,APP2244,PAR003,2024-05-02,8,9,Module_16,Mobile,0
SES000249,APP2244,PAR003,2024-01-24,7,10,Module_13,Mobile,0
SES000250,APP2244,PAR003,2024-04-03,10,50,Module_04,Desktop,0
SES000251,APP2244,PAR003,2024-06-17,13,70,Module_04,Desktop,0
SES000252,APP2244,PAR003,2024-03-29,13,31,Module_02,Desktop,0
SES000253,APP2244,PAR003,2024-01-26,17,5,Module_04,Desktop,0
SES000254,APP2244,PAR003,2022-11-09,17,46,Module_10,Desktop,0
SES000255,APP2244,PAR003,2024-01-28,19,40,Module_07,Mobile,1
SES000256,APP2244,PAR003,2024-02-27,7,11,Module_14,Mobile,0
SES000257,APP2244,PAR003,2023-08-05,21,10,Module_10,Mobile,1
SES000258,APP2244,PAR003,2022-10-31,14,30,Module_11,Mobile,0
SES000259,APP2244,PAR003,2023-12-06,10,31,Module_08,Mobile,0
SES000260,APP2244,PAR003,2023-08-02,19,38,Module_13,Mobile,0
SES000261,APP2244,PAR003,2022-12-07,19,22,Module_14,Mobile,0
SES000262,APP2244,PAR003,2023-12-03,17,85,Module_13,Desktop,1
SES000263,APP2244,PAR003,2023-02-04,10,3,Module_13,Tablette,1
SES000264,APP2244,PAR003,2023-04-18,22,131,Module_06,Desktop,0
SES000265,APP2244,PAR003,2023-08-17,20,18,Module_11,Mobile,0
SES000266,APP2244,PAR003,2023-09-17,7,25,Module_09,Desktop,1
SES000267,APP2244,PAR003,2024-01-14,10,86,Module_06,Desktop,1
SES000268,APP2244,PAR003,2024-06-03,14,28,Module_03,Mobile,0
SES000269,APP0189,PAR009,2023-10-01,11,60,Module_12,Desktop,1
SES000270,APP0189,PAR009,2024-06-08,20,14,Module_12,Mobile,1
SES000271,APP0189,PAR009,2024-01-17,10,1,Module_15,Tablette,0
SES000272,APP0189,PAR009,2023-03-31,20,80,Module_15,Desktop,0
SES000273,APP0189,PAR009,2023-07-10,16,12,Module_01,Mobile,0
SES000274,APP0189,PAR009,2024-03-24,22,39,Module_04,Mobile,1
SES000275,APP0189,PAR009,2023-06-03,17,90,Module_06,Mobile,1
SES000276,APP0189,PAR009,2024-04-15,19,181,Module_05,Desktop,0
SES000277,APP0189,PAR009,2023-05-31,11,80,Module_16,Mobile,0
SES000278,APP0189,PAR009,2024-05-05,18,31,Module_08,Desktop,1
SES000279,APP0189,PAR009,2024-03-15,16,103,Module_10,Mobile,0
SES000280,APP0189,PAR009,2024-04-28,12,36,Module_10,Mobile,1
SES000281,APP0189,PAR009,2024-01-09,7,135,Module_17,Mobile,0
SES000282,APP0189,PAR009,2024-03-18,11,24,Module_04,Mobile,0
SES000283,APP0189,PAR009,2023-07-19,8,23,Module_05,Mobile,0
SES000284,APP0189,PAR009,2024-03-31,22,40,Module_13,Mobile,1
SES000285,APP0189,PAR009,2024-02-27,22,68,Module_06,Mobile,0
SES000286,APP0189,PAR009,2024-01-13,12,11,Module_11,Mobile,1
SES000287,APP3689,PAR010,2024-01-08,9,24,Module_10,Mobile,0
SES000288,APP3689,PAR010,2023-04-13,15,54,Module_08,Desktop,0
SES000289,APP0494,PAR002,2023-11-18,19,12,Module_19,Mobile,1
SES000290,APP0494,PAR002,2024-02-15,11,5,Module_05,Mobile,0
SES000291,APP0494,PAR002,2024-05-18,14,90,Module_24,Mobile,1
SES000292,APP0494,PAR002,2023-12-19,18,72,Module_17,Mobile,0
SES000293,APP0494,PAR002,2023-05-30,14,16,Module_15,Desktop,0
SES000294,APP0494,PAR002,2023-08-16,13,54,Module_09,Mobile,0
SES000295,APP0494,PAR002,2023-12-12,18,9,Module_09,Mobile,0
SES000296,APP0494,PAR002,2024-06-04,9,6,Module_32,Desktop,0
SES000297,APP0494,PAR002,2023-09-15,11,5,Module_07,Mobile,0
SES000298,APP0494,PAR002,2023-02-07,20,200,Module_14,Mobile,0
SES000299,APP0494,PAR002,2024-06-18,16,9,Module_25,Desktop,0
SES000300,APP0494,PAR002,2024-01-13,9,59,Module_08,Mobile,1
SES000301,APP0494,PAR002,2023-12-14,13,50,Module_06,Mobile,0
SES000302,APP0494,PAR002,2024-01-19,10,39,Module_12,Mobile,0
SES000303,APP0494,PAR002,2024-04-21,22,67,Module_07,Mobile,1
SES000304,APP0494,PAR002,2023-03-27,8,55,Module_19,Mobile,0
SES000305,APP0494,PAR002,2024-06-19,20,35,Module_09,Mobile,0
SES000306,APP0494,PAR002,2023-03-02,9,47,Module_22,Mobile,0
SES000307,APP0494,PAR002,2023-06-08,8,10,Module_05,Desktop,0
SES000308,APP0494,PAR002,2023-08-18,7,76,Module_07,Mobile,0
SES000309,APP0494,PAR002,2023-10-30,19,215,Module_08,Desktop,0
SES000310,APP0494,PAR002,2023-04-21,8,31,Module_23,Mobile,0
SES000311,APP0494,PAR002,2023-12-15,20,19,Module_12,Tablette,0
SES000312,APP0494,PAR002,2023-05-04,9,14,Module_31,Mobile,0
SES000313,APP0494,PAR002,2024-02-11,22,77,Module_09,Mobile,1
SES000314,APP0494,PAR002,2023-10-11,14,44,Module_14,Desktop,0
SES000315,APP0494,PAR002,2023-02-23,13,6,Module_02,Desktop,0
SES000316,APP0494,PAR002,2023-03-19,13,51,Module_01,Desktop,1
SES000317,APP0494,PAR002,2023-11-09,19,10,Module_11,Mobile,0
SES000318,APP0494,PAR002,2024-04-09,9,22,Module_03,Mobile,0
SES000319,APP0494,PAR002,2023-10-23,13,37,Module_27,Desktop,0
SES000320,APP0494,PAR002,2023-05-14,16,3,Module_19,Mobile,1
SES000321,APP0494,PAR002,2024-04-30,12,38,Module_20,Mobile,0
SES000322,APP0494,PAR002,2024-03-25,7,13,Module_23,Desktop,0
SES000323,APP0494,PAR002,2024-01-08,6,34,Module_32,Desktop,0
SES000324,APP0494,PAR002,2023-07-19,11,34,Module_07,Tablette,0
SES000325,APP0494,PAR002,2023-07-08,6,18,Module_13,Desktop,1
SES000326,APP0494,PAR002,2023-04-08,10,73,Module_08,Mobile,1
SES000327,APP0494,PAR002,2024-02-29,22,1,Module_08,Mobile,0
SES000328,APP0494,PAR002,2024-04-03,22,148,Module_07,Mobile,0
SES000329,APP0494,PAR002,2023-06-05,15,74,Module_22,Mobile,0
SES000330,APP0494,PAR002,2023-09-01,17,43,Module_30,Desktop,0
SES000331,APP0494,PAR002,2023-05-20,19,64,Module_08,Mobile,1
SES000332,APP0494,PAR002,2023-11-29,17,45,Module_29,Desktop,0
SES000333,APP0494,PAR002,2023-06-17,20,5,Module_29,Mobile,1
SES000334,APP0494,PAR002,2023-06-21,12,32,Module_21,Mobile,0
SES000335,APP0494,PAR002,2023-05-30,15,17,Module_02,Mobile,0
SES000336,APP0494,PAR002,2023-10-08,13,8,Module_06,Mobile,1
SES000337,APP0494,PAR002,2023-02-27,12,23,Module_25,Mobile,0
SES000338,APP0494,PAR002,2024-05-29,12,81,Module_10,Mobile,0
SES000339,APP0494,PAR002,2023-10-05,14,83,Module_23,Tablette,0
SES000340,APP0494,PAR002,2023-01-28,13,66,Module_15,Desktop,1
SES000341,APP0494,PAR002,2023-11-29,20,21,Module_04,Mobile,0
SES000342,APP0494,PAR002,2023-11-11,18,39,Module_18,Mobile,1
SES000343,APP0494,PAR002,2023-08-28,14,16,Module_06,Desktop,0
SES000344,APP0494,PAR002,2023-06-15,19,60,Module_05,Mobile,0
SES000345,APP0494,PAR002,2023-04-12,19,4,Module_14,Desktop,0
SES000346,APP0494,PAR002,2023-12-28,12,46,Module_14,Desktop,0
SES000347,APP0494,PAR002,2023-07-16,8,70,Module_14,Desktop,1
SES000348,APP0494,PAR002,2023-08-27,21,28,Module_29,Mobile,1
SES000349,APP0494,PAR002,2024-06-06,13,4,Module_29,Desktop,0
SES000350,APP0494,PAR002,2023-04-02,17,5,Module_23,Mobile,1
SES000351,APP0494,PAR002,2023-07-30,17,35,Module_19,Mobile,1
SES000352,APP0494,PAR002,2023-05-16,7,27,Module_19,Desktop,0
SES000353,APP0494,PAR002,2024-04-11,8,13,Module_28,Mobile,0
SES000354,APP0494,PAR002,2023-06-14,22,100,Module_11,Mobile,0
SES000355,APP0494,PAR002,2024-05-24,13,14,Module_06,Mobile,0
SES000356,APP0494,PAR002,2023-07-07,18,42,Module_19,Desktop,0
SES000357,APP0494,PAR002,2024-02-20,9,57,Module_04,Desktop,0
SES000358,APP0494,PAR002,2023-11-09,18,3,Module_07,Tablette,0
SES000359,APP0674,PAR002,2022-10-22,14,36,Module_32,Mobile,1
SES000360,APP0674,PAR002,2023-07-18,9,33,Module_04,Mobile,0
SES000361,APP0674,PAR002,2022-11-10,17,1,Module_02,Desktop,0
SES000362,APP0674,PAR002,2023-03-16,9,99,Module_10,Mobile,0
SES000363,APP0674,PAR002,2023-12-13,9,33,Module_22,Desktop,0
SES000364,APP0674,PAR002,2024-03-25,9,13,Module_21,Desktop,0
SES000365,APP0674,PAR002,2024-03-03,6,47,Module_02,Desktop,1
