paiement_id,apprenant_id,parcours_id,date_paiement,montant_fcfa,methode,type_paiement,statut_paiement
PAY00171,APP0095,PAR008,2024-03-04,63200,Mobile Money,Integral,Echoue
PAY00172,APP0096,PAR011,2023-01-18,43600,Virement,En 2 fois,Valide
PAY00173,APP0096,PAR011,2023-02-17,43600,Mobile Money,En 2 fois,Valide
PAY00174,APP0097,PAR002,2024-06-30,199000,Carte bancaire,Integral,Echoue
PAY00175,APP0098,PAR003,2022-08-28,89000,Mobile Money,Integral,Valide
PAY00176,APP0099,PAR006,2022-03-31,249000,Virement,Integral,Valide
PAY00177,APP0100,PAR007,2024-04-08,89500,Mobile Money,En 2 fois,Valide
PAY00178,APP0100,PAR007,2024-05-08,89500,Mobile Money,En 2 fois,Valide
PAY00179,APP0101,PAR007,2022-09-19,179000,Mobile Money,Integral,Rembourse
PAY00180,APP0102,PAR004,2023-09-14,51600,Mobile Money,En 2 fois,Valide
PAY00181,APP0102,PAR004,2023-10-14,51600,Carte bancaire,En 2 fois,Valide
PAY00182,APP0103,PAR009,2022-10-13,47600,Mobile Money,En 2 fois,Valide
PAY00183,APP0103,PAR009,2022-11-12,47600,Mobile Money,En 2 fois,Valide
PAY00184,APP0104,PAR004,2022-02-24,129000,Carte bancaire,Integral,Valide
PAY00185,APP0105,PAR007,2022-02-21,89500,Mobile Money,En 2 fois,Valide
PAY00186,APP0105,PAR007,2022-03-23,89500,Virement,En 2 fois,Valide
PAY00187,APP0106,PAR002,2022-06-10,199000,Carte bancaire,Integral,Valide
PAY00188,APP0107,PAR006,2022-02-21,249000,Carte bancaire,Integral,Valide
PAY00189,APP0107,PAR002,2022-02-21,199000,Virement,Integral,Valide
PAY00190,APP0108,PAR008,2022-01-31,63200,Mobile Money,Integral,Valide
PAY00191,APP0108,PAR002,2022-01-31,159200,Mobile Money,Integral,Valide
PAY00192,APP0108,PAR009,2022-01-31,95200,Carte bancaire,Integral,Valide
PAY00193,APP0109,PAR003,2024-06-30,44500,Mobile Money,En 2 fois,Valide
PAY00194,APP0109,PAR003,2024-07-30,44500,Mobile Money,En 2 fois,Valide
PAY00195,APP0110,PAR008,2022-04-13,79000,Carte bancaire,Integral,Valide
PAY00196,APP0110,PAR006,2022-04-13,249000,Carte bancaire,Integral,Valide
PAY00197,APP0110,PAR005,2022-04-13,99000,Carte bancaire,Integral,Valide
PAY00198,APP0111,PAR009,2022-11-22,119000,Carte bancaire,Integral,Valide
PAY00199,APP0112,PAR012,2022-01-13,71200,Virement,Integral,Valide
PAY00200,APP0112,PAR001,2022-01-13,29800,Mobile Money,Mensuel,Valide
PAY00201,APP0112,PAR001,2022-02-12,29800,Carte bancaire,Mensuel,Valide
PAY00202,APP0112,PAR001,2022-03-14,29800,Mobile Money,Mensuel,Valide
PAY00203,APP0112,PAR001,2022-04-13,29800,Virement,Mensuel,Valide
PAY00204,APP0113,PAR002,2022-07-30,159200,Mobile Money,Integral,Valide
PAY00205,APP0114,PAR006,2022-04-13,99600,Virement,En 2 fois,Valide
PAY00206,APP0114,PAR006,2022-05-13,99600,Virement,En 2 fois,Valide
PAY00207,APP0115,PAR008,2022-08-09,79000,Mobile Money,Integral,Valide
PAY00208,APP0115,PAR002,2022-08-09,199000,Mobile Money,Integral,Valide
PAY00209,APP0116,PAR007,2024-03-20,179000,Carte bancaire,Integral,Valide
PAY00210,APP0117,PAR005,2022-06-10,99000,Mobile Money,Integral,Valide
PAY00211,APP0117,PAR008,2022-06-10,39500,Mobile Money,En 2 fois,Valide
PAY00212,APP0117,PAR008,2022-07-10,39500,Carte bancaire,En 2 fois,Valide
PAY00213,APP0118,PAR010,2023-04-06,55200,Mobile Money,Integral,Valide
PAY00214,APP0118,PAR005,2023-04-06,79200,Carte bancaire,Integral,Valide
PAY00215,APP0119,PAR011,2022-05-08,109000,PayPal,Integral,Valide
PAY00216,APP0120,PAR008,2023-05-09,31600,Virement,En 2 fois,Valide
PAY00217,APP0120,PAR008,2023-06-08,31600,Carte bancaire,En 2 fois,Valide
PAY00218,APP0121,PAR004,2022-03-03,129000,Mobile Money,Integral,Valide
PAY00219,APP0122,PAR009,2023-04-25,119000,Mobile Money,Integral,Valide
PAY00220,APP0123,PAR007,2023-06-17,44750,Carte bancaire,Mensuel,Valide
PAY00221,APP0123,PAR007,2023-07-17,44750,Carte bancaire,Mensuel,Valide
PAY00222,APP0123,PAR007,2023-08-16,44750,Carte bancaire,Mensuel,Echoue
PAY00223,APP0123,PAR007,2023-09-15,44750,Carte bancaire,Mensuel,Valide
PAY00224,APP0124,PAR005,2022-01-19,49500,Mobile Money,En 2 fois,Valide
PAY00225,APP0124,PAR005,2022-02-18,49500,Carte bancaire,En 2 fois,Valide
PAY00226,APP0125,PAR007,2022-01-14,35800,Mobile Money,Mensuel,Valide
PAY00227,APP0125,PAR007,2022-02-13,35800,Mobile Money,Mensuel,Valide
PAY00228,APP0125,PAR007,2022-03-15,35800,Mobile Money,Mensuel,Valide
PAY00229,APP0125,PAR007,2022-04-14,35800,Mobile Money,Mensuel,Valide
PAY00230,APP0126,PAR004,2023-02-05,103200,Virement,Integral,Valide
PAY00231,APP0127,PAR002,2022-06-11,159200,Carte bancaire,Integral,Valide
PAY00232,APP0128,PAR008,2024-03-08,79000,PayPal,Integral,Valide
PAY00233,APP0128,PAR011,2024-03-08,109000,Carte bancaire,Integral,Valide
PAY00234,APP0129,PAR006,2024-06-30,99600,Carte bancaire,En 2 fois,Valide
PAY00235,APP0129,PAR006,2024-07-30,99600,Carte bancaire,En 2 fois,Valide
PAY00236,APP0130,PAR003,2022-11-07,89000,Carte bancaire,Integral,Valide
PAY00237,APP0131,PAR001,2023-01-14,59600,Carte bancaire,En 2 fois,Valide
PAY00238,APP0131,PAR001,2023-02-13,59600,PayPal,En 2 fois,Valide
PAY00239,APP0132,PAR011,2022-05-09,43600,Mobile Money,En 2 fois,Valide
PAY00240,APP0132,PAR011,2022-06-08,43600,Mobile Money,En 2 fois,Valide
PAY00241,APP0133,PAR008,2024-06-30,79000,Mobile Money,Integral,Valide
PAY00242,APP0134,PAR011,2023-01-19,54500,Mobile Money,En 2 fois,Valide
PAY00243,APP0134,PAR011,2023-02-18,54500,Mobile Money,En 2 fois,Valide
PAY00244,APP0135,PAR002,2022-10-07,199000,Carte bancaire,Integral,Valide
PAY00245,APP0136,PAR007,2022-09-12,179000,Carte bancaire,Integral,Valide
PAY00246,APP0136,PAR008,2022-09-12,79000,Mobile Money,Integral,Valide
PAY00247,APP0137,PAR009,2022-02-05,95200,Carte bancaire,Integral,Valide
PAY00248,APP0138,PAR011,2023-03-24,43600,Carte bancaire,En 2 fois,Valide
PAY00249,APP0138,PAR011,2023-04-23,43600,Virement,En 2 fois,Valide
PAY00250,APP0139,PAR011,2022-03-15,27250,Virement,Mensuel,Valide
PAY00251,APP0139,PAR011,2022-04-14,27250,Carte bancaire,Mensuel,Valide
PAY00252,APP0139,PAR011,2022-05-14,27250,Mobile Money,Mensuel,Valide
PAY00253,APP0139,PAR011,2022-06-13,27250,Carte bancaire,Mensuel,Valide
PAY00254,APP0140,PAR002,2022-03-21,199000,PayPal,Integral,Valide
PAY00255,APP0141,PAR002,2023-04-17,159200,Carte bancaire,Integral,Valide
PAY00256,APP0142,PAR003,2022-01-28,22250,Carte bancaire,Mensuel,Valide
PAY00257,APP0142,PAR003,2022-02-27,22250,Virement,Mensuel,Echoue
PAY00258,APP0142,PAR003,2022-03-29,22250,Virement,Mensuel,Valide
PAY00259,APP0142,PAR003,2022-04-28,22250,Virement,Mensuel,Valide
PAY00260,APP0142,PAR007,2022-01-28,179000,Mobile Money,Integral,Valide
PAY00261,APP0143,PAR007,2022-10-23,179000,Mobile Money,Integral,Valide
PAY00262,APP0144,PAR012,2022-12-22,71200,Mobile Money,Integral,Valide
PAY00263,APP0144,PAR010,2022-12-22,27600,Mobile Money,En 2 fois,Valide
PAY00264,APP0144,PAR010,2023-01-21,27600,Carte bancaire,En 2 fois,Valide
PAY00265,APP0144,PAR002,2022-12-22,79600,Mobile Money,En 2 fois,Valide
PAY00266,APP0144,PAR002,2023-01-21,79600,Carte bancaire,En 2 fois,Valide
PAY00267,APP0145,PAR012,2022-02-03,89000,Carte bancaire,Integral,Valide
PAY00268,APP0145,PAR003,2022-02-03,89000,Mobile Money,Integral,Valide
PAY00269,APP0146,PAR002,2022-05-06,199000,Carte bancaire,Integral,Valide
PAY00270,APP0147,PAR006,2023-08-16,249000,Carte bancaire,Integral,Valide
PAY00271,APP0148,PAR004,2022-11-30,129000,Mobile Money,Integral,Valide
PAY00272,APP0149,PAR006,2022-07-05,99600,Virement,En 2 fois,Valide
PAY00273,APP0149,PAR006,2022-08-04,99600,Mobile Money,En 2 fois,Valide
PAY00274,APP0150,PAR004,2022-04-05,51600,Mobile Money,En 2 fois,Valide
PAY00275,APP0150,PAR004,2022-05-05,51600,PayPal,En 2 fois,Valide
PAY00276,APP0150,PAR010,2022-04-05,55200,Virement,Integral,Valide
PAY00277,APP0151,PAR007,2022-12-17,143200,PayPal,Integral,Valide
PAY00278,APP0152,PAR002,2022-06-14,159200,PayPal,Integral,Valide
PAY00279,APP0152,PAR004,2022-06-14,103200,Virement,Integral,Valide
PAY00280,APP0153,PAR007,2022-09-02,179000,Carte bancaire,Integral,Valide
PAY00281,APP0154,PAR012,2023-03-08,89000,Mobile Money,Integral,Valide
PAY00282,APP0155,PAR008,2024-02-10,63200,Carte bancaire,Integral,Valide
PAY00283,APP0155,PAR005,2024-02-10,39600,Mobile Money,En 2 fois,Valide
PAY00284,APP0155,PAR005,2024-03-11,39600,Virement,En 2 fois,Valide
PAY00285,APP0156,PAR012,2024-06-30,22250,Mobile Money,Mensuel,Valide
PAY00286,APP0156,PAR012,2024-07-30,22250,Mobile Money,Mensuel,Valide
PAY00287,APP0156,PAR012,2024-08-29,22250,Virement,Mensuel,Rembourse
PAY00288,APP0156,PAR012,2024-09-28,22250,Mobile Money,Mensuel,Valide
PAY00289,APP0157,PAR010,2023-07-15,55200,Mobile Money,Integral,Valide
PAY00290,APP0157,PAR012,2023-07-15,35600,Carte bancaire,En 2 fois,Valide
PAY00291,APP0157,PAR012,2023-08-14,35600,Mobile Money,En 2 fois,Valide
PAY00292,APP0158,PAR005,2023-03-20,99000,Carte bancaire,Integral,Valide
PAY00293,APP0158,PAR011,2023-03-20,109000,Mobile Money,Integral,Valide
PAY00294,APP0158,PAR007,2023-03-20,179000,Mobile Money,Integral,Valide
PAY00295,APP0159,PAR006,2024-06-30,124500,Carte bancaire,En 2 fois,Valide
PAY00296,APP0159,PAR006,2024-07-30,124500,Mobile Money,En 2 fois,Valide
PAY00297,APP0160,PAR008,2022-05-16,63200,Carte bancaire,Integral,Valide
PAY00298,APP0161,PAR011,2022-10-15,87200,Mobile Money,Integral,Valide
PAY00299,APP0161,PAR010,2022-10-15,55200,Carte bancaire,Integral,Valide
PAY00300,APP0162,PAR007,2022-09-14,143200,Carte bancaire,Integral,Valide
PAY00301,APP0163,PAR008,2023-02-14,79000,Virement,Integral,Valide
PAY00302,APP0163,PAR009,2023-02-14,119000,Mobile Money,Integral,Valide
PAY00303,APP0164,PAR005,2023-03-27,99000,Mobile Money,Integral,Valide
PAY00304,APP0164,PAR003,2023-03-27,44500,Mobile Money,En 2 fois,Valide
PAY00305,APP0164,PAR003,2023-04-26,44500,Carte bancaire,En 2 fois,Valide
PAY00306,APP0165,PAR008,2024-06-30,79000,Mobile Money,Integral,Valide
PAY00307,APP0166,PAR002,2022-03-21,79600,PayPal,En 2 fois,Valide
PAY00308,APP0166,PAR002,2022-04-20,79600,Virement,En 2 fois,Valide
PAY00309,APP0167,PAR002,2022-11-16,99500,Carte bancaire,En 2 fois,Valide
PAY00310,APP0167,PAR002,2022-12-16,99500,Carte bancaire,En 2 fois,Valide
PAY00311,APP0167,PAR005,2022-11-16,99000,Mobile Money,Integral,Rembourse
PAY00312,APP0167,PAR008,2022-11-16,79000,PayPal,Integral,Valide
PAY00313,APP0168,PAR008,2022-07-06,63200,Carte bancaire,Integral,Valide
PAY00314,APP0168,PAR004,2022-07-06,51600,PayPal,En 2 fois,Valide
PAY00315,APP0168,PAR004,2022-08-05,51600,Carte bancaire,En 2 fois,Valide
PAY00316,APP0169,PAR011,2022-03-19,109000,Mobile Money,Integral,Rembourse
PAY00317,APP0169,PAR003,2022-03-19,44500,Carte bancaire,En 2 fois,Valide
PAY00318,APP0169,PAR003,2022-04-18,44500,Mobile Money,En 2 fois,Valide
PAY00319,APP0170,PAR001,2022-03-07,149000,Carte bancaire,Integral,Valide
PAY00320,APP0171,PAR002,2022-06-01,159200,Mobile Money,Integral,Rembourse
PAY00321,APP0172,PAR012,2022-06-17,89000,Mobile Money,Integral,Valide
PAY00322,APP0173,PAR001,2024-06-30,59600,Virement,En 2 fois,Valide
PAY00323,APP0173,PAR001,2024-07-30,59600,PayPal,En 2 fois,Valide
PAY00324,APP0174,PAR002,2022-07-08,199000,Virement,Integral,Valide
PAY00325,APP0174,PAR008,2022-07-08,79000,Virement,Integral,Valide
PAY00326,APP0175,PAR011,2022-12-13,87200,Carte bancaire,Integral,Valide
PAY00327,APP0176,PAR001,2023-03-05,149000,Mobile Money,Integral,Valide
PAY00328,APP0177,PAR003,2023-01-03,89000,Mobile Money,Integral,Valide
PAY00329,APP0177,PAR007,2023-01-03,179000,Carte bancaire,Integral,Valide
PAY00330,APP0177,PAR010,2023-01-03,69000,Virement,Integral,Valide
