livraison_id,client_id,transporteur_id,pays_origine,pays_destination,date_creation,date_livraison_prevue,priorite,type_colis,poids_kg,sla_jours_contractuel,risque_douanier,taux_breach_transporteur,taux_breach_corridor,score_risque,alerte_retard,niveau_urgence
LIV010148,CLI027,TRP05,Ghana,Mali,2023-12-29,2024-01-05,Standard,Textile,2.7,7,Élevé,0.4228541337546077,0.7423076923076923,0.8915705359503547,1,Critique
LIV010411,CLI029,TRP13,Cameroun,Côte d'Ivoire,2023-12-31,2024-01-10,Standard,Pharmaceutique,235.7,10,Moyen,0.3919915700737618,0.7008196721311475,0.88212217031584,1,Critique
LIV006780,CLI016,TRP02,Cameroun,Côte d'Ivoire,2023-12-31,2024-01-10,Standard,Documents,13.1,10,Moyen,0.3982398239823982,0.7008196721311475,0.8764910191675921,1,Critique
LIV013536,CLI010,TRP10,Ghana,Mali,2023-12-31,2024-01-10,Standard,Cosmétique,39.1,10,Élevé,0.3784683684794672,0.7423076923076923,0.8755623086642328,1,Critique
LIV002193,CLI020,TRP06,Mali,Ghana,2023-12-15,2024-01-05,Standard,Documents,229.8,21,Élevé,0.4110563765736179,0.942115768463074,0.8577621977889159,1,Critique
LIV002847,CLI012,TRP10,Burkina Faso,Côte d'Ivoire,2023-12-25,2024-01-03,Express,Textile,97.5,9,Élevé,0.3784683684794672,0.709349593495935,0.8563627914731105,1,Critique
LIV000618,CLI026,TRP03,Mali,Ghana,2023-12-21,2024-01-02,Urgent,Textile,399.7,12,Élevé,0.3722794959908362,0.942115768463074,0.8528298386615398,1,Critique
LIV009244,CLI011,TRP05,Ghana,Mali,2023-12-29,2024-01-08,Standard,Documents,8.4,10,Élevé,0.4228541337546077,0.7423076923076923,0.8510511953234012,1,Critique
LIV007119,CLI021,TRP07,Côte d'Ivoire,Sénégal,2023-12-26,2024-01-08,Express,Documents,218.5,13,Faible,0.3719862227324914,0.812133072407045,0.8476238113564513,1,Critique
LIV009081,CLI022,TRP04,Mali,Ghana,2023-12-11,2024-01-01,Standard,Textile,43.1,21,Élevé,0.3818807339449541,0.942115768463074,0.8288076955932615,1,Critique
LIV006762,CLI029,TRP05,Cameroun,Mali,2023-12-31,2024-01-09,Express,Documents,54.2,9,Élevé,0.4228541337546077,0.5979591836734693,0.8198245827932145,1,Critique
LIV003873,CLI027,TRP13,Cameroun,Mali,2023-12-26,2024-01-02,Standard,Textile,130.8,7,Élevé,0.3919915700737618,0.5979591836734693,0.8136170362548604,1,Critique
LIV013125,CLI012,TRP08,Burkina Faso,Ghana,2023-12-28,2024-01-07,Standard,Pharmaceutique,10.1,10,Élevé,0.3245033112582781,0.6782786885245902,0.810651910416172,1,Critique
LIV011592,CLI006,TRP13,Sénégal,Burkina Faso,2023-12-30,2024-01-06,Standard,Cosmétique,155.4,7,Élevé,0.3919915700737618,0.562,0.80809682064046,1,Critique
LIV001385,CLI020,TRP10,Mali,Ghana,2023-12-25,2024-01-15,Standard,Textile,8.4,21,Élevé,0.3784683684794672,0.942115768463074,0.7744117792365377,1,Critique
LIV012671,CLI030,TRP13,Cameroun,Mali,2023-12-29,2024-01-08,Standard,Électronique,114.1,10,Élevé,0.3919915700737618,0.5979591836734693,0.7244649296279393,1,Élevé
LIV002043,CLI015,TRP02,Burkina Faso,Mali,2023-12-31,2024-01-07,Standard,Alimentaire,14.8,7,Élevé,0.3982398239823982,0.3752345215759849,0.5989781528945674,1,Élevé
LIV009183,CLI007,TRP10,Cameroun,Mali,2023-12-29,2024-01-13,Standard,Cosmétique,69.6,14,Élevé,0.3784683684794672,0.5979591836734693,0.4894660847609911,1,Modéré
LIV009369,CLI020,TRP04,Cameroun,Ghana,2023-12-25,2024-01-15,Standard,Documents,90.7,21,Moyen,0.3818807339449541,0.8565573770491803,0.45734072224976047,1,Modéré
LIV011505,CLI022,TRP14,Côte d'Ivoire,Sénégal,2023-12-31,2024-01-21,Standard,Cosmétique,117.0,21,Faible,0.3697104677060133,0.812133072407045,0.4239201786980883,1,Modéré
