item_id,order_id,product_id,quantite,prix_unitaire,line_revenue,line_cost,line_margin
ITM000041,ORD000020,PRD014,2,99.0,198.0,76.0,122.0
ITM000042,ORD000020,PRD025,1,39.0,39.0,14.0,25.0
ITM000043,ORD000020,PRD014,3,99.0,297.0,114.0,183.0
ITM000044,ORD000021,PRD018,3,299.0,897.0,420.0,477.0
ITM000045,ORD000021,PRD013,1,180.0,180.0,68.0,112.0
ITM000046,ORD000021,PRD028,2,129.0,258.0,104.0,154.0
ITM000047,ORD000022,PRD010,1,749.0,749.0,430.0,319.0
ITM000048,ORD000023,PRD019,3,89.0,267.0,66.0,201.0
ITM000049,ORD000023,PRD014,2,99.0,198.0,76.0,122.0
ITM000050,ORD000023,PRD014,1,99.0,99.0,38.0,61.0
ITM000051,ORD000024,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000052,ORD000025,PRD020,3,15.0,45.0,12.0,33.0
ITM000053,ORD000025,PRD013,3,180.0,540.0,204.0,336.0
ITM000054,ORD000025,PRD017,1,149.0,149.0,60.0,89.0
ITM000055,ORD000026,PRD005,2,749.0,1498.0,840.0,658.0
ITM000056,ORD000026,PRD003,1,189.0,189.0,95.0,94.0
ITM000057,ORD000027,PRD006,2,649.0,1298.0,760.0,538.0
ITM000058,ORD000027,PRD017,3,149.0,447.0,180.0,267.0
ITM000059,ORD000027,PRD004,3,1499.0,4497.0,2700.0,1797.0
ITM000060,ORD000027,PRD027,2,29.0,58.0,16.0,42.0
ITM000061,ORD000028,PRD017,2,149.0,298.0,120.0,178.0
ITM000062,ORD000029,PRD025,3,39.0,117.0,42.0,75.0
ITM000063,ORD000029,PRD021,3,45.0,135.0,36.0,99.0
ITM000064,ORD000029,PRD023,1,199.0,199.0,85.0,114.0
ITM000065,ORD000030,PRD013,3,180.0,540.0,204.0,336.0
ITM000066,ORD000030,PRD030,3,149.0,447.0,204.0,243.0
ITM000067,ORD000031,PRD027,3,29.0,87.0,24.0,63.0
ITM000068,ORD000032,PRD016,1,59.0,59.0,18.0,41.0
ITM000069,ORD000033,PRD008,2,349.0,698.0,360.0,338.0
ITM000070,ORD000033,PRD011,2,649.0,1298.0,740.0,558.0
ITM000071,ORD000033,PRD023,2,199.0,398.0,170.0,228.0
ITM000072,ORD000034,PRD005,1,749.0,749.0,420.0,329.0
ITM000073,ORD000034,PRD017,2,149.0,298.0,120.0,178.0
ITM000074,ORD000034,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000075,ORD000035,PRD021,2,45.0,90.0,24.0,66.0
ITM000076,ORD000035,PRD016,3,59.0,177.0,54.0,123.0
ITM000077,ORD000035,PRD015,3,29.0,87.0,27.0,60.0
ITM000078,ORD000036,PRD013,2,180.0,360.0,136.0,224.0
ITM000079,ORD000036,PRD021,1,45.0,45.0,12.0,33.0
ITM000080,ORD000036,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000081,ORD000037,PRD020,1,15.0,15.0,4.0,11.0
ITM000082,ORD000037,PRD012,3,149.0,447.0,165.0,282.0
ITM000083,ORD000037,PRD005,3,749.0,2247.0,1260.0,987.0
ITM000084,ORD000038,PRD017,2,149.0,298.0,120.0,178.0
ITM000085,ORD000038,PRD006,2,649.0,1298.0,760.0,538.0
ITM000086,ORD000039,PRD005,2,749.0,1498.0,840.0,658.0
ITM000087,ORD000039,PRD020,3,15.0,45.0,12.0,33.0
ITM000088,ORD000040,PRD024,3,89.0,267.0,96.0,171.0
ITM000089,ORD000040,PRD029,1,399.0,399.0,210.0,189.0
ITM000090,ORD000040,PRD024,1,89.0,89.0,32.0,57.0
ITM000091,ORD000041,PRD018,3,299.0,897.0,420.0,477.0
ITM000092,ORD000041,PRD028,3,129.0,387.0,156.0,231.0
ITM000093,ORD000042,PRD009,3,79.0,237.0,96.0,141.0
ITM000094,ORD000042,PRD006,3,649.0,1947.0,1140.0,807.0
ITM000095,ORD000042,PRD030,3,149.0,447.0,204.0,243.0
ITM000096,ORD000043,PRD009,1,79.0,79.0,32.0,47.0
ITM000097,ORD000043,PRD024,1,89.0,89.0,32.0,57.0
ITM000098,ORD000043,PRD024,1,89.0,89.0,32.0,57.0
ITM000099,ORD000044,PRD004,3,1499.0,4497.0,2700.0,1797.0
ITM000100,ORD000044,PRD029,1,399.0,399.0,210.0,189.0
ITM000101,ORD000044,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000102,ORD000045,PRD019,1,89.0,89.0,22.0,67.0
ITM000103,ORD000046,PRD021,1,45.0,45.0,12.0,33.0
ITM000104,ORD000047,PRD014,3,99.0,297.0,114.0,183.0
ITM000105,ORD000048,PRD010,2,749.0,1498.0,860.0,638.0
ITM000106,ORD000048,PRD028,3,129.0,387.0,156.0,231.0
ITM000107,ORD000048,PRD008,2,349.0,698.0,360.0,338.0
ITM000108,ORD000049,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000109,ORD000050,PRD030,2,149.0,298.0,136.0,162.0
ITM000110,ORD000050,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000111,ORD000051,PRD017,2,149.0,298.0,120.0,178.0
ITM000112,ORD000052,PRD022,1,18.0,18.0,5.0,13.0
ITM000113,ORD000052,PRD011,1,649.0,649.0,370.0,279.0
ITM000114,ORD000052,PRD007,2,279.0,558.0,260.0,298.0
ITM000115,ORD000053,PRD020,2,15.0,30.0,8.0,22.0
ITM000116,ORD000053,PRD025,3,39.0,117.0,42.0,75.0
ITM000117,ORD000053,PRD009,1,79.0,79.0,32.0,47.0
ITM000118,ORD000054,PRD024,2,89.0,178.0,64.0,114.0
ITM000119,ORD000055,PRD013,1,180.0,180.0,68.0,112.0
ITM000120,ORD000055,PRD014,2,99.0,198.0,76.0,122.0
ITM000121,ORD000056,PRD022,3,18.0,54.0,15.0,39.0
ITM000122,ORD000057,PRD018,3,299.0,897.0,420.0,477.0
ITM000123,ORD000057,PRD007,1,279.0,279.0,130.0,149.0
ITM000124,ORD000058,PRD024,2,89.0,178.0,64.0,114.0
ITM000125,ORD000058,PRD024,3,89.0,267.0,96.0,171.0
ITM000126,ORD000059,PRD009,3,79.0,237.0,96.0,141.0
ITM000127,ORD000059,PRD019,2,89.0,178.0,44.0,134.0
ITM000128,ORD000060,PRD010,1,749.0,749.0,430.0,319.0
ITM000129,ORD000060,PRD016,1,59.0,59.0,18.0,41.0
ITM000130,ORD000061,PRD010,3,749.0,2247.0,1290.0,957.0
ITM000131,ORD000061,PRD007,3,279.0,837.0,390.0,447.0
ITM000132,ORD000062,PRD017,2,149.0,298.0,120.0,178.0
ITM000133,ORD000062,PRD023,1,199.0,199.0,85.0,114.0
ITM000134,ORD000062,PRD005,1,749.0,749.0,420.0,329.0
ITM000135,ORD000063,PRD011,2,649.0,1298.0,740.0,558.0
ITM000136,ORD000063,PRD008,2,349.0,698.0,360.0,338.0
ITM000137,ORD000064,PRD004,3,1499.0,4497.0,2700.0,1797.0
ITM000138,ORD000064,PRD014,2,99.0,198.0,76.0,122.0
ITM000139,ORD000065,PRD019,2,89.0,178.0,44.0,134.0
ITM000140,ORD000066,PRD019,2,89.0,178.0,44.0,134.0
ITM000141,ORD000066,PRD021,1,45.0,45.0,12.0,33.0
ITM000142,ORD000066,PRD024,1,89.0,89.0,32.0,57.0
ITM000143,ORD000067,PRD030,2,149.0,298.0,136.0,162.0
ITM000144,ORD000068,PRD009,2,79.0,158.0,64.0,94.0
ITM000145,ORD000068,PRD015,3,29.0,87.0,27.0,60.0
ITM000146,ORD000068,PRD005,3,749.0,2247.0,1260.0,987.0
ITM000147,ORD000069,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000148,ORD000069,PRD019,2,89.0,178.0,44.0,134.0
ITM000149,ORD000069,PRD001,3,1299.0,3897.0,2340.0,1557.0
ITM000150,ORD000070,PRD022,2,18.0,36.0,10.0,26.0
ITM000151,ORD000070,PRD018,2,299.0,598.0,280.0,318.0
ITM000152,ORD000071,PRD025,1,39.0,39.0,14.0,25.0
ITM000153,ORD000071,PRD007,2,279.0,558.0,260.0,298.0
ITM000154,ORD000072,PRD012,1,149.0,149.0,55.0,94.0
ITM000155,ORD000073,PRD014,2,99.0,198.0,76.0,122.0
ITM000156,ORD000074,PRD027,2,29.0,58.0,16.0,42.0
ITM000157,ORD000075,PRD015,2,29.0,58.0,18.0,40.0
ITM000158,ORD000075,PRD007,1,279.0,279.0,130.0,149.0
ITM000159,ORD000076,PRD025,1,39.0,39.0,14.0,25.0
ITM000160,ORD000076,PRD004,2,1499.0,2998.0,1800.0,1198.0
ITM000161,ORD000076,PRD024,3,89.0,267.0,96.0,171.0
ITM000162,ORD000077,PRD009,3,79.0,237.0,96.0,141.0
ITM000163,ORD000078,PRD004,2,1499.0,2998.0,1800.0,1198.0
ITM000164,ORD000078,PRD012,2,149.0,298.0,110.0,188.0
ITM000165,ORD000079,PRD016,1,59.0,59.0,18.0,41.0
ITM000166,ORD000080,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000167,ORD000081,PRD024,3,89.0,267.0,96.0,171.0
ITM000168,ORD000082,PRD017,1,149.0,149.0,60.0,89.0
ITM000169,ORD000083,PRD007,2,279.0,558.0,260.0,298.0
ITM000170,ORD000084,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000171,ORD000084,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000172,ORD000085,PRD020,3,15.0,45.0,12.0,33.0
ITM000173,ORD000085,PRD017,1,149.0,149.0,60.0,89.0
ITM000174,ORD000085,PRD006,1,649.0,649.0,380.0,269.0
ITM000175,ORD000086,PRD015,2,29.0,58.0,18.0,40.0
ITM000176,ORD000087,PRD016,2,59.0,118.0,36.0,82.0
ITM000177,ORD000088,PRD016,3,59.0,177.0,54.0,123.0
ITM000178,ORD000088,PRD027,3,29.0,87.0,24.0,63.0
ITM000179,ORD000088,PRD007,1,279.0,279.0,130.0,149.0
ITM000180,ORD000089,PRD004,3,1499.0,4497.0,2700.0,1797.0
ITM000181,ORD000089,PRD013,2,180.0,360.0,136.0,224.0
ITM000182,ORD000089,PRD029,3,399.0,1197.0,630.0,567.0
ITM000183,ORD000090,PRD015,3,29.0,87.0,27.0,60.0
ITM000184,ORD000090,PRD019,3,89.0,267.0,66.0,201.0
ITM000185,ORD000091,PRD012,3,149.0,447.0,165.0,282.0
ITM000186,ORD000092,PRD007,1,279.0,279.0,130.0,149.0
ITM000187,ORD000092,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000188,ORD000093,PRD016,2,59.0,118.0,36.0,82.0
ITM000189,ORD000093,PRD028,2,129.0,258.0,104.0,154.0
ITM000190,ORD000093,PRD007,3,279.0,837.0,390.0,447.0
ITM000191,ORD000094,PRD024,2,89.0,178.0,64.0,114.0
ITM000192,ORD000094,PRD021,3,45.0,135.0,36.0,99.0
ITM000193,ORD000094,PRD030,2,149.0,298.0,136.0,162.0
ITM000194,ORD000095,PRD004,3,1499.0,4497.0,2700.0,1797.0
ITM000195,ORD000095,PRD028,2,129.0,258.0,104.0,154.0
ITM000196,ORD000095,PRD025,3,39.0,117.0,42.0,75.0
ITM000197,ORD000095,PRD009,1,79.0,79.0,32.0,47.0
ITM000198,ORD000096,PRD027,1,29.0,29.0,8.0,21.0
ITM000199,ORD000097,PRD018,1,299.0,299.0,140.0,159.0
ITM000200,ORD000097,PRD028,3,129.0,387.0,156.0,231.0
ITM000201,ORD000097,PRD006,2,649.0,1298.0,760.0,538.0
ITM000202,ORD000098,PRD024,2,89.0,178.0,64.0,114.0
ITM000203,ORD000099,PRD018,2,299.0,598.0,280.0,318.0
ITM000204,ORD000099,PRD018,1,299.0,299.0,140.0,159.0
ITM000205,ORD000099,PRD023,3,199.0,597.0,255.0,342.0
ITM000206,ORD000100,PRD030,3,149.0,447.0,204.0,243.0
ITM000207,ORD000100,PRD005,3,749.0,2247.0,1260.0,987.0
ITM000208,ORD000100,PRD020,2,15.0,30.0,8.0,22.0
ITM000209,ORD000101,PRD017,2,149.0,298.0,120.0,178.0
ITM000210,ORD000101,PRD029,2,399.0,798.0,420.0,378.0
ITM000211,ORD000102,PRD018,3,299.0,897.0,420.0,477.0
ITM000212,ORD000103,PRD014,1,99.0,99.0,38.0,61.0
ITM000213,ORD000104,PRD006,3,649.0,1947.0,1140.0,807.0
ITM000214,ORD000105,PRD005,2,749.0,1498.0,840.0,658.0
ITM000215,ORD000106,PRD022,2,18.0,36.0,10.0,26.0
ITM000216,ORD000107,PRD022,2,18.0,36.0,10.0,26.0
ITM000217,ORD000108,PRD025,3,39.0,117.0,42.0,75.0
ITM000218,ORD000108,PRD011,2,649.0,1298.0,740.0,558.0
ITM000219,ORD000109,PRD006,3,649.0,1947.0,1140.0,807.0
ITM000220,ORD000109,PRD023,2,199.0,398.0,170.0,228.0
ITM000221,ORD000109,PRD025,2,39.0,78.0,28.0,50.0
ITM000222,ORD000109,PRD008,3,349.0,1047.0,540.0,507.0
ITM000223,ORD000110,PRD028,3,129.0,387.0,156.0,231.0
ITM000224,ORD000110,PRD016,3,59.0,177.0,54.0,123.0
ITM000225,ORD000111,PRD009,3,79.0,237.0,96.0,141.0
ITM000226,ORD000111,PRD017,2,149.0,298.0,120.0,178.0
ITM000227,ORD000112,PRD026,2,12.0,24.0,5.0,19.0
ITM000228,ORD000113,PRD027,3,29.0,87.0,24.0,63.0
ITM000229,ORD000113,PRD016,3,59.0,177.0,54.0,123.0
ITM000230,ORD000114,PRD020,1,15.0,15.0,4.0,11.0
ITM000231,ORD000114,PRD019,3,89.0,267.0,66.0,201.0
ITM000232,ORD000114,PRD004,3,1499.0,4497.0,2700.0,1797.0
ITM000233,ORD000115,PRD013,3,180.0,540.0,204.0,336.0
ITM000234,ORD000115,PRD024,1,89.0,89.0,32.0,57.0
ITM000235,ORD000115,PRD012,3,149.0,447.0,165.0,282.0
ITM000236,ORD000116,PRD030,1,149.0,149.0,68.0,81.0
ITM000237,ORD000116,PRD007,3,279.0,837.0,390.0,447.0
ITM000238,ORD000117,PRD015,2,29.0,58.0,18.0,40.0
ITM000239,ORD000117,PRD012,3,149.0,447.0,165.0,282.0
ITM000240,ORD000117,PRD012,2,149.0,298.0,110.0,188.0
ITM000241,ORD000117,PRD008,2,349.0,698.0,360.0,338.0
ITM000242,ORD000118,PRD026,1,12.0,12.0,2.5,9.5
ITM000243,ORD000118,PRD007,3,279.0,837.0,390.0,447.0
ITM000244,ORD000118,PRD025,3,39.0,117.0,42.0,75.0
ITM000245,ORD000119,PRD003,2,189.0,378.0,190.0,188.0
ITM000246,ORD000120,PRD010,1,749.0,749.0,430.0,319.0
ITM000247,ORD000121,PRD013,1,180.0,180.0,68.0,112.0
ITM000248,ORD000121,PRD009,3,79.0,237.0,96.0,141.0
ITM000249,ORD000121,PRD016,2,59.0,118.0,36.0,82.0
ITM000250,ORD000122,PRD004,1,1499.0,1499.0,900.0,599.0
ITM000251,ORD000122,PRD019,2,89.0,178.0,44.0,134.0
ITM000252,ORD000123,PRD020,3,15.0,45.0,12.0,33.0
ITM000253,ORD000123,PRD003,1,189.0,189.0,95.0,94.0
ITM000254,ORD000123,PRD003,1,189.0,189.0,95.0,94.0
ITM000255,ORD000124,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000256,ORD000124,PRD012,2,149.0,298.0,110.0,188.0
ITM000257,ORD000125,PRD008,2,349.0,698.0,360.0,338.0
ITM000258,ORD000125,PRD027,1,29.0,29.0,8.0,21.0
ITM000259,ORD000126,PRD023,1,199.0,199.0,85.0,114.0
ITM000260,ORD000126,PRD008,1,349.0,349.0,180.0,169.0
ITM000261,ORD000126,PRD015,3,29.0,87.0,27.0,60.0
ITM000262,ORD000126,PRD026,1,12.0,12.0,2.5,9.5
ITM000263,ORD000127,PRD015,2,29.0,58.0,18.0,40.0
ITM000264,ORD000127,PRD018,3,299.0,897.0,420.0,477.0
ITM000265,ORD000127,PRD019,1,89.0,89.0,22.0,67.0
ITM000266,ORD000128,PRD009,3,79.0,237.0,96.0,141.0
ITM000267,ORD000128,PRD026,2,12.0,24.0,5.0,19.0
ITM000268,ORD000128,PRD026,2,12.0,24.0,5.0,19.0
ITM000269,ORD000129,PRD023,1,199.0,199.0,85.0,114.0
ITM000270,ORD000129,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000271,ORD000130,PRD011,1,649.0,649.0,370.0,279.0
ITM000272,ORD000130,PRD026,3,12.0,36.0,7.5,28.5
ITM000273,ORD000130,PRD008,3,349.0,1047.0,540.0,507.0
ITM000274,ORD000131,PRD019,1,89.0,89.0,22.0,67.0
ITM000275,ORD000132,PRD015,3,29.0,87.0,27.0,60.0
ITM000276,ORD000133,PRD012,1,149.0,149.0,55.0,94.0
ITM000277,ORD000133,PRD024,2,89.0,178.0,64.0,114.0
ITM000278,ORD000134,PRD023,1,199.0,199.0,85.0,114.0
ITM000279,ORD000134,PRD013,1,180.0,180.0,68.0,112.0
ITM000280,ORD000134,PRD022,2,18.0,36.0,10.0,26.0
ITM000281,ORD000135,PRD025,3,39.0,117.0,42.0,75.0
ITM000282,ORD000135,PRD022,3,18.0,54.0,15.0,39.0
ITM000283,ORD000135,PRD011,1,649.0,649.0,370.0,279.0
ITM000284,ORD000136,PRD014,3,99.0,297.0,114.0,183.0
ITM000285,ORD000137,PRD021,2,45.0,90.0,24.0,66.0
ITM000286,ORD000138,PRD014,2,99.0,198.0,76.0,122.0
ITM000287,ORD000138,PRD023,2,199.0,398.0,170.0,228.0
ITM000288,ORD000138,PRD005,2,749.0,1498.0,840.0,658.0
ITM000289,ORD000139,PRD006,2,649.0,1298.0,760.0,538.0
ITM000290,ORD000139,PRD013,1,180.0,180.0,68.0,112.0
ITM000291,ORD000139,PRD008,2,349.0,698.0,360.0,338.0
ITM000292,ORD000140,PRD029,3,399.0,1197.0,630.0,567.0
ITM000293,ORD000140,PRD002,3,999.0,2997.0,1800.0,1197.0
ITM000294,ORD000140,PRD002,3,999.0,2997.0,1800.0,1197.0
ITM000295,ORD000141,PRD013,2,180.0,360.0,136.0,224.0
ITM000296,ORD000142,PRD021,3,45.0,135.0,36.0,99.0
ITM000297,ORD000143,PRD012,3,149.0,447.0,165.0,282.0
ITM000298,ORD000143,PRD006,2,649.0,1298.0,760.0,538.0
ITM000299,ORD000143,PRD023,1,199.0,199.0,85.0,114.0
ITM000300,ORD000144,PRD030,2,149.0,298.0,136.0,162.0
ITM000301,ORD000145,PRD007,3,279.0,837.0,390.0,447.0
ITM000302,ORD000146,PRD022,3,18.0,54.0,15.0,39.0
ITM000303,ORD000146,PRD003,2,189.0,378.0,190.0,188.0
ITM000304,ORD000146,PRD008,2,349.0,698.0,360.0,338.0
ITM000305,ORD000146,PRD005,1,749.0,749.0,420.0,329.0
ITM000306,ORD000147,PRD017,1,149.0,149.0,60.0,89.0
ITM000307,ORD000147,PRD022,3,18.0,54.0,15.0,39.0
ITM000308,ORD000147,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000309,ORD000147,PRD019,3,89.0,267.0,66.0,201.0
ITM000310,ORD000148,PRD005,2,749.0,1498.0,840.0,658.0
ITM000311,ORD000149,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000312,ORD000149,PRD004,2,1499.0,2998.0,1800.0,1198.0
ITM000313,ORD000150,PRD027,1,29.0,29.0,8.0,21.0
ITM000314,ORD000150,PRD007,1,279.0,279.0,130.0,149.0
ITM000315,ORD000151,PRD002,3,999.0,2997.0,1800.0,1197.0
ITM000316,ORD000152,PRD027,3,29.0,87.0,24.0,63.0
ITM000317,ORD000152,PRD028,2,129.0,258.0,104.0,154.0
ITM000318,ORD000152,PRD024,3,89.0,267.0,96.0,171.0
ITM000319,ORD000153,PRD015,1,29.0,29.0,9.0,20.0
ITM000320,ORD000154,PRD030,2,149.0,298.0,136.0,162.0
ITM000321,ORD000155,PRD013,1,180.0,180.0,68.0,112.0
ITM000322,ORD000156,PRD030,2,149.0,298.0,136.0,162.0
ITM000323,ORD000156,PRD022,3,18.0,54.0,15.0,39.0
ITM000324,ORD000157,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000325,ORD000157,PRD027,2,29.0,58.0,16.0,42.0
ITM000326,ORD000157,PRD013,2,180.0,360.0,136.0,224.0
ITM000327,ORD000158,PRD025,2,39.0,78.0,28.0,50.0
ITM000328,ORD000158,PRD005,3,749.0,2247.0,1260.0,987.0
ITM000329,ORD000158,PRD023,1,199.0,199.0,85.0,114.0
ITM000330,ORD000158,PRD003,3,189.0,567.0,285.0,282.0
ITM000331,ORD000159,PRD024,2,89.0,178.0,64.0,114.0
ITM000332,ORD000160,PRD019,2,89.0,178.0,44.0,134.0
ITM000333,ORD000160,PRD004,1,1499.0,1499.0,900.0,599.0
ITM000334,ORD000161,PRD005,3,749.0,2247.0,1260.0,987.0
ITM000335,ORD000161,PRD002,2,999.0,1998.0,1200.0,798.0
ITM000336,ORD000161,PRD016,1,59.0,59.0,18.0,41.0
ITM000337,ORD000162,PRD020,2,15.0,30.0,8.0,22.0
ITM000338,ORD000163,PRD007,3,279.0,837.0,390.0,447.0
ITM000339,ORD000163,PRD011,1,649.0,649.0,370.0,279.0
ITM000340,ORD000163,PRD019,1,89.0,89.0,22.0,67.0
ITM000341,ORD000164,PRD029,3,399.0,1197.0,630.0,567.0
ITM000342,ORD000164,PRD002,2,999.0,1998.0,1200.0,798.0
ITM000343,ORD000165,PRD022,3,18.0,54.0,15.0,39.0
ITM000344,ORD000166,PRD018,2,299.0,598.0,280.0,318.0
ITM000345,ORD000166,PRD002,1,999.0,999.0,600.0,399.0
ITM000346,ORD000166,PRD022,1,18.0,18.0,5.0,13.0
ITM000347,ORD000167,PRD002,1,999.0,999.0,600.0,399.0
ITM000348,ORD000167,PRD029,1,399.0,399.0,210.0,189.0
ITM000349,ORD000167,PRD022,1,18.0,18.0,5.0,13.0
ITM000350,ORD000168,PRD008,3,349.0,1047.0,540.0,507.0
ITM000351,ORD000168,PRD002,3,999.0,2997.0,1800.0,1197.0
ITM000352,ORD000168,PRD018,1,299.0,299.0,140.0,159.0
ITM000353,ORD000169,PRD022,3,18.0,54.0,15.0,39.0
ITM000354,ORD000169,PRD013,2,180.0,360.0,136.0,224.0
ITM000355,ORD000169,PRD030,3,149.0,447.0,204.0,243.0
ITM000356,ORD000170,PRD030,1,149.0,149.0,68.0,81.0
ITM000357,ORD000170,PRD015,3,29.0,87.0,27.0,60.0
ITM000358,ORD000170,PRD029,2,399.0,798.0,420.0,378.0
ITM000359,ORD000171,PRD006,2,649.0,1298.0,760.0,538.0
ITM000360,ORD000171,PRD024,1,89.0,89.0,32.0,57.0
ITM000361,ORD000171,PRD014,2,99.0,198.0,76.0,122.0
ITM000362,ORD000171,PRD005,1,749.0,749.0,420.0,329.0
ITM000363,ORD000172,PRD021,2,45.0,90.0,24.0,66.0
ITM000364,ORD000172,PRD007,2,279.0,558.0,260.0,298.0
ITM000365,ORD000173,PRD011,2,649.0,1298.0,740.0,558.0
ITM000366,ORD000173,PRD022,2,18.0,36.0,10.0,26.0
ITM000367,ORD000174,PRD024,3,89.0,267.0,96.0,171.0
ITM000368,ORD000175,PRD010,1,749.0,749.0,430.0,319.0
ITM000369,ORD000175,PRD013,1,180.0,180.0,68.0,112.0
ITM000370,ORD000175,PRD016,1,59.0,59.0,18.0,41.0
ITM000371,ORD000175,PRD018,3,299.0,897.0,420.0,477.0
ITM000372,ORD000176,PRD007,1,279.0,279.0,130.0,149.0
ITM000373,ORD000176,PRD011,3,649.0,1947.0,1110.0,837.0
ITM000374,ORD000176,PRD029,1,399.0,399.0,210.0,189.0
ITM000375,ORD000177,PRD007,2,279.0,558.0,260.0,298.0
ITM000376,ORD000177,PRD019,3,89.0,267.0,66.0,201.0
ITM000377,ORD000178,PRD026,1,12.0,12.0,2.5,9.5
ITM000378,ORD000179,PRD020,3,15.0,45.0,12.0,33.0
ITM000379,ORD000180,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000380,ORD000181,PRD010,1,749.0,749.0,430.0,319.0
ITM000381,ORD000182,PRD023,1,199.0,199.0,85.0,114.0
ITM000382,ORD000182,PRD010,2,749.0,1498.0,860.0,638.0
ITM000383,ORD000183,PRD018,3,299.0,897.0,420.0,477.0
ITM000384,ORD000184,PRD022,1,18.0,18.0,5.0,13.0
ITM000385,ORD000184,PRD030,2,149.0,298.0,136.0,162.0
ITM000386,ORD000185,PRD025,1,39.0,39.0,14.0,25.0
ITM000387,ORD000185,PRD019,3,89.0,267.0,66.0,201.0
ITM000388,ORD000185,PRD027,2,29.0,58.0,16.0,42.0
ITM000389,ORD000185,PRD030,2,149.0,298.0,136.0,162.0
ITM000390,ORD000186,PRD011,1,649.0,649.0,370.0,279.0
ITM000391,ORD000186,PRD029,2,399.0,798.0,420.0,378.0
ITM000392,ORD000187,PRD026,3,12.0,36.0,7.5,28.5
ITM000393,ORD000188,PRD026,2,12.0,24.0,5.0,19.0
