customer_id,frequency,monetary,segment,pays,recency,R_score,F_score,M_score,rfm_score,rfm_total,segment_rfm
CUS00056,8,7135.0,Nouveau,Cote d'Ivoire,44,4,5,3,453,12,Fidèles
CUS00057,5,6683.0,Standard,France,13,5,2,3,523,10,Nouveaux prometteurs
CUS00058,10,12663.0,Standard,Ghana,139,3,5,5,355,13,Fidèles
CUS00059,4,2509.0,Nouveau,Ghana,167,3,2,1,321,6,Dormants
CUS00060,6,7816.0,Occasionnel,Maroc,199,2,3,4,234,9,À réactiver
CUS00061,6,7048.0,Standard,Belgique,242,2,3,3,233,8,À réactiver
CUS00062,6,10591.0,Occasionnel,Cote d'Ivoire,79,4,3,5,435,12,Fidèles
CUS00063,2,534.0,Occasionnel,Cote d'Ivoire,192,2,1,1,211,4,Dormants
CUS00064,3,1109.0,Nouveau,France,21,5,1,1,511,7,Nouveaux prometteurs
CUS00065,6,10228.0,Occasionnel,France,50,4,3,4,434,11,Fidèles
CUS00066,8,7987.0,Nouveau,Ghana,21,5,5,4,554,14,Champions
CUS00067,2,8749.0,Occasionnel,Cameroun,635,1,1,4,114,6,Gros dépensiers occasionnels
CUS00068,7,10479.0,Standard,Nigeria,21,5,4,4,544,13,Champions
CUS00069,4,3985.0,Standard,Cameroun,372,1,2,2,122,5,Dormants
CUS00070,3,3766.0,Nouveau,Belgique,281,1,1,2,112,4,Dormants
CUS00071,3,5489.0,Occasionnel,Cote d'Ivoire,338,1,1,2,112,4,Dormants
CUS00072,3,9681.0,Occasionnel,Senegal,230,2,1,4,214,7,Gros dépensiers occasionnels
CUS00073,6,8193.0,Nouveau,Maroc,280,1,3,4,134,8,À réactiver
CUS00074,3,2027.0,Standard,Cameroun,377,1,1,1,111,3,Dormants
CUS00075,6,5053.0,Nouveau,Maroc,228,2,3,2,232,7,Dormants
CUS00076,2,495.0,Nouveau,Cote d'Ivoire,199,2,1,1,211,4,Dormants
CUS00077,1,1846.0,Premium,France,490,1,1,1,111,3,Dormants
CUS00078,5,4160.0,Standard,France,435,1,2,2,122,5,Dormants
CUS00079,1,24.0,Occasionnel,Nigeria,702,1,1,1,111,3,Dormants
CUS00080,2,999.0,Nouveau,Belgique,524,1,1,1,111,3,Dormants
CUS00081,6,4618.0,Standard,Senegal,79,4,3,2,432,9,Fidèles
CUS00082,5,4824.0,Standard,Cote d'Ivoire,143,3,2,2,322,7,Dormants
CUS00083,4,991.0,Occasionnel,Maroc,513,1,2,1,121,4,Dormants
CUS00084,5,13449.0,Premium,Ghana,51,4,2,5,425,11,Gros dépensiers occasionnels
CUS00085,4,3210.0,Occasionnel,Cote d'Ivoire,91,4,2,2,422,8,Nouveaux prometteurs
CUS00086,10,11957.0,Premium,Ghana,13,5,5,5,555,15,Champions
CUS00087,3,4171.0,Standard,Cote d'Ivoire,177,2,1,2,212,5,Dormants
CUS00088,9,13989.0,Occasionnel,Senegal,5,5,5,5,555,15,Champions
CUS00089,4,3117.0,Nouveau,France,53,4,2,1,421,7,Nouveaux prometteurs
CUS00090,7,5843.0,Standard,Ghana,233,2,4,3,243,9,À réactiver
CUS00091,5,3045.0,Standard,Ghana,21,5,2,1,521,8,Nouveaux prometteurs
CUS00092,6,11815.0,Nouveau,Ghana,23,5,3,5,535,13,Fidèles
CUS00093,5,7502.0,Standard,Cameroun,356,1,2,3,123,6,Dormants
CUS00094,11,21761.0,Occasionnel,Cameroun,7,5,5,5,555,15,Champions
CUS00095,4,1278.0,Nouveau,Nigeria,154,3,2,1,321,6,Dormants
CUS00096,6,7328.0,Occasionnel,Nigeria,23,5,3,3,533,11,Fidèles
CUS00097,7,15268.0,Premium,Nigeria,561,1,4,5,145,10,À réactiver
CUS00098,5,6230.0,Premium,France,69,4,2,3,423,9,Nouveaux prometteurs
CUS00099,7,11270.0,Occasionnel,Ghana,18,5,4,5,545,14,Champions
CUS00100,8,5500.0,Standard,Ghana,125,3,5,3,353,11,Fidèles
CUS00101,6,11090.0,Premium,Cameroun,25,5,3,5,535,13,Fidèles
CUS00102,2,2408.0,Standard,Cote d'Ivoire,168,3,1,1,311,5,Dormants
CUS00103,2,4250.0,Standard,Nigeria,99,3,1,2,312,6,Dormants
CUS00104,3,4272.0,Standard,Maroc,199,2,1,2,212,5,Dormants
CUS00105,11,14017.0,Occasionnel,Nigeria,14,5,5,5,555,15,Champions
CUS00106,6,6199.0,Standard,France,166,3,3,3,333,9,Fidèles
CUS00107,7,13891.0,Standard,France,117,3,4,5,345,12,Fidèles
CUS00108,7,11859.0,Standard,Maroc,101,3,4,5,345,12,Fidèles
CUS00109,4,6912.0,Standard,Nigeria,250,2,2,3,223,7,Dormants
CUS00110,3,5106.0,Occasionnel,Belgique,723,1,1,2,112,4,Dormants
CUS00111,6,4710.0,Occasionnel,Nigeria,15,5,3,2,532,10,Fidèles
CUS00112,8,13399.0,Occasionnel,Maroc,85,4,5,5,455,14,Champions
CUS00113,6,5697.0,Standard,Cote d'Ivoire,37,4,3,3,433,10,Fidèles
CUS00114,5,8667.0,Standard,Senegal,29,5,2,4,524,11,Gros dépensiers occasionnels
CUS00115,5,2578.0,Standard,Cameroun,30,5,2,1,521,8,Nouveaux prometteurs
CUS00116,4,5760.0,Nouveau,France,485,1,2,3,123,6,Dormants
CUS00117,3,1467.0,Standard,Ghana,157,3,1,1,311,5,Dormants
CUS00118,4,7986.0,Occasionnel,Belgique,324,1,2,4,124,7,Gros dépensiers occasionnels
CUS00119,3,2812.0,Occasionnel,Belgique,593,1,1,1,111,3,Dormants
CUS00120,3,691.0,Occasionnel,Nigeria,315,1,1,1,111,3,Dormants
CUS00121,10,12212.0,Nouveau,Ghana,218,2,5,5,255,12,À réactiver
CUS00122,7,7971.0,Occasionnel,Belgique,107,3,4,4,344,11,Fidèles
CUS00123,4,6228.0,Standard,Belgique,722,1,2,3,123,6,Dormants
CUS00124,3,1842.0,Standard,Maroc,208,2,1,1,211,4,Dormants
CUS00125,9,3686.0,Standard,Senegal,53,4,5,2,452,11,Fidèles
CUS00126,8,9792.0,Premium,France,83,4,5,4,454,13,Champions
CUS00127,6,7273.0,Standard,Nigeria,157,3,3,3,333,9,Fidèles
CUS00128,1,447.0,Standard,Cameroun,78,4,1,1,411,6,Nouveaux prometteurs
CUS00129,4,2475.0,Standard,Cote d'Ivoire,222,2,2,1,221,5,Dormants
CUS00130,6,4902.0,Nouveau,Maroc,63,4,3,2,432,9,Fidèles
CUS00131,6,7877.0,Standard,Cameroun,115,3,3,4,334,10,Fidèles
CUS00132,6,7521.0,Standard,Belgique,204,2,3,3,233,8,À réactiver
CUS00133,4,4830.0,Nouveau,France,86,4,2,2,422,8,Nouveaux prometteurs
CUS00134,4,6614.0,Occasionnel,Cote d'Ivoire,400,1,2,3,123,6,Dormants
CUS00135,8,7158.0,Standard,Senegal,46,4,5,3,453,12,Fidèles
CUS00136,9,13486.0,Standard,France,9,5,5,5,555,15,Champions
CUS00137,12,8037.0,Standard,Cameroun,16,5,5,4,554,14,Champions
CUS00138,9,12199.0,Standard,Maroc,69,4,5,5,455,14,Champions
CUS00139,5,6318.0,Occasionnel,Belgique,71,4,2,3,423,9,Nouveaux prometteurs
CUS00140,2,1025.0,Occasionnel,Nigeria,115,3,1,1,311,5,Dormants
CUS00141,7,9623.0,Standard,Cote d'Ivoire,272,1,4,4,144,9,À réactiver
CUS00142,5,6572.0,Premium,France,220,2,2,3,223,7,Dormants
CUS00143,3,8069.0,Occasionnel,Cameroun,184,2,1,4,214,7,Gros dépensiers occasionnels
CUS00144,6,6993.0,Occasionnel,France,139,3,3,3,333,9,Fidèles
CUS00145,3,1245.0,Occasionnel,Maroc,198,2,1,1,211,4,Dormants
CUS00146,4,7738.0,Nouveau,Ghana,257,2,2,4,224,8,Gros dépensiers occasionnels
CUS00147,5,3689.0,Occasionnel,Senegal,44,4,2,2,422,8,Nouveaux prometteurs
CUS00148,4,2866.0,Occasionnel,Senegal,309,1,2,1,121,4,Dormants
CUS00149,4,5306.0,Occasionnel,Senegal,269,1,2,2,122,5,Dormants
CUS00150,6,8754.0,Premium,Ghana,7,5,3,4,534,12,Fidèles
CUS00151,4,8887.0,Occasionnel,Cote d'Ivoire,518,1,2,4,124,7,Gros dépensiers occasionnels
CUS00152,10,23563.0,Occasionnel,Ghana,57,4,5,5,455,14,Champions
CUS00153,3,4057.0,Standard,France,465,1,1,2,112,4,Dormants
CUS00154,7,4211.0,Occasionnel,Maroc,100,3,4,2,342,9,Fidèles
CUS00155,8,3040.0,Standard,Belgique,4,5,5,1,551,11,Fidèles
CUS00156,5,9035.0,Nouveau,Maroc,36,5,2,4,524,11,Gros dépensiers occasionnels
CUS00157,4,1707.0,Standard,Maroc,24,5,2,1,521,8,Nouveaux prometteurs
CUS00158,4,10410.0,Premium,Ghana,101,3,2,4,324,9,Gros dépensiers occasionnels
CUS00159,4,3572.0,Standard,France,84,4,2,2,422,8,Nouveaux prometteurs
CUS00160,6,6826.0,Nouveau,Nigeria,36,5,3,3,533,11,Fidèles
CUS00161,5,6913.0,Premium,Cote d'Ivoire,184,2,2,3,223,7,Dormants
CUS00162,6,8863.0,Occasionnel,Belgique,28,5,3,4,534,12,Fidèles
CUS00163,4,2485.0,Premium,Belgique,9,5,2,1,521,8,Nouveaux prometteurs
CUS00164,2,1611.0,Standard,Ghana,153,3,1,1,311,5,Dormants
CUS00165,2,213.0,Occasionnel,Nigeria,320,1,1,1,111,3,Dormants
CUS00166,6,8844.0,Standard,Ghana,183,2,3,4,234,9,À réactiver
CUS00167,6,2395.0,Standard,Maroc,140,3,3,1,331,7,Fidèles
CUS00168,9,14648.0,Premium,Cameroun,9,5,5,5,555,15,Champions
CUS00169,4,1461.0,Standard,France,131,3,2,1,321,6,Dormants
CUS00170,7,11387.0,Occasionnel,Maroc,27,5,4,5,545,14,Champions
CUS00171,6,5206.0,Occasionnel,Maroc,5,5,3,2,532,10,Fidèles
CUS00172,3,5168.0,Standard,Cameroun,66,4,1,2,412,7,Nouveaux prometteurs
CUS00173,4,6003.0,Premium,France,220,2,2,3,223,7,Dormants
CUS00174,2,516.0,Nouveau,Maroc,391,1,1,1,111,3,Dormants
CUS00175,7,5401.0,Occasionnel,Senegal,57,4,4,2,442,10,Fidèles
CUS00176,6,9524.0,Standard,Belgique,428,1,3,4,134,8,À réactiver
CUS00177,3,12243.0,Premium,Maroc,207,2,1,5,215,8,Gros dépensiers occasionnels
CUS00178,8,5608.0,Premium,Ghana,59,4,5,3,453,12,Fidèles
CUS00179,3,5288.0,Occasionnel,France,517,1,1,2,112,4,Dormants
CUS00180,8,13787.0,Premium,Senegal,66,4,5,5,455,14,Champions
CUS00181,4,2016.0,Standard,Cameroun,175,2,2,1,221,5,Dormants
CUS00182,3,4598.0,Nouveau,Maroc,47,4,1,2,412,7,Nouveaux prometteurs
CUS00183,10,7482.0,Nouveau,Cote d'Ivoire,40,4,5,3,453,12,Fidèles
CUS00184,6,5265.0,Occasionnel,Cameroun,196,2,3,2,232,7,Dormants
CUS00185,7,4824.0,Occasionnel,Cameroun,23,5,4,2,542,11,Fidèles
CUS00186,4,8387.0,Standard,Cote d'Ivoire,575,1,2,4,124,7,Gros dépensiers occasionnels
CUS00187,5,12948.0,Premium,Belgique,87,4,2,5,425,11,Gros dépensiers occasionnels
CUS00188,5,2916.0,Nouveau,Maroc,7,5,2,1,521,8,Nouveaux prometteurs
CUS00189,3,4019.0,Occasionnel,Cameroun,49,4,1,2,412,7,Nouveaux prometteurs
CUS00190,4,6236.0,Premium,Cameroun,12,5,2,3,523,10,Nouveaux prometteurs
CUS00191,6,4218.0,Occasionnel,France,24,5,3,2,532,10,Fidèles
CUS00192,1,30.0,Occasionnel,Cote d'Ivoire,303,1,1,1,111,3,Dormants
CUS00193,9,20560.0,Premium,Maroc,9,5,5,5,555,15,Champions
CUS00194,8,8873.0,Occasionnel,Ghana,111,3,5,4,354,12,Fidèles
CUS00195,6,4493.0,Occasionnel,Belgique,171,2,3,2,232,7,Dormants
CUS00196,3,1575.0,Standard,Nigeria,510,1,1,1,111,3,Dormants
CUS00197,6,8335.0,Nouveau,Cameroun,197,2,3,4,234,9,À réactiver
CUS00198,2,6039.0,Standard,Cote d'Ivoire,229,2,1,3,213,6,Dormants
CUS00199,3,432.0,Nouveau,Maroc,4,5,1,1,511,7,Nouveaux prometteurs
CUS00200,5,8912.0,Standard,Belgique,13,5,2,4,524,11,Gros dépensiers occasionnels
CUS00201,6,12402.0,Occasionnel,Nigeria,85,4,3,5,435,12,Fidèles
CUS00202,4,2107.0,Occasionnel,Nigeria,112,3,2,1,321,6,Dormants
CUS00203,6,3499.0,Standard,Ghana,220,2,3,2,232,7,Dormants
CUS00204,1,3245.0,Premium,Maroc,705,1,1,2,112,4,Dormants
CUS00205,9,11541.0,Standard,Cote d'Ivoire,208,2,5,5,255,12,À réactiver
CUS00206,7,5090.0,Occasionnel,Nigeria,165,3,4,2,342,9,Fidèles
CUS00207,6,7636.0,Standard,Cote d'Ivoire,277,1,3,3,133,7,Dormants
CUS00208,9,11750.0,Nouveau,Maroc,35,5,5,5,555,15,Champions
CUS00209,5,7030.0,Nouveau,Senegal,417,1,2,3,123,6,Dormants
CUS00210,9,12440.0,Standard,Cameroun,5,5,5,5,555,15,Champions
CUS00211,8,12178.0,Standard,Ghana,202,2,5,5,255,12,À réactiver
CUS00212,7,8795.0,Occasionnel,Belgique,116,3,4,4,344,11,Fidèles
CUS00213,6,7639.0,Occasionnel,Belgique,163,3,3,4,334,10,Fidèles
CUS00214,6,7169.0,Nouveau,Ghana,67,4,3,3,433,10,Fidèles
CUS00215,3,4581.0,Standard,Belgique,511,1,1,2,112,4,Dormants
CUS00216,4,6039.0,Standard,France,279,1,2,3,123,6,Dormants
CUS00217,2,1974.0,Standard,Nigeria,142,3,1,1,311,5,Dormants
CUS00218,7,3531.0,Standard,Maroc,102,3,4,2,342,9,Fidèles
CUS00219,4,8406.0,Standard,Belgique,567,1,2,4,124,7,Gros dépensiers occasionnels
CUS00220,11,12152.0,Occasionnel,Nigeria,31,5,5,5,555,15,Champions
CUS00221,10,15871.0,Nouveau,Ghana,3,5,5,5,555,15,Champions
CUS00222,2,1207.0,Standard,Cameroun,70,4,1,1,411,6,Nouveaux prometteurs
CUS00223,7,6398.0,Occasionnel,Cote d'Ivoire,17,5,4,3,543,12,Fidèles
CUS00224,7,9770.0,Standard,Ghana,24,5,4,4,544,13,Champions
CUS00225,4,1265.0,Nouveau,France,91,4,2,1,421,7,Nouveaux prometteurs
CUS00226,4,8245.0,Nouveau,Senegal,89,4,2,4,424,10,Gros dépensiers occasionnels
CUS00227,9,9370.0,Nouveau,France,176,2,5,4,254,11,À réactiver
CUS00228,8,6824.0,Occasionnel,Senegal,401,1,5,3,153,9,À réactiver
CUS00229,3,8278.0,Occasionnel,Nigeria,2,5,1,4,514,10,Gros dépensiers occasionnels
CUS00230,4,6015.0,Nouveau,Nigeria,77,4,2,3,423,9,Nouveaux prometteurs
CUS00231,7,10617.0,Occasionnel,Nigeria,118,3,4,5,345,12,Fidèles
CUS00232,5,9349.0,Standard,Cote d'Ivoire,28,5,2,4,524,11,Gros dépensiers occasionnels
CUS00233,8,7016.0,Standard,Cameroun,67,4,5,3,453,12,Fidèles
CUS00234,6,9145.0,Standard,Senegal,154,3,3,4,334,10,Fidèles
CUS00235,4,1717.0,Standard,Cote d'Ivoire,100,3,2,1,321,6,Dormants
CUS00236,4,7120.0,Standard,Maroc,333,1,2,3,123,6,Dormants
CUS00237,2,1810.0,Occasionnel,Cameroun,189,2,1,1,211,4,Dormants
CUS00238,4,8565.0,Premium,France,203,2,2,4,224,8,Gros dépensiers occasionnels
CUS00239,8,6296.0,Nouveau,Cameroun,12,5,5,3,553,13,Fidèles
CUS00240,5,10463.0,Occasionnel,Cameroun,170,2,2,4,224,8,Gros dépensiers occasionnels
CUS00241,6,7434.0,Premium,Maroc,85,4,3,3,433,10,Fidèles
CUS00242,7,8870.0,Occasionnel,Maroc,21,5,4,4,544,13,Champions
CUS00243,8,4615.0,Nouveau,Belgique,17,5,5,2,552,12,Fidèles
CUS00244,6,9710.0,Standard,Ghana,282,1,3,4,134,8,À réactiver
CUS00245,3,1534.0,Nouveau,Cameroun,204,2,1,1,211,4,Dormants
CUS00246,5,6629.0,Occasionnel,Cameroun,13,5,2,3,523,10,Nouveaux prometteurs
CUS00247,4,5003.0,Standard,Maroc,108,3,2,2,322,7,Dormants
CUS00248,7,3333.0,Occasionnel,Maroc,41,4,4,2,442,10,Fidèles
CUS00249,1,1066.0,Occasionnel,Belgique,67,4,1,1,411,6,Nouveaux prometteurs
CUS00250,2,888.0,Occasionnel,Nigeria,431,1,1,1,111,3,Dormants
CUS00251,9,6386.0,Occasionnel,Maroc,7,5,5,3,553,13,Fidèles
CUS00252,4,4282.0,Occasionnel,Senegal,415,1,2,2,122,5,Dormants
CUS00253,7,8246.0,Occasionnel,Belgique,69,4,4,4,444,12,Champions
CUS00254,13,19176.0,Standard,Senegal,58,4,5,5,455,14,Champions
CUS00255,6,9011.0,Premium,France,16,5,3,4,534,12,Fidèles
CUS00256,2,1383.0,Occasionnel,Nigeria,261,2,1,1,211,4,Dormants
CUS00257,3,1332.0,Nouveau,France,219,2,1,1,211,4,Dormants
CUS00258,5,6875.0,Nouveau,Maroc,281,1,2,3,123,6,Dormants
CUS00259,8,11521.0,Premium,Belgique,135,3,5,5,355,13,Fidèles
CUS00260,3,6397.0,Premium,Ghana,132,3,1,3,313,7,Dormants
CUS00261,4,5231.0,Occasionnel,Cote d'Ivoire,101,3,2,2,322,7,Dormants
CUS00262,5,4414.0,Occasionnel,Nigeria,367,1,2,2,122,5,Dormants
CUS00263,3,7716.0,Premium,Ghana,168,3,1,4,314,8,Gros dépensiers occasionnels
CUS00264,4,2690.0,Occasionnel,Belgique,232,2,2,1,221,5,Dormants
CUS00265,6,4466.0,Standard,Nigeria,11,5,3,2,532,10,Fidèles
CUS00266,4,3204.0,Occasionnel,Belgique,354,1,2,2,122,5,Dormants
CUS00267,5,3495.0,Nouveau,France,366,1,2,2,122,5,Dormants
CUS00268,4,7408.0,Premium,Belgique,237,2,2,3,223,7,Dormants
CUS00269,4,3427.0,Standard,France,176,2,2,2,222,6,Dormants
CUS00270,8,6998.0,Nouveau,Ghana,357,1,5,3,153,9,À réactiver
CUS00271,5,8519.0,Nouveau,Belgique,59,4,2,4,424,10,Gros dépensiers occasionnels
CUS00272,7,12583.0,Standard,Cote d'Ivoire,120,3,4,5,345,12,Fidèles
CUS00273,5,10297.0,Premium,Cameroun,32,5,2,4,524,11,Gros dépensiers occasionnels
CUS00274,7,11825.0,Standard,Nigeria,210,2,4,5,245,11,À réactiver
CUS00275,7,6953.0,Premium,Senegal,193,2,4,3,243,9,À réactiver
CUS00276,9,13716.0,Occasionnel,Cote d'Ivoire,48,4,5,5,455,14,Champions
CUS00277,8,17231.0,Premium,France,16,5,5,5,555,15,Champions
CUS00278,7,3629.0,Occasionnel,Cameroun,482,1,4,2,142,7,Dormants
CUS00279,4,2599.0,Occasionnel,Nigeria,109,3,2,1,321,6,Dormants
CUS00280,5,12327.0,Nouveau,Cote d'Ivoire,161,3,2,5,325,10,Gros dépensiers occasionnels
CUS00281,4,1704.0,Occasionnel,France,134,3,2,1,321,6,Dormants
CUS00282,3,5188.0,Premium,Cote d'Ivoire,150,3,1,2,312,6,Dormants
CUS00283,5,2767.0,Standard,Nigeria,403,1,2,1,121,4,Dormants
CUS00284,5,2579.0,Occasionnel,France,101,3,2,1,321,6,Dormants
CUS00285,2,1463.0,Occasionnel,Belgique,237,2,1,1,211,4,Dormants
CUS00286,8,18342.0,Occasionnel,Senegal,155,3,5,5,355,13,Fidèles
CUS00287,6,12259.0,Standard,Cote d'Ivoire,118,3,3,5,335,11,Fidèles
CUS00288,8,9063.0,Occasionnel,Cote d'Ivoire,52,4,5,4,454,13,Champions
CUS00289,3,6604.0,Occasionnel,Senegal,18,5,1,3,513,9,Nouveaux prometteurs
CUS00290,8,15907.0,Standard,Senegal,107,3,5,5,355,13,Fidèles
CUS00291,5,6739.0,Standard,Senegal,50,4,2,3,423,9,Nouveaux prometteurs
CUS00292,1,2598.0,Nouveau,Nigeria,533,1,1,1,111,3,Dormants
CUS00294,4,3259.0,Premium,Senegal,25,5,2,2,522,9,Nouveaux prometteurs
CUS00295,4,6234.0,Standard,Cameroun,83,4,2,3,423,9,Nouveaux prometteurs
CUS00296,7,3510.0,Occasionnel,Ghana,156,3,4,2,342,9,Fidèles
CUS00297,4,3206.0,Standard,Ghana,152,3,2,2,322,7,Dormants
CUS00298,3,8987.0,Nouveau,Maroc,85,4,1,4,414,9,Gros dépensiers occasionnels
CUS00299,5,5961.0,Occasionnel,Senegal,86,4,2,3,423,9,Nouveaux prometteurs
CUS00300,6,6310.0,Occasionnel,Ghana,170,2,3,3,233,8,À réactiver
CUS00301,6,3051.0,Occasionnel,France,94,4,3,1,431,8,Fidèles
CUS00302,6,14155.0,Premium,Nigeria,139,3,3,5,335,11,Fidèles
CUS00303,5,3629.0,Nouveau,Ghana,150,3,2,2,322,7,Dormants
CUS00304,8,14635.0,Premium,Maroc,10,5,5,5,555,15,Champions
CUS00305,11,17805.0,Occasionnel,Cameroun,29,5,5,5,555,15,Champions
CUS00306,6,6016.0,Occasionnel,Senegal,76,4,3,3,433,10,Fidèles
CUS00307,1,3013.0,Occasionnel,Senegal,890,1,1,1,111,3,Dormants
CUS00308,7,16274.0,Premium,Cote d'Ivoire,125,3,4,5,345,12,Fidèles
CUS00309,6,7037.0,Standard,Maroc,178,2,3,3,233,8,À réactiver
CUS00310,4,8726.0,Premium,France,497,1,2,4,124,7,Gros dépensiers occasionnels
CUS00311,4,5697.0,Occasionnel,Senegal,540,1,2,3,123,6,Dormants
CUS00312,7,10240.0,Standard,Ghana,77,4,4,4,444,12,Champions
CUS00313,5,3502.0,Standard,Maroc,73,4,2,2,422,8,Nouveaux prometteurs
CUS00314,4,2964.0,Standard,Senegal,194,2,2,1,221,5,Dormants
CUS00315,10,6585.0,Standard,Cote d'Ivoire,9,5,5,3,553,13,Fidèles
CUS00316,1,1385.0,Standard,Belgique,193,2,1,1,211,4,Dormants
CUS00317,4,10542.0,Standard,Senegal,325,1,2,4,124,7,Gros dépensiers occasionnels
CUS00318,5,8461.0,Premium,Belgique,41,4,2,4,424,10,Gros dépensiers occasionnels
CUS00319,2,1163.0,Standard,Cote d'Ivoire,232,2,1,1,211,4,Dormants
CUS00320,1,628.0,Standard,France,88,4,1,1,411,6,Nouveaux prometteurs
CUS00321,7,11226.0,Occasionnel,Cote d'Ivoire,5,5,4,5,545,14,Champions
CUS00322,3,3528.0,Occasionnel,France,7,5,1,2,512,8,Nouveaux prometteurs
CUS00323,3,5600.0,Standard,Nigeria,60,4,1,3,413,8,Nouveaux prometteurs
CUS00324,4,3938.0,Standard,Ghana,517,1,2,2,122,5,Dormants
