customer_id,pays,ville,segment_client,date_inscription,customer_age_days
CUS00039,France,Marseille,Occasionnel,2024-05-27,218
CUS00040,Ghana,Accra,Nouveau,2022-02-16,1049
CUS00041,Maroc,Rabat,Nouveau,2023-02-04,696
CUS00042,Belgique,Liege,Premium,2022-04-06,1000
CUS00043,Senegal,Thies,Premium,2024-02-09,326
CUS00044,Cameroun,Douala,Premium,2021-05-01,1340
CUS00045,Cameroun,Douala,Nouveau,2022-11-08,784
CUS00046,Senegal,Saint-Louis,Standard,2023-09-22,466
CUS00047,Cameroun,Douala,Occasionnel,2024-03-15,291
CUS00048,Belgique,Bruxelles,Occasionnel,2023-04-14,627
CUS00049,Cameroun,Douala,Premium,2023-06-02,578
CUS00050,Nigeria,Abuja,Standard,2021-04-21,1350
CUS00051,Senegal,Dakar,Standard,2022-11-26,766
CUS00052,Senegal,Dakar,Standard,2024-01-04,362
CUS00053,Belgique,Bruxelles,Standard,2022-07-25,890
CUS00054,Belgique,Bruxelles,Nouveau,2021-06-04,1306
CUS00055,Belgique,Bruxelles,Premium,2024-01-13,353
CUS00056,Cote d'Ivoire,Abidjan,Nouveau,2022-04-30,976
CUS00057,France,Bordeaux,Standard,2022-03-14,1023
CUS00058,Ghana,Accra,Standard,2021-01-05,1456
CUS00059,Ghana,Kumasi,Nouveau,2023-07-21,529
CUS00060,Maroc,Rabat,Occasionnel,2024-02-13,322
CUS00061,Belgique,Bruxelles,Standard,2022-03-22,1015
CUS00062,Cote d'Ivoire,Abidjan,Occasionnel,2021-04-28,1343
CUS00063,Cote d'Ivoire,Daloa,Occasionnel,2023-12-24,373
CUS00064,France,Paris,Nouveau,2021-06-14,1296
CUS00065,France,Paris,Occasionnel,2022-04-27,979
CUS00066,Ghana,Accra,Nouveau,2024-03-12,294
CUS00067,Cameroun,Douala,Occasionnel,2023-05-09,602
CUS00068,Nigeria,Abuja,Standard,2022-10-06,817
CUS00069,Cameroun,Yaounde,Standard,2022-09-07,846
CUS00070,Belgique,Liege,Nouveau,2021-05-29,1312
CUS00071,Cote d'Ivoire,Daloa,Occasionnel,2024-02-28,307
CUS00072,Senegal,Dakar,Occasionnel,2023-11-03,424
CUS00073,Maroc,Casablanca,Nouveau,2021-05-21,1320
CUS00074,Cameroun,Yaounde,Standard,2023-06-17,563
CUS00075,Maroc,Marrakech,Nouveau,2023-12-20,377
CUS00076,Cote d'Ivoire,Yamoussoukro,Nouveau,2021-08-01,1248
CUS00077,France,Marseille,Premium,2021-08-08,1241
CUS00078,France,Marseille,Standard,2022-03-08,1029
CUS00079,Nigeria,Lagos,Occasionnel,2022-06-25,920
CUS00080,Belgique,Liege,Nouveau,2021-04-15,1356
CUS00081,Senegal,Saint-Louis,Standard,2022-07-21,894
CUS00082,Cote d'Ivoire,Abidjan,Standard,2021-09-25,1193
CUS00083,Maroc,Casablanca,Occasionnel,2024-02-04,331
CUS00084,Ghana,Accra,Premium,2021-11-02,1155
CUS00085,Cote d'Ivoire,Yamoussoukro,Occasionnel,2021-10-31,1157
CUS00086,Ghana,Accra,Premium,2023-01-17,714
CUS00087,Cote d'Ivoire,Yamoussoukro,Standard,2022-05-27,949
CUS00088,Senegal,Thies,Occasionnel,2023-04-13,628
CUS00089,France,Lyon,Nouveau,2021-12-29,1098
CUS00090,Ghana,Accra,Standard,2022-11-12,780
CUS00091,Ghana,Accra,Standard,2021-08-10,1239
CUS00092,Ghana,Accra,Nouveau,2022-04-01,1005
CUS00093,Cameroun,Yaounde,Standard,2022-04-12,994
CUS00094,Cameroun,Douala,Occasionnel,2023-03-28,644
CUS00095,Nigeria,Abuja,Nouveau,2022-07-26,889
CUS00096,Nigeria,Kano,Occasionnel,2024-01-04,362
CUS00097,Nigeria,Lagos,Premium,2022-06-19,926
CUS00098,France,Marseille,Premium,2024-05-06,239
CUS00099,Ghana,Kumasi,Occasionnel,2022-10-05,818
CUS00100,Ghana,Accra,Standard,2024-03-26,280
CUS00101,Cameroun,Yaounde,Premium,2023-06-13,567
CUS00102,Cote d'Ivoire,Bouake,Standard,2021-05-24,1317
CUS00103,Nigeria,Kano,Standard,2021-09-13,1205
CUS00104,Maroc,Marrakech,Standard,2023-04-17,624
CUS00105,Nigeria,Abuja,Occasionnel,2024-02-10,325
CUS00106,France,Lyon,Standard,2023-02-16,684
CUS00107,France,Marseille,Standard,2021-01-01,1460
CUS00108,Maroc,Rabat,Standard,2024-04-02,273
CUS00109,Nigeria,Abuja,Standard,2022-03-14,1023
CUS00110,Belgique,Bruxelles,Occasionnel,2022-08-05,879
CUS00111,Nigeria,Lagos,Occasionnel,2022-04-27,979
CUS00112,Maroc,Casablanca,Occasionnel,2021-10-29,1159
CUS00113,Cote d'Ivoire,Abidjan,Standard,2023-09-01,487
CUS00114,Senegal,Thies,Standard,2024-03-24,282
CUS00115,Cameroun,Yaounde,Standard,2022-05-15,961
CUS00116,France,Paris,Nouveau,2021-08-07,1242
CUS00117,Ghana,Accra,Standard,2023-11-27,400
CUS00118,Belgique,Bruxelles,Occasionnel,2021-09-06,1212
CUS00119,Belgique,Bruxelles,Occasionnel,2023-12-24,373
CUS00120,Nigeria,Abuja,Occasionnel,2023-10-31,427
CUS00121,Ghana,Kumasi,Nouveau,2023-08-31,488
CUS00122,Belgique,Liege,Occasionnel,2022-07-22,893
CUS00123,Belgique,Bruxelles,Standard,2021-06-08,1302
CUS00124,Maroc,Casablanca,Standard,2022-10-17,806
CUS00125,Senegal,Dakar,Standard,2023-02-24,676
CUS00126,France,Lyon,Premium,2023-04-15,626
CUS00127,Nigeria,Kano,Standard,2021-05-08,1333
CUS00128,Cameroun,Yaounde,Standard,2024-04-11,264
CUS00129,Cote d'Ivoire,Daloa,Standard,2022-12-22,740
CUS00130,Maroc,Rabat,Nouveau,2023-05-09,602
CUS00131,Cameroun,Yaounde,Standard,2023-06-12,568
CUS00132,Belgique,Bruxelles,Standard,2023-04-09,632
CUS00133,France,Bordeaux,Nouveau,2024-06-28,186
CUS00134,Cote d'Ivoire,Daloa,Occasionnel,2021-02-25,1405
CUS00135,Senegal,Saint-Louis,Standard,2023-08-04,515
CUS00136,France,Paris,Standard,2022-11-02,790
CUS00137,Cameroun,Yaounde,Standard,2023-02-16,684
CUS00138,Maroc,Rabat,Standard,2021-06-17,1293
CUS00139,Belgique,Bruxelles,Occasionnel,2021-04-17,1354
CUS00140,Nigeria,Lagos,Occasionnel,2021-03-24,1378
CUS00141,Cote d'Ivoire,Bouake,Standard,2021-02-11,1419
CUS00142,France,Lyon,Premium,2021-08-23,1226
CUS00143,Cameroun,Yaounde,Occasionnel,2023-01-26,705
CUS00144,France,Paris,Occasionnel,2021-12-02,1125
CUS00145,Maroc,Casablanca,Occasionnel,2022-10-01,822
CUS00146,Ghana,Kumasi,Nouveau,2022-02-11,1054
CUS00147,Senegal,Saint-Louis,Occasionnel,2022-05-13,963
CUS00148,Senegal,Saint-Louis,Occasionnel,2024-05-14,231
CUS00149,Senegal,Saint-Louis,Occasionnel,2022-12-13,749
CUS00150,Ghana,Kumasi,Premium,2022-11-30,762
CUS00151,Cote d'Ivoire,Daloa,Occasionnel,2021-08-05,1244
CUS00152,Ghana,Kumasi,Occasionnel,2023-07-31,519
CUS00153,France,Bordeaux,Standard,2023-12-05,392
CUS00154,Maroc,Marrakech,Occasionnel,2024-01-08,358
CUS00155,Belgique,Liege,Standard,2024-04-28,247
CUS00156,Maroc,Rabat,Nouveau,2021-06-27,1283
CUS00157,Maroc,Rabat,Standard,2023-08-10,509
CUS00158,Ghana,Kumasi,Premium,2022-10-28,795
CUS00159,France,Bordeaux,Standard,2022-06-14,931
CUS00160,Nigeria,Abuja,Nouveau,2022-07-20,895
CUS00161,Cote d'Ivoire,Bouake,Premium,2023-04-13,628
CUS00162,Belgique,Bruxelles,Occasionnel,2023-10-03,455
CUS00163,Belgique,Bruxelles,Premium,2022-03-30,1007
CUS00164,Ghana,Accra,Standard,2024-04-06,269
CUS00165,Nigeria,Abuja,Occasionnel,2022-12-06,756
CUS00166,Ghana,Kumasi,Standard,2023-07-19,531
CUS00167,Maroc,Rabat,Standard,2021-09-05,1213
CUS00168,Cameroun,Yaounde,Premium,2024-01-03,363
CUS00169,France,Lyon,Standard,2023-09-19,469
CUS00170,Maroc,Marrakech,Occasionnel,2023-12-11,386
CUS00171,Maroc,Casablanca,Occasionnel,2022-08-30,854
CUS00172,Cameroun,Yaounde,Standard,2021-01-29,1432
CUS00173,France,Marseille,Premium,2021-04-22,1349
CUS00174,Maroc,Marrakech,Nouveau,2023-10-03,455
CUS00175,Senegal,Dakar,Occasionnel,2023-08-20,499
CUS00176,Belgique,Liege,Standard,2021-04-16,1355
CUS00177,Maroc,Rabat,Premium,2021-05-14,1327
CUS00178,Ghana,Kumasi,Premium,2021-04-20,1351
CUS00179,France,Lyon,Occasionnel,2022-09-15,838
CUS00180,Senegal,Dakar,Premium,2023-05-03,608
CUS00181,Cameroun,Yaounde,Standard,2023-06-26,554
CUS00182,Maroc,Marrakech,Nouveau,2022-09-18,835
CUS00183,Cote d'Ivoire,Abidjan,Nouveau,2022-03-02,1035
CUS00184,Cameroun,Yaounde,Occasionnel,2021-11-18,1139
CUS00185,Cameroun,Douala,Occasionnel,2021-11-17,1140
CUS00186,Cote d'Ivoire,Daloa,Standard,2024-05-01,244
CUS00187,Belgique,Liege,Premium,2022-08-14,870
CUS00188,Maroc,Marrakech,Nouveau,2021-05-26,1315
CUS00189,Cameroun,Yaounde,Occasionnel,2024-04-22,253
CUS00190,Cameroun,Yaounde,Premium,2022-04-06,1000
CUS00191,France,Marseille,Occasionnel,2021-05-27,1314
CUS00192,Cote d'Ivoire,Bouake,Occasionnel,2024-05-03,242
CUS00193,Maroc,Rabat,Premium,2022-09-15,838
CUS00194,Ghana,Kumasi,Occasionnel,2023-10-09,449
CUS00195,Belgique,Bruxelles,Occasionnel,2023-06-04,576
CUS00196,Nigeria,Kano,Standard,2021-07-07,1273
CUS00197,Cameroun,Douala,Nouveau,2022-07-06,909
CUS00198,Cote d'Ivoire,Bouake,Standard,2023-06-25,555
CUS00199,Maroc,Casablanca,Nouveau,2023-06-12,568
CUS00200,Belgique,Bruxelles,Standard,2023-04-17,624
CUS00201,Nigeria,Abuja,Occasionnel,2021-11-26,1131
CUS00202,Nigeria,Abuja,Occasionnel,2022-08-14,870
CUS00203,Ghana,Accra,Standard,2022-10-07,816
CUS00204,Maroc,Rabat,Premium,2023-04-08,633
CUS00205,Cote d'Ivoire,Daloa,Standard,2022-01-20,1076
CUS00206,Nigeria,Kano,Occasionnel,2023-06-25,555
CUS00207,Cote d'Ivoire,Bouake,Standard,2021-09-26,1192
CUS00208,Maroc,Rabat,Nouveau,2023-09-20,468
CUS00209,Senegal,Dakar,Nouveau,2024-05-31,214
CUS00210,Cameroun,Douala,Standard,2021-01-29,1432
CUS00211,Ghana,Accra,Standard,2021-08-21,1228
CUS00212,Belgique,Bruxelles,Occasionnel,2021-11-12,1145
CUS00213,Belgique,Liege,Occasionnel,2022-07-14,901
CUS00214,Ghana,Kumasi,Nouveau,2022-05-15,961
CUS00215,Belgique,Bruxelles,Standard,2024-05-12,233
CUS00216,France,Paris,Standard,2023-04-30,611
CUS00217,Nigeria,Kano,Standard,2021-01-06,1455
CUS00218,Maroc,Marrakech,Standard,2024-04-17,258
CUS00219,Belgique,Bruxelles,Standard,2023-09-19,469
CUS00220,Nigeria,Abuja,Occasionnel,2024-01-18,348
CUS00221,Ghana,Kumasi,Nouveau,2022-01-22,1074
CUS00222,Cameroun,Yaounde,Standard,2023-04-22,619
CUS00223,Cote d'Ivoire,Yamoussoukro,Occasionnel,2023-02-20,680
CUS00224,Ghana,Accra,Standard,2021-03-17,1385
CUS00225,France,Marseille,Nouveau,2023-06-21,559
CUS00226,Senegal,Saint-Louis,Nouveau,2021-02-01,1429
CUS00227,France,Bordeaux,Nouveau,2021-11-13,1144
CUS00228,Senegal,Thies,Occasionnel,2022-06-27,918
CUS00229,Nigeria,Kano,Occasionnel,2021-06-14,1296
CUS00230,Nigeria,Kano,Nouveau,2023-02-18,682
CUS00231,Nigeria,Kano,Occasionnel,2023-09-27,461
CUS00232,Cote d'Ivoire,Abidjan,Standard,2022-08-12,872
CUS00233,Cameroun,Douala,Standard,2021-07-21,1259
CUS00234,Senegal,Thies,Standard,2022-09-06,847
CUS00235,Cote d'Ivoire,Abidjan,Standard,2021-04-25,1346
CUS00236,Maroc,Rabat,Standard,2021-10-26,1162
CUS00237,Cameroun,Yaounde,Occasionnel,2022-01-04,1092
CUS00238,France,Lyon,Premium,2023-02-23,677
CUS00239,Cameroun,Yaounde,Nouveau,2021-10-21,1167
CUS00240,Cameroun,Yaounde,Occasionnel,2023-07-31,519
CUS00241,Maroc,Marrakech,Premium,2023-08-11,508
CUS00242,Maroc,Marrakech,Occasionnel,2021-06-01,1309
CUS00243,Belgique,Liege,Nouveau,2022-09-05,848
CUS00244,Ghana,Kumasi,Standard,2022-09-11,842
CUS00245,Cameroun,Yaounde,Nouveau,2021-08-07,1242
CUS00246,Cameroun,Yaounde,Occasionnel,2024-03-23,283
CUS00247,Maroc,Marrakech,Standard,2023-03-22,650
CUS00248,Maroc,Casablanca,Occasionnel,2021-04-11,1360
CUS00249,Belgique,Liege,Occasionnel,2022-04-17,989
CUS00250,Nigeria,Lagos,Occasionnel,2024-06-25,189
CUS00251,Maroc,Marrakech,Occasionnel,2021-10-08,1180
CUS00252,Senegal,Saint-Louis,Occasionnel,2022-09-25,828
CUS00253,Belgique,Bruxelles,Occasionnel,2021-09-27,1191
CUS00254,Senegal,Thies,Standard,2023-05-01,610
CUS00255,France,Lyon,Premium,2024-01-10,356
CUS00256,Nigeria,Kano,Occasionnel,2022-07-13,902
CUS00257,France,Marseille,Nouveau,2023-09-14,474
CUS00258,Maroc,Marrakech,Nouveau,2021-08-24,1225
CUS00259,Belgique,Bruxelles,Premium,2022-04-08,998
CUS00260,Ghana,Kumasi,Premium,2023-03-20,652
CUS00261,Cote d'Ivoire,Yamoussoukro,Occasionnel,2023-07-21,529
CUS00262,Nigeria,Kano,Occasionnel,2022-06-21,924
CUS00263,Ghana,Kumasi,Premium,2022-04-24,982
CUS00264,Belgique,Bruxelles,Occasionnel,2024-02-24,311
CUS00265,Nigeria,Kano,Standard,2021-05-10,1331
CUS00266,Belgique,Liege,Occasionnel,2021-08-27,1222
CUS00267,France,Paris,Nouveau,2022-09-16,837
CUS00268,Belgique,Bruxelles,Premium,2024-01-06,360
CUS00269,France,Bordeaux,Standard,2024-01-12,354
CUS00270,Ghana,Accra,Nouveau,2021-07-22,1258
CUS00271,Belgique,Liege,Nouveau,2022-07-27,888
CUS00272,Cote d'Ivoire,Yamoussoukro,Standard,2023-06-30,550
CUS00273,Cameroun,Yaounde,Premium,2023-01-23,708
CUS00274,Nigeria,Lagos,Standard,2022-01-24,1072
CUS00275,Senegal,Thies,Premium,2022-03-11,1026
CUS00276,Cote d'Ivoire,Abidjan,Occasionnel,2022-05-14,962
CUS00277,France,Lyon,Premium,2024-02-10,325
CUS00278,Cameroun,Douala,Occasionnel,2022-04-23,983
CUS00279,Nigeria,Lagos,Occasionnel,2024-05-05,240
CUS00280,Cote d'Ivoire,Yamoussoukro,Nouveau,2021-10-24,1164
CUS00281,France,Marseille,Occasionnel,2021-08-14,1235
CUS00282,Cote d'Ivoire,Bouake,Premium,2022-05-03,973
CUS00283,Nigeria,Lagos,Standard,2021-04-18,1353
CUS00284,France,Bordeaux,Occasionnel,2021-05-11,1330
CUS00285,Belgique,Liege,Occasionnel,2023-11-18,409
CUS00286,Senegal,Thies,Occasionnel,2024-06-13,201
CUS00287,Cote d'Ivoire,Yamoussoukro,Standard,2021-03-05,1397
CUS00288,Cote d'Ivoire,Daloa,Occasionnel,2023-05-24,587
CUS00289,Senegal,Thies,Occasionnel,2023-06-28,552
CUS00290,Senegal,Dakar,Standard,2021-10-31,1157
CUS00291,Senegal,Dakar,Standard,2024-04-13,262
CUS00292,Nigeria,Abuja,Nouveau,2023-12-23,374
CUS00293,Maroc,Rabat,Occasionnel,2023-06-01,579
CUS00294,Senegal,Saint-Louis,Premium,2024-02-04,331
CUS00295,Cameroun,Yaounde,Standard,2022-04-13,993
CUS00296,Ghana,Kumasi,Occasionnel,2023-03-28,644
CUS00297,Ghana,Accra,Standard,2022-10-03,820
CUS00298,Maroc,Rabat,Nouveau,2023-08-30,489
CUS00299,Senegal,Dakar,Occasionnel,2021-07-10,1270
CUS00300,Ghana,Accra,Occasionnel,2023-02-03,697
CUS00301,France,Paris,Occasionnel,2024-02-25,310
CUS00302,Nigeria,Kano,Premium,2022-12-26,736
CUS00303,Ghana,Accra,Nouveau,2024-05-14,231
CUS00304,Maroc,Rabat,Premium,2023-11-06,421
CUS00305,Cameroun,Douala,Occasionnel,2022-04-05,1001
CUS00306,Senegal,Thies,Occasionnel,2023-01-23,708
CUS00307,Senegal,Thies,Occasionnel,2023-05-29,582
CUS00308,Cote d'Ivoire,Yamoussoukro,Premium,2022-07-14,901
CUS00309,Maroc,Rabat,Standard,2022-01-07,1089
CUS00310,France,Bordeaux,Premium,2021-03-04,1398
CUS00311,Senegal,Saint-Louis,Occasionnel,2023-02-10,690
CUS00312,Ghana,Kumasi,Standard,2023-01-28,703
CUS00313,Maroc,Marrakech,Standard,2024-03-08,298
CUS00314,Senegal,Dakar,Standard,2024-06-19,195
CUS00315,Cote d'Ivoire,Abidjan,Standard,2023-05-19,592
CUS00316,Belgique,Liege,Standard,2022-03-18,1019
CUS00317,Senegal,Thies,Standard,2022-08-04,880
CUS00318,Belgique,Liege,Premium,2023-03-21,651
CUS00319,Cote d'Ivoire,Abidjan,Standard,2022-03-09,1028
CUS00320,France,Marseille,Standard,2021-09-03,1215
CUS00321,Cote d'Ivoire,Daloa,Occasionnel,2021-12-26,1101
CUS00322,France,Bordeaux,Occasionnel,2022-04-17,989
CUS00323,Nigeria,Lagos,Standard,2021-03-28,1374
CUS00324,Ghana,Accra,Standard,2021-06-09,1301
CUS00325,Nigeria,Kano,Standard,2023-04-09,632
CUS00326,Ghana,Kumasi,Premium,2021-02-12,1418
CUS00327,Nigeria,Lagos,Occasionnel,2024-06-19,195
CUS00328,Belgique,Liege,Premium,2021-08-05,1244
CUS00329,Cameroun,Yaounde,Occasionnel,2023-12-10,387
CUS00330,Senegal,Thies,Nouveau,2022-11-27,765
CUS00331,Cameroun,Yaounde,Occasionnel,2021-06-06,1304
CUS00332,Senegal,Saint-Louis,Occasionnel,2022-12-17,745
CUS00333,Nigeria,Kano,Nouveau,2021-10-30,1158
CUS00334,Cameroun,Douala,Premium,2022-02-09,1056
CUS00335,France,Lyon,Occasionnel,2021-06-04,1306
CUS00336,France,Bordeaux,Standard,2024-02-29,306
CUS00337,Belgique,Liege,Nouveau,2022-10-10,813
CUS00338,France,Bordeaux,Premium,2023-06-25,555
CUS00339,Maroc,Rabat,Occasionnel,2022-12-22,740
CUS00340,Senegal,Thies,Standard,2021-03-19,1383
CUS00341,Cote d'Ivoire,Yamoussoukro,Occasionnel,2021-06-07,1303
CUS00342,Senegal,Saint-Louis,Occasionnel,2023-02-27,673
CUS00343,Belgique,Bruxelles,Standard,2024-03-16,290
CUS00344,Cameroun,Yaounde,Occasionnel,2023-10-24,434
CUS00345,France,Paris,Standard,2022-12-05,757
CUS00346,Senegal,Saint-Louis,Occasionnel,2021-03-22,1380
CUS00347,Cameroun,Yaounde,Nouveau,2023-12-10,387
CUS00348,France,Marseille,Standard,2022-08-03,881
CUS00349,Ghana,Kumasi,Occasionnel,2024-05-09,236
CUS00350,Cote d'Ivoire,Yamoussoukro,Premium,2021-07-13,1267
CUS00351,Ghana,Kumasi,Standard,2024-05-19,226
CUS00352,France,Marseille,Premium,2021-10-17,1171
CUS00353,Nigeria,Abuja,Nouveau,2023-03-14,658
CUS00354,France,Paris,Standard,2023-02-11,689
CUS00355,Nigeria,Lagos,Occasionnel,2023-12-15,382
CUS00356,Senegal,Saint-Louis,Occasionnel,2023-11-08,419
CUS00357,Nigeria,Lagos,Standard,2022-01-05,1091
CUS00358,Cameroun,Yaounde,Nouveau,2023-09-23,465
CUS00359,Cameroun,Douala,Nouveau,2021-11-14,1143
CUS00360,Senegal,Thies,Occasionnel,2021-07-27,1253
CUS00361,Cote d'Ivoire,Yamoussoukro,Nouveau,2024-06-19,195
CUS00362,France,Bordeaux,Standard,2022-01-06,1090
CUS00363,France,Bordeaux,Premium,2023-01-17,714
CUS00364,Cameroun,Yaounde,Occasionnel,2023-07-09,541
CUS00365,Cameroun,Douala,Standard,2023-08-19,500
CUS00366,Cameroun,Yaounde,Occasionnel,2024-03-14,292
CUS00367,Belgique,Liege,Occasionnel,2023-02-22,678
CUS00368,Ghana,Accra,Occasionnel,2024-05-23,222
CUS00369,France,Marseille,Premium,2023-09-12,476
CUS00370,Nigeria,Kano,Nouveau,2023-11-23,404
CUS00371,Senegal,Thies,Premium,2021-11-25,1132
CUS00372,Maroc,Rabat,Nouveau,2021-10-29,1159
CUS00373,Ghana,Accra,Nouveau,2022-03-31,1006
CUS00374,Belgique,Liege,Nouveau,2023-04-30,611
CUS00375,Cote d'Ivoire,Daloa,Occasionnel,2022-04-28,978
CUS00376,Ghana,Accra,Standard,2021-02-27,1403
CUS00377,Nigeria,Lagos,Occasionnel,2022-11-18,774
CUS00378,France,Lyon,Premium,2023-08-26,493
CUS00379,France,Bordeaux,Standard,2021-01-11,1450
CUS00380,Senegal,Dakar,Standard,2021-11-03,1154
CUS00381,Ghana,Accra,Occasionnel,2022-05-02,974
CUS00382,Maroc,Casablanca,Premium,2023-05-10,601
CUS00383,Belgique,Bruxelles,Premium,2023-10-21,437
CUS00384,Cote d'Ivoire,Bouake,Occasionnel,2022-08-20,864
CUS00385,Ghana,Accra,Occasionnel,2022-05-08,968
CUS00386,Ghana,Accra,Occasionnel,2021-06-25,1285
CUS00387,Nigeria,Lagos,Nouveau,2024-01-20,346
CUS00388,Cote d'Ivoire,Daloa,Nouveau,2021-03-31,1371
CUS00389,Ghana,Kumasi,Standard,2021-02-03,1427
CUS00390,Nigeria,Lagos,Standard,2021-08-01,1248
CUS00391,Nigeria,Lagos,Premium,2024-01-24,342
CUS00392,Nigeria,Kano,Standard,2023-08-10,509
CUS00393,Belgique,Bruxelles,Occasionnel,2021-05-10,1331
CUS00394,Belgique,Bruxelles,Standard,2021-03-31,1371
CUS00395,Cameroun,Douala,Standard,2022-09-28,825
CUS00396,Ghana,Kumasi,Standard,2022-01-27,1069
CUS00397,Maroc,Rabat,Nouveau,2021-04-08,1363
CUS00398,Nigeria,Abuja,Premium,2023-01-24,707
CUS00399,Ghana,Kumasi,Occasionnel,2023-03-03,669
CUS00400,Nigeria,Lagos,Standard,2023-10-16,442
CUS00401,Nigeria,Kano,Standard,2021-06-19,1291
CUS00402,Ghana,Accra,Standard,2022-01-05,1091
CUS00403,Maroc,Rabat,Premium,2022-11-03,789
CUS00404,Maroc,Rabat,Standard,2023-05-23,588
CUS00405,France,Bordeaux,Standard,2021-03-28,1374
CUS00406,Nigeria,Kano,Nouveau,2022-07-17,898
CUS00407,Cote d'Ivoire,Abidjan,Occasionnel,2023-04-12,629
CUS00408,Nigeria,Kano,Occasionnel,2021-11-24,1133
CUS00409,Cote d'Ivoire,Bouake,Occasionnel,2023-06-17,563
CUS00410,Cote d'Ivoire,Bouake,Premium,2023-01-21,710
CUS00411,Nigeria,Abuja,Nouveau,2021-03-08,1394
CUS00412,France,Bordeaux,Nouveau,2023-02-01,699
CUS00413,Belgique,Bruxelles,Occasionnel,2023-12-21,376
CUS00414,Nigeria,Abuja,Standard,2022-07-25,890
CUS00415,Cameroun,Douala,Premium,2022-01-17,1079
CUS00416,Belgique,Liege,Nouveau,2021-08-30,1219
CUS00417,Maroc,Rabat,Occasionnel,2022-03-16,1021
CUS00418,Maroc,Marrakech,Nouveau,2023-10-03,455
CUS00419,Cameroun,Douala,Premium,2021-06-01,1309
CUS00420,Belgique,Bruxelles,Nouveau,2023-07-01,549
CUS00421,Senegal,Saint-Louis,Nouveau,2022-10-17,806
CUS00422,Nigeria,Kano,Premium,2024-01-16,350
CUS00423,Maroc,Rabat,Nouveau,2021-12-23,1104
CUS00424,Nigeria,Kano,Standard,2022-02-16,1049
CUS00425,France,Lyon,Occasionnel,2021-02-23,1407
CUS00426,Nigeria,Kano,Occasionnel,2023-08-16,503
CUS00427,France,Paris,Premium,2023-03-27,645
CUS00428,Belgique,Liege,Occasionnel,2024-03-23,283
CUS00429,Senegal,Dakar,Nouveau,2021-06-01,1309
CUS00430,Belgique,Liege,Occasionnel,2022-12-07,755
CUS00431,France,Lyon,Occasionnel,2021-09-22,1196
CUS00432,Ghana,Accra,Occasionnel,2023-11-28,399
CUS00433,France,Marseille,Standard,2022-10-23,800
CUS00434,Cameroun,Yaounde,Nouveau,2023-11-29,398
CUS00435,Maroc,Casablanca,Standard,2024-02-03,332
CUS00436,Maroc,Casablanca,Occasionnel,2024-06-12,202
CUS00437,Senegal,Saint-Louis,Occasionnel,2024-04-27,248
CUS00438,France,Lyon,Occasionnel,2024-05-24,221
CUS00439,Nigeria,Kano,Premium,2021-02-28,1402
CUS00440,Senegal,Dakar,Nouveau,2024-03-27,279
