date,spend,clicks,conversions,spend_ma7,clicks_ma7,spend_ma30,spend_cumul
2023-02-20,703.27,1688.0,82.0,653.69,1492.0,669.16,35060.0
2023-02-21,714.7,1666.0,58.0,654.73,1488.0,671.0,35775.0
2023-02-22,670.41,1647.0,70.0,649.57,1482.0,669.18,36445.0
2023-02-23,701.05,1610.0,75.0,657.01,1512.0,667.54,37146.0
2023-02-24,684.94,1518.0,74.0,656.64,1509.0,664.66,37831.0
2023-02-25,554.88,1168.0,57.0,660.15,1518.0,659.31,38386.0
2023-02-26,516.91,1072.0,56.0,649.45,1481.0,651.69,38903.0
2023-02-27,667.69,1700.0,70.0,644.37,1483.0,653.08,39571.0
2023-02-28,720.91,1495.0,75.0,645.26,1459.0,656.56,40291.0
2023-03-01,710.26,1616.0,63.0,650.95,1454.0,655.57,41002.0
2023-03-02,683.29,1358.0,59.0,648.41,1418.0,653.94,41685.0
2023-03-03,673.24,1512.0,51.0,646.74,1417.0,652.54,42358.0
2023-03-04,558.96,1233.0,51.0,647.32,1427.0,648.06,42917.0
2023-03-05,573.94,1292.0,32.0,655.47,1458.0,644.87,43491.0
2023-03-06,737.0,1655.0,80.0,665.37,1452.0,651.6,44228.0
2023-03-07,672.75,1530.0,70.0,658.49,1457.0,654.61,44901.0
2023-03-08,673.98,1523.0,67.0,653.31,1443.0,654.5,45575.0
2023-03-09,635.15,1423.0,62.0,646.43,1453.0,651.87,46210.0
2023-03-10,671.46,1461.0,74.0,646.18,1445.0,652.67,46882.0
2023-03-11,550.9,1221.0,64.0,645.03,1444.0,647.86,47432.0
2023-03-12,569.94,1344.0,46.0,644.45,1451.0,644.27,48002.0
2023-03-13,625.89,1346.0,70.0,628.58,1407.0,645.8,48628.0
2023-03-14,688.29,1535.0,56.0,630.8,1408.0,650.68,49317.0
2023-03-15,676.88,1575.0,84.0,631.22,1415.0,650.31,49993.0
2023-03-16,734.13,1615.0,63.0,645.36,1442.0,651.2,50728.0
2023-03-17,683.48,1528.0,71.0,647.07,1452.0,650.43,51411.0
2023-03-18,573.89,1332.0,40.0,650.36,1468.0,647.93,51985.0
2023-03-19,553.12,1162.0,55.0,647.95,1442.0,643.45,52538.0
2023-03-20,623.26,1323.0,51.0,647.58,1439.0,646.55,53161.0
2023-03-21,656.31,1363.0,57.0,643.01,1414.0,648.7,53818.0
2023-03-22,653.19,1554.0,73.0,639.63,1411.0,647.03,54471.0
2023-03-23,665.6,1429.0,55.0,629.84,1384.0,645.39,55136.0
2023-03-24,699.29,1716.0,62.0,632.09,1411.0,646.35,55836.0
2023-03-25,538.1,1211.0,49.0,626.98,1394.0,640.92,56374.0
2023-03-26,574.01,1198.0,49.0,629.97,1399.0,637.22,56948.0
2023-03-27,687.94,1509.0,56.0,639.21,1426.0,641.66,57636.0
2023-03-28,713.7,1542.0,70.0,647.4,1451.0,648.22,58349.0
2023-03-29,702.34,1717.0,72.0,654.43,1475.0,649.37,59052.0
2023-03-30,662.53,1539.0,78.0,653.99,1490.0,647.43,59714.0
2023-03-31,670.24,1445.0,64.0,649.84,1452.0,646.09,60385.0
2023-04-01,513.14,965.0,38.0,646.27,1416.0,640.42,60898.0
2023-04-02,589.84,1331.0,63.0,648.53,1435.0,637.64,61488.0
2023-04-03,633.66,1428.0,66.0,640.78,1424.0,640.13,62121.0
2023-04-04,699.01,1823.0,52.0,638.68,1464.0,644.3,62820.0
2023-04-05,714.95,1519.0,75.0,640.48,1436.0,643.57,63535.0
2023-04-06,629.26,1340.0,68.0,635.73,1407.0,642.12,64164.0
2023-04-07,687.1,1614.0,68.0,638.14,1431.0,642.55,64852.0
2023-04-08,538.84,1205.0,55.0,641.81,1466.0,639.34,65390.0
2023-04-09,556.67,1180.0,57.0,637.07,1444.0,635.52,65947.0
2023-04-10,687.93,1569.0,59.0,644.82,1464.0,640.08,66635.0
2023-04-11,668.58,1653.0,59.0,640.48,1440.0,643.37,67304.0
2023-04-12,665.78,1293.0,66.0,633.45,1408.0,644.7,67969.0
2023-04-13,703.27,1727.0,78.0,644.02,1463.0,645.2,68673.0
2023-04-14,660.62,1741.0,73.0,640.24,1481.0,644.66,69333.0
2023-04-15,581.63,1231.0,49.0,646.35,1485.0,639.58,69915.0
2023-04-16,529.71,1276.0,68.0,642.5,1499.0,634.45,70445.0
2023-04-17,661.33,1361.0,64.0,638.7,1469.0,637.37,71106.0
2023-04-18,715.49,1579.0,68.0,645.4,1458.0,642.78,71821.0
2023-04-19,644.85,1417.0,69.0,642.41,1476.0,643.5,72466.0
2023-04-20,669.45,1457.0,70.0,637.58,1437.0,643.94,73136.0
2023-04-21,663.98,1454.0,68.0,638.06,1396.0,644.29,73800.0
2023-04-22,596.18,1312.0,33.0,640.14,1408.0,641.98,74396.0
2023-04-23,538.14,1029.0,49.0,641.35,1373.0,636.61,74934.0
2023-04-24,720.39,1754.0,80.0,649.78,1429.0,642.69,75654.0
2023-04-25,676.03,1487.0,46.0,644.15,1416.0,646.09,76330.0
2023-04-26,656.84,1391.0,97.0,645.86,1412.0,645.05,76987.0
2023-04-27,724.1,1844.0,69.0,653.67,1467.0,645.4,77711.0
2023-04-28,669.51,1793.0,66.0,654.46,1516.0,644.3,78381.0
2023-04-29,525.22,1277.0,48.0,644.32,1511.0,639.72,78906.0
2023-04-30,548.19,1338.0,48.0,645.75,1555.0,635.66,79454.0
2023-05-01,729.27,1779.0,58.0,647.02,1558.0,642.86,80184.0
2023-05-02,658.77,1495.0,48.0,644.56,1560.0,645.16,80842.0
2023-05-03,698.12,1445.0,59.0,650.45,1567.0,647.31,81540.0
2023-05-04,699.74,1727.0,72.0,646.97,1551.0,647.33,82240.0
2023-05-05,701.85,1679.0,71.0,651.59,1534.0,646.89,82942.0
2023-05-06,627.07,1640.0,60.0,666.14,1586.0,646.82,83569.0
2023-05-07,578.72,1327.0,41.0,670.51,1585.0,643.21,84148.0
2023-05-08,700.68,1644.0,61.0,666.42,1565.0,648.6,84848.0
2023-05-09,681.93,1914.0,75.0,669.73,1625.0,652.78,85530.0
2023-05-10,741.98,1683.0,74.0,676.0,1659.0,654.58,86272.0
2023-05-11,705.39,1733.0,57.0,676.8,1660.0,655.81,86978.0
2023-05-12,698.22,1677.0,63.0,676.28,1660.0,656.89,87676.0
2023-05-13,594.06,1431.0,73.0,671.57,1630.0,653.25,88270.0
2023-05-14,573.36,1327.0,60.0,670.8,1630.0,650.34,88843.0
2023-05-15,664.92,1479.0,56.0,665.69,1606.0,653.12,89508.0
2023-05-16,759.68,1951.0,75.0,676.8,1612.0,660.78,90268.0
2023-05-17,736.87,1897.0,96.0,676.07,1642.0,663.3,91005.0
2023-05-18,702.03,1827.0,81.0,675.59,1656.0,662.85,91707.0
2023-05-19,747.19,1858.0,75.0,682.59,1681.0,666.26,92454.0
2023-05-20,600.78,1322.0,55.0,683.55,1666.0,663.97,93055.0
2023-05-21,588.56,1457.0,59.0,685.72,1684.0,661.46,93643.0
2023-05-22,700.67,1807.0,62.0,690.83,1731.0,664.94,94344.0
2023-05-23,733.84,1866.0,72.0,687.13,1719.0,671.47,95078.0
2023-05-24,730.44,1865.0,86.0,686.22,1715.0,671.8,95808.0
2023-05-25,694.83,1659.0,58.0,685.19,1691.0,672.43,96503.0
2023-05-26,711.68,1878.0,61.0,680.11,1693.0,674.26,97215.0
2023-05-27,579.46,1665.0,48.0,677.07,1742.0,669.43,97794.0
2023-05-28,627.62,1602.0,56.0,682.65,1763.0,668.04,98422.0
2023-05-29,684.76,1819.0,59.0,680.38,1765.0,673.36,99107.0
2023-05-30,684.69,1508.0,70.0,673.35,1714.0,677.91,99791.0
2023-05-31,689.03,1756.0,65.0,667.44,1698.0,676.56,100480.0
2023-06-01,688.29,1828.0,59.0,666.5,1722.0,677.55,101169.0
2023-06-02,718.0,1862.0,86.0,667.41,1720.0,678.21,101887.0
2023-06-03,607.62,1416.0,47.0,671.43,1684.0,675.14,102494.0
2023-06-04,578.02,1333.0,58.0,664.34,1646.0,671.01,103072.0
2023-06-05,702.29,1749.0,54.0,666.85,1636.0,673.52,103775.0
2023-06-06,685.57,1588.0,56.0,666.97,1647.0,677.08,104460.0
2023-06-07,673.3,1651.0,78.0,664.73,1632.0,676.17,105134.0
2023-06-08,716.54,1866.0,81.0,668.76,1638.0,677.32,105850.0
2023-06-09,658.17,1658.0,48.0,660.22,1609.0,674.53,106508.0
2023-06-10,632.67,1562.0,56.0,663.79,1630.0,672.11,107141.0
2023-06-11,586.29,1412.0,52.0,664.98,1641.0,668.37,107727.0
2023-06-12,714.98,1788.0,50.0,666.79,1646.0,672.41,108442.0
2023-06-13,674.17,1794.0,75.0,665.16,1676.0,675.77,109116.0
2023-06-14,727.73,2004.0,90.0,672.94,1726.0,677.86,109844.0
2023-06-15,727.36,1699.0,47.0,674.48,1702.0,676.78,110571.0
2023-06-16,724.27,1798.0,59.0,683.92,1722.0,676.36,111296.0
2023-06-17,636.7,1689.0,57.0,684.5,1741.0,674.18,111932.0
2023-06-18,574.32,1416.0,33.0,682.79,1741.0,668.42,112507.0
2023-06-19,686.0,1719.0,68.0,678.65,1731.0,671.26,113193.0
2023-06-20,712.82,1872.0,78.0,684.17,1742.0,675.4,113906.0
2023-06-21,662.1,1648.0,72.0,674.8,1692.0,674.12,114568.0
2023-06-22,724.67,1863.0,79.0,674.41,1715.0,673.81,115292.0
2023-06-23,756.82,1921.0,81.0,679.06,1733.0,674.69,116049.0
2023-06-24,624.78,1588.0,56.0,677.36,1718.0,672.36,116674.0
2023-06-25,593.26,1250.0,46.0,680.06,1694.0,668.41,117267.0
2023-06-26,700.87,1810.0,84.0,682.19,1707.0,672.46,117968.0
2023-06-27,712.9,1766.0,47.0,682.2,1692.0,675.3,118681.0
2023-06-28,673.87,1789.0,72.0,683.88,1712.0,674.94,119355.0
2023-06-29,729.25,2046.0,79.0,684.54,1739.0,676.42,120084.0
2023-06-30,685.8,1678.0,58.0,674.39,1704.0,676.31,120770.0
2023-07-01,391.96,972.0,38.0,641.13,1616.0,666.44,121162.0
2023-07-02,375.72,919.0,30.0,610.05,1569.0,655.03,121538.0
2023-07-03,460.57,1110.0,39.0,575.72,1469.0,650.13,121998.0
2023-07-04,439.73,1038.0,38.0,536.7,1365.0,645.52,122438.0
2023-07-05,459.32,1178.0,49.0,506.05,1277.0,637.42,122897.0
2023-07-06,460.91,1171.0,47.0,467.72,1152.0,629.93,123358.0
2023-07-07,456.34,991.0,28.0,434.94,1054.0,622.7,123814.0
2023-07-08,366.62,941.0,43.0,431.32,1050.0,611.03,124181.0
2023-07-09,395.87,907.0,39.0,434.19,1048.0,602.29,124577.0
2023-07-10,464.32,1260.0,45.0,434.73,1069.0,596.68,125041.0
2023-07-11,452.86,1169.0,46.0,436.61,1088.0,592.23,125494.0
2023-07-12,473.0,1186.0,47.0,438.56,1089.0,584.16,125967.0
2023-07-13,439.53,1106.0,38.0,435.51,1080.0,576.34,126407.0
2023-07-14,478.91,1158.0,62.0,438.73,1104.0,568.05,126886.0
2023-07-15,381.2,972.0,33.0,440.81,1108.0,556.51,127267.0
2023-07-16,357.24,954.0,25.0,435.29,1115.0,544.28,127624.0
2023-07-17,450.39,1142.0,40.0,433.3,1098.0,538.07,128074.0
2023-07-18,437.56,1111.0,41.0,431.12,1090.0,533.51,128512.0
2023-07-19,439.54,1101.0,36.0,426.34,1078.0,525.29,128951.0
2023-07-20,475.74,1222.0,48.0,431.51,1094.0,517.39,129427.0
2023-07-21,448.63,1061.0,37.0,427.19,1080.0,510.27,129876.0
2023-07-22,373.32,850.0,33.0,426.06,1063.0,498.56,130249.0
2023-07-23,362.39,950.0,30.0,426.8,1062.0,485.41,130612.0
2023-07-24,442.41,1110.0,38.0,425.66,1058.0,479.33,131054.0
2023-07-25,409.87,979.0,34.0,421.7,1039.0,473.22,131464.0
2023-07-26,436.58,985.0,37.0,421.28,1022.0,464.41,131900.0
2023-07-27,422.03,960.0,44.0,413.6,985.0,454.72,132322.0
2023-07-28,432.57,1071.0,37.0,411.31,986.0,446.67,132755.0
2023-07-29,368.47,947.0,29.0,410.62,1000.0,434.65,133123.0
2023-07-30,356.41,823.0,24.0,409.76,982.0,423.67,133480.0
2023-07-31,416.54,975.0,35.0,406.07,963.0,424.49,133896.0
2023-08-01,429.95,1035.0,35.0,408.94,971.0,426.29,134326.0
2023-08-02,425.0,1098.0,48.0,407.28,987.0,425.11,134751.0
2023-08-03,407.8,903.0,34.0,405.25,979.0,424.04,135159.0
2023-08-04,442.29,1159.0,39.0,406.64,991.0,423.48,135601.0
2023-08-05,396.72,970.0,29.0,410.67,995.0,421.34,135998.0
2023-08-06,357.19,891.0,37.0,410.78,1004.0,418.03,136355.0
2023-08-07,426.51,1082.0,47.0,412.21,1020.0,420.03,136782.0
2023-08-08,411.85,1065.0,35.0,409.62,1024.0,420.56,137194.0
2023-08-09,449.66,1217.0,56.0,413.15,1041.0,420.07,137643.0
2023-08-10,452.4,1061.0,34.0,419.52,1064.0,420.06,138096.0
2023-08-11,416.22,1030.0,43.0,415.79,1045.0,418.16,138512.0
2023-08-12,405.75,969.0,38.0,417.08,1045.0,417.04,138918.0
2023-08-13,377.52,902.0,31.0,419.99,1047.0,413.66,139295.0
2023-08-14,413.93,1001.0,30.0,418.19,1035.0,414.75,139709.0
2023-08-15,420.6,1008.0,25.0,419.44,1027.0,416.86,140130.0
2023-08-16,459.1,1150.0,37.0,420.79,1017.0,417.15,140589.0
2023-08-17,442.75,1041.0,43.0,419.41,1014.0,417.32,141032.0
2023-08-18,447.49,1121.0,35.0,423.88,1027.0,417.59,141479.0
2023-08-19,365.73,862.0,30.0,418.16,1012.0,413.92,141845.0
2023-08-20,435.53,1068.0,36.0,426.45,1036.0,413.49,142280.0
2023-08-21,459.34,1128.0,39.0,432.93,1054.0,416.35,142740.0
2023-08-22,479.42,1155.0,40.0,441.34,1075.0,420.25,143219.0
2023-08-23,476.02,1110.0,35.0,443.75,1069.0,421.37,143695.0
2023-08-24,447.62,1184.0,35.0,444.45,1090.0,422.63,144143.0
2023-08-25,446.58,933.0,34.0,444.32,1063.0,422.97,144589.0
2023-08-26,432.92,1076.0,40.0,453.92,1093.0,423.33,145022.0
2023-08-27,446.78,1180.0,36.0,455.53,1109.0,423.8,145469.0
2023-08-28,498.87,1222.0,46.0,461.17,1123.0,428.15,145968.0
2023-08-29,513.43,1141.0,32.0,466.03,1121.0,433.38,146481.0
2023-08-30,535.73,1228.0,52.0,474.56,1138.0,437.36,147017.0
2023-08-31,513.63,1278.0,51.0,483.99,1151.0,440.15,147531.0
2023-09-01,861.82,2096.0,79.0,543.31,1317.0,454.71,148393.0
2023-09-02,734.22,1908.0,64.0,586.35,1436.0,465.59,149127.0
2023-09-03,754.68,1849.0,68.0,630.34,1532.0,476.0,149881.0
2023-09-04,861.42,1908.0,78.0,682.13,1630.0,491.49,150743.0
2023-09-05,872.73,2141.0,88.0,733.46,1773.0,508.67,151616.0
2023-09-06,885.86,2012.0,76.0,783.48,1885.0,523.99,152501.0
2023-09-07,885.33,2574.0,95.0,836.58,2070.0,539.77,153387.0
2023-09-08,885.68,2111.0,90.0,839.99,2072.0,554.3,154273.0
2023-09-09,767.93,1831.0,51.0,844.8,2061.0,564.82,155040.0
2023-09-10,753.32,2034.0,76.0,844.61,2087.0,576.06,155794.0
2023-09-11,827.07,1929.0,75.0,839.7,2090.0,590.1,156621.0
2023-09-12,863.16,2055.0,75.0,838.34,2078.0,606.29,157484.0
2023-09-13,837.16,1757.0,75.0,831.38,2042.0,620.4,158321.0
2023-09-14,899.79,2191.0,80.0,833.44,1987.0,636.37,159221.0
2023-09-15,814.97,2078.0,82.0,823.34,1982.0,648.23,160036.0
2023-09-16,733.64,1750.0,51.0,818.44,1971.0,657.93,160770.0
2023-09-17,756.35,1788.0,60.0,818.88,1935.0,668.22,161526.0
2023-09-18,878.18,2112.0,95.0,826.18,1962.0,685.31,162404.0
2023-09-19,893.78,2192.0,65.0,830.55,1981.0,700.58,163298.0
2023-09-20,926.96,2247.0,93.0,843.38,2051.0,716.17,164225.0
2023-09-21,856.11,1839.0,51.0,837.14,2001.0,728.72,165081.0
2023-09-22,873.32,2001.0,59.0,845.48,1990.0,741.97,165954.0
2023-09-23,721.21,1574.0,65.0,843.7,1965.0,751.09,166675.0
2023-09-24,834.9,2122.0,71.0,854.92,2012.0,764.03,167510.0
2023-09-25,917.33,2213.0,70.0,860.52,2027.0,780.18,168428.0
2023-09-26,924.53,2175.0,76.0,864.91,2024.0,796.1,169352.0
2023-09-27,864.87,1899.0,62.0,856.04,1975.0,808.3,170217.0
2023-09-28,936.94,2220.0,89.0,867.59,2029.0,822.42,171154.0
2023-09-29,935.23,2163.0,74.0,876.43,2052.0,835.74,172089.0
2023-09-30,813.94,1796.0,68.0,889.68,2084.0,845.75,172903.0
2023-10-01,729.17,1764.0,61.0,874.57,2033.0,841.33,173632.0
2023-10-02,783.41,1680.0,64.0,855.44,1957.0,842.97,174416.0
2023-10-03,796.71,1876.0,87.0,837.18,1914.0,844.37,175212.0
2023-10-04,859.43,2118.0,93.0,836.4,1945.0,844.3,176072.0
2023-10-05,800.26,1768.0,57.0,816.88,1881.0,841.88,176872.0
2023-10-06,895.56,2125.0,76.0,811.21,1875.0,842.21,177768.0
2023-10-07,746.69,1862.0,61.0,801.6,1885.0,837.59,178514.0
2023-10-08,706.31,1602.0,66.0,798.34,1862.0,831.61,179221.0
2023-10-09,841.46,2005.0,71.0,806.63,1908.0,834.06,180062.0
2023-10-10,806.18,1914.0,86.0,807.98,1913.0,835.82,180868.0
2023-10-11,854.98,2158.0,74.0,807.35,1919.0,836.75,181723.0
2023-10-12,840.17,2048.0,63.0,813.05,1959.0,835.98,182564.0
2023-10-13,843.45,2039.0,64.0,805.61,1947.0,836.19,183407.0
2023-10-14,747.58,1666.0,63.0,805.73,1919.0,831.12,184155.0
2023-10-15,735.16,1606.0,70.0,809.85,1919.0,828.46,184890.0
2023-10-16,832.1,2010.0,79.0,808.52,1920.0,831.74,185722.0
2023-10-17,840.97,2045.0,78.0,813.49,1939.0,834.56,186563.0
2023-10-18,896.36,2246.0,91.0,819.4,1951.0,835.17,187459.0
2023-10-19,854.47,1936.0,78.0,821.44,1935.0,833.86,188314.0
2023-10-20,819.64,1819.0,74.0,818.04,1904.0,830.28,189133.0
2023-10-21,819.31,1908.0,82.0,828.29,1939.0,829.05,189953.0
2023-10-22,732.46,1723.0,74.0,827.9,1955.0,824.36,190685.0
2023-10-23,924.0,2288.0,110.0,841.03,1995.0,831.12,191609.0
2023-10-24,849.0,1942.0,101.0,842.18,1980.0,831.59,192458.0
2023-10-25,872.29,2101.0,61.0,838.74,1960.0,830.09,193330.0
2023-10-26,897.05,2052.0,77.0,844.82,1976.0,829.17,194227.0
2023-10-27,861.91,1986.0,83.0,850.86,2000.0,829.07,195089.0
2023-10-28,829.35,1996.0,83.0,852.29,2013.0,825.49,195919.0
2023-10-29,798.14,1734.0,65.0,861.68,2014.0,820.92,196717.0
2023-10-30,896.54,2081.0,70.0,857.75,1985.0,823.67,197613.0
2023-10-31,925.0,2159.0,73.0,868.61,2016.0,830.2,198538.0
2023-11-01,1064.95,2653.0,98.0,896.13,2094.0,839.58,199603.0
2023-11-02,1050.98,2162.0,77.0,918.12,2110.0,848.06,200654.0
2023-11-03,995.67,2425.0,89.0,937.23,2173.0,852.6,201650.0
2023-11-04,965.2,2230.0,92.0,956.64,2206.0,858.1,202615.0
2023-11-05,1032.01,2470.0,102.0,990.05,2311.0,862.65,203647.0
2023-11-06,1172.87,2975.0,122.0,1029.53,2439.0,876.85,204820.0
2023-11-07,1149.64,2937.0,104.0,1061.62,2550.0,891.63,205970.0
2023-11-08,1162.39,2433.0,118.0,1075.54,2519.0,902.33,207132.0
2023-11-09,1189.71,2747.0,143.0,1095.36,2602.0,915.11,208322.0
2023-11-10,1197.9,2968.0,128.0,1124.25,2680.0,926.54,209520.0
2023-11-11,1165.34,2640.0,194.0,1152.84,2739.0,937.38,210685.0
2023-11-12,1061.09,2518.0,102.0,1156.99,2745.0,944.64,211746.0
2023-11-13,1154.67,2509.0,97.0,1154.39,2679.0,958.21,212901.0
2023-11-14,1172.97,2650.0,102.0,1157.72,2638.0,972.8,214074.0
2023-11-15,1215.66,2776.0,139.0,1165.33,2687.0,985.58,215289.0
2023-11-16,1232.47,2855.0,150.0,1171.44,2702.0,998.63,216522.0
2023-11-17,1120.51,2746.0,107.0,1160.39,2671.0,1006.11,217642.0
2023-11-18,1099.18,2543.0,92.0,1150.94,2657.0,1014.26,218742.0
2023-11-19,1041.31,2518.0,69.0,1148.11,2657.0,1021.65,219783.0
2023-11-20,1159.55,2583.0,100.0,1148.81,2667.0,1032.99,220942.0
2023-11-21,1165.69,2586.0,114.0,1147.77,2658.0,1047.43,222108.0
2023-11-22,1200.42,2918.0,113.0,1145.59,2678.0,1056.65,223308.0
2023-11-23,1081.52,2481.0,91.0,1124.03,2625.0,1064.4,224390.0
2023-11-24,1093.88,2491.0,102.0,1120.22,2589.0,1071.79,225484.0
2023-11-25,1081.81,2520.0,115.0,1117.74,2585.0,1077.94,226566.0
2023-11-26,979.54,2422.0,102.0,1108.92,2572.0,1081.87,227545.0
2023-11-27,1157.06,2845.0,123.0,1108.56,2609.0,1092.79,228702.0
2023-11-28,1200.94,2886.0,126.0,1113.6,2652.0,1106.22,229903.0
2023-11-29,1210.07,2907.0,119.0,1114.97,2650.0,1116.67,231113.0
2023-11-30,1187.04,2827.0,118.0,1130.05,2700.0,1125.4,232300.0
2023-12-01,1278.23,2858.0,102.0,1156.38,2752.0,1132.51,233579.0
2023-12-02,1194.67,2759.0,113.0,1172.51,2786.0,1137.3,234773.0
2023-12-03,1187.58,2739.0,98.0,1202.23,2832.0,1143.7,235961.0
2023-12-04,1322.6,3329.0,127.0,1225.88,2901.0,1155.61,237283.0
2023-12-05,1362.92,3126.0,137.0,1249.02,2935.0,1166.64,238646.0
2023-12-06,1219.89,2794.0,116.0,1250.42,2919.0,1168.21,239866.0
2023-12-07,1245.36,2750.0,128.0,1258.75,2908.0,1171.4,241112.0
2023-12-08,1320.66,3109.0,144.0,1264.81,2944.0,1176.67,242432.0
2023-12-09,1185.88,2931.0,93.0,1263.56,2968.0,1176.55,243618.0
2023-12-10,1204.96,2708.0,125.0,1266.04,2964.0,1176.78,244823.0
2023-12-11,1410.37,3368.0,136.0,1278.58,2969.0,1184.95,246233.0
2023-12-12,1375.12,3298.0,142.0,1280.32,2994.0,1195.42,247609.0
2023-12-13,1329.93,2876.0,127.0,1296.04,3006.0,1201.26,248939.0
2023-12-14,1310.66,3009.0,122.0,1305.37,3043.0,1205.85,250249.0
2023-12-15,1316.0,3011.0,162.0,1304.7,3029.0,1209.19,251565.0
2023-12-16,1211.69,2982.0,115.0,1308.39,3036.0,1208.5,252777.0
2023-12-17,1119.63,2441.0,99.0,1296.2,2998.0,1208.47,253896.0
2023-12-18,1403.39,3610.0,158.0,1295.2,3032.0,1218.61,255300.0
2023-12-19,1325.23,3065.0,122.0,1288.08,2999.0,1228.08,256625.0
2023-12-20,1402.6,3336.0,129.0,1298.46,3065.0,1236.18,258028.0
2023-12-21,1398.28,3253.0,131.0,1310.97,3100.0,1243.93,259426.0
2023-12-22,1284.35,2926.0,113.0,1306.45,3088.0,1246.73,260710.0
2023-12-23,1188.65,3004.0,125.0,1303.16,3091.0,1250.3,261899.0
2023-12-24,1227.17,3012.0,108.0,1318.52,3172.0,1254.74,263126.0
2023-12-25,1258.74,3018.0,122.0,1297.86,3088.0,1260.64,264385.0
2023-12-26,1330.51,3250.0,106.0,1298.61,3114.0,1272.34,265715.0
2023-12-27,1330.44,3180.0,105.0,1288.31,3092.0,1278.12,267046.0
2023-12-28,1428.33,3481.0,127.0,1292.6,3124.0,1285.7,268474.0
2023-12-29,1343.63,3154.0,162.0,1301.07,3157.0,1290.15,269818.0
