day_of_week,hour,nb_observations,spend,clicks,conversions,cvr_pct
Wednesday,22,94,1446.0,3356.0,124.0,3.69
Wednesday,23,56,992.0,1995.0,94.0,4.71
Thursday,0,28,483.0,932.0,40.0,4.29
Thursday,1,29,579.0,1283.0,50.0,3.9
Thursday,2,28,484.0,861.0,36.0,4.18
Thursday,3,20,288.0,667.0,26.0,3.9
Thursday,4,26,308.0,767.0,28.0,3.65
Thursday,5,72,1188.0,2793.0,108.0,3.87
Thursday,6,119,1576.0,3589.0,145.0,4.04
Thursday,7,228,3280.0,8290.0,314.0,3.79
Thursday,8,462,7070.0,16482.0,674.0,4.09
Thursday,9,623,9940.0,24065.0,943.0,3.92
Thursday,10,560,9212.0,20996.0,822.0,3.92
Thursday,11,549,8236.0,20222.0,745.0,3.68
Thursday,12,350,5660.0,13115.0,512.0,3.9
Thursday,13,446,6861.0,16352.0,642.0,3.93
Thursday,14,479,7320.0,17392.0,676.0,3.89
Thursday,15,413,6636.0,15899.0,623.0,3.92
Thursday,16,334,5301.0,12081.0,561.0,4.64
Thursday,17,280,4457.0,10088.0,431.0,4.27
Thursday,18,248,3740.0,8511.0,360.0,4.23
Thursday,19,181,2767.0,6727.0,295.0,4.39
Thursday,20,151,2613.0,6047.0,297.0,4.91
Thursday,21,108,1426.0,3324.0,136.0,4.09
Thursday,22,78,1091.0,2568.0,102.0,3.97
Thursday,23,56,820.0,2066.0,78.0,3.78
Friday,0,25,452.0,933.0,52.0,5.57
Friday,1,35,427.0,980.0,47.0,4.8
Friday,2,23,333.0,672.0,30.0,4.46
Friday,3,25,438.0,1034.0,48.0,4.64
Friday,4,19,182.0,519.0,7.0,1.35
Friday,5,53,778.0,1561.0,75.0,4.8
Friday,6,118,1662.0,4116.0,161.0,3.91
Friday,7,223,3576.0,8585.0,393.0,4.58
Friday,8,478,7301.0,17701.0,715.0,4.04
Friday,9,603,10028.0,23072.0,963.0,4.17
Friday,10,575,8648.0,21210.0,858.0,4.05
Friday,11,552,8387.0,19770.0,783.0,3.96
Friday,12,340,5390.0,12570.0,506.0,4.03
Friday,13,414,7021.0,16184.0,680.0,4.2
Friday,14,482,7406.0,17203.0,735.0,4.27
Friday,15,426,6895.0,16328.0,608.0,3.72
Friday,16,360,5690.0,13150.0,567.0,4.31
Friday,17,304,4971.0,11836.0,469.0,3.96
Friday,18,234,3535.0,8189.0,364.0,4.44
Friday,19,163,2568.0,5998.0,242.0,4.03
Friday,20,161,2490.0,5846.0,208.0,3.56
Friday,21,104,1479.0,4054.0,152.0,3.75
Friday,22,75,1264.0,2577.0,109.0,4.23
Friday,23,58,873.0,1817.0,84.0,4.62
Saturday,0,21,309.0,561.0,21.0,3.74
Saturday,1,33,444.0,1388.0,68.0,4.9
Saturday,2,24,331.0,878.0,31.0,3.53
Saturday,3,30,400.0,939.0,36.0,3.83
Saturday,4,34,532.0,1438.0,61.0,4.24
Saturday,5,60,932.0,2075.0,77.0,3.71
Saturday,6,131,1751.0,4171.0,161.0,3.86
Saturday,7,225,3048.0,7177.0,270.0,3.76
Saturday,8,447,6150.0,14116.0,604.0,4.28
Saturday,9,578,8300.0,19062.0,725.0,3.8
Saturday,10,603,8631.0,20142.0,803.0,3.99
Saturday,11,507,7044.0,17136.0,680.0,3.97
Saturday,12,351,4662.0,11365.0,414.0,3.64
Saturday,13,435,5459.0,13013.0,553.0,4.25
Saturday,14,496,7290.0,16640.0,770.0,4.63
Saturday,15,443,5594.0,13385.0,497.0,3.71
Saturday,16,375,5341.0,13218.0,479.0,3.62
Saturday,17,290,3792.0,9060.0,347.0,3.83
Saturday,18,233,3258.0,7438.0,294.0,3.95
Saturday,19,180,2758.0,6324.0,245.0,3.87
Saturday,20,145,2149.0,5120.0,184.0,3.59
Saturday,21,107,1750.0,3955.0,160.0,4.05
Saturday,22,92,1267.0,2647.0,100.0,3.78
Saturday,23,51,666.0,1980.0,70.0,3.54
Sunday,0,27,439.0,1112.0,51.0,4.59
Sunday,1,29,425.0,1009.0,39.0,3.87
Sunday,2,34,435.0,922.0,41.0,4.45
Sunday,3,36,525.0,1104.0,40.0,3.62
Sunday,4,24,148.0,380.0,13.0,3.42
Sunday,5,69,939.0,2481.0,79.0,3.18
Sunday,6,109,1377.0,3666.0,130.0,3.55
Sunday,7,282,3691.0,8911.0,331.0,3.71
Sunday,8,462,6034.0,14209.0,536.0,3.77
Sunday,9,550,8309.0,19591.0,844.0,4.31
Sunday,10,583,7926.0,18496.0,762.0,4.12
Sunday,11,580,8128.0,19674.0,860.0,4.37
Sunday,12,355,5106.0,11862.0,441.0,3.72
Sunday,13,436,6040.0,14420.0,590.0,4.09
Sunday,14,474,6446.0,15490.0,597.0,3.85
Sunday,15,437,6219.0,14443.0,586.0,4.06
Sunday,16,351,4592.0,10299.0,392.0,3.81
Sunday,17,302,4011.0,9075.0,389.0,4.29
Sunday,18,208,2800.0,6886.0,228.0,3.31
Sunday,19,195,2799.0,6662.0,252.0,3.78
Sunday,20,162,2280.0,5278.0,215.0,4.07
Sunday,21,121,1608.0,3692.0,143.0,3.87
Sunday,22,97,1566.0,3647.0,148.0,4.06
Sunday,23,49,682.0,1570.0,69.0,4.39
