service_id,reservation_id,hotel_id,date_service,categorie,montant,quantite
SVC00034,RES01010,HTL003,2023-12-28,Transport,21557,2
SVC00035,RES01175,HTL005,2024-01-19,Restaurant,16619,2
SVC00036,RES01175,HTL005,2024-01-20,Restaurant,34190,3
SVC00037,RES01175,HTL005,2024-01-18,Spa & Bien-etre,47553,2
SVC00038,RES07056,HTL003,2022-07-11,Restaurant,15248,2
SVC00039,RES07056,HTL003,2022-07-10,Minibar,7653,2
SVC00040,RES07056,HTL003,2022-07-11,Restaurant,37427,3
SVC00041,RES07056,HTL003,2022-07-11,Room service,14183,3
SVC00042,RES07056,HTL003,2022-07-11,Minibar,6775,3
SVC00043,RES01748,HTL003,2023-03-01,Minibar,18270,2
SVC00044,RES01748,HTL003,2023-03-02,Room service,17507,2
SVC00045,RES01748,HTL003,2023-03-01,Minibar,18285,2
SVC00046,RES01748,HTL003,2023-03-03,Room service,28762,2
SVC00047,RES04592,HTL005,2023-07-23,Room service,26813,1
SVC00048,RES03208,HTL004,2024-01-02,Restaurant,28461,1
SVC00049,RES03208,HTL004,2024-01-04,Minibar,6433,1
SVC00050,RES03208,HTL004,2024-01-02,Room service,14738,1
SVC00051,RES03208,HTL004,2024-01-04,Restaurant,27745,2
SVC00052,RES03208,HTL004,2024-01-03,Spa & Bien-etre,37988,3
SVC00053,RES01812,HTL001,2023-06-21,Minibar,11735,2
SVC00054,RES06607,HTL003,2022-01-24,Room service,11757,2
SVC00055,RES06607,HTL003,2022-01-24,Salle conference,198747,2
SVC00056,RES04585,HTL004,2024-02-28,Restaurant,12379,2
SVC00057,RES04585,HTL004,2024-02-29,Minibar,6502,3
SVC00058,RES04585,HTL004,2024-03-01,Room service,20126,2
SVC00059,RES04585,HTL004,2024-02-29,Blanchisserie,13722,3
SVC00060,RES04424,HTL001,2022-11-17,Restaurant,25897,2
SVC00061,RES04424,HTL001,2022-11-16,Minibar,18967,1
SVC00062,RES04424,HTL001,2022-11-15,Transport,29810,2
SVC00063,RES04424,HTL001,2022-11-16,Restaurant,34214,1
SVC00064,RES02030,HTL001,2022-01-17,Salle conference,154893,1
SVC00065,RES02030,HTL001,2022-01-18,Transport,45534,2
SVC00066,RES02030,HTL001,2022-01-16,Transport,19126,3
SVC00067,RES04174,HTL002,2023-08-20,Restaurant,18314,2
SVC00068,RES04174,HTL002,2023-08-20,Blanchisserie,10532,3
SVC00069,RES04174,HTL002,2023-08-20,Restaurant,13225,2
SVC00070,RES04174,HTL002,2023-08-20,Restaurant,15243,1
SVC00071,RES04174,HTL002,2023-08-20,Transport,25283,3
SVC00072,RES00148,HTL005,2023-11-08,Spa & Bien-etre,52941,3
SVC00073,RES00148,HTL005,2023-11-07,Transport,34146,1
SVC00074,RES03077,HTL004,2022-06-19,Minibar,14439,3
SVC00075,RES03077,HTL004,2022-06-21,Blanchisserie,12080,1
SVC00076,RES02500,HTL003,2023-12-24,Minibar,15022,3
SVC00077,RES02500,HTL003,2023-12-23,Room service,11199,2
SVC00078,RES02500,HTL003,2023-12-21,Restaurant,16668,1
SVC00079,RES02500,HTL003,2023-12-21,Room service,25400,3
SVC00080,RES02150,HTL005,2024-02-12,Spa & Bien-etre,75502,1
SVC00081,RES02150,HTL005,2024-02-14,Spa & Bien-etre,108538,1
SVC00082,RES05804,HTL001,2023-09-17,Restaurant,30003,1
SVC00083,RES05804,HTL001,2023-09-17,Transport,28617,3
SVC00084,RES05804,HTL001,2023-09-17,Room service,10455,2
SVC00085,RES05804,HTL001,2023-09-17,Transport,20637,1
SVC00086,RES07961,HTL003,2022-04-10,Transport,31886,2
SVC00087,RES07961,HTL003,2022-04-11,Blanchisserie,6461,2
SVC00088,RES07961,HTL003,2022-04-11,Transport,49064,2
SVC00089,RES07961,HTL003,2022-04-11,Room service,10866,3
SVC00090,RES04998,HTL005,2023-05-03,Restaurant,12993,2
SVC00091,RES04998,HTL005,2023-05-03,Blanchisserie,13748,2
SVC00092,RES00507,HTL002,2022-11-03,Room service,10526,3
SVC00093,RES00507,HTL002,2022-11-03,Restaurant,31820,3
SVC00094,RES02846,HTL005,2024-02-03,Minibar,17984,2
SVC00095,RES02846,HTL005,2024-02-03,Restaurant,22374,3
SVC00096,RES02846,HTL005,2024-02-02,Minibar,11081,1
SVC00097,RES00799,HTL005,2024-06-01,Room service,28044,3
SVC00098,RES00799,HTL005,2024-05-28,Restaurant,17501,1
SVC00099,RES00799,HTL005,2024-06-01,Room service,14073,2
SVC00100,RES00799,HTL005,2024-05-29,Room service,16692,3
SVC00101,RES00799,HTL005,2024-05-29,Minibar,9549,2
SVC00102,RES04686,HTL002,2023-12-21,Room service,16989,2
SVC00103,RES06755,HTL003,2022-05-16,Minibar,6965,2
SVC00104,RES06755,HTL003,2022-05-17,Restaurant,16520,1
SVC00105,RES02302,HTL002,2024-03-11,Minibar,7291,1
SVC00106,RES06072,HTL002,2022-06-01,Transport,25712,2
SVC00107,RES06072,HTL002,2022-06-02,Blanchisserie,10148,1
SVC00108,RES06072,HTL002,2022-06-01,Minibar,17486,3
SVC00109,RES06072,HTL002,2022-06-02,Spa & Bien-etre,69252,3
SVC00110,RES06733,HTL004,2023-06-05,Room service,25144,2
SVC00111,RES06733,HTL004,2023-06-06,Restaurant,25874,2
SVC00112,RES06733,HTL004,2023-06-06,Spa & Bien-etre,109042,1
SVC00113,RES06733,HTL004,2023-06-05,Room service,14450,2
SVC00114,RES02631,HTL002,2023-01-15,Transport,32001,2
SVC00115,RES02631,HTL002,2023-01-14,Minibar,17978,3
SVC00116,RES02322,HTL005,2023-06-21,Restaurant,20031,3
SVC00117,RES02322,HTL005,2023-06-22,Room service,23980,1
SVC00118,RES02322,HTL005,2023-06-21,Transport,38013,2
SVC00119,RES02322,HTL005,2023-06-22,Restaurant,13812,2
SVC00120,RES04255,HTL002,2024-02-09,Transport,16557,3
SVC00121,RES04255,HTL002,2024-02-09,Minibar,7108,1
SVC00122,RES04255,HTL002,2024-02-09,Restaurant,36669,2
SVC00123,RES00872,HTL001,2022-09-10,Minibar,19914,3
SVC00124,RES00872,HTL001,2022-09-10,Restaurant,22275,3
SVC00125,RES00872,HTL001,2022-09-10,Room service,20180,1
SVC00126,RES00872,HTL001,2022-09-10,Room service,14084,3
SVC00127,RES03317,HTL001,2024-05-19,Restaurant,33504,2
SVC00128,RES03317,HTL001,2024-05-20,Transport,47591,2
SVC00129,RES06141,HTL001,2023-03-03,Restaurant,19153,1
SVC00130,RES06141,HTL001,2023-03-01,Spa & Bien-etre,61607,1
SVC00131,RES06141,HTL001,2023-03-01,Minibar,13014,1
SVC00132,RES06141,HTL001,2023-03-01,Blanchisserie,13585,3
SVC00133,RES06330,HTL004,2022-08-22,Room service,20073,3
SVC00134,RES06330,HTL004,2022-08-23,Room service,12119,3
SVC00135,RES06330,HTL004,2022-08-23,Room service,14571,3
SVC00136,RES06330,HTL004,2022-08-22,Restaurant,26160,2
SVC00137,RES06157,HTL003,2023-08-18,Room service,13565,3
SVC00138,RES06157,HTL003,2023-08-16,Room service,19059,1
SVC00139,RES06157,HTL003,2023-08-18,Minibar,9315,1
SVC00140,RES06157,HTL003,2023-08-14,Restaurant,20027,3
SVC00141,RES06157,HTL003,2023-08-17,Salle conference,120249,1
SVC00142,RES04730,HTL004,2022-02-02,Transport,37270,2
SVC00143,RES04730,HTL004,2022-02-03,Restaurant,33001,1
SVC00144,RES03539,HTL002,2022-10-24,Transport,35961,1
SVC00145,RES02583,HTL005,2022-06-18,Minibar,19734,1
SVC00146,RES02355,HTL001,2022-10-30,Transport,33817,3
SVC00147,RES02355,HTL001,2022-10-29,Blanchisserie,4935,3
SVC00148,RES02355,HTL001,2022-10-29,Minibar,13019,1
SVC00149,RES02355,HTL001,2022-10-29,Restaurant,21075,1
SVC00150,RES05292,HTL002,2024-03-24,Minibar,18949,1
SVC00151,RES05292,HTL002,2024-03-24,Minibar,13922,2
SVC00152,RES06262,HTL003,2023-11-05,Salle conference,84614,1
SVC00153,RES06262,HTL003,2023-11-05,Room service,22045,2
SVC00154,RES06036,HTL001,2022-01-05,Restaurant,36366,3
SVC00155,RES06036,HTL001,2022-01-07,Restaurant,31202,2
SVC00156,RES06036,HTL001,2022-01-05,Salle conference,90706,3
SVC00157,RES06036,HTL001,2022-01-06,Blanchisserie,12232,1
SVC00158,RES06036,HTL001,2022-01-05,Room service,27791,2
SVC00159,RES07400,HTL005,2023-12-29,Restaurant,25293,1
SVC00160,RES01409,HTL004,2023-11-09,Room service,24626,1
SVC00161,RES01409,HTL004,2023-11-08,Transport,42741,2
SVC00162,RES01409,HTL004,2023-11-08,Minibar,13987,2
SVC00163,RES07166,HTL004,2022-03-14,Room service,13212,3
SVC00164,RES07166,HTL004,2022-03-13,Minibar,7841,2
SVC00165,RES07166,HTL004,2022-03-13,Restaurant,30544,2
SVC00166,RES04599,HTL001,2022-03-15,Restaurant,28164,3
SVC00167,RES04599,HTL001,2022-03-15,Room service,20801,3
SVC00168,RES00255,HTL005,2024-02-05,Minibar,16179,3
SVC00169,RES07331,HTL004,2022-03-24,Minibar,16730,2
SVC00170,RES07331,HTL004,2022-03-23,Minibar,10682,1
SVC00171,RES07331,HTL004,2022-03-24,Minibar,11987,1
SVC00172,RES07331,HTL004,2022-03-23,Minibar,15180,1
SVC00173,RES07331,HTL004,2022-03-23,Spa & Bien-etre,36409,3
SVC00174,RES01364,HTL002,2022-05-31,Transport,24287,3
SVC00175,RES01364,HTL002,2022-05-31,Restaurant,32317,1
SVC00176,RES01364,HTL002,2022-05-30,Restaurant,25560,2
SVC00177,RES01364,HTL002,2022-05-30,Salle conference,103412,2
SVC00178,RES01364,HTL002,2022-05-30,Salle conference,141669,2
SVC00179,RES04941,HTL004,2022-01-04,Restaurant,20161,2
SVC00180,RES04941,HTL004,2022-01-01,Transport,48738,3
SVC00181,RES04941,HTL004,2022-01-04,Blanchisserie,5930,3
SVC00182,RES04941,HTL004,2022-01-04,Restaurant,27802,2
SVC00183,RES01278,HTL002,2023-08-09,Transport,30852,2
SVC00184,RES06370,HTL002,2022-11-25,Restaurant,28621,3
SVC00185,RES06370,HTL002,2022-11-25,Minibar,17670,2
SVC00186,RES00280,HTL001,2023-08-22,Restaurant,14989,1
SVC00187,RES00280,HTL001,2023-08-23,Room service,22729,2
SVC00188,RES00280,HTL001,2023-08-21,Room service,26071,1
SVC00189,RES00860,HTL002,2023-07-10,Room service,25263,1
SVC00190,RES00860,HTL002,2023-07-10,Minibar,19922,1
SVC00191,RES05763,HTL005,2022-06-12,Restaurant,22685,3
SVC00192,RES05763,HTL005,2022-06-14,Minibar,6895,3
SVC00193,RES05763,HTL005,2022-06-13,Blanchisserie,6568,1
SVC00194,RES05763,HTL005,2022-06-13,Restaurant,20895,1
SVC00195,RES05763,HTL005,2022-06-14,Spa & Bien-etre,74484,2
SVC00196,RES01052,HTL003,2023-01-02,Restaurant,21396,1
SVC00197,RES01052,HTL003,2022-12-31,Room service,26038,3
SVC00198,RES00067,HTL004,2023-09-26,Restaurant,30445,2
SVC00199,RES00067,HTL004,2023-09-27,Minibar,12888,3
SVC00200,RES00067,HTL004,2023-09-26,Transport,45534,3
SVC00201,RES00067,HTL004,2023-09-26,Blanchisserie,7402,1
SVC00202,RES00067,HTL004,2023-09-27,Salle conference,140978,2
SVC00203,RES05108,HTL001,2024-05-26,Restaurant,35871,1
SVC00204,RES05108,HTL001,2024-05-27,Restaurant,24783,2
SVC00205,RES05108,HTL001,2024-05-26,Restaurant,18722,1
SVC00206,RES04127,HTL004,2022-06-30,Spa & Bien-etre,58728,1
SVC00207,RES04127,HTL004,2022-06-30,Blanchisserie,6146,3
SVC00208,RES04127,HTL004,2022-06-30,Minibar,16811,3
SVC00209,RES04127,HTL004,2022-06-30,Minibar,12553,2
SVC00210,RES04127,HTL004,2022-06-30,Transport,43511,3
SVC00211,RES00447,HTL002,2022-03-29,Blanchisserie,4890,1
SVC00212,RES06052,HTL003,2024-02-04,Restaurant,13179,3
SVC00213,RES00105,HTL005,2023-06-09,Minibar,17106,3
SVC00214,RES00105,HTL005,2023-06-11,Room service,9623,1
SVC00215,RES00584,HTL003,2022-05-24,Minibar,17381,2
SVC00216,RES00584,HTL003,2022-05-24,Blanchisserie,12707,3
SVC00217,RES01954,HTL001,2024-03-25,Restaurant,29128,1
SVC00218,RES01954,HTL001,2024-03-25,Room service,28541,3
SVC00219,RES07025,HTL002,2024-05-01,Transport,26857,1
SVC00220,RES07025,HTL002,2024-05-01,Transport,39037,3
SVC00221,RES07025,HTL002,2024-04-30,Room service,11813,3
SVC00222,RES01880,HTL004,2024-02-21,Room service,25594,2
SVC00223,RES01880,HTL004,2024-02-21,Restaurant,17308,1
SVC00224,RES01880,HTL004,2024-02-22,Room service,13052,1
SVC00225,RES04984,HTL001,2022-12-08,Restaurant,28908,3
SVC00226,RES04984,HTL001,2022-12-07,Blanchisserie,7069,1
SVC00227,RES04984,HTL001,2022-12-07,Minibar,8646,3
SVC00228,RES04984,HTL001,2022-12-09,Restaurant,20457,2
SVC00229,RES04984,HTL001,2022-12-08,Salle conference,111201,2
SVC00230,RES06353,HTL001,2022-11-16,Room service,12016,3
SVC00231,RES06353,HTL001,2022-11-16,Minibar,10597,2
SVC00232,RES04199,HTL004,2023-11-26,Restaurant,32083,3
SVC00233,RES05971,HTL004,2022-11-16,Minibar,11998,2
SVC00234,RES05971,HTL004,2022-11-15,Restaurant,12598,1
SVC00235,RES05971,HTL004,2022-11-15,Transport,48510,3
SVC00236,RES05971,HTL004,2022-11-19,Room service,25876,1
SVC00237,RES06473,HTL003,2023-01-29,Room service,22495,2
SVC00238,RES06473,HTL003,2023-01-27,Restaurant,18655,3
SVC00239,RES06473,HTL003,2023-01-30,Room service,23667,2
SVC00240,RES06473,HTL003,2023-01-29,Minibar,14868,2
SVC00241,RES06473,HTL003,2023-01-29,Salle conference,124050,1
SVC00242,RES03699,HTL002,2023-06-17,Minibar,8137,1
SVC00243,RES03699,HTL002,2023-06-17,Restaurant,22121,2
SVC00244,RES03699,HTL002,2023-06-17,Restaurant,13196,1
SVC00245,RES03699,HTL002,2023-06-17,Transport,20453,2
SVC00246,RES03699,HTL002,2023-06-18,Room service,19891,3
SVC00247,RES01005,HTL001,2023-02-20,Transport,21517,1
SVC00248,RES00112,HTL005,2024-03-14,Room service,12936,3
SVC00249,RES00112,HTL005,2024-03-13,Blanchisserie,6842,3
SVC00250,RES00112,HTL005,2024-03-15,Spa & Bien-etre,37687,2
SVC00251,RES00112,HTL005,2024-03-13,Salle conference,137279,3
SVC00252,RES00112,HTL005,2024-03-14,Restaurant,24011,1
SVC00253,RES03901,HTL002,2022-04-19,Spa & Bien-etre,56622,3
SVC00254,RES03901,HTL002,2022-04-19,Restaurant,12181,2
SVC00255,RES03901,HTL002,2022-04-21,Transport,25547,2
SVC00256,RES03901,HTL002,2022-04-19,Minibar,19710,2
SVC00257,RES03901,HTL002,2022-04-20,Blanchisserie,10057,3
SVC00258,RES07093,HTL005,2023-10-08,Restaurant,31361,2
SVC00259,RES07093,HTL005,2023-10-08,Minibar,18984,3
SVC00260,RES07093,HTL005,2023-10-12,Restaurant,21439,3
SVC00261,RES07093,HTL005,2023-10-08,Room service,15001,1
SVC00262,RES07093,HTL005,2023-10-12,Room service,16569,1
SVC00263,RES04306,HTL002,2022-12-05,Minibar,15415,1
SVC00264,RES04306,HTL002,2022-12-05,Blanchisserie,11234,2
SVC00265,RES04306,HTL002,2022-12-05,Blanchisserie,14994,3
SVC00266,RES01691,HTL005,2022-06-22,Blanchisserie,9039,1
SVC00267,RES01691,HTL005,2022-06-20,Room service,16430,2
SVC00268,RES01691,HTL005,2022-06-22,Salle conference,168321,2
SVC00269,RES05368,HTL004,2024-04-26,Restaurant,34977,1
SVC00270,RES00366,HTL001,2024-04-24,Restaurant,34168,2
SVC00271,RES01558,HTL005,2022-09-12,Room service,24050,1
SVC00272,RES01558,HTL005,2022-09-14,Blanchisserie,14629,2
SVC00273,RES01558,HTL005,2022-09-14,Restaurant,36494,1
SVC00274,RES01558,HTL005,2022-09-13,Restaurant,35072,3
SVC00275,RES01558,HTL005,2022-09-13,Room service,12128,2
SVC00276,RES05777,HTL004,2022-09-11,Restaurant,15875,3
SVC00277,RES05777,HTL004,2022-09-11,Blanchisserie,7968,1
SVC00278,RES05777,HTL004,2022-09-11,Salle conference,139703,3
SVC00279,RES05777,HTL004,2022-09-11,Blanchisserie,10909,1
SVC00280,RES05777,HTL004,2022-09-11,Room service,21801,1
SVC00281,RES04958,HTL002,2022-01-28,Transport,48963,2
SVC00282,RES04958,HTL002,2022-01-30,Restaurant,18301,1
SVC00283,RES04958,HTL002,2022-01-27,Blanchisserie,11153,2
SVC00284,RES04958,HTL002,2022-01-27,Minibar,11335,1
SVC00285,RES01246,HTL002,2023-10-05,Minibar,13015,3
SVC00286,RES01246,HTL002,2023-10-06,Room service,25280,1
SVC00287,RES01246,HTL002,2023-10-05,Restaurant,14185,3
SVC00288,RES01246,HTL002,2023-10-05,Minibar,18611,3
SVC00289,RES01246,HTL002,2023-10-07,Transport,48828,1
SVC00290,RES03223,HTL005,2023-09-14,Transport,39902,2
SVC00291,RES03223,HTL005,2023-09-15,Minibar,10952,3
SVC00292,RES03223,HTL005,2023-09-15,Room service,13242,3
SVC00293,RES03223,HTL005,2023-09-15,Restaurant,25854,2
SVC00294,RES03745,HTL005,2023-08-19,Restaurant,26379,2
SVC00295,RES03745,HTL005,2023-08-19,Blanchisserie,12812,2
SVC00296,RES06318,HTL003,2023-02-20,Spa & Bien-etre,97679,1
SVC00297,RES06318,HTL003,2023-02-23,Restaurant,32453,3
SVC00298,RES06318,HTL003,2023-02-20,Minibar,19027,2
SVC00299,RES07335,HTL005,2022-04-22,Restaurant,21543,3
SVC00300,RES02745,HTL002,2023-03-01,Minibar,18291,2
SVC00301,RES00624,HTL001,2023-10-14,Room service,12694,3
SVC00302,RES00624,HTL001,2023-10-11,Spa & Bien-etre,46604,3
SVC00303,RES06623,HTL001,2024-03-05,Salle conference,99074,1
SVC00304,RES06623,HTL001,2024-03-03,Spa & Bien-etre,64143,1
SVC00305,RES06623,HTL001,2024-03-03,Room service,21535,1
SVC00306,RES03651,HTL002,2023-03-03,Restaurant,25224,3
SVC00307,RES03651,HTL002,2023-03-03,Transport,36272,1
SVC00308,RES03651,HTL002,2023-03-03,Spa & Bien-etre,42922,3
SVC00309,RES03651,HTL002,2023-03-03,Salle conference,188380,1
SVC00310,RES03651,HTL002,2023-03-03,Blanchisserie,13482,3
SVC00311,RES05920,HTL005,2024-01-10,Transport,39175,3
SVC00312,RES05920,HTL005,2024-01-09,Restaurant,28271,2
SVC00313,RES05920,HTL005,2024-01-09,Blanchisserie,5323,1
SVC00314,RES05920,HTL005,2024-01-10,Room service,14331,2
SVC00315,RES06335,HTL002,2022-11-26,Blanchisserie,9562,3
SVC00316,RES06335,HTL002,2022-11-27,Transport,41459,2
SVC00317,RES06335,HTL002,2022-11-27,Transport,38989,1
SVC00318,RES02557,HTL001,2022-04-18,Transport,47368,3
SVC00319,RES02557,HTL001,2022-04-17,Restaurant,23361,1
SVC00320,RES02557,HTL001,2022-04-18,Minibar,16051,2
SVC00321,RES00546,HTL001,2022-09-11,Restaurant,27321,2
SVC00322,RES00546,HTL001,2022-09-11,Spa & Bien-etre,95468,2
SVC00323,RES00546,HTL001,2022-09-11,Minibar,12782,1
SVC00324,RES00546,HTL001,2022-09-11,Transport,44857,3
SVC00325,RES03088,HTL001,2023-06-15,Room service,14402,3
SVC00326,RES03088,HTL001,2023-06-16,Spa & Bien-etre,106928,2
SVC00327,RES03088,HTL001,2023-06-16,Spa & Bien-etre,103170,2
SVC00328,RES07661,HTL005,2023-04-29,Room service,15157,1
SVC00329,RES07661,HTL005,2023-04-26,Restaurant,25243,3
SVC00330,RES07661,HTL005,2023-04-28,Minibar,6404,3
SVC00331,RES07661,HTL005,2023-04-26,Blanchisserie,11199,2
SVC00332,RES02046,HTL001,2022-01-29,Blanchisserie,5136,2
SVC00333,RES02046,HTL001,2022-01-29,Transport,20215,2
SVC00334,RES01658,HTL004,2023-03-13,Restaurant,31383,1
SVC00335,RES01658,HTL004,2023-03-13,Room service,18988,2
SVC00336,RES01658,HTL004,2023-03-13,Minibar,19715,3
SVC00337,RES01658,HTL004,2023-03-13,Spa & Bien-etre,70814,2
SVC00338,RES01658,HTL004,2023-03-14,Minibar,19226,2
SVC00339,RES07747,HTL002,2023-09-17,Spa & Bien-etre,84533,3
SVC00340,RES07747,HTL002,2023-09-17,Restaurant,28056,1
SVC00341,RES00195,HTL001,2022-01-07,Restaurant,19296,3
SVC00342,RES00195,HTL001,2022-01-08,Restaurant,13533,2
SVC00343,RES01289,HTL004,2022-02-01,Restaurant,14689,3
SVC00344,RES02511,HTL001,2023-01-17,Spa & Bien-etre,75173,2
SVC00345,RES02511,HTL001,2023-01-16,Minibar,17529,2
SVC00346,RES02511,HTL001,2023-01-18,Blanchisserie,5822,1
SVC00347,RES02511,HTL001,2023-01-18,Restaurant,29540,3
SVC00348,RES02511,HTL001,2023-01-18,Blanchisserie,9392,1
SVC00349,RES00805,HTL001,2023-09-13,Restaurant,22129,1
SVC00350,RES00805,HTL001,2023-09-11,Blanchisserie,7435,2
SVC00351,RES00805,HTL001,2023-09-13,Restaurant,33991,3
SVC00352,RES04606,HTL002,2023-05-13,Restaurant,37099,3
SVC00353,RES04606,HTL002,2023-05-13,Transport,32697,1
SVC00354,RES04606,HTL002,2023-05-13,Room service,23069,3
SVC00355,RES04606,HTL002,2023-05-13,Salle conference,192993,3
SVC00356,RES04486,HTL005,2022-05-18,Room service,27727,1
SVC00357,RES04486,HTL005,2022-05-19,Restaurant,14458,1
SVC00358,RES04486,HTL005,2022-05-17,Spa & Bien-etre,112438,2
SVC00359,RES05955,HTL003,2022-09-25,Spa & Bien-etre,84349,3
SVC00360,RES05955,HTL003,2022-09-22,Restaurant,26896,3
SVC00361,RES05955,HTL003,2022-09-22,Minibar,10247,1
SVC00362,RES05955,HTL003,2022-09-22,Room service,19828,1
SVC00363,RES05955,HTL003,2022-09-25,Transport,33579,3
SVC00364,RES02904,HTL004,2024-06-12,Room service,21907,1
SVC00365,RES02904,HTL004,2024-06-12,Transport,46528,2
SVC00366,RES02904,HTL004,2024-06-12,Blanchisserie,5866,2
SVC00367,RES02904,HTL004,2024-06-12,Room service,22280,2
SVC00368,RES01282,HTL001,2023-11-26,Spa & Bien-etre,60235,2
SVC00369,RES01282,HTL001,2023-11-25,Restaurant,31563,3
SVC00370,RES01282,HTL001,2023-11-23,Room service,25568,2
SVC00371,RES01282,HTL001,2023-11-25,Restaurant,31423,1
SVC00372,RES01428,HTL002,2023-10-05,Restaurant,18472,3
SVC00373,RES01428,HTL002,2023-10-04,Room service,19295,1
SVC00374,RES07462,HTL004,2023-01-28,Restaurant,36957,1
SVC00375,RES07864,HTL004,2024-03-31,Restaurant,33405,2
SVC00376,RES07864,HTL004,2024-03-31,Salle conference,123883,1
SVC00377,RES07864,HTL004,2024-03-30,Restaurant,24250,2
SVC00378,RES07864,HTL004,2024-03-31,Room service,15745,2
SVC00379,RES00041,HTL002,2024-06-21,Minibar,16752,2
SVC00380,RES07002,HTL003,2024-06-22,Room service,10523,2
SVC00381,RES07002,HTL003,2024-06-23,Restaurant,18562,2
SVC00382,RES07002,HTL003,2024-06-22,Restaurant,37077,2
SVC00383,RES07002,HTL003,2024-06-23,Room service,22279,3
SVC00384,RES07002,HTL003,2024-06-23,Room service,13880,1
SVC00385,RES04844,HTL005,2022-10-27,Minibar,14864,1
SVC00386,RES04844,HTL005,2022-10-26,Minibar,15676,2
SVC00387,RES04844,HTL005,2022-10-25,Blanchisserie,13989,1
SVC00388,RES06616,HTL004,2024-01-09,Room service,9616,3
SVC00389,RES06616,HTL004,2024-01-12,Restaurant,27462,3
SVC00390,RES06616,HTL004,2024-01-12,Restaurant,28503,2
SVC00391,RES06616,HTL004,2024-01-09,Minibar,15477,1
SVC00392,RES06616,HTL004,2024-01-11,Minibar,18775,3
SVC00393,RES01515,HTL003,2023-04-20,Blanchisserie,11247,2
SVC00394,RES01515,HTL003,2023-04-17,Room service,13157,3
SVC00395,RES06977,HTL004,2024-02-20,Minibar,11911,1
SVC00396,RES05696,HTL001,2023-12-31,Restaurant,35202,2
SVC00397,RES05696,HTL001,2024-01-01,Transport,23614,2
SVC00398,RES05696,HTL001,2023-12-31,Spa & Bien-etre,43738,1
SVC00399,RES05532,HTL005,2023-10-31,Transport,20825,1
SVC00400,RES07122,HTL004,2023-03-30,Minibar,14894,1
SVC00401,RES07122,HTL004,2023-04-02,Spa & Bien-etre,43687,3
SVC00402,RES07122,HTL004,2023-03-30,Room service,11615,3
SVC00403,RES07122,HTL004,2023-04-01,Restaurant,31294,3
SVC00404,RES07122,HTL004,2023-03-31,Minibar,18216,3
SVC00405,RES04229,HTL004,2022-12-13,Restaurant,24274,3
SVC00406,RES04229,HTL004,2022-12-10,Salle conference,145881,3
SVC00407,RES06345,HTL003,2023-12-29,Spa & Bien-etre,73787,2
SVC00408,RES06345,HTL003,2023-12-30,Room service,22321,3
SVC00409,RES01851,HTL003,2023-11-19,Salle conference,179261,1
SVC00410,RES05088,HTL002,2023-08-22,Transport,28927,2
SVC00411,RES05088,HTL002,2023-08-22,Blanchisserie,5022,1
SVC00412,RES05088,HTL002,2023-08-21,Restaurant,25216,2
