reservation_id,hotel_id,chambre_id,client_id,date_arrivee,date_depart,nb_nuits,nb_adultes,canal,motif_sejour,prix_nuit_remise,montant_total,statut,csat,date_reservation
RES00015,HTL003,CH0238,CLI2451,2023-01-22,2023-01-24,2,2,Booking.com,Affaires,124200,248400,Terminee,4.0,2023-01-13
RES00016,HTL003,CH0247,CLI0848,2022-05-18,2022-05-19,0,1,Expedia,Conference,121440,121440,Terminee,4.0,2022-05-08
RES00017,HTL003,CH0269,CLI1124,2022-07-10,2022-07-12,2,1,Agence voyage,Tourisme,370300,740600,Terminee,4.0,2022-05-27
RES00018,HTL002,CH0140,CLI0078,2023-08-06,2023-08-09,3,2,Expedia,Conference,105600,316800,Terminee,4.0,2023-07-03
RES00019,HTL001,CH0085,CLI1409,2023-04-23,2023-04-24,1,1,Agence voyage,Conference,126960,126960,Terminee,3.0,2023-03-11
RES00020,HTL005,CH0466,CLI2068,2022-01-27,2022-01-29,2,1,Direct,Tourisme,104000,208000,Terminee,4.0,2021-12-29
RES00021,HTL003,CH0213,CLI2687,2024-02-11,2024-02-12,1,2,Booking.com,Conference,186300,186300,Terminee,4.0,2024-02-01
RES00022,HTL005,CH0426,CLI2089,2022-07-09,2022-07-14,5,1,Booking.com,Affaires,210600,1053000,Terminee,5.0,2022-06-27
RES00023,HTL003,CH0216,CLI0240,2023-12-13,2023-12-17,4,2,Agence voyage,Famille,84640,338560,Terminee,4.0,2023-10-20
RES00024,HTL001,CH0059,CLI1371,2022-05-23,2022-05-26,3,1,Expedia,Famille,121440,364320,Terminee,3.0,2022-05-10
RES00025,HTL004,CH0345,CLI0460,2024-01-19,2024-01-20,1,2,Expedia,Tourisme,70400,70400,Terminee,3.0,2024-01-09
RES00026,HTL005,CH0474,CLI0829,2023-03-20,2023-03-23,3,1,Expedia,Conference,400400,1201200,Terminee,2.0,2023-03-19
RES00027,HTL002,CH0130,CLI1729,2024-01-01,2024-01-02,1,3,Direct,Famille,120000,120000,Terminee,5.0,2023-12-16
RES00028,HTL005,CH0387,CLI0531,2023-09-07,2023-09-08,1,2,Booking.com,Conference,210600,210600,Terminee,2.0,2023-07-15
RES00029,HTL001,CH0043,CLI2981,2024-06-08,2024-06-09,1,2,Expedia,Affaires,182160,182160,Terminee,5.0,2024-05-21
RES00030,HTL003,CH0256,CLI0076,2023-11-20,2023-11-21,1,1,Expedia,Famille,80960,80960,Terminee,5.0,2023-10-16
RES00031,HTL005,CH0394,CLI0205,2024-06-08,2024-06-10,2,2,Booking.com,Conference,210600,421200,Terminee,3.0,2024-06-02
RES00032,HTL001,CH0063,CLI1354,2022-02-07,2022-02-11,4,2,Agence voyage,Affaires,84640,338560,Terminee,4.0,2022-01-18
RES00033,HTL003,CH0208,CLI1192,2024-05-12,2024-05-13,1,2,Booking.com,Conference,362250,362250,Terminee,3.0,2024-04-17
RES00034,HTL004,CH0312,CLI1541,2022-01-01,2022-01-05,4,3,Agence voyage,Conference,110400,441600,Terminee,3.0,2021-12-01
RES00035,HTL001,CH0024,CLI1523,2022-04-20,2022-04-22,2,1,Booking.com,Tourisme,82800,165600,Terminee,5.0,2022-03-15
RES00036,HTL002,CH0148,CLI2885,2023-08-09,2023-08-12,3,1,Expedia,Tourisme,105600,316800,Terminee,3.0,2023-07-28
RES00037,HTL005,CH0513,CLI2228,2023-12-17,2023-12-20,3,1,Booking.com,Tourisme,140400,421200,Terminee,4.0,2023-11-30
RES00038,HTL001,CH0020,CLI2912,2022-09-03,2022-09-05,2,2,Direct,Famille,92000,184000,Terminee,5.0,2022-08-01
RES00039,HTL003,CH0213,CLI1891,2022-12-19,2022-12-21,2,3,Direct,Transit,207000,414000,Terminee,3.0,2022-11-06
RES00040,HTL003,CH0209,CLI0118,2023-04-06,2023-04-09,3,1,Direct,Tourisme,207000,621000,Terminee,2.0,2023-03-23
RES00041,HTL002,CH0173,CLI0274,2024-06-20,2024-06-23,3,1,Booking.com,Affaires,72000,216000,En cours,,2024-06-10
RES00042,HTL005,CH0386,CLI1050,2023-03-23,2023-03-24,1,2,Corporate,Affaires,88400,88400,Terminee,4.0,2023-02-04
RES00043,HTL003,CH0236,CLI1876,2022-12-13,2022-12-18,5,1,Direct,Tourisme,92000,460000,Terminee,5.0,2022-12-08
RES00044,HTL003,CH0290,CLI1769,2023-10-16,2023-10-17,1,3,Corporate,Conference,342125,342125,Terminee,3.0,2023-09-20
RES00045,HTL003,CH0202,CLI2809,2024-03-30,2024-04-03,4,1,Agence voyage,Affaires,126960,507840,Terminee,5.0,2024-02-02
RES00046,HTL001,CH0035,CLI2591,2023-08-20,2023-08-23,3,2,Booking.com,Famille,186300,558900,Terminee,4.0,2023-07-05
RES00047,HTL001,CH0048,CLI1722,2022-10-27,2022-10-28,1,2,Expedia,Conference,80960,80960,Terminee,4.0,2022-10-14
RES00048,HTL005,CH0431,CLI1740,2023-07-07,2023-07-09,2,1,Expedia,Tourisme,137280,274560,Terminee,4.0,2023-05-25
RES00049,HTL002,CH0167,CLI1278,2023-06-24,2023-06-26,2,2,Corporate,Conference,153000,306000,Annulee,,2023-05-07
RES00050,HTL005,CH0482,CLI2481,2022-06-26,2022-06-30,4,2,Corporate,Conference,198900,795600,Terminee,3.0,2022-06-25
RES00051,HTL002,CH0180,CLI0162,2023-01-26,2023-01-27,1,3,Corporate,Affaires,102000,102000,Terminee,3.0,2023-01-14
RES00052,HTL004,CH0341,CLI1123,2023-03-24,2023-03-26,2,3,Direct,Transit,80000,160000,Terminee,5.0,2023-03-07
RES00053,HTL003,CH0286,CLI2009,2024-04-01,2024-04-04,3,2,Direct,Conference,207000,621000,Terminee,2.0,2024-03-09
RES00054,HTL002,CH0200,CLI0907,2022-04-21,2022-04-26,5,1,Expedia,Affaires,70400,352000,Terminee,4.0,2022-03-12
RES00055,HTL003,CH0225,CLI0139,2022-12-26,2022-12-31,5,3,Direct,Famille,138000,690000,Terminee,5.0,2022-11-16
RES00056,HTL002,CH0184,CLI0121,2023-11-11,2023-11-15,4,1,Corporate,Conference,68000,272000,Terminee,5.0,2023-09-14
RES00057,HTL004,CH0314,CLI0738,2023-01-25,2023-01-27,2,1,Agence voyage,Conference,322000,644000,Terminee,4.0,2022-12-01
RES00058,HTL002,CH0194,CLI1314,2023-11-03,2023-11-04,1,2,Booking.com,Conference,72000,72000,Terminee,5.0,2023-10-24
RES00059,HTL005,CH0423,CLI2935,2023-12-08,2023-12-12,4,1,Direct,Affaires,104000,416000,Terminee,3.0,2023-11-09
RES00060,HTL001,CH0078,CLI2507,2023-07-12,2023-07-16,4,2,Corporate,Transit,117300,469200,Annulee,,2023-06-23
RES00061,HTL003,CH0291,CLI2796,2022-02-03,2022-02-05,2,1,Booking.com,Famille,82800,165600,Terminee,3.0,2022-01-01
RES00062,HTL001,CH0078,CLI0025,2023-08-09,2023-08-16,7,2,Direct,Transit,138000,966000,Terminee,5.0,2023-07-30
RES00063,HTL002,CH0176,CLI2593,2022-10-20,2022-10-23,3,2,Direct,Conference,120000,360000,Terminee,2.0,2022-10-15
RES00064,HTL005,CH0499,CLI1410,2024-01-20,2024-01-24,4,1,Booking.com,Affaires,409500,1638000,Terminee,4.0,2023-12-21
RES00065,HTL002,CH0175,CLI1599,2024-03-01,2024-03-03,2,2,Direct,Famille,80000,160000,Terminee,5.0,2024-02-13
RES00066,HTL004,CH0298,CLI2039,2022-05-20,2022-05-22,2,1,Expedia,Affaires,70400,140800,Terminee,5.0,2022-05-06
RES00067,HTL004,CH0344,CLI2106,2023-09-26,2023-09-28,2,1,Direct,Conference,180000,360000,Terminee,2.0,2023-08-16
RES00068,HTL004,CH0323,CLI1415,2023-06-02,2023-06-03,1,1,Booking.com,Transit,315000,315000,Terminee,3.0,2023-04-24
RES00069,HTL002,CH0189,CLI1480,2023-01-11,2023-01-15,4,1,Booking.com,Conference,108000,432000,Terminee,3.0,2022-12-25
RES00070,HTL004,CH0338,CLI0821,2023-12-31,2024-01-03,3,2,Direct,Affaires,180000,540000,Terminee,4.0,2023-12-13
RES00071,HTL002,CH0125,CLI1432,2022-03-19,2022-03-21,2,2,Booking.com,Conference,72000,144000,Terminee,5.0,2022-02-27
RES00072,HTL002,CH0137,CLI0956,2022-03-11,2022-03-16,5,1,Direct,Affaires,120000,600000,Terminee,4.0,2022-03-05
RES00073,HTL005,CH0425,CLI1827,2024-02-24,2024-02-28,4,1,Booking.com,Affaires,210600,842400,Terminee,3.0,2024-01-12
RES00074,HTL003,CH0272,CLI1992,2024-05-31,2024-06-01,1,1,Booking.com,Tourisme,82800,82800,En cours,,2024-05-14
RES00075,HTL001,CH0035,CLI1148,2023-11-14,2023-11-16,2,1,Expedia,Tourisme,182160,364320,Terminee,5.0,2023-11-09
RES00076,HTL003,CH0254,CLI1329,2024-03-12,2024-03-15,3,2,Direct,Tourisme,138000,414000,Terminee,5.0,2024-02-15
RES00077,HTL001,CH0006,CLI1758,2023-02-05,2023-02-09,4,2,Direct,Tourisme,92000,368000,Terminee,5.0,2023-02-04
RES00078,HTL001,CH0092,CLI0465,2023-09-15,2023-09-20,5,2,Direct,Conference,92000,460000,Terminee,5.0,2023-08-06
RES00079,HTL002,CH0141,CLI2904,2024-05-27,2024-06-01,5,2,Agence voyage,Famille,110400,552000,Terminee,3.0,2024-04-02
RES00080,HTL004,CH0340,CLI2761,2024-04-05,2024-04-07,2,2,Direct,Transit,120000,240000,Confirmee,,2024-03-29
RES00081,HTL004,CH0327,CLI0553,2022-01-22,2022-01-29,7,2,Booking.com,Affaires,162000,1134000,Terminee,2.0,2021-12-04
RES00082,HTL004,CH0338,CLI2585,2023-08-01,2023-08-04,3,2,Booking.com,Famille,162000,486000,Terminee,3.0,2023-06-19
RES00083,HTL003,CH0256,CLI2171,2023-08-17,2023-08-21,4,2,Booking.com,Famille,82800,331200,Terminee,5.0,2023-07-17
RES00084,HTL004,CH0357,CLI1501,2023-11-30,2023-12-02,2,1,Booking.com,Affaires,72000,144000,Terminee,4.0,2023-11-08
RES00085,HTL005,CH0423,CLI1200,2022-01-30,2022-02-01,2,1,Agence voyage,Affaires,95680,191360,Annulee,,2021-12-05
RES00086,HTL002,CH0158,CLI0703,2024-02-01,2024-02-04,3,1,Booking.com,Conference,162000,486000,Terminee,4.0,2023-12-13
RES00087,HTL004,CH0331,CLI1166,2022-11-14,2022-11-15,1,2,Direct,Affaires,80000,80000,Terminee,4.0,2022-10-03
RES00088,HTL004,CH0306,CLI1091,2022-10-10,2022-10-12,2,1,Booking.com,Affaires,315000,630000,Terminee,5.0,2022-09-01
RES00089,HTL004,CH0311,CLI0308,2022-08-16,2022-08-23,7,2,Direct,Affaires,80000,560000,Terminee,4.0,2022-07-28
RES00090,HTL003,CH0283,CLI0599,2023-05-09,2023-05-11,2,1,Corporate,Conference,342125,684250,Terminee,2.0,2023-05-08
RES00091,HTL002,CH0182,CLI0970,2022-11-30,2022-12-03,3,3,Direct,Affaires,180000,540000,Terminee,4.0,2022-10-09
RES00092,HTL005,CH0476,CLI2168,2023-08-29,2023-09-01,3,2,Agence voyage,Famille,215280,645840,Annulee,,2023-07-10
RES00093,HTL004,CH0333,CLI2950,2022-02-01,2022-02-08,7,3,Corporate,Transit,102000,714000,Terminee,3.0,2022-01-04
RES00094,HTL001,CH0032,CLI2814,2022-01-27,2022-01-29,2,2,Expedia,Conference,80960,161920,Terminee,3.0,2022-01-09
RES00095,HTL003,CH0286,CLI0027,2023-10-15,2023-10-16,1,2,Agence voyage,Affaires,190440,190440,Terminee,4.0,2023-08-21
RES00096,HTL004,CH0341,CLI1374,2023-10-10,2023-10-14,4,2,Direct,Affaires,80000,320000,Terminee,5.0,2023-09-07
RES00097,HTL004,CH0306,CLI1889,2024-05-21,2024-05-26,5,1,Expedia,Affaires,308000,1540000,Confirmee,,2024-05-09
RES00098,HTL003,CH0231,CLI2463,2023-08-01,2023-08-03,2,2,Direct,Tourisme,207000,414000,Terminee,3.0,2023-07-27
RES00099,HTL005,CH0457,CLI1615,2024-01-26,2024-01-28,2,1,Agence voyage,Famille,143520,287040,Terminee,5.0,2024-01-15
RES00100,HTL001,CH0040,CLI0307,2023-02-05,2023-02-06,1,2,Direct,Affaires,207000,207000,Terminee,5.0,2023-01-05
RES00101,HTL001,CH0075,CLI2627,2022-08-24,2022-08-29,5,3,Agence voyage,Affaires,84640,423200,Terminee,3.0,2022-08-19
RES00102,HTL005,CH0405,CLI0694,2024-04-07,2024-04-10,3,2,Expedia,Affaires,137280,411840,Terminee,5.0,2024-03-09
RES00103,HTL003,CH0225,CLI2475,2023-03-04,2023-03-05,1,3,Direct,Affaires,138000,138000,Terminee,5.0,2023-01-15
RES00104,HTL004,CH0347,CLI1685,2023-02-14,2023-02-16,2,2,Direct,Famille,120000,240000,Terminee,3.0,2023-01-01
RES00105,HTL005,CH0370,CLI0029,2023-06-09,2023-06-12,3,2,Direct,Affaires,234000,702000,Terminee,4.0,2023-05-25
RES00106,HTL003,CH0289,CLI2110,2023-07-17,2023-07-21,4,1,Booking.com,Tourisme,82800,331200,Terminee,4.0,2023-06-02
RES00107,HTL003,CH0236,CLI2486,2023-08-02,2023-08-03,1,2,Expedia,Tourisme,80960,80960,Terminee,4.0,2023-08-01
RES00108,HTL003,CH0211,CLI2968,2023-12-17,2023-12-21,4,1,Booking.com,Conference,124200,496800,Terminee,5.0,2023-11-28
RES00109,HTL003,CH0207,CLI1937,2023-04-18,2023-04-20,2,2,Agence voyage,Tourisme,84640,169280,Terminee,3.0,2023-02-18
RES00110,HTL001,CH0055,CLI1068,2023-04-16,2023-04-20,4,2,Direct,Transit,92000,368000,Terminee,3.0,2023-04-08
RES00111,HTL003,CH0288,CLI1378,2024-06-15,2024-06-16,1,2,Agence voyage,Tourisme,84640,84640,Confirmee,,2024-05-05
RES00112,HTL005,CH0513,CLI1628,2024-03-13,2024-03-17,4,1,Direct,Affaires,156000,624000,Terminee,4.0,2024-02-10
RES00113,HTL004,CH0333,CLI2585,2023-05-19,2023-05-23,4,1,Direct,Conference,120000,480000,Terminee,4.0,2023-05-16
RES00114,HTL004,CH0361,CLI2517,2022-06-11,2022-06-12,1,1,Expedia,Affaires,70400,70400,Terminee,4.0,2022-04-24
RES00115,HTL002,CH0197,CLI1990,2023-08-16,2023-08-23,7,2,Direct,Famille,80000,560000,Terminee,5.0,2023-06-23
RES00116,HTL005,CH0486,CLI0265,2022-06-09,2022-06-13,4,2,Agence voyage,Famille,215280,861120,Terminee,2.0,2022-06-04
RES00117,HTL002,CH0199,CLI2731,2022-06-02,2022-06-03,1,1,Direct,Famille,180000,180000,Terminee,3.0,2022-05-10
RES00118,HTL005,CH0414,CLI1874,2024-06-15,2024-06-19,4,2,Booking.com,Tourisme,409500,1638000,Terminee,5.0,2024-05-18
RES00119,HTL003,CH0264,CLI2271,2022-10-23,2022-10-25,2,2,Booking.com,Affaires,362250,724500,Terminee,2.0,2022-09-20
RES00120,HTL002,CH0170,CLI2331,2023-01-27,2023-01-30,3,1,Direct,Famille,80000,240000,Terminee,5.0,2023-01-03
RES00121,HTL003,CH0255,CLI1799,2023-01-25,2023-01-28,3,2,Booking.com,Transit,124200,372600,Terminee,5.0,2022-12-22
RES00122,HTL005,CH0406,CLI1574,2023-03-03,2023-03-08,5,3,Corporate,Conference,132600,663000,Terminee,4.0,2023-01-08
RES00123,HTL001,CH0084,CLI0019,2023-01-17,2023-01-24,7,1,Expedia,Tourisme,80960,566720,Terminee,2.0,2022-12-05
RES00124,HTL001,CH0039,CLI2078,2024-01-03,2024-01-07,4,2,Direct,Conference,138000,552000,Terminee,2.0,2023-12-04
RES00125,HTL001,CH0012,CLI1342,2023-01-31,2023-02-01,1,3,Direct,Affaires,207000,207000,Terminee,5.0,2022-12-17
RES00126,HTL001,CH0060,CLI1760,2023-12-11,2023-12-15,4,1,Booking.com,Affaires,82800,331200,Terminee,3.0,2023-11-11
RES00127,HTL004,CH0301,CLI0141,2022-08-03,2022-08-07,4,1,Booking.com,Affaires,108000,432000,Terminee,4.0,2022-07-21
RES00128,HTL001,CH0020,CLI1393,2023-01-30,2023-02-03,4,2,Corporate,Tourisme,78200,312800,Annulee,,2022-12-22
RES00129,HTL005,CH0435,CLI2312,2022-09-09,2022-09-13,4,2,Expedia,Tourisme,91520,366080,Terminee,3.0,2022-08-19
RES00130,HTL001,CH0052,CLI2394,2024-05-31,2024-06-01,1,1,Booking.com,Transit,82800,82800,En cours,,2024-04-06
RES00131,HTL004,CH0308,CLI0416,2024-06-25,2024-06-27,2,2,Booking.com,Affaires,72000,144000,Confirmee,,2024-05-31
RES00132,HTL003,CH0236,CLI1997,2024-06-04,2024-06-07,3,1,Agence voyage,Affaires,84640,253920,Confirmee,,2024-04-26
RES00133,HTL002,CH0154,CLI0243,2022-10-02,2022-10-04,2,2,Agence voyage,Affaires,73600,147200,Terminee,5.0,2022-10-01
RES00134,HTL003,CH0239,CLI1153,2022-07-03,2022-07-05,2,2,Expedia,Tourisme,121440,242880,Terminee,2.0,2022-05-10
RES00135,HTL003,CH0220,CLI1341,2024-04-01,2024-04-02,1,2,Direct,Tourisme,92000,92000,Terminee,5.0,2024-03-12
RES00136,HTL002,CH0190,CLI2135,2023-06-02,2023-06-06,4,1,Direct,Transit,180000,720000,Terminee,3.0,2023-05-04
RES00137,HTL001,CH0093,CLI2484,2023-06-20,2023-06-22,2,2,Agence voyage,Tourisme,126960,253920,Terminee,4.0,2023-04-26
RES00138,HTL001,CH0106,CLI1823,2023-08-28,2023-09-02,5,2,Booking.com,Conference,82800,414000,Terminee,4.0,2023-07-18
RES00139,HTL005,CH0414,CLI1362,2023-10-11,2023-10-16,5,2,Expedia,Conference,400400,2002000,Terminee,3.0,2023-09-10
RES00140,HTL001,CH0087,CLI2362,2022-04-26,2022-04-28,2,2,Direct,Affaires,207000,414000,Annulee,,2022-03-06
RES00141,HTL001,CH0118,CLI0330,2022-07-27,2022-07-31,4,3,Corporate,Affaires,78200,312800,Terminee,2.0,2022-06-29
RES00142,HTL005,CH0467,CLI1895,2024-06-28,2024-06-30,2,1,Direct,Famille,156000,312000,Confirmee,,2024-05-30
RES00143,HTL002,CH0146,CLI0978,2022-12-02,2022-12-05,3,2,Direct,Affaires,180000,540000,Terminee,5.0,2022-11-03
RES00144,HTL005,CH0413,CLI1653,2023-10-27,2023-10-28,1,2,Booking.com,Affaires,93600,93600,Terminee,3.0,2023-09-10
RES00145,HTL001,CH0071,CLI0774,2022-07-11,2022-07-13,2,1,Direct,Transit,92000,184000,Terminee,5.0,2022-06-04
RES00146,HTL001,CH0027,CLI1646,2022-10-14,2022-10-17,3,2,Expedia,Famille,80960,242880,Terminee,5.0,2022-09-27
RES00147,HTL001,CH0025,CLI0213,2024-05-01,2024-05-02,1,2,Corporate,Tourisme,78200,78200,Terminee,5.0,2024-04-29
RES00148,HTL005,CH0464,CLI1760,2023-11-07,2023-11-09,2,3,Agence voyage,Transit,95680,191360,Terminee,5.0,2023-10-25
RES00149,HTL002,CH0129,CLI1206,2022-12-06,2022-12-09,3,2,Corporate,Tourisme,68000,204000,Terminee,5.0,2022-10-21
RES00150,HTL004,CH0298,CLI2582,2022-02-11,2022-02-14,3,2,Expedia,Affaires,70400,211200,Terminee,3.0,2021-12-30
RES00151,HTL005,CH0471,CLI1437,2022-05-07,2022-05-09,2,2,Agence voyage,Affaires,215280,430560,Terminee,5.0,2022-04-05
RES00152,HTL002,CH0191,CLI1890,2023-02-11,2023-02-15,4,1,Direct,Affaires,80000,320000,Terminee,4.0,2023-02-04
RES00153,HTL001,CH0024,CLI2909,2023-06-29,2023-07-01,2,2,Agence voyage,Affaires,84640,169280,Terminee,3.0,2023-06-14
RES00154,HTL002,CH0139,CLI1919,2023-05-06,2023-05-08,2,1,Expedia,Transit,70400,140800,Terminee,3.0,2023-03-18
RES00155,HTL003,CH0242,CLI1459,2023-09-09,2023-09-11,2,1,Direct,Affaires,138000,276000,Terminee,4.0,2023-07-23
RES00156,HTL003,CH0290,CLI2599,2023-06-07,2023-06-08,1,2,Agence voyage,Transit,370300,370300,Terminee,2.0,2023-05-28
RES00157,HTL004,CH0320,CLI1914,2023-08-11,2023-08-13,2,1,Direct,Famille,80000,160000,Terminee,5.0,2023-07-18
RES00158,HTL001,CH0016,CLI0787,2024-03-25,2024-03-29,4,2,Booking.com,Affaires,186300,745200,Terminee,5.0,2024-03-12
RES00159,HTL004,CH0300,CLI1478,2023-05-29,2023-06-01,3,1,Agence voyage,Famille,73600,220800,Terminee,3.0,2023-04-17
RES00160,HTL003,CH0207,CLI0616,2022-07-12,2022-07-15,3,1,Direct,Affaires,92000,276000,Terminee,2.0,2022-06-20
RES00161,HTL004,CH0327,CLI2626,2024-06-10,2024-06-15,5,1,Expedia,Affaires,158400,792000,En cours,,2024-05-10
RES00162,HTL003,CH0290,CLI1823,2023-07-25,2023-07-29,4,1,Expedia,Affaires,354200,1416800,Terminee,5.0,2023-07-07
RES00163,HTL003,CH0287,CLI0769,2022-02-17,2022-02-18,1,1,Booking.com,Affaires,82800,82800,Terminee,3.0,2021-12-27
RES00164,HTL002,CH0165,CLI2796,2022-04-10,2022-04-15,5,2,Direct,Conference,120000,600000,Terminee,5.0,2022-02-19
RES00165,HTL001,CH0095,CLI0849,2023-04-06,2023-04-10,4,2,Expedia,Affaires,80960,323840,Terminee,4.0,2023-03-06
RES00166,HTL003,CH0285,CLI2904,2023-06-30,2023-07-01,1,1,Agence voyage,Conference,126960,126960,Terminee,4.0,2023-05-16
RES00167,HTL001,CH0064,CLI1379,2022-04-27,2022-04-28,1,1,Expedia,Affaires,182160,182160,Terminee,4.0,2022-04-10
RES00168,HTL004,CH0350,CLI1308,2022-07-05,2022-07-07,2,2,Booking.com,Affaires,72000,144000,Terminee,5.0,2022-06-18
RES00169,HTL004,CH0313,CLI0210,2024-01-20,2024-01-23,3,2,Agence voyage,Conference,165600,496800,Terminee,2.0,2023-12-09
RES00170,HTL003,CH0284,CLI1981,2022-03-11,2022-03-14,3,2,Direct,Conference,92000,276000,Terminee,5.0,2022-02-26
RES00171,HTL001,CH0048,CLI0546,2022-04-12,2022-04-13,1,1,Direct,Affaires,92000,92000,Annulee,,2022-02-23
RES00172,HTL003,CH0285,CLI1928,2023-05-25,2023-05-27,2,2,Corporate,Transit,117300,234600,Terminee,3.0,2023-04-30
RES00173,HTL003,CH0209,CLI1531,2024-04-25,2024-04-27,2,1,Expedia,Conference,182160,364320,Confirmee,,2024-04-03
RES00174,HTL002,CH0140,CLI2242,2024-01-10,2024-01-17,7,2,Direct,Conference,120000,840000,Terminee,5.0,2023-11-20
RES00175,HTL004,CH0338,CLI2170,2022-03-21,2022-03-24,3,1,Booking.com,Affaires,162000,486000,Terminee,3.0,2022-02-23
RES00176,HTL001,CH0073,CLI1102,2023-11-12,2023-11-13,1,2,Booking.com,Conference,186300,186300,Terminee,5.0,2023-10-12
RES00177,HTL004,CH0363,CLI2062,2023-08-14,2023-08-17,3,2,Booking.com,Famille,72000,216000,Terminee,5.0,2023-08-07
RES00178,HTL002,CH0182,CLI0449,2024-05-22,2024-05-26,4,1,Agence voyage,Tourisme,165600,662400,Terminee,4.0,2024-05-13
RES00179,HTL005,CH0450,CLI0203,2023-07-10,2023-07-12,2,1,Expedia,Tourisme,137280,274560,Terminee,5.0,2023-05-14
RES00180,HTL004,CH0311,CLI2314,2023-02-23,2023-02-27,4,1,Direct,Conference,80000,320000,Terminee,4.0,2023-01-10
RES00181,HTL002,CH0125,CLI2873,2024-03-01,2024-03-03,2,2,Direct,Affaires,80000,160000,Terminee,2.0,2024-01-05
RES00182,HTL004,CH0310,CLI2278,2023-02-16,2023-02-17,1,1,Expedia,Tourisme,105600,105600,Terminee,2.0,2022-12-21
RES00183,HTL001,CH0095,CLI2820,2023-03-01,2023-03-04,3,2,Booking.com,Affaires,82800,248400,Terminee,5.0,2023-02-01
RES00184,HTL002,CH0126,CLI1807,2024-05-29,2024-05-30,1,1,Booking.com,Affaires,315000,315000,Terminee,3.0,2024-05-21
RES00185,HTL005,CH0429,CLI0489,2023-08-21,2023-08-23,2,1,Direct,Transit,104000,208000,Terminee,5.0,2023-06-28
RES00186,HTL004,CH0339,CLI2344,2023-03-11,2023-03-15,4,2,Direct,Tourisme,80000,320000,Terminee,5.0,2023-02-14
RES00187,HTL002,CH0146,CLI0384,2022-12-22,2022-12-27,5,2,Expedia,Famille,158400,792000,Terminee,5.0,2022-11-03
RES00188,HTL005,CH0453,CLI2824,2023-08-05,2023-08-10,5,1,Expedia,Affaires,91520,457600,Terminee,5.0,2023-07-22
RES00189,HTL001,CH0032,CLI2318,2024-05-14,2024-05-17,3,2,Booking.com,Affaires,82800,248400,En cours,,2024-04-16
RES00190,HTL004,CH0318,CLI2851,2023-07-05,2023-07-08,3,2,Direct,Tourisme,80000,240000,Terminee,5.0,2023-05-15
RES00191,HTL003,CH0275,CLI1869,2023-01-10,2023-01-12,2,1,Direct,Famille,92000,184000,Terminee,5.0,2022-11-26
RES00192,HTL001,CH0058,CLI1754,2023-09-17,2023-09-19,2,1,Direct,Famille,402500,805000,Terminee,4.0,2023-07-21
RES00193,HTL001,CH0047,CLI0612,2022-11-27,2022-12-01,4,1,Expedia,Tourisme,80960,323840,Terminee,4.0,2022-11-05
RES00194,HTL001,CH0113,CLI0850,2023-07-12,2023-07-17,5,1,Direct,Affaires,138000,690000,Terminee,4.0,2023-06-08
RES00195,HTL001,CH0055,CLI2878,2022-01-07,2022-01-11,4,2,Direct,Conference,92000,368000,Terminee,2.0,2021-11-23
