paiement_id,reservation_id,date_paiement,montant,moyen_paiement,statut_paiement
PAY00089,RES00069,2023-01-09,216000,Mobile Money,Valide
PAY00090,RES00070,2023-12-13,540000,Mobile Money,Valide
PAY00091,RES00071,2022-02-27,72000,Especes,Valide
PAY00092,RES00071,2022-03-14,72000,Carte bancaire,Valide
PAY00093,RES00072,2022-03-05,300000,Mobile Money,Valide
PAY00094,RES00072,2022-03-20,300000,Mobile Money,Valide
PAY00095,RES00073,2024-01-12,842400,Virement,Valide
PAY00096,RES00074,2024-05-14,82800,Virement,Valide
PAY00097,RES00075,2023-11-09,364320,Virement,Valide
PAY00098,RES00076,2024-02-15,414000,Mobile Money,Valide
PAY00099,RES00077,2023-02-04,184000,Carte bancaire,Valide
PAY00100,RES00077,2023-02-19,184000,Mobile Money,Valide
PAY00101,RES00078,2023-08-06,-20000,Virement,Valide
PAY00102,RES00079,2024-04-02,552000,Carte bancaire,Valide
PAY00103,RES00080,2024-03-29,240000,Mobile Money,Valide
PAY00104,RES00081,2021-12-04,567000,Carte bancaire,Valide
PAY00105,RES00081,2021-12-19,567000,Mobile Money,Valide
PAY00106,RES00082,2023-06-19,486000,Carte bancaire,Valide
PAY00107,RES00083,2023-07-17,165600,Carte bancaire,Valide
PAY00108,RES00083,2023-08-01,165600,Virement,Valide
PAY00109,RES00084,2023-11-08,72000,Mobile Money,Valide
PAY00110,RES00084,2023-11-23,72000,Especes,Valide
PAY00111,RES00085,2021-12-05,57408,Mobile Money,Rembourse
PAY00112,RES00086,2023-12-13,486000,Mobile Money,Valide
PAY00113,RES00087,2022-10-03,80000,Carte bancaire,Valide
PAY00114,RES00088,2022-09-01,630000,Carte bancaire,Echoue
PAY00115,RES00089,2022-07-28,280000,Mobile Money,Valide
PAY00116,RES00089,2022-08-12,280000,Carte bancaire,Valide
PAY00117,RES00090,2023-05-08,684250,Carte bancaire,Valide
PAY00118,RES00091,2022-10-09,540000,Mobile Money,Valide
PAY00119,RES00092,2023-07-10,193752,Especes,Rembourse
PAY00120,RES00093,2022-01-04,714000,Carte bancaire,Valide
PAY00121,RES00094,2022-01-09,80960,Carte bancaire,Valide
PAY00122,RES00094,2022-01-24,80960,Carte bancaire,Valide
PAY00123,RES00095,2023-08-21,95220,Especes,Valide
PAY00124,RES00095,2023-09-05,95220,Carte bancaire,Valide
PAY00125,RES00096,2023-09-07,160000,Carte bancaire,Valide
PAY00126,RES00096,2023-09-22,160000,Especes,Valide
PAY00127,RES00097,2024-05-09,770000,Carte bancaire,Valide
PAY00128,RES00097,2024-05-24,770000,Mobile Money,Valide
PAY00129,RES00098,2023-07-27,414000,Carte bancaire,Valide
PAY00130,RES00099,2024-01-15,287040,Especes,Valide
PAY00131,RES00100,2023-01-05,207000,Carte bancaire,Valide
PAY00132,RES00101,2022-08-19,211600,Carte bancaire,Valide
PAY00133,RES00101,2022-09-03,211600,Mobile Money,Valide
PAY00134,RES00102,2024-03-09,411840,Mobile Money,Valide
PAY00135,RES00103,2023-01-15,138000,Carte bancaire,Valide
PAY00136,RES00104,2023-01-01,120000,Mobile Money,Valide
PAY00137,RES00104,2023-01-16,120000,Carte bancaire,Valide
PAY00138,RES00105,2023-05-25,351000,Mobile Money,Valide
PAY00139,RES00105,2023-06-09,351000,Virement,Valide
PAY00140,RES00106,2023-06-02,165600,Carte bancaire,Valide
PAY00141,RES00106,2023-06-17,165600,Carte bancaire,Valide
PAY00142,RES00107,2023-08-01,40480,Especes,Valide
PAY00143,RES00107,2023-08-16,40480,Carte bancaire,Valide
PAY00144,RES00108,2023-11-28,248400,Carte bancaire,Valide
PAY00145,RES00108,2023-12-13,248400,Carte bancaire,Valide
PAY00146,RES00109,2023-02-18,169280,Carte bancaire,Valide
PAY00147,RES00110,2023-04-08,184000,Carte bancaire,Valide
PAY00148,RES00110,2023-04-23,184000,Carte bancaire,Valide
PAY00149,RES00111,2024-05-05,84640,Carte bancaire,Valide
PAY00150,RES00112,2024-02-10,624000,Especes,Valide
PAY00151,RES00113,2023-05-16,480000,Mobile Money,Valide
PAY00152,RES00114,2022-04-24,70400,Mobile Money,Valide
PAY00153,RES00115,2023-06-23,560000,Carte bancaire,Valide
PAY00154,RES00116,2022-06-04,430560,Especes,Valide
PAY00155,RES00116,2022-06-19,430560,Mobile Money,Valide
PAY00156,RES00117,2022-05-10,180000,Mobile Money,Valide
PAY00157,RES00118,2024-05-18,1638000,Carte bancaire,Valide
PAY00158,RES00119,2022-09-20,362250,Carte bancaire,Valide
PAY00159,RES00119,2022-10-05,362250,Virement,Valide
PAY00160,RES00120,2023-01-03,120000,Mobile Money,Valide
PAY00161,RES00120,2023-01-18,120000,Mobile Money,Valide
PAY00162,RES00121,2022-12-22,186300,Carte bancaire,Valide
PAY00163,RES00121,2023-01-06,186300,Mobile Money,Valide
PAY00164,RES00122,2023-01-08,663000,Virement,Valide
PAY00165,RES00123,2022-12-05,566720,Carte bancaire,Valide
PAY00166,RES00124,2023-12-04,276000,Mobile Money,Valide
PAY00167,RES00124,2023-12-19,276000,Especes,Valide
PAY00168,RES00125,2022-12-17,103500,Virement,Valide
PAY00169,RES00125,2023-01-01,103500,Carte bancaire,Valide
PAY00170,RES00126,2023-11-11,331200,Especes,Valide
PAY00171,RES00127,2022-07-21,432000,Carte bancaire,Valide
PAY00172,RES00129,2022-08-19,366080,Carte bancaire,Valide
PAY00173,RES00130,2024-04-06,82800,Carte bancaire,Valide
PAY00174,RES00131,2024-05-31,144000,Mobile Money,Valide
PAY00175,RES00132,2024-04-26,126960,Mobile Money,Valide
PAY00176,RES00132,2024-05-11,126960,Carte bancaire,Valide
PAY00177,RES00133,2022-10-01,147200,Mobile Money,Valide
PAY00178,RES00134,2022-05-10,242880,Mobile Money,Valide
PAY00179,RES00135,2024-03-12,46000,Mobile Money,Valide
PAY00180,RES00135,2024-03-27,46000,Mobile Money,Valide
PAY00181,RES00136,2023-05-04,720000,Especes,Valide
PAY00182,RES00137,2023-04-26,253920,Carte bancaire,Valide
PAY00183,RES00138,2023-07-18,414000,Carte bancaire,Valide
PAY00184,RES00139,2023-09-10,2002000,Carte bancaire,Valide
PAY00185,RES00140,2022-03-06,124200,Carte bancaire,Rembourse
PAY00186,RES00141,2022-06-29,312800,Mobile Money,Valide
PAY00187,RES00142,2024-05-30,312000,Mobile Money,Valide
PAY00188,RES00143,2022-11-03,270000,Mobile Money,Valide
PAY00189,RES00143,2022-11-18,270000,Virement,Valide
PAY00190,RES00144,2023-09-10,93600,Mobile Money,Valide
PAY00191,RES00145,2022-06-04,92000,Carte bancaire,Valide
PAY00192,RES00145,2022-06-19,92000,Mobile Money,Valide
PAY00193,RES00146,2022-09-27,242880,Mobile Money,Valide
PAY00194,RES00147,2024-04-29,78200,Mobile Money,Valide
PAY00195,RES00148,2023-10-25,95680,Carte bancaire,Valide
PAY00196,RES00148,2023-11-09,95680,Carte bancaire,Valide
PAY00197,RES00149,2022-10-21,204000,Mobile Money,Valide
PAY00198,RES00150,2021-12-30,105600,Mobile Money,Valide
PAY00199,RES00150,2022-01-14,105600,Virement,Valide
PAY00200,RES00151,2022-04-05,430560,Mobile Money,Valide
PAY00201,RES00152,2023-02-04,160000,Mobile Money,Valide
PAY00202,RES00152,2023-02-19,160000,Carte bancaire,Valide
PAY00203,RES00153,2023-06-14,169280,Carte bancaire,Valide
PAY00204,RES00154,2023-03-18,140800,Mobile Money,Valide
PAY00205,RES00155,2023-07-23,276000,Mobile Money,Valide
PAY00206,RES00156,2023-05-28,370300,Mobile Money,Valide
PAY00207,RES00157,2023-07-18,160000,Carte bancaire,Valide
PAY00208,RES00158,2024-03-12,372600,Carte bancaire,Valide
PAY00209,RES00158,2024-03-27,372600,Mobile Money,Valide
PAY00210,RES00159,2023-04-17,220800,Carte bancaire,Valide
PAY00211,RES00160,2022-06-20,276000,Carte bancaire,Valide
PAY00212,RES00161,2024-05-10,792000,Mobile Money,Valide
PAY00213,RES00162,2023-07-07,1416800,Mobile Money,Valide
PAY00214,RES00163,2021-12-27,82800,Especes,Valide
PAY00215,RES00164,2022-02-19,600000,Carte bancaire,Valide
PAY00216,RES00165,2023-03-06,161920,Mobile Money,Valide
PAY00217,RES00165,2023-03-21,161920,Virement,Valide
PAY00218,RES00166,2023-05-16,63480,Carte bancaire,Valide
PAY00219,RES00166,2023-05-31,63480,Carte bancaire,Valide
PAY00220,RES00167,2022-04-10,91080,Carte bancaire,Valide
PAY00221,RES00167,2022-04-25,91080,Especes,Valide
PAY00222,RES00168,2022-06-18,144000,Mobile Money,Valide
PAY00223,RES00169,2023-12-09,496800,Carte bancaire,Valide
PAY00224,RES00170,2022-02-26,276000,Carte bancaire,Valide
PAY00225,RES00171,2022-02-23,27600,Virement,Rembourse
PAY00226,RES00172,2023-04-30,234600,Mobile Money,Valide
PAY00227,RES00173,2024-04-03,364320,Mobile Money,Valide
PAY00228,RES00174,2023-11-20,420000,Carte bancaire,Valide
PAY00229,RES00174,2023-12-05,420000,Carte bancaire,Valide
PAY00230,RES00175,2022-02-23,486000,Virement,Valide
PAY00231,RES00176,2023-10-12,186300,Carte bancaire,Valide
PAY00232,RES00177,2023-08-07,216000,Virement,Valide
PAY00233,RES00178,2024-05-13,662400,Carte bancaire,Valide
PAY00234,RES00179,2023-05-14,274560,Carte bancaire,Valide
PAY00235,RES00180,2023-01-10,320000,Mobile Money,Valide
PAY00236,RES00181,2024-01-05,160000,Carte bancaire,Valide
PAY00237,RES00182,2022-12-21,52800,Mobile Money,Valide
PAY00238,RES00182,2023-01-05,52800,Carte bancaire,Valide
PAY00239,RES00183,2023-02-01,248400,Carte bancaire,Valide
PAY00240,RES00184,2024-05-21,315000,Mobile Money,Valide
PAY00241,RES00185,2023-06-28,104000,Carte bancaire,Valide
PAY00242,RES00185,2023-07-13,104000,Mobile Money,Valide
PAY00243,RES00186,2023-02-14,320000,Especes,Valide
PAY00244,RES00187,2022-11-03,396000,Carte bancaire,Valide
PAY00245,RES00187,2022-11-18,396000,Carte bancaire,Valide
PAY00246,RES00188,2023-07-22,457600,Mobile Money,Valide
PAY00247,RES00189,2024-04-16,124200,Mobile Money,Valide
PAY00248,RES00189,2024-05-01,124200,Mobile Money,Valide
PAY00249,RES00190,2023-05-15,240000,Virement,Valide
PAY00250,RES00191,2022-11-26,184000,Carte bancaire,Valide
PAY00251,RES00192,2023-07-21,805000,Carte bancaire,Valide
PAY00252,RES00193,2022-11-05,323840,Mobile Money,Valide
PAY00253,RES00194,2023-06-08,690000,Carte bancaire,Valide
PAY00254,RES00195,2021-11-23,368000,Carte bancaire,Valide
PAY00255,RES00196,2023-05-27,631800,Carte bancaire,Valide
PAY00256,RES00197,2024-04-22,184000,Carte bancaire,Valide
PAY00257,RES00198,2023-06-16,216000,Especes,Valide
PAY00258,RES00199,2023-04-09,364320,Carte bancaire,Valide
PAY00259,RES00199,2023-04-24,364320,Carte bancaire,Valide
PAY00260,RES00200,2023-06-23,147840,Mobile Money,Rembourse
PAY00261,RES00201,2023-05-12,-25000,Especes,Valide
PAY00262,RES00202,2022-04-06,507840,Carte bancaire,Echoue
PAY00263,RES00203,2022-12-23,372600,Mobile Money,Valide
PAY00264,RES00204,2022-04-14,360000,Carte bancaire,Valide
PAY00265,RES00205,2022-05-13,253920,Mobile Money,Valide
PAY00266,RES00206,2022-01-15,441600,Virement,Valide
PAY00267,RES00207,2024-05-18,165600,Carte bancaire,Valide
PAY00268,RES00208,2023-02-24,492800,Mobile Money,Valide
PAY00269,RES00209,2021-11-24,468000,Virement,Valide
PAY00270,RES00210,2022-08-16,253920,Carte bancaire,Valide
PAY00271,RES00210,2022-08-31,253920,Mobile Money,Valide
PAY00272,RES00211,2022-09-16,104000,Mobile Money,Valide
PAY00273,RES00212,2024-04-11,80000,Carte bancaire,Valide
PAY00274,RES00212,2024-04-26,80000,Mobile Money,Valide
PAY00275,RES00213,2022-06-03,220800,Especes,Valide
PAY00276,RES00214,2023-02-02,220800,Carte bancaire,Valide
PAY00277,RES00215,2021-11-19,180000,Carte bancaire,Valide
PAY00278,RES00216,2024-04-12,690000,Carte bancaire,Valide
PAY00279,RES00217,2022-07-18,411840,Mobile Money,Valide
PAY00280,RES00218,2023-12-19,110400,Especes,Valide
PAY00281,RES00219,2023-02-11,745200,Carte bancaire,Valide
PAY00282,RES00220,2024-01-14,772800,Mobile Money,Valide
PAY00283,RES00221,2022-07-31,102000,Mobile Money,Valide
PAY00284,RES00222,2023-05-04,111780,Mobile Money,Rembourse
PAY00285,RES00223,2023-11-16,538200,Especes,Valide
PAY00286,RES00223,2023-12-01,538200,Virement,Valide
PAY00287,RES00224,2022-09-22,530400,Carte bancaire,Valide
PAY00288,RES00225,2022-01-20,124200,Mobile Money,Valide
PAY00289,RES00225,2022-02-04,124200,Carte bancaire,Valide
PAY00290,RES00226,2022-11-28,364320,Carte bancaire,Valide
PAY00291,RES00227,2024-05-06,414000,Especes,Echoue
PAY00292,RES00228,2024-05-02,240000,Carte bancaire,Valide
PAY00293,RES00229,2022-02-20,156400,Carte bancaire,Valide
PAY00294,RES00230,2024-03-24,558900,Especes,Valide
PAY00295,RES00231,2023-07-25,171062,Carte bancaire,Valide
PAY00296,RES00231,2023-08-09,171062,Especes,Valide
PAY00297,RES00232,2023-09-27,105300,Mobile Money,Valide
PAY00298,RES00232,2023-10-12,105300,Carte bancaire,Valide
PAY00299,RES00233,2022-01-22,354200,Especes,Valide
PAY00300,RES00234,2022-01-14,703800,Especes,Valide
PAY00301,RES00235,2022-01-21,70400,Especes,Valide
PAY00302,RES00235,2022-02-05,70400,Virement,Valide
PAY00303,RES00236,2024-01-16,310500,Carte bancaire,Valide
PAY00304,RES00236,2024-01-31,310500,Mobile Money,Valide
PAY00305,RES00237,2024-01-20,600000,Virement,Valide
PAY00306,RES00238,2022-05-10,300000,Carte bancaire,Valide
PAY00307,RES00238,2022-05-25,300000,Mobile Money,Valide
PAY00308,RES00239,2024-03-28,430560,Virement,Valide
PAY00309,RES00240,2024-04-21,496800,Mobile Money,Valide
PAY00310,RES00241,2022-02-10,422400,Especes,Valide
PAY00311,RES00242,2022-08-08,1190000,Carte bancaire,Valide
PAY00312,RES00243,2024-04-26,124200,Mobile Money,Valide
PAY00313,RES00244,2023-03-07,240000,Carte bancaire,Valide
PAY00314,RES00245,2022-05-09,952200,Virement,Valide
PAY00315,RES00246,2024-06-12,234600,Carte bancaire,Valide
PAY00316,RES00247,2022-07-03,400000,Mobile Money,Valide
PAY00317,RES00248,2022-05-21,276000,Carte bancaire,Valide
PAY00318,RES00249,2023-11-23,805000,Mobile Money,Valide
PAY00319,RES00249,2023-12-08,805000,Carte bancaire,Valide
PAY00320,RES00250,2024-02-04,79200,Carte bancaire,Valide
PAY00321,RES00250,2024-02-19,79200,Mobile Money,Valide
PAY00322,RES00251,2021-12-31,756000,Mobile Money,Valide
PAY00323,RES00252,2022-01-09,364320,Carte bancaire,Valide
PAY00324,RES00252,2022-01-24,364320,Mobile Money,Valide
PAY00325,RES00253,2023-04-14,945000,Mobile Money,Valide
PAY00326,RES00254,2023-06-18,338560,Carte bancaire,Valide
PAY00327,RES00255,2024-01-18,631800,Mobile Money,Valide
PAY00328,RES00256,2022-04-25,486000,Mobile Money,Valide
PAY00329,RES00257,2023-06-08,72000,Carte bancaire,Valide
PAY00330,RES00258,2023-08-14,700000,Carte bancaire,Valide
PAY00331,RES00259,2023-12-13,507840,Mobile Money,Valide
PAY00332,RES00260,2023-02-19,287040,Virement,Valide
PAY00333,RES00261,2022-12-08,364320,Carte bancaire,Valide
PAY00334,RES00262,2024-04-06,360000,Virement,Valide
PAY00335,RES00263,2023-09-04,819000,Mobile Money,Valide
PAY00336,RES00264,2022-04-04,331200,Mobile Money,Valide
PAY00337,RES00265,2021-12-23,190440,Carte bancaire,Valide
PAY00338,RES00265,2022-01-07,190440,Mobile Money,Valide
PAY00339,RES00266,2023-01-23,165600,Carte bancaire,Valide
PAY00340,RES00267,2022-08-16,163944,Carte bancaire,Rembourse
PAY00341,RES00268,2022-01-24,414000,Especes,Valide
PAY00342,RES00269,2022-04-22,351900,Especes,Valide
PAY00343,RES00270,2022-12-09,966000,Carte bancaire,Valide
PAY00344,RES00271,2023-07-13,630000,Carte bancaire,Valide
PAY00345,RES00272,2023-10-10,331200,Carte bancaire,Valide
PAY00346,RES00273,2022-07-07,324000,Mobile Money,Valide
PAY00347,RES00274,2022-11-27,994500,Carte bancaire,Valide
PAY00348,RES00275,2024-02-10,147200,Virement,Valide
PAY00349,RES00276,2021-12-16,795600,Carte bancaire,Valide
PAY00350,RES00277,2024-05-20,80000,Carte bancaire,Valide
PAY00351,RES00278,2023-05-07,530400,Mobile Money,Valide
PAY00352,RES00279,2023-05-25,210000,Mobile Money,Rembourse
PAY00353,RES00280,2023-07-19,276000,Mobile Money,Valide
PAY00354,RES00281,2022-06-02,527850,Mobile Money,Valide
PAY00355,RES00282,2024-01-26,480000,Carte bancaire,Valide
PAY00356,RES00283,2023-03-24,35200,Carte bancaire,Valide
PAY00357,RES00283,2023-04-08,35200,Mobile Money,Valide
PAY00358,RES00284,2023-09-28,372600,Carte bancaire,Valide
PAY00359,RES00285,2022-01-12,540000,Carte bancaire,Valide
PAY00360,RES00286,2022-01-10,183040,Mobile Money,Valide
PAY00361,RES00286,2022-01-25,183040,Carte bancaire,Valide
PAY00362,RES00288,2024-03-04,322000,Carte bancaire,Valide
PAY00363,RES00289,2022-08-07,120000,Carte bancaire,Valide
PAY00364,RES00289,2022-08-22,120000,Carte bancaire,Valide
PAY00365,RES00290,2022-02-18,138000,Carte bancaire,Valide
PAY00366,RES00291,2023-11-24,108000,Especes,Valide
PAY00367,RES00292,2022-12-07,414000,Virement,Valide
PAY00368,RES00293,2022-04-27,138000,Carte bancaire,Valide
PAY00369,RES00294,2022-09-28,84640,Mobile Money,Valide
PAY00370,RES00295,2023-08-29,1260000,Especes,Valide
PAY00371,RES00296,2023-08-20,88400,Carte bancaire,Valide
PAY00372,RES00297,2023-10-17,316800,Especes,Valide
PAY00373,RES00298,2022-12-28,280800,Mobile Money,Valide
PAY00374,RES00299,2022-06-15,644000,Carte bancaire,Valide
PAY00375,RES00300,2023-11-07,372600,Carte bancaire,Valide
PAY00376,RES00301,2022-05-11,117300,Especes,Valide
PAY00377,RES00301,2022-05-26,117300,Carte bancaire,Valide
PAY00378,RES00302,2023-08-08,316800,Mobile Money,Valide
PAY00379,RES00303,2022-07-31,538200,Mobile Money,Valide
PAY00380,RES00303,2022-08-15,538200,Especes,Valide
PAY00381,RES00304,2022-01-31,315900,Mobile Money,Valide
PAY00382,RES00304,2022-02-15,315900,Especes,Valide
PAY00383,RES00305,2023-11-26,73600,Mobile Money,Valide
PAY00384,RES00306,2023-09-15,621000,Mobile Money,Valide
PAY00385,RES00307,2023-02-03,486000,Mobile Money,Valide
PAY00386,RES00308,2022-07-04,140800,Virement,Valide
PAY00387,RES00309,2022-03-29,364320,Mobile Money,Valide
PAY00388,RES00310,2022-03-10,72000,Carte bancaire,Valide
PAY00389,RES00310,2022-03-25,72000,Mobile Money,Valide
PAY00390,RES00311,2023-11-20,276000,Virement,Valide
PAY00391,RES00313,2023-08-16,382720,Virement,Valide
PAY00392,RES00314,2022-08-05,468000,Carte bancaire,Valide
PAY00393,RES00315,2023-09-14,64800,Mobile Money,Rembourse
PAY00394,RES00316,2022-07-05,117300,Carte bancaire,Valide
PAY00395,RES00316,2022-07-20,117300,Mobile Money,Valide
PAY00396,RES00317,2024-06-22,360000,Mobile Money,Valide
PAY00397,RES00318,2022-02-14,117300,Virement,Valide
PAY00398,RES00318,2022-03-01,117300,Especes,Valide
PAY00399,RES00319,2023-08-16,234000,Especes,Valide
PAY00400,RES00319,2023-08-31,234000,Carte bancaire,Valide
PAY00401,RES00320,2023-04-05,-5000,Mobile Money,Valide
PAY00402,RES00320,2023-04-20,240000,Virement,Valide
PAY00403,RES00321,2022-10-14,248400,Mobile Money,Valide
PAY00404,RES00322,2024-03-09,46000,Virement,Valide
PAY00405,RES00322,2024-03-24,46000,Mobile Money,Echoue
PAY00406,RES00323,2023-07-06,391000,Especes,Valide
PAY00407,RES00324,2022-06-04,312800,Carte bancaire,Valide
PAY00408,RES00325,2022-01-10,408000,Especes,Valide
PAY00409,RES00326,2022-06-12,144000,Virement,Valide
PAY00410,RES00327,2023-05-20,320000,Mobile Money,Valide
PAY00411,RES00328,2022-07-19,62100,Carte bancaire,Valide
PAY00412,RES00328,2022-08-03,62100,Mobile Money,Valide
PAY00413,RES00329,2023-11-16,210600,Mobile Money,Valide
PAY00414,RES00329,2023-12-01,210600,Carte bancaire,Valide
PAY00415,RES00330,2023-01-23,360000,Especes,Valide
PAY00416,RES00331,2023-10-20,136000,Especes,Valide
PAY00417,RES00332,2023-06-19,540000,Carte bancaire,Valide
PAY00418,RES00333,2022-11-03,468000,Carte bancaire,Valide
PAY00419,RES00334,2023-12-14,745200,Especes,Valide
PAY00420,RES00335,2022-02-12,243000,Mobile Money,Valide
PAY00421,RES00335,2022-02-27,243000,Especes,Valide
PAY00422,RES00336,2024-04-19,156400,Carte bancaire,Valide
PAY00423,RES00337,2024-02-15,274560,Virement,Valide
PAY00424,RES00338,2022-08-08,120000,Carte bancaire,Valide
PAY00425,RES00338,2022-08-23,120000,Mobile Money,Valide
PAY00426,RES00339,2022-11-19,320000,Virement,Valide
PAY00427,RES00340,2023-09-05,186300,Carte bancaire,Valide
PAY00428,RES00340,2023-09-20,186300,Carte bancaire,Valide
PAY00429,RES00341,2023-12-29,204000,Carte bancaire,Valide
PAY00430,RES00342,2023-01-11,684250,Carte bancaire,Valide
PAY00431,RES00343,2023-02-05,46000,Mobile Money,Valide
PAY00432,RES00343,2023-02-20,46000,Carte bancaire,Valide
PAY00433,RES00344,2023-01-04,93150,Carte bancaire,Valide
PAY00434,RES00344,2023-01-19,93150,Especes,Valide
PAY00435,RES00345,2024-02-22,316800,Mobile Money,Valide
PAY00436,RES00346,2023-04-21,402500,Carte bancaire,Valide
PAY00437,RES00346,2023-05-06,402500,Carte bancaire,Valide
