id_ticket,id_client,date_creation,type,statut,delai_resolution_jours
TK000077,CL00067,2024-07-24,Materiel,resolu,3.0
TK000078,CL00067,2025-02-25,Facturation,resolu,-5.0
TK000079,CL00068,2025-11-30,Materiel,resolu,5.0
TK000080,CL00069,2024-01-14,Materiel,resolu,1.0
TK000081,CL00070,2025-04-22,Reseau,abandonne,8.0
TK000082,CL00073,2024-03-21,Reseau,resolu,2.0
TK000083,CL00073,2024-11-11,Facturation,resolu,13.0
TK000084,CL00075,2024-04-02,Offre,resolu,-2.0
TK000085,CL00075,2024-06-02,Offre,ouvert,
TK000086,CL00076,2025-11-01,Offre,abandonne,19.0
TK000087,CL00077,2024-03-29,Facturation,ouvert,
TK000088,CL00079,2024-11-21,Facturation,resolu,13.0
TK000089,CL00080,2024-02-27,Offre,resolu,2.0
TK000090,CL00080,2024-02-24,Reseau,abandonne,14.0
TK000091,CL00081,2024-12-12,Facturation,abandonne,27.0
TK000092,CL00082,2025-11-09,Facturation,ouvert,
TK000093,CL00082,2025-11-09,Facturation,resolu,1.0
TK000094,CL00082,2025-10-28,Offre,ouvert,
TK000095,CL00082,2025-12-20,Facturation,abandonne,8.0
TK000096,CL00082,2025-10-08,Facturation,resolu,6.0
TK000097,CL00085,2025-11-10,Reseau,ouvert,
TK000098,CL00085,2025-09-10,Reseau,ouvert,
TK000099,CL00085,2025-11-08,Facturation,resolu,14.0
TK000100,CL00087,2025-10-19,Facturation,resolu,1.0
TK000101,CL00087,2024-06-17,Offre,resolu,5.0
TK000102,CL00087,2024-01-04,Offre,resolu,4.0
TK000103,CL00089,2024-07-09,Facturation,ouvert,
TK000104,CL00089,2024-01-18,Reseau,ouvert,
TK000105,CL00089,2025-11-27,Reseau,resolu,4.0
TK000106,CL00089,2024-06-27,Materiel,resolu,-7.0
TK000107,CL00090,2024-08-21,Reseau,resolu,1.0
TK000108,CL00091,2025-07-08,Facturation,resolu,7.0
TK000109,CL00093,2024-02-09,Facturation,ouvert,
TK000110,CL00093,2024-02-01,Reseau,ouvert,
TK000111,CL00094,2024-01-24,Reseau,abandonne,1.0
TK000112,CL00095,2025-05-27,Reseau,resolu,7.0
TK000113,CL00096,2025-04-13,Materiel,ouvert,
TK000114,CL00098,2024-01-01,Reseau,ouvert,
TK000115,CL00098,2024-03-13,Reseau,abandonne,22.0
TK000116,CL00098,2024-02-12,Materiel,resolu,1.0
TK000117,CL00100,2025-05-07,Facturation,resolu,1.0
TK000118,CL00100,2025-04-18,Materiel,ouvert,
TK000119,CL00101,2025-07-25,Offre,abandonne,5.0
TK000120,CL00101,2025-05-17,Reseau,abandonne,-2.0
TK000121,CL00101,2025-06-08,Facturation,resolu,5.0
TK000122,CL00101,2025-02-24,Materiel,abandonne,12.0
TK000123,CL00102,2024-06-28,Facturation,resolu,1.0
TK000124,CL00102,2024-07-15,Reseau,ouvert,
TK000125,CL00102,2024-08-16,Materiel,abandonne,2.0
TK000126,CL00102,2024-12-23,Reseau,abandonne,1.0
TK000127,CL00103,2024-12-23,Reseau,resolu,2.0
TK000128,CL00104,2025-06-23,Offre,resolu,1.0
TK000129,CL00104,2024-06-20,Offre,resolu,2.0
TK000130,CL00105,2025-08-16,Reseau,resolu,1.0
TK000131,CL00105,2025-03-31,Offre,resolu,2.0
TK000132,CL00107,2025-12-23,Materiel,ouvert,
TK000133,CL00108,2024-06-11,Materiel,abandonne,1.0
TK000134,CL00108,2025-02-11,Materiel,ouvert,
TK000135,CL00108,2025-06-21,Facturation,abandonne,36.0
TK000136,CL00108,2024-06-29,Reseau,ouvert,
TK000137,CL00108,2025-03-17,Reseau,ouvert,
TK000138,CL00108,2024-06-22,Facturation,ouvert,
TK000139,CL00108,2025-05-29,Materiel,resolu,1.0
TK000140,CL00109,2024-02-12,Offre,abandonne,2.0
TK000141,CL00110,2025-08-31,Reseau,resolu,5.0
TK000142,CL00111,2024-07-16,Reseau,resolu,7.0
TK000143,CL00111,2024-11-06,Materiel,resolu,1.0
TK000144,CL00111,2025-04-13,Reseau,ouvert,
TK000145,CL00111,2025-03-24,Reseau,ouvert,
TK000146,CL00113,2024-03-02,Materiel,abandonne,10.0
TK000147,CL00113,2024-05-30,Offre,resolu,8.0
TK000148,CL00114,2024-01-09,Facturation,resolu,1.0
TK000149,CL00114,2024-01-25,Reseau,abandonne,18.0
TK000150,CL00114,2024-02-07,Offre,resolu,4.0
TK000151,CL00114,2024-02-01,Reseau,abandonne,1.0
TK000152,CL00115,2024-12-30,Reseau,ouvert,
TK000153,CL00116,2025-02-14,Reseau,resolu,1.0
TK000154,CL00118,2024-03-01,Offre,resolu,4.0
TK000155,CL00122,2025-06-12,Facturation,resolu,6.0
TK000156,CL00123,2024-12-30,Reseau,resolu,8.0
TK000157,CL00123,2025-01-14,Facturation,ouvert,
TK000158,CL00123,2024-06-04,Facturation,ouvert,
TK000159,CL00123,2024-08-21,Facturation,abandonne,6.0
TK000160,CL00123,2024-08-09,Reseau,abandonne,7.0
TK000161,CL00124,2025-05-25,Materiel,resolu,8.0
TK000162,CL00126,2025-11-29,Offre,resolu,2.0
TK000163,CL00126,2025-12-08,Reseau,resolu,1.0
TK000164,CL00127,2025-09-20,Offre,resolu,9.0
TK000165,CL00128,2024-12-15,Reseau,resolu,1.0
TK000166,CL00128,2025-12-01,Reseau,resolu,2.0
TK000167,CL00128,2024-04-15,Reseau,abandonne,3.0
TK000168,CL00129,2025-09-02,Materiel,resolu,8.0
TK000169,CL00129,2025-12-31,Reseau,resolu,1.0
TK000170,CL00130,2025-08-18,Facturation,resolu,1.0
TK000171,CL00134,2024-12-26,Reseau,resolu,2.0
TK000172,CL00136,2025-11-11,Facturation,ouvert,
TK000173,CL00136,2025-11-24,Materiel,resolu,1.0
TK000174,CL00136,2025-10-01,Facturation,ouvert,
TK000175,CL00136,2025-12-11,Facturation,ouvert,
TK000176,CL00136,2025-11-08,Offre,ouvert,
TK000177,CL00136,2025-11-08,Materiel,resolu,1.0
TK000178,CL00138,2024-02-19,Facturation,ouvert,
TK000179,CL00139,2025-02-13,Materiel,resolu,9.0
TK000180,CL00142,2024-01-04,Reseau,resolu,5.0
TK000181,CL00144,2024-05-22,Facturation,resolu,1.0
TK000182,CL00144,2025-10-10,Reseau,resolu,-4.0
TK000183,CL00145,2024-05-15,Facturation,resolu,3.0
TK000184,CL00145,2025-12-21,Reseau,resolu,1.0
TK000185,CL00146,2024-08-25,Materiel,ouvert,
TK000186,CL00146,2024-12-16,Facturation,ouvert,
TK000187,CL00147,2024-11-13,Reseau,resolu,5.0
TK000188,CL00147,2025-10-22,Materiel,resolu,7.0
TK000189,CL00148,2025-08-04,Reseau,resolu,2.0
TK000190,CL00148,2025-02-28,Reseau,abandonne,1.0
TK000191,CL00150,2025-08-13,Offre,resolu,1.0
TK000192,CL00151,2025-11-26,Reseau,abandonne,6.0
TK000193,CL00151,2025-07-28,Reseau,resolu,10.0
TK000194,CL00152,2024-04-03,Reseau,ouvert,
TK000195,CL00152,2024-07-02,Offre,abandonne,9.0
TK000196,CL00153,2025-03-29,Facturation,abandonne,1.0
TK000197,CL00153,2025-04-18,Reseau,ouvert,
TK000198,CL00153,2025-03-27,Materiel,ouvert,
TK000199,CL00153,2025-04-15,Facturation,abandonne,15.0
TK000200,CL00153,2025-03-28,Reseau,resolu,3.0
TK000201,CL00155,2025-02-02,Reseau,ouvert,
TK000202,CL00155,2025-03-17,Offre,resolu,1.0
TK000203,CL00156,2025-11-08,Facturation,resolu,1.0
TK000204,CL00157,2025-06-06,Facturation,ouvert,
TK000205,CL00158,2025-07-18,Facturation,abandonne,12.0
TK000206,CL00158,2025-12-27,Facturation,ouvert,
TK000207,CL00159,2025-05-11,Reseau,resolu,6.0
TK000208,CL00160,2024-01-27,Facturation,resolu,1.0
TK000209,CL00160,2025-04-19,Reseau,ouvert,
TK000210,CL00160,2025-03-28,Reseau,resolu,9.0
TK000211,CL00160,2025-01-07,Materiel,ouvert,
TK000212,CL00160,2024-01-05,Materiel,ouvert,
TK000213,CL00160,2024-10-28,Reseau,abandonne,10.0
TK000214,CL00162,2025-12-31,Reseau,resolu,6.0
TK000215,CL00163,2024-10-08,Reseau,resolu,4.0
TK000216,CL00163,2025-03-18,Reseau,abandonne,4.0
TK000217,CL00163,2025-02-09,Offre,ouvert,
TK000218,CL00163,2025-03-15,Offre,ouvert,
TK000219,CL00164,2025-08-06,Reseau,resolu,3.0
TK000220,CL00165,2025-08-08,Reseau,ouvert,
TK000221,CL00165,2025-07-20,Materiel,resolu,10.0
TK000222,CL00166,2025-08-27,Reseau,resolu,1.0
TK000223,CL00167,2025-01-02,Materiel,ouvert,
TK000224,CL00168,2024-11-25,Facturation,ouvert,
TK000225,CL00168,2025-03-10,Facturation,abandonne,1.0
TK000226,CL00168,2024-09-14,Facturation,ouvert,
TK000227,CL00168,2024-08-15,Offre,resolu,16.0
TK000228,CL00169,2024-09-18,Offre,ouvert,
TK000229,CL00169,2024-11-16,Facturation,abandonne,1.0
TK000230,CL00169,2024-06-18,Reseau,ouvert,
TK000231,CL00169,2024-10-30,Materiel,ouvert,
TK000232,CL00169,2024-12-05,Materiel,ouvert,
TK000233,CL00169,2024-04-05,Materiel,resolu,1.0
TK000234,CL00171,2024-06-17,Offre,ouvert,
TK000235,CL00171,2024-04-23,Facturation,resolu,17.0
TK000236,CL00174,2025-10-23,Reseau,ouvert,
TK000237,CL00174,2025-11-10,Facturation,ouvert,
TK000238,CL00175,2024-11-01,Offre,ouvert,
TK000239,CL00176,2025-05-11,Materiel,ouvert,
TK000240,CL00176,2025-05-29,Reseau,abandonne,1.0
TK000241,CL00176,2024-10-12,Reseau,ouvert,
TK000242,CL00180,2025-05-06,Materiel,resolu,7.0
TK000243,CL00181,2025-09-04,Reseau,ouvert,
TK000244,CL00181,2025-07-04,Reseau,resolu,2.0
TK000245,CL00181,2025-09-19,Reseau,abandonne,8.0
TK000246,CL00181,2025-07-01,Materiel,ouvert,
TK000247,CL00182,2025-03-05,Facturation,resolu,1.0
TK000248,CL00192,2025-10-31,Offre,resolu,5.0
TK000249,CL00192,2025-11-09,Offre,abandonne,3.0
TK000250,CL00192,2025-07-17,Materiel,resolu,1.0
TK000251,CL00192,2025-12-04,Reseau,resolu,-1.0
TK000252,CL00192,2025-12-17,Materiel,ouvert,
TK000253,CL00194,2025-03-14,Facturation,resolu,1.0
TK000254,CL00194,2025-10-29,Reseau,resolu,3.0
TK000255,CL00197,2024-09-09,Facturation,ouvert,
TK000256,CL00197,2024-05-17,Facturation,ouvert,
TK000257,CL00197,2024-06-11,Reseau,ouvert,
TK000258,CL00197,2024-11-24,Facturation,abandonne,44.0
TK000259,CL00197,2024-11-09,Facturation,ouvert,
TK000260,CL00198,2025-01-22,Reseau,abandonne,1.0
TK000261,CL00198,2025-04-30,Reseau,abandonne,1.0
TK000262,CL00198,2025-01-02,Offre,abandonne,1.0
TK000263,CL00200,2025-03-09,Offre,ouvert,
TK000264,CL00202,2025-05-30,Offre,resolu,7.0
TK000265,CL00203,2025-11-16,Facturation,resolu,6.0
TK000266,CL00204,2024-02-09,Reseau,resolu,1.0
TK000267,CL00204,2024-02-02,Facturation,abandonne,2.0
TK000268,CL00204,2024-07-21,Offre,ouvert,
TK000269,CL00208,2025-11-09,Facturation,resolu,13.0
TK000270,CL00209,2025-02-24,Facturation,resolu,4.0
TK000271,CL00210,2025-06-16,Offre,resolu,11.0
TK000272,CL00211,2024-12-21,Reseau,resolu,8.0
TK000273,CL00211,2024-11-20,Materiel,abandonne,16.0
TK000274,CL00212,2025-07-11,Reseau,resolu,15.0
TK000275,CL00213,2024-11-03,Facturation,resolu,5.0
TK000276,CL00216,2024-02-24,Reseau,resolu,3.0
TK000277,CL00216,2024-02-17,Reseau,abandonne,6.0
TK000278,CL00216,2024-02-03,Reseau,abandonne,2.0
TK000279,CL00216,2024-02-01,Reseau,ouvert,
TK000280,CL00216,2024-01-17,Reseau,abandonne,10.0
TK000281,CL00220,2024-12-19,Reseau,resolu,1.0
TK000282,CL00220,2025-02-06,Reseau,ouvert,
TK000283,CL00220,2025-05-11,Offre,ouvert,
TK000284,CL00221,2024-12-29,Materiel,ouvert,
TK000285,CL00221,2024-10-02,Facturation,resolu,1.0
TK000286,CL00221,2024-10-27,Offre,ouvert,
TK000287,CL00221,2024-12-13,Offre,resolu,4.0
TK000288,CL00222,2025-08-03,Reseau,ouvert,
TK000289,CL00222,2024-12-31,Offre,abandonne,21.0
TK000290,CL00222,2025-04-10,Facturation,abandonne,3.0
TK000291,CL00222,2025-09-28,Reseau,ouvert,
TK000292,CL00222,2025-10-26,Reseau,abandonne,25.0
TK000293,CL00223,2024-12-31,Materiel,abandonne,7.0
TK000294,CL00223,2024-08-10,Facturation,abandonne,4.0
TK000295,CL00225,2025-11-07,Facturation,ouvert,
TK000296,CL00230,2025-07-16,Reseau,ouvert,
TK000297,CL00231,2025-11-12,Reseau,resolu,4.0
TK000298,CL00232,2025-09-13,Reseau,resolu,8.0
TK000299,CL00232,2025-06-08,Reseau,resolu,1.0
TK000300,CL00235,2024-07-28,Facturation,ouvert,
TK000301,CL00235,2024-08-02,Offre,abandonne,3.0
TK000302,CL00236,2025-08-04,Facturation,ouvert,
TK000303,CL00236,2025-12-06,Materiel,resolu,1.0
TK000304,CL00237,2024-06-15,Facturation,ouvert,
TK000305,CL00237,2024-06-16,Reseau,ouvert,
TK000306,CL00237,2024-08-08,Reseau,abandonne,1.0
TK000307,CL00238,2025-09-10,Offre,resolu,4.0
TK000308,CL00238,2025-11-19,Reseau,ouvert,
TK000309,CL00239,2024-10-04,Reseau,abandonne,1.0
TK000310,CL00239,2024-05-05,Facturation,ouvert,
TK000311,CL00239,2024-10-19,Facturation,ouvert,
TK000312,CL00239,2024-08-10,Reseau,abandonne,12.0
TK000313,CL00239,2024-10-25,Materiel,ouvert,
TK000314,CL00240,2024-12-30,Reseau,abandonne,17.0
TK000315,CL00240,2024-11-09,Facturation,abandonne,4.0
TK000316,CL00241,2025-02-21,Reseau,resolu,3.0
TK000317,CL00242,2024-09-01,Facturation,ouvert,
TK000318,CL00242,2024-08-07,Offre,abandonne,4.0
TK000319,CL00243,2024-06-27,Materiel,resolu,1.0
TK000320,CL00243,2025-08-19,Reseau,resolu,1.0
TK000321,CL00243,2024-02-25,Facturation,ouvert,
TK000322,CL00246,2025-08-21,Reseau,ouvert,
TK000323,CL00247,2024-12-20,Reseau,ouvert,
TK000324,CL00247,2025-04-22,Reseau,resolu,3.0
TK000325,CL00247,2024-02-18,Reseau,abandonne,3.0
TK000326,CL00247,2024-09-15,Facturation,abandonne,11.0
TK000327,CL00247,2024-10-21,Facturation,resolu,1.0
TK000328,CL00249,2025-08-04,Reseau,ouvert,
TK000329,CL00249,2025-01-11,Offre,resolu,12.0
TK000330,CL00250,2024-06-26,Reseau,resolu,2.0
TK000331,CL00252,2025-05-27,Reseau,resolu,2.0
TK000332,CL00252,2024-08-16,Reseau,resolu,9.0
TK000333,CL00252,2025-10-11,Facturation,resolu,1.0
TK000334,CL00253,2025-04-19,Reseau,ouvert,
TK000335,CL00253,2025-04-10,Reseau,ouvert,
TK000336,CL00256,2025-10-07,Reseau,resolu,3.0
TK000337,CL00257,2024-11-09,Materiel,ouvert,
TK000338,CL00259,2024-01-05,Offre,ouvert,
TK000339,CL00259,2024-03-29,Facturation,ouvert,
TK000340,CL00259,2024-05-04,Reseau,ouvert,
TK000341,CL00259,2024-04-14,Facturation,resolu,-2.0
TK000342,CL00261,2025-06-27,Offre,resolu,2.0
TK000343,CL00261,2024-04-30,Offre,ouvert,
TK000344,CL00261,2024-09-01,Reseau,abandonne,1.0
TK000345,CL00261,2024-11-05,Facturation,ouvert,
TK000346,CL00262,2024-01-08,Reseau,ouvert,
TK000347,CL00262,2024-01-10,Materiel,ouvert,
TK000348,CL00262,2024-01-12,Reseau,abandonne,27.0
TK000349,CL00263,2025-05-19,Facturation,resolu,2.0
TK000350,CL00263,2025-12-11,Reseau,resolu,10.0
TK000351,CL00263,2025-07-23,Reseau,resolu,3.0
TK000352,CL00264,2025-02-03,Materiel,resolu,3.0
TK000353,CL00265,2025-02-14,Facturation,resolu,30.0
TK000354,CL00268,2025-09-19,Reseau,resolu,6.0
TK000355,CL00268,2025-02-14,Facturation,resolu,1.0
TK000356,CL00268,2024-08-22,Reseau,resolu,5.0
TK000357,CL00270,2024-12-13,Reseau,abandonne,7.0
TK000358,CL00270,2025-01-23,Reseau,abandonne,-1.0
TK000359,CL00270,2024-07-15,Facturation,abandonne,1.0
TK000360,CL00271,2024-12-19,Facturation,ouvert,
TK000361,CL00272,2025-03-18,Offre,resolu,5.0
TK000362,CL00272,2025-06-25,Reseau,resolu,4.0
TK000363,CL00272,2025-02-11,Materiel,resolu,1.0
TK000364,CL00277,2025-05-09,Facturation,abandonne,16.0
TK000365,CL00285,2025-08-04,Facturation,ouvert,
TK000366,CL00286,2025-08-22,Facturation,resolu,7.0
TK000367,CL00287,2025-10-03,Reseau,resolu,1.0
TK000368,CL00287,2025-10-26,Facturation,resolu,8.0
TK000369,CL00288,2025-11-20,Offre,resolu,2.0
TK000370,CL00288,2025-08-31,Facturation,resolu,7.0
TK000371,CL00289,2025-03-22,Reseau,ouvert,
TK000372,CL00289,2025-02-19,Reseau,resolu,8.0
TK000373,CL00289,2025-02-19,Reseau,ouvert,
TK000374,CL00289,2025-02-05,Offre,ouvert,
TK000375,CL00290,2025-08-14,Reseau,resolu,1.0
TK000376,CL00291,2025-04-24,Materiel,resolu,1.0
TK000377,CL00292,2025-05-19,Facturation,abandonne,5.0
TK000378,CL00292,2024-08-20,Facturation,ouvert,
TK000379,CL00293,2025-02-28,Reseau,ouvert,
TK000380,CL00293,2025-01-20,Offre,ouvert,
TK000381,CL00293,2025-01-19,Offre,resolu,1.0
TK000382,CL00293,2024-12-31,Reseau,abandonne,9.0
TK000383,CL00293,2024-08-26,Offre,abandonne,4.0
TK000384,CL00293,2025-02-20,Facturation,ouvert,
TK000385,CL00294,2025-04-12,Facturation,resolu,1.0
TK000386,CL00294,2025-01-07,Offre,resolu,6.0
TK000387,CL00295,2024-07-05,Facturation,resolu,2.0
TK000388,CL00295,2025-02-26,Reseau,resolu,7.0
TK000389,CL00299,2025-07-15,Reseau,abandonne,1.0
TK000390,CL00299,2025-08-03,Reseau,abandonne,1.0
TK000391,CL00301,2025-08-28,Materiel,resolu,1.0
TK000392,CL00305,2024-03-10,Reseau,resolu,4.0
TK000393,CL00305,2025-06-19,Reseau,ouvert,
TK000394,CL00307,2025-05-25,Reseau,resolu,6.0
TK000395,CL00307,2025-06-06,Materiel,ouvert,
TK000396,CL00308,2024-06-19,Reseau,resolu,3.0
TK000397,CL00309,2024-06-19,Reseau,resolu,2.0
TK000398,CL00309,2025-01-21,Reseau,resolu,1.0
TK000399,CL00309,2025-05-15,Offre,ouvert,
TK000400,CL00310,2025-12-28,Materiel,ouvert,
TK000401,CL00313,2025-12-10,Materiel,resolu,3.0
TK000402,CL00314,2025-08-29,Facturation,resolu,3.0
TK000403,CL00314,2025-10-08,Reseau,abandonne,1.0
TK000404,CL00314,2025-10-17,Reseau,ouvert,
TK000405,CL00314,2025-08-29,Reseau,abandonne,9.0
TK000406,CL00315,2024-08-26,Facturation,abandonne,5.0
TK000407,CL00315,2025-03-30,Facturation,abandonne,4.0
TK000408,CL00315,2024-12-23,Reseau,ouvert,
TK000409,CL00317,2024-09-02,Reseau,abandonne,3.0
TK000410,CL00317,2024-08-04,Reseau,resolu,3.0
TK000411,CL00317,2024-09-25,Reseau,ouvert,
TK000412,CL00317,2024-08-31,Offre,abandonne,6.0
TK000413,CL00318,2025-09-21,Reseau,resolu,1.0
TK000414,CL00318,2025-05-25,Materiel,ouvert,
TK000415,CL00318,2025-05-15,Reseau,resolu,5.0
TK000416,CL00321,2024-01-29,Materiel,resolu,1.0
TK000417,CL00322,2025-06-18,Reseau,resolu,9.0
TK000418,CL00323,2025-01-01,Materiel,ouvert,
TK000419,CL00323,2024-07-25,Reseau,resolu,1.0
TK000420,CL00325,2024-07-31,Materiel,resolu,4.0
TK000421,CL00325,2024-01-02,Facturation,ouvert,
TK000422,CL00326,2025-03-14,Materiel,resolu,7.0
TK000423,CL00329,2025-05-09,Reseau,resolu,3.0
TK000424,CL00330,2025-08-05,Facturation,ouvert,
TK000425,CL00330,2025-06-26,Materiel,resolu,1.0
TK000426,CL00330,2025-08-11,Reseau,abandonne,9.0
TK000427,CL00331,2025-01-17,Reseau,resolu,1.0
TK000428,CL00332,2024-01-31,Offre,resolu,4.0
TK000429,CL00332,2024-01-27,Reseau,resolu,1.0
TK000430,CL00332,2024-01-10,Reseau,ouvert,
TK000431,CL00333,2025-02-24,Reseau,resolu,1.0
TK000432,CL00335,2025-07-12,Reseau,resolu,3.0
TK000433,CL00336,2025-12-18,Reseau,resolu,1.0
TK000434,CL00340,2025-03-21,Facturation,ouvert,
TK000435,CL00341,2024-10-31,Facturation,ouvert,
TK000436,CL00341,2024-09-19,Facturation,resolu,3.0
TK000437,CL00342,2024-04-21,Facturation,resolu,5.0
TK000438,CL00343,2024-02-07,Reseau,ouvert,
TK000439,CL00347,2025-06-23,Facturation,resolu,1.0
TK000440,CL00347,2025-06-28,Offre,ouvert,
TK000441,CL00348,2025-08-01,Offre,resolu,-7.0
TK000442,CL00348,2025-10-22,Reseau,resolu,1.0
TK000443,CL00349,2024-12-10,Offre,abandonne,1.0
TK000444,CL00350,2025-12-23,Materiel,resolu,7.0
TK000445,CL00350,2024-02-24,Reseau,resolu,6.0
TK000446,CL00351,2025-01-17,Facturation,resolu,2.0
TK000447,CL00351,2025-02-10,Materiel,resolu,4.0
TK000448,CL00352,2024-04-10,Facturation,resolu,1.0
TK000449,CL00352,2024-03-11,Reseau,abandonne,1.0
TK000450,CL00352,2024-08-24,Reseau,ouvert,
TK000451,CL00353,2024-02-10,Materiel,abandonne,1.0
TK000452,CL00354,2025-05-06,Materiel,resolu,-1.0
TK000453,CL00354,2024-05-25,Reseau,resolu,3.0
TK000454,CL00355,2025-07-01,Offre,resolu,7.0
TK000455,CL00357,2025-08-15,Offre,resolu,1.0
TK000456,CL00359,2025-10-29,Facturation,resolu,1.0
TK000457,CL00362,2025-09-09,Reseau,resolu,1.0
TK000458,CL00363,2025-07-26,Facturation,abandonne,13.0
TK000459,CL00363,2025-09-22,Reseau,ouvert,
TK000460,CL00364,2025-12-18,Facturation,resolu,2.0
TK000461,CL00366,2025-08-02,Facturation,ouvert,
TK000462,CL00367,2024-11-30,Offre,resolu,1.0
TK000463,CL00368,2025-10-25,Materiel,resolu,6.0
TK000464,CL00370,2024-12-15,Offre,abandonne,18.0
TK000465,CL00370,2024-09-09,Reseau,resolu,1.0
TK000466,CL00370,2024-07-29,Reseau,abandonne,10.0
TK000467,CL00372,2024-12-15,Reseau,abandonne,14.0
TK000468,CL00373,2024-09-07,Reseau,resolu,3.0
TK000469,CL00373,2025-01-11,Facturation,resolu,1.0
TK000470,CL00374,2024-03-02,Facturation,resolu,4.0
TK000471,CL00374,2024-01-29,Reseau,abandonne,23.0
TK000472,CL00374,2024-03-18,Facturation,ouvert,
TK000473,CL00376,2025-05-19,Reseau,resolu,3.0
