id_client,mois,voix_min,sms_count,data_mb
CL00007,2024-10-01,311.6,61,3508.3
CL00007,2024-11-01,395.7,78,4455.7
CL00007,2024-12-01,366.8,72,4129.9
CL00007,2025-01-01,344.2,67,3876.0
CL00007,2025-02-01,273.4,53,3078.5
CL00007,2025-03-01,274.2,54,3087.2
CL00007,2025-04-01,307.2,60,3459.4
CL00007,2025-05-01,362.1,71,4077.3
CL00007,2025-06-01,325.9,64,3669.3
CL00007,2025-07-01,337.5,66,3800.6
CL00007,2025-08-01,366.7,72,4129.1
CL00007,2025-09-01,440.6,86,4960.6
CL00007,2025-10-01,356.2,70,4011.2
CL00007,2025-11-01,386.0,76,4346.3
CL00007,2025-12-01,368.3,72,4147.4
CL00008,2024-05-01,1084.3,37,20604.0
CL00008,2024-06-01,1213.3,41,23056.7
CL00008,2024-07-01,1308.6,44,24867.5
CL00008,2024-08-01,1247.2,42,23701.4
CL00008,2024-09-01,1226.2,42,23300.9
CL00008,2024-10-01,1164.0,40,22118.6
CL00008,2024-11-01,1048.6,36,19925.7
CL00008,2024-12-01,1132.0,38,21511.7
CL00008,2025-01-01,1128.8,38,21450.5
CL00008,2025-02-01,1102.3,37,20947.5
CL00008,2025-03-01,1301.8,44,24738.1
CL00008,2025-04-01,969.9,33,18430.1
CL00008,2025-05-01,1128.1,38,21436.7
CL00008,2025-06-01,1317.5,45,25035.8
CL00008,2025-07-01,1399.0,48,26584.7
CL00008,2025-08-01,1185.5,40,22527.1
CL00008,2025-09-01,1073.1,36,20391.9
CL00008,2025-10-01,1213.8,41,23065.6
CL00008,2025-11-01,1149.7,39,21848.4
CL00008,2025-12-01,1258.6,43,23916.6
CL00009,2024-02-01,50.5,4,787.7
CL00009,2024-03-01,42.2,3,659.4
CL00009,2024-04-01,58.0,5,905.2
CL00009,2024-05-01,43.9,4,684.8
CL00009,2024-06-01,59.5,5,928.5
CL00009,2024-07-01,54.5,5,850.5
CL00009,2024-08-01,60.4,5,943.2
CL00009,2024-09-01,52.3,4,816.1
CL00009,2024-10-01,52.5,4,819.6
CL00009,2024-11-01,53.6,4,837.3
CL00009,2024-12-01,55.5,5,865.9
CL00009,2025-01-01,59.2,5,924.5
CL00009,2025-02-01,53.8,4,840.0
CL00009,2025-03-01,53.1,4,829.2
CL00009,2025-04-01,52.3,4,817.1
CL00009,2025-05-01,52.0,4,811.3
CL00009,2025-06-01,52.2,4,814.6
CL00009,2025-07-01,44.8,4,700.1
CL00009,2025-08-01,55.9,5,872.8
CL00009,2025-09-01,46.9,4,732.0
CL00009,2025-10-01,49.4,4,770.9
CL00009,2025-11-01,54.5,5,851.6
CL00009,2025-12-01,54.6,5,852.5
CL00010,2024-01-01,132.2,27,1230.0
CL00010,2024-02-01,47.6,9,443.1
CL00010,2024-03-01,49.1,10,456.8
CL00010,2024-04-01,46.7,9,434.3
CL00011,2024-01-01,290.6,77,3212.2
CL00011,2024-02-01,279.5,74,3089.1
CL00011,2024-03-01,240.0,64,2652.5
CL00011,2024-04-01,190.9,51,2110.6
CL00011,2024-05-01,204.2,54,2257.5
CL00011,2024-06-01,315.5,84,3486.9
CL00011,2024-07-01,230.4,61,2546.4
CL00011,2024-08-01,250.8,67,2771.9
CL00011,2024-09-01,188.1,50,2079.4
CL00011,2024-10-01,234.9,62,2596.9
CL00011,2024-11-01,251.1,67,2775.5
CL00011,2024-12-01,262.9,70,2906.5
CL00011,2025-01-01,245.8,65,2716.6
CL00011,2025-02-01,232.0,62,2563.9
CL00011,2025-03-01,257.4,68,2845.4
CL00011,2025-04-01,212.5,56,2348.6
CL00011,2025-05-01,250.5,67,2769.0
CL00011,2025-06-01,270.6,72,2991.0
CL00011,2025-07-01,251.2,67,2776.5
CL00011,2025-08-01,227.7,60,2516.5
CL00011,2025-09-01,202.3,54,2236.7
CL00011,2025-10-01,255.0,68,2818.6
CL00011,2025-11-01,278.5,74,3078.3
CL00011,2025-12-01,243.8,65,2695.0
CL00012,2024-08-01,124.7,45,2767.8
CL00012,2024-09-01,117.0,42,2596.3
CL00012,2024-10-01,125.7,46,2789.1
CL00012,2024-11-01,131.5,48,2918.7
CL00012,2024-12-01,145.2,53,3222.3
CL00012,2025-01-01,139.5,51,3094.7
CL00012,2025-02-01,118.8,43,2637.3
CL00012,2025-03-01,148.6,54,3297.6
CL00012,2025-04-01,166.2,61,3689.2
CL00012,2025-05-01,158.5,58,3518.1
CL00012,2025-06-01,109.6,40,2433.0
CL00012,2025-07-01,130.3,47,2892.0
CL00012,2025-08-01,129.9,47,2882.6
CL00012,2025-09-01,140.6,51,3120.6
CL00012,2025-10-01,169.9,62,3769.9
CL00012,2025-11-01,153.1,56,3397.8
CL00012,2025-12-01,137.9,50,3061.3
CL00013,2024-01-01,196.7,19,4397.5
CL00013,2024-02-01,187.7,18,4195.4
CL00013,2024-03-01,219.8,21,4914.1
CL00013,2024-04-01,160.1,15,3579.4
CL00013,2024-05-01,193.0,18,4315.8
CL00013,2024-06-01,169.7,16,3794.7
CL00013,2024-07-01,201.6,19,4506.6
CL00013,2024-08-01,184.3,17,4121.5
CL00013,2024-09-01,176.3,17,3942.6
CL00013,2024-10-01,153.3,14,3428.1
CL00013,2024-11-01,194.5,18,4349.3
CL00013,2024-12-01,158.2,15,3536.4
CL00013,2025-01-01,177.5,17,3968.1
CL00013,2025-02-01,188.6,18,4216.1
CL00013,2025-03-01,218.0,21,4873.6
CL00013,2025-04-01,178.2,17,3984.9
CL00013,2025-05-01,190.9,18,4267.0
CL00013,2025-06-01,197.5,19,4415.3
CL00013,2025-07-01,225.7,21,5046.8
CL00013,2025-08-01,177.0,17,3958.1
CL00013,2025-09-01,187.4,18,4190.3
CL00013,2025-10-01,158.5,15,3542.7
CL00013,2025-11-01,171.8,16,3840.9
CL00013,2025-12-01,202.1,19,4518.6
CL00014,2025-04-01,97.7,54,1102.5
CL00014,2025-05-01,26.0,14,293.8
CL00014,2025-06-01,39.0,21,440.4
CL00014,2025-07-01,33.7,18,380.8
CL00015,2025-09-01,87.2,36,486.8
CL00015,2025-10-01,26.8,11,149.6
CL00015,2025-11-01,27.8,11,155.3
CL00015,2025-12-01,38.1,15,212.5
CL00016,2024-01-01,315.9,38,2537.6
CL00016,2024-02-01,298.0,36,2393.4
CL00016,2024-03-01,471.8,57,3789.3
CL00016,2024-04-01,376.9,45,3027.0
CL00016,2024-05-01,391.2,47,3141.6
CL00016,2024-06-01,343.6,41,2759.7
CL00016,2024-07-01,303.2,36,2435.2
CL00016,2024-08-01,367.4,44,2950.9
CL00016,2024-09-01,318.9,38,2561.4
CL00016,2024-10-01,409.3,49,3287.5
CL00016,2024-11-01,341.4,41,2742.3
CL00016,2024-12-01,292.4,35,2348.8
CL00016,2025-01-01,367.1,44,2948.6
CL00016,2025-02-01,322.1,39,2587.0
CL00016,2025-03-01,352.4,42,2830.5
CL00016,2025-04-01,377.5,46,3032.3
CL00016,2025-05-01,393.3,47,3158.9
CL00016,2025-06-01,362.1,44,2908.3
CL00016,2025-07-01,441.2,53,3543.4
CL00016,2025-08-01,281.0,34,2257.1
CL00016,2025-09-01,340.2,41,2732.0
CL00016,2025-10-01,412.3,50,3311.1
CL00016,2025-11-01,299.7,36,2407.3
CL00016,2025-12-01,365.9,44,2938.8
CL00017,2024-01-01,255.4,34,2361.8
CL00017,2024-02-01,224.8,30,2078.1
CL00017,2024-03-01,182.4,24,1686.9
CL00017,2024-04-01,223.2,29,2063.5
CL00017,2024-05-01,203.0,27,1876.9
CL00017,2024-06-01,228.4,30,2112.1
CL00017,2024-07-01,240.9,32,2227.2
CL00017,2024-08-01,188.6,25,1744.2
CL00017,2024-09-01,249.7,33,2308.5
CL00017,2024-10-01,220.4,29,2038.1
CL00017,2024-11-01,189.8,25,1754.5
CL00017,2024-12-01,226.1,30,2090.6
CL00017,2025-01-01,241.6,32,2233.5
CL00017,2025-02-01,193.2,25,1785.9
CL00017,2025-03-01,231.9,31,2144.5
CL00017,2025-04-01,183.1,24,1692.7
CL00017,2025-05-01,220.0,29,2034.6
CL00017,2025-06-01,254.6,34,2354.4
CL00017,2025-07-01,208.7,27,1929.5
CL00017,2025-08-01,277.1,37,2562.3
CL00017,2025-09-01,271.1,36,2506.6
CL00017,2025-10-01,197.6,26,1827.3
CL00017,2025-11-01,238.3,31,2203.4
CL00017,2025-12-01,213.6,28,1974.8
CL00018,2024-01-01,163.5,28,1588.9
CL00018,2024-02-01,227.9,39,2214.5
CL00018,2024-03-01,234.4,40,2277.1
CL00018,2024-04-01,227.0,39,2205.0
CL00018,2024-05-01,265.4,45,2578.4
CL00018,2024-06-01,189.0,32,1835.9
CL00018,2024-07-01,215.0,37,2089.2
CL00018,2024-08-01,193.5,33,1879.7
CL00018,2024-09-01,195.2,33,1896.3
CL00018,2024-10-01,229.4,39,2228.7
CL00018,2024-11-01,231.4,39,2248.1
CL00018,2024-12-01,177.0,30,1719.4
CL00018,2025-01-01,235.5,40,2287.6
CL00018,2025-02-01,208.8,36,2029.0
CL00018,2025-03-01,184.1,31,1789.1
CL00018,2025-04-01,223.4,38,2170.7
CL00018,2025-05-01,221.7,38,2154.3
CL00018,2025-06-01,197.4,34,1917.5
CL00018,2025-07-01,201.7,34,1959.7
CL00018,2025-08-01,213.0,36,2069.5
CL00018,2025-09-01,192.8,33,1873.6
CL00018,2025-10-01,200.8,34,1951.0
CL00018,2025-11-01,235.3,40,2285.8
CL00018,2025-12-01,190.9,32,1854.7
CL00019,2024-01-01,330.5,20,1735.6
CL00019,2024-02-01,398.7,24,2093.7
CL00019,2024-04-01,437.6,27,2297.8
CL00019,2024-06-01,474.0,29,2488.8
CL00019,2024-07-01,331.8,20,1742.4
CL00019,2024-08-01,383.5,23,2013.8
CL00019,2024-09-01,348.9,21,1831.9
CL00019,2024-10-01,472.7,29,2482.4
CL00019,2024-11-01,343.6,21,1804.2
CL00019,2024-12-01,313.7,19,1647.4
CL00019,2025-01-01,416.3,25,2186.2
CL00019,2025-02-01,494.0,30,2594.0
CL00019,2025-03-01,348.2,21,1828.3
CL00019,2025-04-01,338.9,21,1779.5
CL00019,2025-05-01,482.1,30,2531.9
CL00019,2025-06-01,370.5,23,1945.5
CL00019,2025-07-01,391.0,24,2053.3
CL00019,2025-08-01,428.4,26,2249.5
CL00019,2025-09-01,392.1,24,2058.8
CL00019,2025-10-01,411.0,25,2158.0
CL00019,2025-11-01,514.0,32,2699.3
CL00019,2025-12-01,456.9,28,2399.2
CL00020,2025-06-01,83.1,76,1248.6
CL00020,2025-07-01,92.0,84,1383.0
CL00020,2025-08-01,74.4,68,1117.7
CL00020,2025-09-01,62.1,57,933.9
CL00020,2025-10-01,60.4,55,907.7
CL00020,2025-11-01,78.8,72,1183.6
CL00020,2025-12-01,82.0,75,1232.5
CL00021,2024-01-01,43.7,18,558.1
CL00021,2024-02-01,49.5,21,631.6
CL00021,2024-03-01,50.9,21,649.3
CL00021,2024-04-01,44.1,19,562.6
CL00021,2024-05-01,47.4,20,605.2
CL00021,2024-06-01,56.1,24,716.2
CL00021,2024-07-01,41.7,18,532.0
CL00021,2024-08-01,55.3,23,705.8
CL00021,2024-09-01,52.7,22,673.2
CL00021,2024-10-01,45.4,19,579.9
CL00021,2024-11-01,50.3,21,641.7
CL00021,2024-12-01,42.6,18,543.4
CL00021,2025-01-01,42.1,18,538.0
CL00021,2025-02-01,45.5,19,581.5
CL00021,2025-03-01,42.7,18,545.0
CL00021,2025-04-01,41.9,18,535.5
CL00021,2025-05-01,49.2,21,628.7
CL00021,2025-06-01,50.5,21,644.7
CL00021,2025-07-01,42.0,18,535.6
CL00021,2025-08-01,51.9,22,662.1
CL00021,2025-09-01,45.3,19,578.7
CL00021,2025-10-01,44.4,19,566.6
CL00021,2025-11-01,47.9,20,611.5
CL00021,2025-12-01,37.4,16,477.1
CL00022,2025-08-01,80.1,67,868.8
CL00022,2025-09-01,75.0,63,812.9
CL00022,2025-10-01,59.2,50,641.5
CL00022,2025-11-01,68.9,58,746.4
CL00022,2025-12-01,62.8,53,680.3
CL00023,2024-01-01,52.5,5,869.4
CL00023,2024-02-01,44.0,4,728.5
CL00023,2024-03-01,57.6,5,954.4
CL00023,2024-04-01,46.8,4,774.3
CL00023,2024-05-01,49.3,4,815.6
CL00023,2024-06-01,54.8,5,907.6
CL00023,2024-07-01,55.8,5,924.2
CL00023,2024-08-01,57.7,5,956.2
CL00023,2024-09-01,53.9,5,892.6
CL00023,2024-10-01,48.1,4,796.6
CL00023,2024-11-01,56.5,5,935.2
CL00023,2024-12-01,52.0,4,861.1
CL00023,2025-01-01,55.6,5,921.4
CL00023,2025-02-01,52.8,5,874.4
CL00023,2025-03-01,35.5,3,587.7
CL00023,2025-04-01,49.6,4,822.0
CL00023,2025-05-01,62.8,6,1039.7
CL00023,2025-06-01,53.5,5,885.2
CL00023,2025-07-01,49.7,4,822.8
CL00023,2025-08-01,55.5,5,919.1
CL00023,2025-09-01,58.2,5,963.7
CL00023,2025-10-01,58.1,5,961.9
CL00023,2025-11-01,54.6,5,904.6
CL00023,2025-12-01,55.3,5,915.7
CL00024,2024-01-01,260.0,53,1916.8
CL00024,2024-02-01,343.2,70,2530.1
CL00024,2024-03-01,348.6,71,2569.5
CL00024,2024-04-01,316.1,64,2330.0
CL00024,2024-05-01,324.7,66,2393.8
CL00024,2024-06-01,319.9,65,2358.1
CL00024,2024-07-01,307.4,63,2265.7
CL00024,2024-08-01,267.3,54,1970.5
CL00024,2024-09-01,328.0,67,2417.7
CL00024,2024-10-01,240.5,49,1772.6
CL00024,2024-11-01,291.7,59,2150.4
CL00024,2024-12-01,292.2,60,2153.8
CL00024,2025-01-01,327.3,67,2412.7
CL00024,2025-02-01,329.6,67,2429.6
CL00024,2025-03-01,314.6,64,2318.8
CL00024,2025-04-01,322.7,66,2378.8
CL00024,2025-05-01,269.7,55,1988.3
CL00024,2025-06-01,309.5,63,2281.3
CL00024,2025-07-01,312.0,64,2299.8
CL00024,2025-08-01,305.9,62,2254.8
CL00024,2025-09-01,256.5,52,1890.8
CL00024,2025-10-01,260.1,53,1917.0
CL00024,2025-11-01,339.6,69,2503.1
CL00024,2025-12-01,303.4,62,2236.2
CL00025,2024-04-01,222.2,105,4716.7
CL00025,2024-05-01,219.9,104,4666.2
CL00025,2024-06-01,203.0,96,4307.9
CL00025,2024-07-01,218.5,104,4638.3
CL00025,2024-08-01,178.3,84,3784.1
CL00025,2024-09-01,207.5,98,4404.8
CL00025,2024-10-01,200.5,95,4256.3
CL00025,2024-11-01,193.6,92,4109.0
CL00025,2024-12-01,206.6,98,4385.6
CL00025,2025-01-01,251.2,119,5331.6
CL00025,2025-02-01,193.1,92,4097.6
CL00025,2025-03-01,191.0,91,4054.3
CL00025,2025-04-01,158.6,75,3365.1
CL00025,2025-05-01,191.3,91,4059.8
CL00025,2025-06-01,200.4,95,4254.2
CL00025,2025-07-01,197.5,94,4192.7
CL00025,2025-08-01,229.3,109,4865.7
CL00025,2025-09-01,214.6,102,4555.4
CL00025,2025-10-01,216.3,103,4590.9
CL00025,2025-11-01,192.9,91,4094.8
CL00025,2025-12-01,181.4,86,3849.9
CL00026,2025-03-01,612.4,14,7159.0
CL00026,2025-04-01,582.3,14,6807.2
CL00026,2025-05-01,550.8,13,6439.4
CL00026,2025-06-01,386.5,9,4518.1
CL00026,2025-07-01,490.5,11,5733.9
CL00026,2025-08-01,627.3,15,7333.2
CL00026,2025-09-01,527.8,12,6169.9
CL00026,2025-10-01,496.6,12,5805.8
CL00026,2025-11-01,375.3,9,4388.1
CL00026,2025-12-01,604.8,14,7070.8
CL00027,2024-01-01,234.3,73,4134.0
CL00027,2024-02-01,253.8,79,4478.4
CL00027,2024-03-01,237.2,74,4185.9
CL00027,2024-04-01,281.1,88,4960.5
CL00027,2024-05-01,318.5,99,5619.6
CL00027,2024-06-01,265.1,83,4677.3
CL00027,2024-07-01,287.0,89,5063.6
CL00027,2024-08-01,258.7,81,4564.4
CL00027,2024-09-01,264.4,82,4664.9
CL00027,2024-10-01,214.3,67,3780.5
CL00027,2024-11-01,251.4,78,4436.8
CL00027,2024-12-01,310.3,97,5474.4
CL00027,2025-01-01,273.7,85,4829.9
CL00027,2025-02-01,284.2,89,5014.4
CL00027,2025-03-01,280.1,87,4942.6
CL00027,2025-04-01,304.9,95,5379.4
CL00027,2025-05-01,247.1,77,4360.9
CL00027,2025-06-01,267.1,83,4712.1
CL00027,2025-07-01,296.3,92,5227.8
CL00027,2025-08-01,322.3,101,5686.6
CL00027,2025-09-01,238.3,74,4204.4
CL00027,2025-10-01,286.1,89,5048.7
CL00027,2025-11-01,264.3,82,4664.0
CL00027,2025-12-01,261.8,82,4620.2
CL00028,2025-08-01,245.1,62,2672.7
CL00028,2025-09-01,242.3,61,2642.0
CL00028,2025-10-01,235.4,59,2567.0
CL00028,2025-11-01,198.4,50,2163.4
CL00028,2025-12-01,229.8,58,2505.3
CL00029,2024-01-01,133.4,93,2633.1
CL00029,2024-02-01,133.2,93,2629.7
CL00029,2024-03-01,126.4,88,2495.6
CL00029,2024-04-01,165.4,116,3265.3
CL00029,2024-05-01,157.5,110,3108.7
CL00029,2024-06-01,131.3,92,2591.3
CL00029,2024-07-01,150.4,105,2969.6
CL00029,2024-08-01,143.0,100,2823.2
CL00029,2024-09-01,127.1,89,2509.0
CL00029,2024-10-01,116.6,81,2302.5
CL00029,2024-11-01,148.3,104,2927.5
CL00029,2024-12-01,144.1,101,2844.6
CL00029,2025-01-01,148.9,104,2939.9
CL00029,2025-02-01,161.1,113,3180.8
CL00029,2025-03-01,161.9,113,3196.2
CL00029,2025-04-01,120.5,84,2379.9
CL00029,2025-05-01,168.6,118,3328.2
CL00029,2025-06-01,141.6,99,2796.2
CL00029,2025-07-01,154.8,108,3056.5
CL00029,2025-08-01,96.2,67,1899.1
CL00029,2025-09-01,124.4,87,2455.3
CL00029,2025-10-01,146.9,103,2899.7
CL00029,2025-11-01,139.1,97,2747.0
CL00029,2025-12-01,139.0,97,2743.8
CL00030,2025-04-01,73.9,27,474.8
CL00030,2025-05-01,85.3,31,547.9
CL00030,2025-06-01,50.7,18,325.6
CL00030,2025-07-01,84.9,31,545.1
CL00030,2025-08-01,69.1,25,443.9
CL00030,2025-09-01,65.3,24,419.3
CL00030,2025-10-01,92.3,34,592.4
CL00030,2025-11-01,87.2,32,559.6
CL00030,2025-12-01,82.6,30,530.5
CL00031,2024-01-01,73.7,29,1039.4
CL00031,2024-02-01,73.5,29,1036.8
CL00031,2024-03-01,84.0,33,1184.1
CL00031,2024-04-01,86.7,34,1222.7
CL00031,2024-05-01,82.7,33,1166.5
CL00031,2024-06-01,96.1,38,1354.7
CL00031,2024-07-01,24.1,9,339.7
CL00031,2024-08-01,35.7,14,503.3
CL00031,2024-09-01,35.0,14,493.8
CL00032,2024-01-01,94.2,28,402.1
CL00032,2024-02-01,117.6,35,501.8
CL00032,2024-03-01,109.2,32,466.1
CL00032,2024-04-01,97.7,29,416.7
CL00032,2024-05-01,116.9,35,499.0
CL00032,2024-06-01,117.5,35,501.6
CL00032,2024-07-01,109.6,33,467.5
CL00032,2024-08-01,117.0,35,499.1
CL00032,2024-09-01,97.3,29,415.4
CL00032,2024-10-01,92.6,27,395.0
CL00032,2024-11-01,140.7,42,600.2
CL00032,2024-12-01,122.7,37,523.4
CL00032,2025-01-01,105.3,31,449.4
CL00032,2025-02-01,116.9,35,498.8
CL00032,2025-03-01,81.8,24,348.9
CL00032,2025-04-01,115.3,34,492.0
CL00032,2025-05-01,99.1,29,422.8
CL00032,2025-06-01,111.0,33,473.8
CL00032,2025-07-01,107.0,32,456.7
CL00032,2025-08-01,85.7,25,365.8
CL00032,2025-09-01,121.4,36,517.9
CL00032,2025-10-01,106.2,32,453.4
CL00032,2025-11-01,135.2,40,576.9
CL00032,2025-12-01,94.2,28,401.9
CL00033,2024-01-01,65.1,7,935.2
CL00033,2024-02-01,68.3,7,980.5
CL00033,2024-03-01,61.4,6,881.3
CL00033,2024-04-01,64.4,7,925.8
CL00033,2024-05-01,46.5,5,667.3
CL00033,2024-06-01,63.9,7,918.2
CL00033,2024-07-01,54.9,6,788.3
CL00033,2024-08-01,70.1,7,1007.2
CL00033,2024-09-01,50.3,5,722.2
CL00033,2024-10-01,62.4,6,895.8
CL00033,2024-11-01,66.4,7,954.4
CL00033,2024-12-01,60.7,6,871.6
CL00033,2025-01-01,58.4,6,839.5
CL00033,2025-02-01,68.0,7,976.6
CL00033,2025-03-01,54.5,6,782.2
CL00033,2025-04-01,67.4,7,968.9
CL00033,2025-05-01,58.7,6,843.9
CL00033,2025-06-01,49.1,5,705.1
CL00033,2025-07-01,63.3,7,908.7
CL00033,2025-08-01,64.2,7,922.4
CL00033,2025-09-01,69.8,7,1002.2
CL00033,2025-10-01,54.6,6,784.5
CL00033,2025-11-01,64.6,7,928.2
CL00033,2025-12-01,66.4,7,954.3
CL00034,2025-05-01,258.6,40,3684.6
CL00034,2025-06-01,249.3,38,3552.8
CL00034,2025-07-01,253.2,39,3608.2
CL00034,2025-08-01,273.3,42,3894.6
CL00034,2025-09-01,99.6,15,1418.7
CL00034,2025-10-01,99.8,15,1421.6
CL00034,2025-11-01,74.4,11,1059.9
CL00035,2024-12-01,302.7,16,2554.2
CL00035,2025-01-01,247.5,13,2088.3
CL00035,2025-02-01,259.4,13,2188.4
CL00035,2025-03-01,292.1,15,2464.6
CL00035,2025-04-01,313.4,16,2644.0
CL00035,2025-05-01,234.3,12,1976.5
CL00035,2025-06-01,281.8,15,2377.3
CL00035,2025-07-01,304.7,16,2571.2
CL00035,2025-08-01,369.4,19,3116.5
CL00035,2025-09-01,299.9,16,2530.2
CL00035,2025-10-01,299.4,16,2526.4
CL00035,2025-11-01,247.3,13,2086.3
CL00035,2025-12-01,277.7,14,2343.3
CL00036,2024-01-01,102.5,25,6240.7
CL00036,2024-02-01,127.2,31,7745.1
CL00036,2024-03-01,100.2,25,6103.2
CL00036,2024-04-01,119.5,29,7280.5
CL00036,2024-05-01,107.5,26,6547.1
CL00036,2024-06-01,106.5,26,6485.3
CL00036,2024-07-01,113.8,28,6933.7
CL00036,2024-08-01,88.9,22,5411.9
CL00036,2024-09-01,109.7,27,6682.1
CL00036,2024-10-01,122.2,30,7445.1
CL00036,2024-11-01,121.1,30,7375.6
CL00036,2024-12-01,108.1,27,6583.5
CL00036,2025-01-01,101.8,25,6197.7
CL00036,2025-02-01,123.6,30,7527.3
CL00036,2025-03-01,118.1,29,7191.6
CL00036,2025-04-01,119.8,30,7298.0
CL00036,2025-05-01,114.1,28,6947.1
CL00036,2025-06-01,141.7,35,8632.4
CL00036,2025-07-01,122.5,30,7460.2
CL00036,2025-08-01,92.8,23,5653.2
CL00036,2025-09-01,114.3,28,6959.5
CL00036,2025-10-01,104.8,26,6381.0
CL00036,2025-11-01,101.1,25,6159.1
CL00036,2025-12-01,102.8,25,6261.5
CL00037,2025-08-01,97.0,15,927.2
CL00037,2025-09-01,102.7,16,981.7
CL00037,2025-10-01,35.8,5,341.9
CL00037,2025-11-01,48.0,7,459.2
CL00037,2025-12-01,45.4,7,434.4
CL00038,2024-01-01,148.3,34,2283.7
CL00038,2024-03-01,114.5,26,1764.2
CL00038,2024-04-01,116.2,26,1790.0
CL00038,2024-05-01,150.4,34,2316.2
CL00038,2024-06-01,138.0,31,2125.2
