ticket_id,alert_timestamp,depassement_heures,statut_notification,manager_alerte
TKT014231,2024-05-05 00:42:00,196.2,En attente,False
TKT005566,2022-12-15 11:37:00,93.0,En attente,True
TKT001443,2022-04-13 09:10:00,388.1,Notifié,False
TKT004907,2022-11-20 13:46:00,244.1,Notifié,False
TKT006116,2023-01-08 03:03:00,191.0,Notifié,False
TKT008253,2023-05-30 08:19:00,506.1,Non notifié,False
TKT009276,2023-07-30 11:03:00,147.9,Non notifié,False
TKT004078,2022-09-15 19:47:00,105.2,Notifié,True
TKT001803,2022-04-28 04:00:00,60.5,En attente,True
TKT005788,2022-12-20 00:54:00,22.1,Non notifié,True
TKT011621,2023-12-05 01:32:00,28.0,En attente,False
TKT002532,2022-06-15 09:02:00,140.6,En attente,False
TKT002926,2022-07-12 21:25:00,152.2,Non notifié,False
TKT012398,2024-01-17 11:59:00,126.7,Notifié,False
TKT001236,2022-03-21 15:52:00,85.3,Notifié,True
TKT007344,2023-03-18 00:06:00,34.4,En attente,True
TKT001115,2022-03-24 10:21:00,287.9,Non notifié,True
TKT007572,2023-04-05 15:32:00,194.8,Non notifié,False
TKT012450,2024-01-24 01:45:00,35.8,En attente,True
TKT008828,2023-06-16 13:07:00,2.7,En attente,False
TKT002951,2022-07-10 18:25:00,10.8,Notifié,False
TKT000176,2022-01-29 14:16:00,550.5,Notifié,False
TKT000162,2022-01-19 16:22:00,108.4,Non notifié,False
TKT010257,2023-09-20 09:17:00,240.0,Non notifié,False
TKT003217,2022-08-04 17:47:00,83.0,Notifié,False
TKT004344,2022-10-04 05:06:00,66.0,Notifié,False
TKT002272,2022-05-27 00:37:00,63.6,Notifié,True
TKT006430,2023-01-24 08:38:00,155.7,En attente,True
TKT003820,2022-08-30 00:28:00,52.4,En attente,False
TKT004890,2022-11-03 17:03:00,12.1,En attente,False
TKT002911,2022-07-12 02:11:00,111.4,En attente,True
TKT002600,2022-06-27 14:10:00,3.3,Non notifié,False
TKT014374,2024-05-13 02:16:00,12.7,Non notifié,False
TKT002877,2022-07-01 00:55:00,2.5,Non notifié,False
TKT002488,2022-06-12 13:18:00,188.1,En attente,False
TKT006446,2023-01-31 02:01:00,65.6,Non notifié,True
TKT010105,2023-09-14 22:54:00,67.2,Notifié,True
TKT006631,2023-01-31 01:27:00,43.7,En attente,True
TKT009024,2023-07-15 10:33:00,218.4,Non notifié,True
TKT011841,2023-12-30 07:17:00,471.2,En attente,False
TKT007733,2023-04-25 09:16:00,47.2,Notifié,True
TKT001940,2022-04-30 16:55:00,16.2,Non notifié,False
TKT014461,2024-05-28 13:45:00,335.4,Non notifié,False
TKT013264,2024-02-27 01:03:00,2.9,Non notifié,True
TKT009320,2023-08-02 12:39:00,285.0,Notifié,True
TKT009373,2023-07-20 12:36:00,10.8,En attente,True
TKT015062,2024-07-06 13:12:00,66.5,Notifié,False
TKT009139,2023-07-13 11:12:00,110.1,Non notifié,False
TKT004177,2022-09-27 09:33:00,144.1,En attente,True
TKT007275,2023-03-26 14:44:00,155.3,En attente,True
TKT003560,2022-08-17 13:10:00,58.2,Non notifié,True
TKT002476,2022-06-11 05:00:00,61.6,En attente,True
TKT003836,2022-09-13 15:11:00,604.2,Non notifié,True
TKT001654,2022-04-27 10:02:00,529.3,Non notifié,False
TKT002752,2022-06-22 21:14:00,6.2,En attente,True
TKT002654,2022-06-21 12:46:00,86.7,Non notifié,False
TKT013223,2024-03-01 11:57:00,117.9,Notifié,False
TKT004284,2022-10-12 14:36:00,212.0,Non notifié,True
TKT006676,2023-02-15 02:53:00,359.5,En attente,True
TKT014682,2024-05-30 00:43:00,30.1,En attente,True
TKT002936,2022-07-02 19:56:00,13.2,En attente,False
TKT010045,2023-09-07 10:19:00,100.2,Non notifié,False
TKT000923,2022-02-25 00:35:00,8.2,En attente,False
TKT012165,2024-01-04 05:22:00,45.6,En attente,True
TKT005636,2022-12-13 23:05:00,63.3,Non notifié,False
TKT011098,2023-11-08 22:20:00,22.5,En attente,True
TKT008091,2023-05-08 06:27:00,92.4,Non notifié,False
TKT013925,2024-04-12 21:53:00,63.4,En attente,True
TKT005793,2022-12-20 23:26:00,34.1,Non notifié,False
TKT004691,2022-10-29 18:02:00,17.0,Notifié,False
TKT014983,2024-06-16 20:02:00,37.1,Non notifié,True
TKT010673,2023-10-18 16:17:00,110.6,Non notifié,False
TKT014285,2024-05-14 02:52:00,234.4,Non notifié,False
TKT002245,2022-05-25 11:52:00,124.8,Notifié,False
TKT010133,2023-09-12 17:38:00,200.1,Notifié,False
TKT005240,2022-11-28 15:06:00,80.4,Non notifié,False
TKT012978,2024-02-10 09:40:00,29.4,En attente,False
TKT008540,2023-06-17 08:05:00,181.0,Non notifié,True
TKT005825,2022-12-23 05:23:00,4.1,Non notifié,True
TKT010773,2023-11-01 19:00:00,96.2,Non notifié,True
TKT000546,2022-02-01 13:11:00,17.8,Non notifié,True
TKT009698,2023-08-26 19:42:00,193.3,En attente,True
TKT014259,2024-05-04 04:33:00,11.9,En attente,True
TKT004580,2022-10-31 18:40:00,323.4,En attente,False
TKT006952,2023-02-19 20:20:00,23.3,Non notifié,False
TKT012342,2024-01-09 04:21:00,44.5,Notifié,False
TKT009421,2023-07-28 07:21:00,89.1,En attente,False
TKT004841,2022-11-07 11:41:00,226.7,Non notifié,False
TKT015204,2024-06-30 07:19:00,29.8,Non notifié,True
TKT003757,2022-08-26 20:55:00,61.9,En attente,False
TKT005789,2022-12-24 10:26:00,38.8,Notifié,False
TKT009915,2023-08-26 02:58:00,58.1,Notifié,False
TKT009520,2023-08-03 10:10:00,100.4,Non notifié,False
TKT002569,2022-06-20 21:57:00,223.3,En attente,False
TKT002857,2022-07-02 12:10:00,51.0,En attente,False
TKT012768,2024-02-08 05:33:00,21.2,Non notifié,True
TKT000023,2022-01-20 08:13:00,433.6,En attente,False
TKT007518,2023-03-30 07:41:00,87.3,Notifié,False
TKT013568,2024-03-24 07:58:00,147.0,En attente,False
TKT012519,2024-01-22 21:54:00,207.0,Non notifié,True
TKT006161,2023-01-09 19:20:00,17.1,En attente,True
TKT011455,2023-11-27 23:12:00,57.5,Non notifié,False
TKT003550,2022-08-27 14:43:00,337.1,Non notifié,False
TKT001993,2022-05-20 14:43:00,135.6,En attente,False
TKT011636,2023-12-10 12:56:00,195.8,Notifié,False
TKT003963,2022-09-06 01:45:00,22.5,Notifié,False
TKT008694,2023-06-16 13:12:00,74.9,Notifié,True
TKT014306,2024-05-11 19:55:00,173.9,Non notifié,True
TKT006286,2023-01-28 22:09:00,206.9,Non notifié,True
TKT009670,2023-08-24 14:49:00,226.7,Non notifié,True
TKT000332,2022-01-26 11:21:00,21.2,Non notifié,True
TKT012705,2024-02-01 11:40:00,89.9,Non notifié,True
TKT008025,2023-05-04 14:33:00,83.9,Non notifié,False
TKT002812,2022-06-27 02:46:00,60.5,Non notifié,True
TKT004688,2022-10-25 02:49:00,73.5,Notifié,False
TKT009798,2023-08-28 03:53:00,37.5,Non notifié,True
TKT014493,2024-05-22 15:07:00,147.9,Non notifié,False
TKT000608,2022-02-07 06:53:00,31.3,Notifié,True
TKT003329,2022-08-12 10:51:00,182.8,En attente,False
TKT012957,2024-02-06 23:41:00,5.7,Non notifié,False
TKT008731,2023-06-18 16:00:00,152.2,Non notifié,False
TKT006254,2023-01-12 15:58:00,3.4,Non notifié,True
TKT013003,2024-02-12 01:35:00,59.6,En attente,True
TKT010756,2023-10-17 19:18:00,3.6,En attente,False
TKT009153,2023-07-14 15:07:00,107.8,En attente,False
TKT007901,2023-04-26 11:09:00,86.1,Notifié,True
TKT008889,2023-07-06 09:46:00,278.2,En attente,False
TKT006542,2023-01-31 16:13:00,274.5,Non notifié,True
TKT007493,2023-03-29 05:52:00,4.8,Notifié,False
TKT015196,2024-07-04 17:26:00,185.0,Non notifié,False
TKT001563,2022-04-08 03:14:00,54.7,Non notifié,False
TKT005445,2022-12-17 08:52:00,37.7,En attente,True
TKT003729,2022-09-06 13:30:00,35.0,Notifié,False
TKT008101,2023-05-07 05:01:00,57.2,Non notifié,False
TKT008323,2023-05-25 07:31:00,45.2,Non notifié,True
TKT013320,2024-03-05 07:10:00,122.5,Non notifié,False
TKT009037,2023-07-01 22:26:00,55.7,Notifié,False
TKT002753,2022-06-25 16:31:00,2.6,Notifié,False
TKT006014,2023-01-03 09:48:00,47.6,En attente,False
TKT015028,2024-06-20 07:01:00,42.4,Non notifié,True
TKT002512,2022-06-11 08:41:00,90.8,Notifié,False
TKT004312,2022-10-06 16:23:00,15.9,Non notifié,True
TKT011380,2023-11-29 18:54:00,137.8,Non notifié,True
TKT014538,2024-05-19 18:47:00,6.1,Non notifié,False
TKT006992,2023-02-22 04:19:00,29.6,En attente,True
TKT004293,2022-10-04 12:51:00,182.2,Non notifié,False
TKT005016,2022-11-11 21:34:00,90.0,Non notifié,True
TKT004585,2022-10-20 05:10:00,74.7,Non notifié,True
TKT004315,2022-10-04 14:17:00,143.5,Notifié,False
TKT005362,2022-12-04 08:30:00,96.5,Notifié,True
TKT014856,2024-06-13 17:17:00,158.2,En attente,False
TKT000916,2022-03-01 09:12:00,28.6,En attente,True
TKT013628,2024-03-23 22:36:00,75.8,Notifié,False
TKT010776,2023-10-28 23:14:00,22.5,En attente,False
TKT002974,2022-07-05 18:09:00,16.5,En attente,False
TKT008574,2023-06-19 13:20:00,338.9,Notifié,True
TKT013133,2024-03-04 11:08:00,158.0,Non notifié,False
TKT007472,2023-03-30 20:56:00,50.9,En attente,True
TKT001893,2022-05-13 10:48:00,179.9,Non notifié,False
TKT010455,2023-09-29 00:21:00,42.9,Non notifié,True
TKT011366,2023-12-08 22:20:00,218.7,Notifié,False
TKT007047,2023-02-27 18:40:00,37.4,Notifié,True
TKT006123,2023-01-07 02:50:00,24.2,En attente,True
TKT007938,2023-04-26 04:47:00,45.9,En attente,True
TKT002018,2022-05-09 05:38:00,58.0,Notifié,False
TKT014708,2024-06-05 14:03:00,81.5,En attente,True
TKT011464,2023-11-27 15:09:00,23.8,En attente,False
TKT003022,2022-07-23 13:11:00,50.7,Non notifié,False
TKT015094,2024-07-02 17:32:00,50.0,En attente,True
TKT009603,2023-08-20 09:14:00,41.6,Non notifié,False
TKT011106,2023-11-14 17:32:00,88.7,Non notifié,True
TKT014576,2024-05-23 00:42:00,31.6,En attente,False
TKT001492,2022-04-03 17:31:00,33.1,Notifié,False
TKT007355,2023-03-22 19:29:00,199.7,Non notifié,True
TKT010362,2023-09-24 09:32:00,97.9,Non notifié,False
TKT007699,2023-04-09 22:01:00,63.6,Non notifié,True
TKT006889,2023-02-19 16:49:00,144.3,Non notifié,True
TKT002690,2022-07-02 12:33:00,264.9,Notifié,False
TKT008815,2023-06-21 04:18:00,86.4,Non notifié,False
TKT001916,2022-04-30 19:50:00,16.8,Notifié,False
TKT011357,2023-11-26 07:45:00,154.8,Non notifié,False
TKT013491,2024-03-19 11:29:00,108.2,Non notifié,True
TKT015119,2024-06-24 22:39:00,37.7,Non notifié,False
TKT004532,2022-10-15 21:12:00,47.7,Notifié,True
TKT013882,2024-04-13 17:25:00,37.9,En attente,False
TKT003561,2022-08-15 08:42:00,41.0,Non notifié,False
TKT014691,2024-05-30 07:08:00,13.5,En attente,True
TKT015076,2024-06-25 11:00:00,96.4,Notifié,False
TKT003447,2022-08-09 04:19:00,22.9,En attente,True
TKT009930,2023-09-04 14:26:00,43.7,En attente,True
TKT012163,2024-01-14 19:22:00,222.1,Notifié,False
TKT006987,2023-02-21 19:53:00,21.1,Non notifié,False
TKT006960,2023-02-20 10:40:00,19.5,En attente,False
TKT006487,2023-01-28 08:11:00,52.5,Non notifié,False
TKT011869,2023-12-21 07:31:00,58.4,Notifié,True
TKT005969,2022-12-31 11:25:00,86.7,En attente,False
TKT002813,2022-06-29 10:36:00,107.4,En attente,True
TKT012952,2024-02-08 02:49:00,44.2,En attente,False
TKT003882,2022-09-03 02:57:00,1.8,Notifié,True
TKT006248,2023-01-15 11:49:00,19.8,Notifié,True
TKT000482,2022-02-14 00:24:00,232.3,En attente,False
TKT004287,2022-10-04 11:26:00,10.2,Non notifié,False
TKT009853,2023-08-20 19:11:00,49.2,Non notifié,True
TKT006045,2023-01-06 09:20:00,178.1,En attente,True
TKT004215,2022-09-27 08:16:00,46.7,Non notifié,False
TKT010324,2023-09-20 20:46:00,29.9,Non notifié,True
TKT002359,2022-05-30 23:51:00,53.8,Notifié,True
TKT007123,2023-03-07 19:02:00,158.7,Notifié,False
TKT005427,2022-12-06 10:22:00,9.6,En attente,True
TKT008418,2023-05-29 08:55:00,72.5,Notifié,False
TKT002240,2022-05-25 11:55:00,34.7,Non notifié,True
TKT004865,2022-11-05 06:08:00,4.6,Notifié,False
TKT013733,2024-03-30 19:32:00,20.7,Non notifié,True
TKT012773,2024-02-07 19:28:00,104.4,En attente,True
TKT002547,2022-06-11 05:24:00,17.5,En attente,False
TKT009644,2023-08-12 12:32:00,39.3,Notifié,True
TKT000738,2022-02-15 21:01:00,38.2,En attente,True
TKT003945,2022-09-06 18:13:00,34.8,Notifié,False
TKT002396,2022-06-04 04:15:00,54.6,Non notifié,False
TKT011839,2023-12-30 01:39:00,172.6,Notifié,False
TKT008855,2023-06-25 13:48:00,90.5,Notifié,True
TKT005610,2022-12-17 12:16:00,50.3,En attente,True
TKT003433,2022-08-09 17:13:00,132.3,Notifié,True
TKT011084,2023-11-08 08:21:00,12.9,En attente,False
TKT003330,2022-08-03 16:38:00,22.0,Notifié,False
TKT009471,2023-08-03 17:50:00,26.8,Non notifié,True
TKT012609,2024-01-26 17:57:00,225.4,Notifié,True
TKT015167,2024-07-01 13:20:00,6.5,Non notifié,False
TKT002235,2022-05-19 23:59:00,12.6,Non notifié,True
TKT013785,2024-04-16 10:41:00,317.2,En attente,True
TKT004578,2022-10-18 06:57:00,38.6,En attente,True
TKT000809,2022-02-20 09:49:00,29.4,Notifié,True
TKT000601,2022-02-20 15:46:00,110.0,Non notifié,True
TKT002239,2022-06-01 05:28:00,63.7,En attente,False
TKT012564,2024-01-19 20:59:00,37.8,En attente,True
TKT002257,2022-05-23 23:45:00,64.5,En attente,False
TKT015263,2024-07-16 13:07:00,132.1,Notifié,True
TKT009756,2023-08-29 08:27:00,158.0,En attente,False
TKT010394,2023-10-04 03:18:00,102.2,Notifié,True
TKT002806,2022-07-09 13:30:00,540.1,En attente,True
TKT015109,2024-07-04 10:14:00,206.9,En attente,False
TKT015214,2024-07-01 08:46:00,9.0,Notifié,True
TKT015181,2024-07-13 15:46:00,414.4,Non notifié,False
TKT015260,2024-07-07 09:17:00,82.9,En attente,False
TKT007844,2023-04-21 03:12:00,0.3,Non notifié,False
TKT011454,2023-12-02 14:48:00,43.7,Notifié,False
TKT009885,2023-09-05 07:50:00,263.0,Non notifié,False
TKT006093,2023-01-17 19:17:00,292.7,En attente,True
TKT005305,2022-11-29 04:24:00,191.1,Non notifié,False
TKT003201,2022-07-23 03:20:00,53.6,Notifié,False
TKT000437,2022-01-30 04:38:00,25.8,Notifié,True
TKT002483,2022-06-08 02:55:00,29.8,En attente,False
TKT008789,2023-06-22 01:22:00,131.8,Notifié,False
TKT012020,2023-12-28 10:13:00,137.5,Non notifié,True
TKT007576,2023-04-02 21:05:00,71.6,En attente,True
TKT011675,2023-12-13 14:38:00,145.5,Non notifié,True
TKT009929,2023-08-28 11:37:00,7.4,Non notifié,False
TKT005388,2022-12-05 11:55:00,11.6,En attente,True
TKT011452,2023-11-28 02:25:00,2.5,Non notifié,False
TKT003158,2022-07-21 14:23:00,85.8,En attente,False
TKT007608,2023-04-17 21:02:00,172.4,Notifié,False
TKT014261,2024-05-06 12:09:00,57.6,Non notifié,True
TKT012483,2024-01-20 17:01:00,1.3,En attente,True
TKT005561,2022-12-20 04:11:00,3.2,En attente,True
TKT011913,2024-01-03 09:20:00,92.5,En attente,False
TKT000795,2022-02-19 23:04:00,44.7,En attente,False
TKT009896,2023-08-25 18:42:00,62.1,Non notifié,False
TKT000368,2022-01-28 13:27:00,55.7,Notifié,True
TKT007690,2023-04-10 02:50:00,13.6,Non notifié,True
TKT012894,2024-02-09 10:15:00,74.3,En attente,True
TKT013777,2024-04-07 16:27:00,37.3,Non notifié,False
TKT001048,2022-03-11 15:46:00,17.8,Non notifié,True
TKT002308,2022-05-30 08:13:00,23.3,Non notifié,False
TKT013055,2024-02-19 20:51:00,120.9,Notifié,False
TKT005947,2022-12-25 14:55:00,11.4,Non notifié,True
TKT004777,2022-11-01 03:06:00,13.6,Notifié,False
TKT014107,2024-05-06 22:35:00,368.7,Notifié,True
TKT012826,2024-02-15 05:05:00,349.9,Notifié,True
TKT000002,2022-01-10 13:45:00,161.6,Non notifié,True
TKT010539,2023-10-13 08:33:00,175.9,Notifié,True
TKT010910,2023-11-02 17:35:00,120.1,En attente,True
TKT000155,2022-01-19 21:01:00,139.0,Notifié,False
TKT006365,2023-01-31 11:40:00,153.5,Non notifié,False
TKT006058,2023-01-05 04:32:00,78.2,En attente,True
TKT011824,2023-12-18 04:30:00,95.7,Non notifié,True
TKT007082,2023-03-04 17:36:00,193.2,En attente,False
TKT006555,2023-01-28 09:39:00,4.0,Notifié,True
TKT013728,2024-03-30 20:51:00,19.5,Non notifié,False
TKT001166,2022-03-19 06:35:00,151.8,Notifié,True
TKT010797,2023-10-25 13:49:00,103.7,En attente,True
TKT000592,2022-02-14 18:57:00,61.7,Notifié,False
TKT005061,2022-11-28 09:43:00,232.7,En attente,True
TKT004314,2022-10-04 04:44:00,90.9,Non notifié,True
TKT002685,2022-07-02 21:24:00,244.2,En attente,False
TKT003511,2022-08-23 15:38:00,330.9,Non notifié,True
TKT006571,2023-01-31 06:58:00,36.7,Notifié,False
TKT002337,2022-05-28 22:55:00,12.0,Non notifié,True
TKT001985,2022-05-04 15:07:00,22.8,Notifié,False
TKT013869,2024-04-21 16:27:00,45.7,Notifié,True
TKT005965,2023-01-06 22:20:00,196.3,Non notifié,False
TKT008048,2023-05-07 18:08:00,6.4,Non notifié,False
TKT013061,2024-02-18 02:04:00,45.2,Non notifié,True
TKT011061,2023-11-11 12:23:00,129.1,En attente,True
TKT008095,2023-05-06 23:49:00,30.2,Notifié,False
TKT013858,2024-04-12 10:48:00,136.9,En attente,True
TKT003207,2022-07-23 04:59:00,47.0,Notifié,False
TKT011908,2023-12-18 19:41:00,0.3,Non notifié,False
TKT007004,2023-02-27 18:34:00,116.9,Notifié,True
TKT001768,2022-04-20 17:45:00,23.9,En attente,True
TKT009414,2023-08-08 09:28:00,529.4,Non notifié,True
TKT003205,2022-08-03 09:18:00,443.4,Notifié,False
TKT014213,2024-05-02 04:08:00,157.2,En attente,True
TKT014896,2024-06-16 11:49:00,12.0,Notifié,False
TKT010610,2023-10-22 06:35:00,68.5,Notifié,False
TKT009226,2023-07-26 08:28:00,254.0,Notifié,False
TKT010271,2023-09-21 10:26:00,41.9,Notifié,True
TKT010227,2023-09-23 00:17:00,16.0,Notifié,True
TKT013674,2024-04-09 20:59:00,381.1,Notifié,False
TKT011651,2023-12-06 19:30:00,38.4,Notifié,True
TKT012668,2024-01-29 03:01:00,181.8,Notifié,False
TKT004395,2022-10-12 15:58:00,252.6,Notifié,True
TKT014482,2024-05-20 04:17:00,75.9,Notifié,True
TKT006176,2023-01-06 19:00:00,2.2,Non notifié,True
TKT001355,2022-03-30 09:27:00,79.5,Notifié,False
TKT003951,2022-09-07 04:18:00,38.0,Non notifié,False
TKT014063,2024-05-04 07:57:00,280.9,Non notifié,False
TKT009209,2023-07-11 22:55:00,13.0,En attente,True
TKT008435,2023-06-10 18:57:00,540.6,Non notifié,True
TKT007041,2023-03-11 15:40:00,240.7,Notifié,True
TKT003887,2022-09-12 17:01:00,114.7,Notifié,True
TKT010512,2023-10-06 20:57:00,179.6,Non notifié,False
TKT008076,2023-05-09 20:18:00,156.9,En attente,True
TKT012644,2024-01-28 10:29:00,68.7,Non notifié,True
TKT001207,2022-03-16 22:29:00,19.2,Notifié,True
TKT011256,2023-12-02 18:50:00,48.5,En attente,False
TKT012222,2024-01-18 07:51:00,120.0,En attente,True
TKT011096,2023-11-09 03:48:00,2.4,Notifié,False
TKT004334,2022-10-16 08:26:00,198.0,En attente,True
TKT013554,2024-03-19 06:21:00,15.9,En attente,False
TKT012814,2024-02-01 03:07:00,62.2,Notifié,True
TKT003116,2022-07-16 05:46:00,38.9,Notifié,False
TKT013142,2024-02-20 02:01:00,47.5,En attente,True
TKT010259,2023-09-30 11:31:00,481.6,Non notifié,True
TKT003359,2022-08-13 09:02:00,58.9,Non notifié,False
TKT008172,2023-05-12 04:50:00,25.2,Notifié,False
TKT010634,2023-10-13 12:22:00,2.9,Non notifié,True
TKT003259,2022-08-07 21:25:00,124.6,Notifié,True
TKT011101,2023-11-08 22:28:00,49.5,Non notifié,False
TKT003081,2022-07-17 23:52:00,86.4,En attente,False
TKT012027,2024-01-08 08:57:00,22.0,En attente,False
TKT007215,2023-03-22 14:56:00,132.0,En attente,False
TKT002688,2022-07-02 15:48:00,58.4,Non notifié,True
TKT006325,2023-01-30 09:19:00,109.2,Non notifié,True
TKT015132,2024-06-30 09:29:00,63.4,En attente,False
TKT014898,2024-06-12 02:27:00,67.4,En attente,True
TKT012881,2024-02-05 03:25:00,51.3,Notifié,True
TKT013535,2024-03-18 03:28:00,33.8,Non notifié,True
TKT008017,2023-05-05 13:46:00,3.3,En attente,True
TKT009220,2023-07-10 22:07:00,7.6,En attente,False
TKT007569,2023-04-05 08:56:00,144.4,Notifié,False
TKT010752,2023-10-17 18:20:00,39.2,Notifié,False
TKT001298,2022-03-30 14:08:00,111.9,Notifié,False
TKT011178,2023-11-11 08:44:00,10.0,Non notifié,False
TKT007778,2023-04-29 18:37:00,213.2,Non notifié,True
TKT000420,2022-02-02 13:16:00,96.4,Non notifié,True
TKT013928,2024-04-17 14:52:00,27.0,Non notifié,False
TKT006710,2023-02-05 00:24:00,19.2,Notifié,False
TKT012923,2024-02-19 13:44:00,66.5,En attente,False
TKT007902,2023-04-21 18:38:00,10.0,Notifié,False
TKT003405,2022-08-16 15:14:00,44.1,En attente,True
TKT009687,2023-08-12 07:10:00,13.2,En attente,False
TKT010174,2023-09-19 22:36:00,173.0,Non notifié,True
TKT001027,2022-03-06 19:26:00,67.1,Non notifié,False
TKT009301,2023-07-18 00:41:00,22.6,Non notifié,True
TKT012178,2024-01-04 02:41:00,56.1,Notifié,True
TKT000498,2022-02-05 20:44:00,134.9,Non notifié,False
TKT013305,2024-03-01 13:19:00,10.1,En attente,False
TKT011294,2023-12-03 10:03:00,175.9,Notifié,True
TKT003644,2022-09-02 18:02:00,30.4,En attente,False
TKT001200,2022-03-29 18:42:00,37.1,En attente,False
