interaction_id,ticket_id,timestamp,agent_id,action_type,visible_client
INT0000030,TKT007463,2023-03-20 06:42:00,AGT012,Note interne,True
INT0000031,TKT011073,2023-11-03 17:43:00,AGT011,Note interne,True
INT0000032,TKT011073,2023-11-13 03:52:00,AGT011,Email client,True
INT0000033,TKT013297,2024-02-25 16:03:00,AGT007,Note interne,False
INT0000034,TKT013297,2024-03-06 14:33:00,AGT007,Email client,False
INT0000035,TKT008840,2023-06-15 12:30:00,AGT002,Note interne,True
INT0000036,TKT014498,2024-05-14 10:05:00,AGT001,Note interne,True
INT0000037,TKT014498,2024-05-24 12:29:00,AGT001,Email client,True
INT0000038,TKT014498,2024-06-03 14:53:00,AGT001,Appel sortant,True
INT0000039,TKT001745,2022-04-15 09:23:00,AGT009,Note interne,True
INT0000040,TKT006291,2023-01-10 11:44:00,AGT012,Note interne,True
INT0000041,TKT006291,2023-01-11 15:44:00,AGT012,Email client,False
INT0000042,TKT002046,2022-05-05 09:25:00,AGT005,Note interne,True
INT0000043,TKT002046,2022-05-23 10:55:00,AGT005,Email client,True
INT0000044,TKT005961,2022-12-24 21:59:00,AGT006,Note interne,True
INT0000045,TKT005961,2022-12-26 07:20:00,AGT006,Email client,True
INT0000046,TKT014726,2024-05-28 08:41:00,AGT005,Note interne,False
INT0000047,TKT014992,2024-06-13 15:25:00,AGT012,Note interne,True
INT0000048,TKT014992,2024-06-20 07:03:00,AGT012,Email client,True
INT0000049,TKT014992,2024-06-26 22:41:00,AGT012,Appel sortant,True
INT0000050,TKT000943,2022-02-23 17:29:00,AGT008,Note interne,True
INT0000051,TKT000943,2022-02-27 02:01:00,AGT008,Email client,False
INT0000052,TKT000943,2022-03-02 10:33:00,AGT008,Appel sortant,True
INT0000053,TKT012865,2024-01-30 16:24:00,AGT001,Note interne,True
INT0000054,TKT012865,2024-02-02 01:26:24,AGT001,Email client,True
INT0000055,TKT012865,2024-02-04 10:28:48,AGT001,Appel sortant,False
INT0000056,TKT012865,2024-02-06 19:31:12,AGT001,Escalade,False
INT0000057,TKT012865,2024-02-09 04:33:36,AGT001,Résolution,True
INT0000058,TKT012101,2023-12-25 12:32:00,AGT008,Note interne,True
INT0000059,TKT012101,2023-12-26 17:53:00,AGT008,Email client,False
INT0000060,TKT002316,2022-05-23 20:06:00,AGT011,Note interne,False
INT0000061,TKT014044,2024-04-14 20:24:00,AGT002,Note interne,False
INT0000062,TKT014044,2024-05-04 20:24:00,AGT002,Email client,False
INT0000063,TKT013632,2024-03-19 09:41:00,AGT005,Note interne,False
INT0000064,TKT013632,2024-03-23 23:19:00,AGT005,Email client,True
INT0000065,TKT013632,2024-03-28 12:57:00,AGT005,Appel sortant,False
INT0000066,TKT010759,2023-10-13 17:35:00,AGT007,Note interne,False
INT0000067,TKT006217,2023-01-06 12:41:00,AGT008,Note interne,False
INT0000068,TKT006217,2023-01-08 09:19:00,AGT008,Email client,False
INT0000069,TKT006217,2023-01-10 05:57:00,AGT008,Appel sortant,False
INT0000070,TKT007546,2023-03-25 11:57:00,AGT007,Note interne,True
INT0000071,TKT007546,2023-04-07 18:51:00,AGT007,Email client,False
INT0000072,TKT008577,2023-06-01 07:42:00,AGT005,Note interne,True
INT0000073,TKT013247,2024-02-22 08:29:00,AGT011,Note interne,False
INT0000074,TKT013247,2024-02-23 13:45:30,AGT011,Email client,True
INT0000075,TKT013247,2024-02-24 19:02:00,AGT011,Appel sortant,True
INT0000076,TKT013247,2024-02-26 00:18:30,AGT011,Escalade,False
INT0000077,TKT006822,2023-02-06 22:01:00,AGT006,Note interne,True
INT0000078,TKT002311,2022-05-23 07:03:00,AGT010,Note interne,True
INT0000079,TKT002351,2022-05-25 10:34:00,AGT003,Note interne,False
INT0000080,TKT006861,2023-02-09 09:53:00,AGT004,Note interne,True
INT0000081,TKT001155,2022-03-09 06:47:00,AGT003,Note interne,False
INT0000082,TKT001155,2022-03-09 14:15:48,AGT003,Email client,False
INT0000083,TKT001155,2022-03-09 21:44:36,AGT003,Appel sortant,True
INT0000084,TKT001155,2022-03-10 05:13:24,AGT003,Escalade,False
INT0000085,TKT001155,2022-03-10 12:42:12,AGT003,Résolution,True
INT0000086,TKT012088,2023-12-24 08:07:00,AGT012,Note interne,False
INT0000087,TKT013954,2024-04-09 11:10:00,AGT007,Note interne,False
INT0000088,TKT013954,2024-04-14 08:58:00,AGT007,Email client,True
INT0000089,TKT013954,2024-04-19 06:46:00,AGT007,Appel sortant,True
INT0000090,TKT008219,2023-05-10 09:17:00,AGT012,Note interne,True
INT0000091,TKT010263,2023-09-12 08:09:00,AGT011,Note interne,True
INT0000092,TKT008408,2023-05-22 16:32:00,AGT012,Note interne,True
INT0000093,TKT008408,2023-05-23 09:29:00,AGT012,Email client,False
INT0000094,TKT012913,2024-02-01 16:34:00,AGT002,Note interne,False
INT0000095,TKT004092,2022-09-12 12:21:00,AGT001,Note interne,True
INT0000096,TKT004092,2022-09-15 05:45:00,AGT001,Email client,False
INT0000097,TKT004092,2022-09-17 23:09:00,AGT001,Appel sortant,False
INT0000098,TKT013607,2024-03-18 23:15:00,AGT001,Note interne,True
INT0000099,TKT013607,2024-03-22 11:21:00,AGT001,Email client,False
INT0000100,TKT004615,2022-10-16 16:25:00,AGT003,Note interne,True
INT0000101,TKT014851,2024-06-04 19:25:00,AGT009,Note interne,True
INT0000102,TKT014851,2024-06-07 02:10:00,AGT009,Email client,True
INT0000103,TKT004448,2022-10-06 20:30:00,AGT010,Note interne,False
INT0000104,TKT014663,2024-05-24 18:01:00,AGT011,Note interne,True
INT0000105,TKT004499,2022-10-09 14:49:00,AGT003,Note interne,True
INT0000106,TKT009498,2023-07-26 07:08:00,AGT006,Note interne,True
INT0000107,TKT009498,2023-07-29 07:41:00,AGT006,Email client,False
INT0000108,TKT009887,2023-08-18 09:01:00,AGT006,Note interne,True
INT0000109,TKT009887,2023-08-20 05:07:00,AGT006,Email client,False
INT0000110,TKT004469,2022-10-07 15:02:00,AGT008,Note interne,False
INT0000111,TKT009235,2023-07-09 09:35:00,AGT007,Note interne,True
INT0000112,TKT009235,2023-07-09 15:27:00,AGT007,Email client,True
INT0000113,TKT009235,2023-07-09 21:19:00,AGT007,Appel sortant,True
INT0000114,TKT003961,2022-09-03 15:32:00,AGT011,Note interne,True
INT0000115,TKT003961,2022-09-04 13:33:30,AGT011,Email client,True
INT0000116,TKT003961,2022-09-05 11:35:00,AGT011,Appel sortant,False
INT0000117,TKT003961,2022-09-06 09:36:30,AGT011,Escalade,False
INT0000118,TKT006776,2023-02-03 19:14:00,AGT007,Note interne,True
INT0000119,TKT006776,2023-02-08 02:23:00,AGT007,Email client,False
INT0000120,TKT009090,2023-06-30 18:06:00,AGT002,Note interne,True
INT0000121,TKT009090,2023-07-17 08:46:00,AGT002,Email client,False
INT0000122,TKT009090,2023-08-02 23:26:00,AGT002,Appel sortant,True
INT0000123,TKT000110,2022-01-07 16:13:00,AGT011,Note interne,True
INT0000124,TKT000110,2022-01-16 02:17:00,AGT011,Email client,True
INT0000125,TKT000110,2022-01-24 12:21:00,AGT011,Appel sortant,False
INT0000126,TKT009708,2023-08-08 11:22:00,AGT010,Note interne,True
INT0000127,TKT009708,2023-08-09 06:10:00,AGT010,Email client,True
INT0000128,TKT009708,2023-08-10 00:58:00,AGT010,Appel sortant,True
INT0000129,TKT009708,2023-08-10 19:46:00,AGT010,Escalade,True
INT0000130,TKT009708,2023-08-11 14:34:00,AGT010,Résolution,True
INT0000131,TKT008414,2023-05-22 10:33:00,AGT008,Note interne,True
INT0000132,TKT003802,2022-08-24 12:07:00,AGT007,Note interne,False
INT0000133,TKT007873,2023-04-17 14:02:00,AGT002,Note interne,False
INT0000134,TKT007873,2023-04-18 06:26:00,AGT002,Email client,False
INT0000135,TKT007873,2023-04-18 22:50:00,AGT002,Appel sortant,False
INT0000136,TKT007873,2023-04-19 15:14:00,AGT002,Escalade,True
INT0000137,TKT007873,2023-04-20 07:38:00,AGT002,Résolution,False
INT0000138,TKT005268,2022-11-21 02:58:00,AGT003,Note interne,False
INT0000139,TKT000312,2022-01-18 18:36:00,AGT005,Note interne,False
INT0000140,TKT012048,2023-12-22 11:30:00,AGT002,Note interne,False
INT0000141,TKT012850,2024-01-30 15:06:00,AGT008,Note interne,True
INT0000142,TKT012850,2024-02-17 09:48:00,AGT008,Email client,True
INT0000143,TKT001500,2022-03-30 05:19:00,AGT004,Note interne,True
INT0000144,TKT013824,2024-04-01 11:30:00,AGT012,Note interne,True
INT0000145,TKT005705,2022-12-12 13:26:00,AGT002,Note interne,False
INT0000146,TKT005705,2022-12-24 15:58:00,AGT002,Email client,False
INT0000147,TKT005705,2023-01-05 18:30:00,AGT002,Appel sortant,True
INT0000148,TKT008206,2023-05-09 09:34:00,AGT002,Note interne,True
INT0000149,TKT008206,2023-05-18 21:04:00,AGT002,Email client,True
INT0000150,TKT008206,2023-05-28 08:34:00,AGT002,Appel sortant,True
INT0000151,TKT002835,2022-06-23 19:02:00,AGT006,Note interne,False
INT0000152,TKT002835,2022-06-24 08:41:00,AGT006,Email client,False
INT0000153,TKT002835,2022-06-24 22:20:00,AGT006,Appel sortant,True
INT0000154,TKT002835,2022-06-25 11:59:00,AGT006,Escalade,False
INT0000155,TKT010375,2023-09-19 20:36:00,AGT011,Note interne,True
INT0000156,TKT010375,2023-09-23 11:39:00,AGT011,Email client,False
INT0000157,TKT007709,2023-04-06 07:04:00,AGT005,Note interne,True
INT0000158,TKT004229,2022-09-21 16:57:00,AGT009,Note interne,False
INT0000159,TKT004229,2022-09-22 17:33:00,AGT009,Email client,True
INT0000160,TKT006488,2023-01-19 14:42:00,AGT008,Note interne,False
INT0000161,TKT008211,2023-05-09 04:32:00,AGT004,Note interne,False
INT0000162,TKT008211,2023-05-11 02:52:00,AGT004,Email client,False
INT0000163,TKT008211,2023-05-13 01:12:00,AGT004,Appel sortant,True
INT0000164,TKT013472,2024-03-08 08:03:00,AGT001,Note interne,False
INT0000165,TKT004849,2022-10-29 06:42:00,AGT007,Note interne,True
INT0000166,TKT004849,2022-11-17 20:03:00,AGT007,Email client,False
INT0000167,TKT014717,2024-05-27 10:30:00,AGT001,Note interne,True
INT0000168,TKT012014,2023-12-20 10:33:00,AGT010,Note interne,True
INT0000169,TKT012014,2023-12-28 22:59:00,AGT010,Email client,False
INT0000170,TKT012014,2024-01-06 11:25:00,AGT010,Appel sortant,False
INT0000171,TKT004808,2022-10-27 19:36:00,AGT007,Note interne,False
INT0000172,TKT004808,2022-10-28 19:28:48,AGT007,Email client,True
INT0000173,TKT004808,2022-10-29 19:21:36,AGT007,Appel sortant,False
INT0000174,TKT004808,2022-10-30 19:14:24,AGT007,Escalade,True
INT0000175,TKT004808,2022-10-31 19:07:12,AGT007,Résolution,False
INT0000176,TKT004315,2022-09-27 20:17:00,AGT002,Note interne,False
INT0000177,TKT004315,2022-10-04 14:02:00,AGT002,Email client,True
INT0000178,TKT011402,2023-11-21 18:54:00,AGT001,Note interne,False
INT0000179,TKT011402,2023-12-01 17:45:00,AGT001,Email client,False
INT0000180,TKT004581,2022-10-13 08:11:00,AGT002,Note interne,True
INT0000181,TKT004581,2022-10-23 11:41:00,AGT002,Email client,True
INT0000182,TKT002970,2022-07-02 13:10:00,AGT004,Note interne,False
INT0000183,TKT012526,2024-01-13 12:58:00,AGT006,Note interne,True
INT0000184,TKT012526,2024-01-17 14:49:00,AGT006,Email client,False
INT0000185,TKT008715,2023-06-08 09:21:00,AGT008,Note interne,False
INT0000186,TKT011854,2023-12-13 07:40:00,AGT011,Note interne,True
INT0000187,TKT009888,2023-08-18 15:09:00,AGT005,Note interne,False
INT0000188,TKT009888,2023-08-19 15:34:30,AGT005,Email client,True
INT0000189,TKT009888,2023-08-20 16:00:00,AGT005,Appel sortant,False
INT0000190,TKT009888,2023-08-21 16:25:30,AGT005,Escalade,False
INT0000191,TKT004523,2022-10-11 20:31:00,AGT011,Note interne,False
INT0000192,TKT004523,2022-10-16 16:38:12,AGT011,Email client,False
INT0000193,TKT004523,2022-10-21 12:45:24,AGT011,Appel sortant,True
INT0000194,TKT004523,2022-10-26 08:52:36,AGT011,Escalade,True
INT0000195,TKT004523,2022-10-31 04:59:48,AGT011,Résolution,True
INT0000196,TKT000754,2022-02-12 05:32:00,AGT009,Note interne,False
INT0000197,TKT003871,2022-08-29 17:09:00,AGT001,Note interne,False
INT0000198,TKT003871,2022-08-30 19:27:00,AGT001,Email client,True
INT0000199,TKT004711,2022-10-21 18:53:00,AGT008,Note interne,False
INT0000200,TKT014597,2024-05-20 21:07:00,AGT010,Note interne,True
INT0000201,TKT014597,2024-05-21 12:28:00,AGT010,Email client,False
INT0000202,TKT009298,2023-07-13 15:54:00,AGT009,Note interne,True
INT0000203,TKT010028,2023-08-28 11:05:00,AGT003,Note interne,True
INT0000204,TKT010028,2023-09-02 18:23:00,AGT003,Email client,True
INT0000205,TKT003955,2022-09-02 17:31:00,AGT007,Note interne,False
INT0000206,TKT006304,2023-01-11 11:58:00,AGT010,Note interne,False
INT0000207,TKT006304,2023-01-19 01:20:00,AGT010,Email client,True
INT0000208,TKT006304,2023-01-26 14:42:00,AGT010,Appel sortant,False
INT0000209,TKT013001,2024-02-07 14:56:00,AGT006,Note interne,True
INT0000210,TKT013001,2024-02-16 18:50:00,AGT006,Email client,True
INT0000211,TKT007018,2023-02-20 19:11:00,AGT006,Note interne,False
INT0000212,TKT007018,2023-02-23 11:23:00,AGT006,Email client,True
INT0000213,TKT010940,2023-10-26 12:31:00,AGT011,Note interne,False
INT0000214,TKT010940,2023-10-31 04:01:00,AGT011,Email client,False
INT0000215,TKT010940,2023-11-04 19:31:00,AGT011,Appel sortant,False
INT0000216,TKT010940,2023-11-09 11:01:00,AGT011,Escalade,False
INT0000217,TKT008887,2023-06-17 14:26:00,AGT009,Note interne,True
INT0000218,TKT008887,2023-06-18 01:17:00,AGT009,Email client,False
INT0000219,TKT005768,2022-12-14 03:46:00,AGT006,Note interne,True
INT0000220,TKT005768,2022-12-14 07:42:00,AGT006,Email client,False
INT0000221,TKT005768,2022-12-14 11:38:00,AGT006,Appel sortant,True
INT0000222,TKT007805,2023-04-12 17:49:00,AGT001,Note interne,True
INT0000223,TKT013476,2024-03-08 17:46:00,AGT003,Note interne,False
INT0000224,TKT001764,2022-04-16 12:17:00,AGT001,Note interne,False
INT0000225,TKT001764,2022-04-20 22:07:00,AGT001,Email client,True
INT0000226,TKT001764,2022-04-25 07:57:00,AGT001,Appel sortant,True
INT0000227,TKT013679,2024-03-22 16:27:00,AGT012,Note interne,True
INT0000228,TKT005651,2022-12-09 14:35:00,AGT007,Note interne,False
INT0000229,TKT007726,2023-04-07 14:47:00,AGT012,Note interne,False
INT0000230,TKT007726,2023-04-10 15:09:00,AGT012,Email client,False
INT0000231,TKT007726,2023-04-13 15:31:00,AGT012,Appel sortant,True
INT0000232,TKT003428,2022-07-30 13:57:00,AGT011,Note interne,True
INT0000233,TKT005489,2022-12-01 14:52:00,AGT004,Note interne,False
INT0000234,TKT002497,2022-06-03 14:50:00,AGT008,Note interne,True
INT0000235,TKT002497,2022-06-06 16:17:00,AGT008,Email client,True
INT0000236,TKT008645,2023-06-05 17:18:00,AGT011,Note interne,False
INT0000237,TKT008645,2023-06-09 09:15:36,AGT011,Email client,True
INT0000238,TKT008645,2023-06-13 01:13:12,AGT011,Appel sortant,False
INT0000239,TKT008645,2023-06-16 17:10:48,AGT011,Escalade,False
INT0000240,TKT008645,2023-06-20 09:08:24,AGT011,Résolution,True
INT0000241,TKT001950,2022-04-28 18:15:00,AGT006,Note interne,True
INT0000242,TKT001950,2022-04-30 03:57:00,AGT006,Email client,True
INT0000243,TKT001950,2022-05-01 13:39:00,AGT006,Appel sortant,False
INT0000244,TKT001950,2022-05-02 23:21:00,AGT006,Escalade,False
INT0000245,TKT011767,2023-12-07 20:01:00,AGT010,Note interne,True
INT0000246,TKT011767,2023-12-11 06:55:00,AGT010,Email client,True
INT0000247,TKT008940,2023-06-21 21:10:00,AGT006,Note interne,False
INT0000248,TKT008940,2023-06-22 09:16:00,AGT006,Email client,False
INT0000249,TKT008940,2023-06-22 21:22:00,AGT006,Appel sortant,False
INT0000250,TKT009185,2023-07-06 13:40:00,AGT012,Note interne,True
INT0000251,TKT009185,2023-07-12 09:01:00,AGT012,Email client,True
INT0000252,TKT010155,2023-09-05 13:59:00,AGT004,Note interne,False
INT0000253,TKT010155,2023-09-15 11:39:30,AGT004,Email client,False
INT0000254,TKT010155,2023-09-25 09:20:00,AGT004,Appel sortant,False
INT0000255,TKT010155,2023-10-05 07:00:30,AGT004,Escalade,False
INT0000256,TKT012023,2023-12-21 15:18:00,AGT012,Note interne,True
INT0000257,TKT012023,2023-12-25 16:57:00,AGT012,Email client,False
INT0000258,TKT013453,2024-03-07 17:44:00,AGT010,Note interne,True
INT0000259,TKT013453,2024-03-09 18:02:00,AGT010,Email client,True
INT0000260,TKT013453,2024-03-11 18:20:00,AGT010,Appel sortant,True
INT0000261,TKT009828,2023-08-15 17:09:00,AGT004,Note interne,True
INT0000262,TKT009828,2023-08-19 03:35:00,AGT004,Email client,False
INT0000263,TKT009828,2023-08-22 14:01:00,AGT004,Appel sortant,False
INT0000264,TKT013077,2024-02-12 16:07:00,AGT004,Note interne,True
INT0000265,TKT013077,2024-02-12 19:43:00,AGT004,Email client,False
INT0000266,TKT013077,2024-02-12 23:19:00,AGT004,Appel sortant,False
INT0000267,TKT009391,2023-07-19 17:51:00,AGT006,Note interne,True
INT0000268,TKT009391,2023-07-22 23:54:00,AGT006,Email client,True
INT0000269,TKT006869,2023-02-09 14:15:00,AGT012,Note interne,True
INT0000270,TKT006869,2023-02-10 06:12:00,AGT012,Email client,False
INT0000271,TKT006869,2023-02-10 22:09:00,AGT012,Appel sortant,False
INT0000272,TKT006869,2023-02-11 14:06:00,AGT012,Escalade,False
INT0000273,TKT007998,2023-04-25 14:29:00,AGT005,Note interne,True
INT0000274,TKT007998,2023-05-01 00:05:00,AGT005,Email client,False
INT0000275,TKT007998,2023-05-06 09:41:00,AGT005,Appel sortant,False
INT0000276,TKT010422,2023-09-22 08:21:00,AGT012,Note interne,False
INT0000277,TKT003847,2022-08-26 17:26:00,AGT001,Note interne,True
INT0000278,TKT006621,2023-01-26 21:13:00,AGT012,Note interne,False
INT0000279,TKT006621,2023-01-28 22:07:00,AGT012,Email client,True
INT0000280,TKT008501,2023-05-28 12:47:00,AGT004,Note interne,False
INT0000281,TKT008501,2023-06-07 23:48:30,AGT004,Email client,False
INT0000282,TKT008501,2023-06-18 10:50:00,AGT004,Appel sortant,False
INT0000283,TKT008501,2023-06-28 21:51:30,AGT004,Escalade,False
INT0000284,TKT000213,2022-01-13 01:35:00,AGT010,Note interne,False
INT0000285,TKT004712,2022-10-21 14:07:00,AGT007,Note interne,True
INT0000286,TKT004712,2022-10-21 19:45:00,AGT007,Email client,False
INT0000287,TKT004712,2022-10-22 01:23:00,AGT007,Appel sortant,False
INT0000288,TKT011648,2023-12-02 14:36:00,AGT001,Note interne,True
INT0000289,TKT008549,2023-05-30 14:37:00,AGT004,Note interne,False
INT0000290,TKT012761,2024-01-25 20:56:00,AGT010,Note interne,True
INT0000291,TKT009172,2023-07-06 16:42:00,AGT002,Note interne,False
INT0000292,TKT009172,2023-07-08 19:02:00,AGT002,Email client,True
INT0000293,TKT009172,2023-07-10 21:22:00,AGT002,Appel sortant,True
INT0000294,TKT014056,2024-04-15 12:39:00,AGT011,Note interne,False
INT0000295,TKT014056,2024-04-16 16:39:00,AGT011,Email client,False
INT0000296,TKT014056,2024-04-17 20:39:00,AGT011,Appel sortant,False
INT0000297,TKT004535,2022-10-11 10:48:00,AGT003,Note interne,False
INT0000298,TKT004535,2022-10-18 21:51:00,AGT003,Email client,False
INT0000299,TKT004535,2022-10-26 08:54:00,AGT003,Appel sortant,True
INT0000300,TKT004535,2022-11-02 19:57:00,AGT003,Escalade,True
INT0000301,TKT001293,2022-03-17 12:10:00,AGT008,Note interne,True
INT0000302,TKT001293,2022-03-18 14:00:24,AGT008,Email client,False
INT0000303,TKT001293,2022-03-19 15:50:48,AGT008,Appel sortant,False
INT0000304,TKT001293,2022-03-20 17:41:12,AGT008,Escalade,False
INT0000305,TKT001293,2022-03-21 19:31:36,AGT008,Résolution,True
INT0000306,TKT013792,2024-03-29 17:03:00,AGT004,Note interne,True
INT0000307,TKT004317,2022-09-27 13:47:00,AGT008,Note interne,True
INT0000308,TKT006900,2023-02-11 10:39:00,AGT001,Note interne,False
INT0000309,TKT006900,2023-02-17 08:27:00,AGT001,Email client,True
INT0000310,TKT010729,2023-10-12 16:05:00,AGT001,Note interne,True
INT0000311,TKT000891,2022-02-21 11:46:00,AGT001,Note interne,True
INT0000312,TKT000891,2022-02-24 01:12:24,AGT001,Email client,False
INT0000313,TKT000891,2022-02-26 14:38:48,AGT001,Appel sortant,False
INT0000314,TKT000891,2022-03-01 04:05:12,AGT001,Escalade,False
INT0000315,TKT000891,2022-03-03 17:31:36,AGT001,Résolution,True
INT0000316,TKT011231,2023-11-13 08:00:00,AGT007,Note interne,True
INT0000317,TKT011231,2023-11-17 19:18:00,AGT007,Email client,False
INT0000318,TKT011231,2023-11-22 06:36:00,AGT007,Appel sortant,False
INT0000319,TKT004654,2022-10-18 09:17:00,AGT010,Note interne,True
INT0000320,TKT004654,2022-10-27 02:05:00,AGT010,Email client,True
INT0000321,TKT010424,2023-09-22 16:41:00,AGT010,Note interne,False
INT0000322,TKT008012,2023-04-26 20:17:00,AGT007,Note interne,True
INT0000323,TKT001880,2022-04-24 09:33:00,AGT001,Note interne,True
INT0000324,TKT001880,2022-04-30 05:06:00,AGT001,Email client,False
INT0000325,TKT004917,2022-11-02 19:59:00,AGT010,Note interne,True
INT0000326,TKT004917,2022-11-03 16:19:00,AGT010,Email client,False
INT0000327,TKT004917,2022-11-04 12:39:00,AGT010,Appel sortant,False
INT0000328,TKT009937,2023-08-22 03:30:00,AGT003,Note interne,True
INT0000329,TKT013548,2024-03-13 13:31:00,AGT003,Note interne,True
INT0000330,TKT015180,2024-06-24 16:48:00,AGT011,Note interne,False
INT0000331,TKT015180,2024-06-28 02:54:00,AGT011,Email client,True
INT0000332,TKT015180,2024-07-01 13:00:00,AGT011,Appel sortant,False
INT0000333,TKT015180,2024-07-04 23:06:00,AGT011,Escalade,False
INT0000334,TKT013255,2024-02-22 15:36:00,AGT008,Note interne,True
INT0000335,TKT001673,2022-04-10 12:28:00,AGT005,Note interne,False
INT0000336,TKT001673,2022-04-19 17:30:00,AGT005,Email client,True
INT0000337,TKT001673,2022-04-28 22:32:00,AGT005,Appel sortant,True
INT0000338,TKT000857,2022-02-18 08:51:00,AGT003,Note interne,False
INT0000339,TKT000857,2022-02-20 12:48:00,AGT003,Email client,False
INT0000340,TKT007473,2023-03-21 03:10:00,AGT006,Note interne,False
INT0000341,TKT007473,2023-03-26 05:43:00,AGT006,Email client,False
INT0000342,TKT007473,2023-03-31 08:16:00,AGT006,Appel sortant,False
INT0000343,TKT007473,2023-04-05 10:49:00,AGT006,Escalade,False
INT0000344,TKT011079,2023-11-03 07:12:00,AGT006,Note interne,True
INT0000345,TKT011079,2023-11-08 19:26:24,AGT006,Email client,True
INT0000346,TKT011079,2023-11-14 07:40:48,AGT006,Appel sortant,True
INT0000347,TKT011079,2023-11-19 19:55:12,AGT006,Escalade,True
INT0000348,TKT011079,2023-11-25 08:09:36,AGT006,Résolution,True
INT0000349,TKT011058,2023-11-02 19:03:00,AGT007,Note interne,True
INT0000350,TKT006363,2023-01-13 10:55:00,AGT006,Note interne,False
INT0000351,TKT006363,2023-01-13 22:02:30,AGT006,Email client,True
INT0000352,TKT006363,2023-01-14 09:10:00,AGT006,Appel sortant,False
INT0000353,TKT006363,2023-01-14 20:17:30,AGT006,Escalade,False
INT0000354,TKT013877,2024-04-04 16:34:00,AGT006,Note interne,False
INT0000355,TKT013909,2024-04-06 18:35:00,AGT009,Note interne,True
INT0000356,TKT013909,2024-04-08 13:08:00,AGT009,Email client,False
INT0000357,TKT013909,2024-04-10 07:41:00,AGT009,Appel sortant,True
INT0000358,TKT013909,2024-04-12 02:14:00,AGT009,Escalade,False
INT0000359,TKT006876,2023-02-10 10:26:00,AGT007,Note interne,False
INT0000360,TKT011720,2023-12-05 08:31:00,AGT008,Note interne,True
INT0000361,TKT002643,2022-06-11 18:00:00,AGT004,Note interne,True
INT0000362,TKT006556,2023-01-23 15:25:00,AGT003,Note interne,False
INT0000363,TKT007420,2023-03-17 09:07:00,AGT001,Note interne,True
INT0000364,TKT003355,2022-07-26 07:21:00,AGT001,Note interne,False
INT0000365,TKT004984,2022-11-06 05:30:00,AGT009,Note interne,True
INT0000366,TKT013842,2024-04-02 08:43:00,AGT010,Note interne,True
INT0000367,TKT006574,2023-01-24 16:13:00,AGT011,Note interne,True
INT0000368,TKT006574,2023-01-29 17:16:00,AGT011,Email client,True
INT0000369,TKT005748,2022-12-14 10:44:00,AGT008,Note interne,True
INT0000370,TKT005748,2022-12-14 17:50:00,AGT008,Email client,True
INT0000371,TKT005748,2022-12-15 00:56:00,AGT008,Appel sortant,False
INT0000372,TKT009268,2023-07-11 16:43:00,AGT005,Note interne,True
INT0000373,TKT009268,2023-07-12 06:53:00,AGT005,Email client,False
INT0000374,TKT009268,2023-07-12 21:03:00,AGT005,Appel sortant,False
INT0000375,TKT008772,2023-06-12 11:49:00,AGT007,Note interne,True
INT0000376,TKT001693,2022-04-12 15:58:00,AGT009,Note interne,False
