id_consommation,date,id_medicament,id_service,quantite_consommee,cout_euro
CONSO000096,2022-01-02,MED014,SRV007,8,176.0
CONSO000097,2022-01-02,MED013,SRV007,9,61.2
CONSO000098,2022-01-02,MED008,SRV007,7,315.0
CONSO000099,2022-01-02,MED023,SRV007,2,170.0
CONSO000100,2022-01-02,MED024,SRV007,3,105.0
CONSO000101,2022-01-02,MED011,SRV007,4,48.0
CONSO000102,2022-01-02,MED023,SRV008,4,340.0
CONSO000103,2022-01-02,MED013,SRV008,7,47.6
CONSO000104,2022-01-02,MED012,SRV008,4,74.0
CONSO000105,2022-01-02,MED024,SRV008,3,105.0
CONSO000106,2022-01-02,MED002,SRV008,7,5.6
CONSO000107,2022-01-02,MED014,SRV008,6,132.0
CONSO000108,2022-01-02,MED002,SRV009,7,5.6
CONSO000109,2022-01-02,MED005,SRV009,5,16.0
CONSO000110,2022-01-02,MED017,SRV009,4,16.4
CONSO000111,2022-01-02,MED009,SRV009,2,3.6
CONSO000112,2022-01-02,MED010,SRV009,4,16.8
CONSO000113,2022-01-02,MED002,SRV010,9,7.2
CONSO000114,2022-01-02,MED022,SRV010,10,9.0
CONSO000115,2022-01-02,MED021,SRV010,5,5.5
CONSO000116,2022-01-02,MED001,SRV010,4,10.0
CONSO000117,2022-01-02,MED013,SRV010,3,20.4
CONSO000118,2022-01-02,MED014,SRV010,4,88.0
CONSO000119,2022-01-03,MED001,SRV001,11,27.5
CONSO000120,2022-01-03,MED002,SRV001,20,16.0
CONSO000121,2022-01-03,MED003,SRV001,13,15.6
CONSO000122,2022-01-03,MED011,SRV001,6,72.0
CONSO000123,2022-01-03,MED013,SRV001,7,47.6
CONSO000124,2022-01-03,MED019,SRV001,3,14.4
CONSO000125,2022-01-03,MED017,SRV001,4,16.4
CONSO000126,2022-01-03,MED005,SRV002,19,60.8
CONSO000127,2022-01-03,MED009,SRV002,8,14.4
CONSO000128,2022-01-03,MED010,SRV002,11,46.2
CONSO000129,2022-01-03,MED014,SRV002,7,154.0
CONSO000130,2022-01-03,MED025,SRV002,5,19.0
CONSO000131,2022-01-03,MED002,SRV002,4,3.2
CONSO000132,2022-01-03,MED020,SRV003,12,38.4
CONSO000133,2022-01-03,MED002,SRV003,8,6.4
CONSO000134,2022-01-03,MED015,SRV003,8,44.0
CONSO000135,2022-01-03,MED007,SRV003,7,59.5
CONSO000136,2022-01-03,MED022,SRV003,7,6.3
CONSO000137,2022-01-03,MED001,SRV003,4,10.0
CONSO000138,2022-01-03,MED011,SRV004,9,108.0
CONSO000139,2022-01-03,MED014,SRV004,14,308.0
CONSO000140,2022-01-03,MED012,SRV004,5,92.5
CONSO000141,2022-01-03,MED013,SRV004,7,47.6
CONSO000142,2022-01-03,MED002,SRV004,11,8.8
CONSO000143,2022-01-03,MED009,SRV004,3,5.4
CONSO000144,2022-01-03,MED004,SRV005,23,34.5
CONSO000145,2022-01-03,MED008,SRV005,15,675.0
CONSO000146,2022-01-03,MED005,SRV005,11,35.2
CONSO000147,2022-01-03,MED010,SRV005,6,25.2
CONSO000148,2022-01-03,MED002,SRV005,5,4.0
CONSO000149,2022-01-03,MED007,SRV006,16,136.0
CONSO000150,2022-01-03,MED001,SRV006,7,17.5
CONSO000151,2022-01-03,MED013,SRV006,6,40.8
CONSO000152,2022-01-03,MED015,SRV006,5,27.5
CONSO000153,2022-01-03,MED002,SRV006,6,4.8
CONSO000154,2022-01-03,MED012,SRV007,10,185.0
CONSO000155,2022-01-03,MED014,SRV007,15,330.0
CONSO000156,2022-01-03,MED013,SRV007,11,74.8
CONSO000157,2022-01-03,MED008,SRV007,12,540.0
CONSO000158,2022-01-03,MED023,SRV007,4,340.0
CONSO000159,2022-01-03,MED024,SRV007,4,140.0
CONSO000160,2022-01-03,MED011,SRV007,8,96.0
CONSO000161,2022-01-03,MED023,SRV008,5,425.0
CONSO000162,2022-01-03,MED013,SRV008,11,74.8
CONSO000163,2022-01-03,MED012,SRV008,8,148.0
CONSO000164,2022-01-03,MED024,SRV008,4,140.0
CONSO000165,2022-01-03,MED002,SRV008,11,8.8
CONSO000166,2022-01-03,MED014,SRV008,6,132.0
CONSO000167,2022-01-03,MED002,SRV009,11,8.8
CONSO000168,2022-01-03,MED005,SRV009,9,28.8
CONSO000169,2022-01-03,MED017,SRV009,6,24.6
CONSO000170,2022-01-03,MED009,SRV009,4,7.2
CONSO000171,2022-01-03,MED010,SRV009,5,21.0
CONSO000172,2022-01-03,MED002,SRV010,10,8.0
CONSO000173,2022-01-03,MED022,SRV010,9,8.1
CONSO000174,2022-01-03,MED021,SRV010,7,7.7
CONSO000175,2022-01-03,MED001,SRV010,6,15.0
CONSO000176,2022-01-03,MED013,SRV010,5,34.0
CONSO000177,2022-01-03,MED014,SRV010,7,154.0
CONSO000178,2022-01-04,MED001,SRV001,12,30.0
CONSO000179,2022-01-04,MED002,SRV001,18,14.4
CONSO000180,2022-01-04,MED003,SRV001,17,20.4
CONSO000181,2022-01-04,MED011,SRV001,8,96.0
CONSO000182,2022-01-04,MED013,SRV001,5,34.0
CONSO000183,2022-01-04,MED019,SRV001,4,19.2
CONSO000184,2022-01-04,MED017,SRV001,4,16.4
CONSO000185,2022-01-04,MED005,SRV002,14,44.8
CONSO000186,2022-01-04,MED009,SRV002,11,19.8
CONSO000187,2022-01-04,MED010,SRV002,13,54.6
CONSO000188,2022-01-04,MED014,SRV002,7,154.0
CONSO000189,2022-01-04,MED025,SRV002,5,19.0
CONSO000190,2022-01-04,MED002,SRV002,4,3.2
CONSO000191,2022-01-04,MED020,SRV003,11,35.2
CONSO000192,2022-01-04,MED002,SRV003,11,8.8
CONSO000193,2022-01-04,MED015,SRV003,7,38.5
CONSO000194,2022-01-04,MED007,SRV003,7,59.5
CONSO000195,2022-01-04,MED022,SRV003,6,5.4
CONSO000196,2022-01-04,MED001,SRV003,5,12.5
CONSO000197,2022-01-04,MED011,SRV004,8,96.0
CONSO000198,2022-01-04,MED014,SRV004,12,264.0
CONSO000199,2022-01-04,MED012,SRV004,6,111.0
CONSO000200,2022-01-04,MED013,SRV004,6,40.8
CONSO000201,2022-01-04,MED002,SRV004,10,8.0
CONSO000202,2022-01-04,MED009,SRV004,5,9.0
CONSO000203,2022-01-04,MED004,SRV005,26,39.0
CONSO000204,2022-01-04,MED008,SRV005,17,765.0
CONSO000205,2022-01-04,MED005,SRV005,7,22.4
CONSO000206,2022-01-04,MED010,SRV005,6,25.2
CONSO000207,2022-01-04,MED002,SRV005,6,4.8
CONSO000208,2022-01-04,MED007,SRV006,16,136.0
CONSO000209,2022-01-04,MED001,SRV006,8,20.0
CONSO000210,2022-01-04,MED013,SRV006,9,61.2
CONSO000211,2022-01-04,MED015,SRV006,5,27.5
CONSO000212,2022-01-04,MED002,SRV006,8,6.4
CONSO000213,2022-01-04,MED012,SRV007,11,203.5
CONSO000214,2022-01-04,MED014,SRV007,16,352.0
CONSO000215,2022-01-04,MED013,SRV007,11,74.8
CONSO000216,2022-01-04,MED008,SRV007,11,495.0
CONSO000217,2022-01-04,MED023,SRV007,3,255.0
CONSO000218,2022-01-04,MED024,SRV007,4,140.0
CONSO000219,2022-01-04,MED011,SRV007,6,72.0
CONSO000220,2022-01-04,MED023,SRV008,6,510.0
CONSO000221,2022-01-04,MED013,SRV008,13,88.4
CONSO000222,2022-01-04,MED012,SRV008,5,92.5
CONSO000223,2022-01-04,MED024,SRV008,5,175.0
CONSO000224,2022-01-04,MED002,SRV008,7,5.6
CONSO000225,2022-01-04,MED014,SRV008,5,110.0
CONSO000226,2022-01-04,MED002,SRV009,11,8.8
CONSO000227,2022-01-04,MED005,SRV009,7,22.4
CONSO000228,2022-01-04,MED017,SRV009,5,20.5
CONSO000229,2022-01-04,MED009,SRV009,4,7.2
CONSO000230,2022-01-04,MED010,SRV009,6,25.2
CONSO000231,2022-01-04,MED002,SRV010,11,8.8
CONSO000232,2022-01-04,MED022,SRV010,10,9.0
CONSO000233,2022-01-04,MED021,SRV010,7,7.7
CONSO000234,2022-01-04,MED001,SRV010,5,12.5
CONSO000235,2022-01-04,MED013,SRV010,6,40.8
CONSO000236,2022-01-04,MED014,SRV010,8,176.0
CONSO000237,2022-01-05,MED001,SRV001,6,15.0
CONSO000238,2022-01-05,MED002,SRV001,19,15.2
CONSO000239,2022-01-05,MED003,SRV001,11,13.2
CONSO000240,2022-01-05,MED011,SRV001,8,96.0
CONSO000241,2022-01-05,MED013,SRV001,5,34.0
CONSO000242,2022-01-05,MED019,SRV001,4,19.2
CONSO000243,2022-01-05,MED017,SRV001,4,16.4
CONSO000244,2022-01-05,MED005,SRV002,16,51.2
CONSO000245,2022-01-05,MED009,SRV002,8,14.4
CONSO000246,2022-01-05,MED010,SRV002,11,46.2
CONSO000247,2022-01-05,MED014,SRV002,6,132.0
CONSO000248,2022-01-05,MED025,SRV002,5,19.0
CONSO000249,2022-01-05,MED002,SRV002,7,5.6
CONSO000250,2022-01-05,MED020,SRV003,13,41.6
CONSO000251,2022-01-05,MED002,SRV003,8,6.4
CONSO000252,2022-01-05,MED015,SRV003,8,44.0
CONSO000253,2022-01-05,MED007,SRV003,11,93.5
CONSO000254,2022-01-05,MED022,SRV003,7,6.3
CONSO000255,2022-01-05,MED001,SRV003,3,7.5
CONSO000256,2022-01-05,MED011,SRV004,9,108.0
CONSO000257,2022-01-05,MED014,SRV004,14,308.0
CONSO000258,2022-01-05,MED012,SRV004,5,92.5
CONSO000259,2022-01-05,MED013,SRV004,8,54.4
CONSO000260,2022-01-05,MED002,SRV004,11,8.8
CONSO000261,2022-01-05,MED009,SRV004,4,7.2
CONSO000262,2022-01-05,MED004,SRV005,22,33.0
CONSO000263,2022-01-05,MED008,SRV005,7,315.0
CONSO000264,2022-01-05,MED005,SRV005,8,25.6
CONSO000265,2022-01-05,MED010,SRV005,7,29.4
CONSO000266,2022-01-05,MED002,SRV005,5,4.0
CONSO000267,2022-01-05,MED007,SRV006,18,153.0
CONSO000268,2022-01-05,MED001,SRV006,5,12.5
CONSO000269,2022-01-05,MED013,SRV006,5,34.0
CONSO000270,2022-01-05,MED015,SRV006,5,27.5
CONSO000271,2022-01-05,MED002,SRV006,9,7.2
CONSO000272,2022-01-05,MED012,SRV007,7,129.5
CONSO000273,2022-01-05,MED014,SRV007,17,374.0
CONSO000274,2022-01-05,MED013,SRV007,12,81.6
CONSO000275,2022-01-05,MED008,SRV007,8,360.0
CONSO000276,2022-01-05,MED023,SRV007,4,340.0
CONSO000277,2022-01-05,MED024,SRV007,5,175.0
CONSO000278,2022-01-05,MED011,SRV007,6,72.0
CONSO000279,2022-01-05,MED023,SRV008,6,510.0
CONSO000280,2022-01-05,MED013,SRV008,9,61.2
CONSO000281,2022-01-05,MED012,SRV008,7,129.5
CONSO000282,2022-01-05,MED024,SRV008,5,175.0
CONSO000283,2022-01-05,MED002,SRV008,12,9.6
CONSO000284,2022-01-05,MED014,SRV008,5,110.0
CONSO000285,2022-01-05,MED002,SRV009,13,10.4
CONSO000286,2022-01-05,MED005,SRV009,5,16.0
CONSO000287,2022-01-05,MED017,SRV009,6,24.6
CONSO000288,2022-01-05,MED009,SRV009,5,9.0
CONSO000289,2022-01-05,MED010,SRV009,6,25.2
CONSO000290,2022-01-05,MED002,SRV010,11,8.8
CONSO000291,2022-01-05,MED022,SRV010,9,8.1
CONSO000292,2022-01-05,MED021,SRV010,6,6.6
CONSO000293,2022-01-05,MED001,SRV010,5,12.5
CONSO000294,2022-01-05,MED013,SRV010,5,34.0
CONSO000295,2022-01-05,MED014,SRV010,7,154.0
CONSO000296,2022-01-06,MED001,SRV001,8,20.0
CONSO000297,2022-01-06,MED002,SRV001,21,16.8
CONSO000298,2022-01-06,MED003,SRV001,13,15.6
CONSO000299,2022-01-06,MED011,SRV001,8,96.0
CONSO000300,2022-01-06,MED013,SRV001,6,40.8
CONSO000301,2022-01-06,MED019,SRV001,4,19.2
CONSO000302,2022-01-06,MED017,SRV001,3,12.3
CONSO000303,2022-01-06,MED005,SRV002,16,51.2
CONSO000304,2022-01-06,MED009,SRV002,10,18.0
CONSO000305,2022-01-06,MED010,SRV002,12,50.4
CONSO000306,2022-01-06,MED014,SRV002,7,154.0
CONSO000307,2022-01-06,MED025,SRV002,7,26.6
CONSO000308,2022-01-06,MED002,SRV002,5,4.0
CONSO000309,2022-01-06,MED020,SRV003,13,41.6
CONSO000310,2022-01-06,MED002,SRV003,9,7.2
CONSO000311,2022-01-06,MED015,SRV003,7,38.5
CONSO000312,2022-01-06,MED007,SRV003,10,85.0
CONSO000313,2022-01-06,MED022,SRV003,7,6.3
CONSO000314,2022-01-06,MED001,SRV003,5,12.5
CONSO000315,2022-01-06,MED011,SRV004,11,132.0
CONSO000316,2022-01-06,MED014,SRV004,12,264.0
CONSO000317,2022-01-06,MED012,SRV004,6,111.0
CONSO000318,2022-01-06,MED013,SRV004,7,47.6
CONSO000319,2022-01-06,MED002,SRV004,10,8.0
CONSO000320,2022-01-06,MED009,SRV004,4,7.2
CONSO000321,2022-01-06,MED004,SRV005,22,33.0
CONSO000322,2022-01-06,MED008,SRV005,16,720.0
CONSO000323,2022-01-06,MED005,SRV005,8,25.6
CONSO000324,2022-01-06,MED010,SRV005,9,37.8
CONSO000325,2022-01-06,MED002,SRV005,5,4.0
CONSO000326,2022-01-06,MED007,SRV006,12,102.0
CONSO000327,2022-01-06,MED001,SRV006,8,20.0
CONSO000328,2022-01-06,MED013,SRV006,7,47.6
CONSO000329,2022-01-06,MED015,SRV006,5,27.5
CONSO000330,2022-01-06,MED002,SRV006,8,6.4
CONSO000331,2022-01-06,MED012,SRV007,9,166.5
CONSO000332,2022-01-06,MED014,SRV007,13,286.0
CONSO000333,2022-01-06,MED013,SRV007,12,81.6
CONSO000334,2022-01-06,MED008,SRV007,8,360.0
CONSO000335,2022-01-06,MED023,SRV007,4,340.0
CONSO000336,2022-01-06,MED024,SRV007,4,140.0
CONSO000337,2022-01-06,MED011,SRV007,6,72.0
CONSO000338,2022-01-06,MED023,SRV008,5,425.0
CONSO000339,2022-01-06,MED013,SRV008,10,68.0
CONSO000340,2022-01-06,MED012,SRV008,6,111.0
CONSO000341,2022-01-06,MED024,SRV008,4,140.0
CONSO000342,2022-01-06,MED002,SRV008,10,8.0
CONSO000343,2022-01-06,MED014,SRV008,6,132.0
CONSO000344,2022-01-06,MED002,SRV009,9,7.2
CONSO000345,2022-01-06,MED005,SRV009,6,19.2
CONSO000346,2022-01-06,MED017,SRV009,6,24.6
CONSO000347,2022-01-06,MED009,SRV009,3,5.4
CONSO000348,2022-01-06,MED010,SRV009,4,16.8
CONSO000349,2022-01-06,MED002,SRV010,11,8.8
CONSO000350,2022-01-06,MED022,SRV010,9,8.1
CONSO000351,2022-01-06,MED021,SRV010,7,7.7
CONSO000352,2022-01-06,MED001,SRV010,7,17.5
CONSO000353,2022-01-06,MED013,SRV010,5,34.0
CONSO000354,2022-01-06,MED014,SRV010,7,154.0
CONSO000355,2022-01-07,MED001,SRV001,9,22.5
CONSO000356,2022-01-07,MED002,SRV001,15,12.0
CONSO000357,2022-01-07,MED003,SRV001,12,14.4
CONSO000358,2022-01-07,MED011,SRV001,7,84.0
CONSO000359,2022-01-07,MED013,SRV001,6,40.8
CONSO000360,2022-01-07,MED019,SRV001,4,19.2
CONSO000361,2022-01-07,MED017,SRV001,4,16.4
CONSO000362,2022-01-07,MED005,SRV002,18,57.6
CONSO000363,2022-01-07,MED009,SRV002,9,16.2
CONSO000364,2022-01-07,MED010,SRV002,13,54.6
CONSO000365,2022-01-07,MED014,SRV002,8,176.0
CONSO000366,2022-01-07,MED025,SRV002,5,19.0
CONSO000367,2022-01-07,MED002,SRV002,6,4.8
CONSO000368,2022-01-07,MED020,SRV003,12,38.4
CONSO000369,2022-01-07,MED002,SRV003,10,8.0
CONSO000370,2022-01-07,MED015,SRV003,6,33.0
CONSO000371,2022-01-07,MED007,SRV003,8,68.0
CONSO000372,2022-01-07,MED022,SRV003,6,5.4
CONSO000373,2022-01-07,MED001,SRV003,6,15.0
CONSO000374,2022-01-07,MED011,SRV004,11,132.0
CONSO000375,2022-01-07,MED014,SRV004,16,352.0
CONSO000376,2022-01-07,MED012,SRV004,5,92.5
CONSO000377,2022-01-07,MED013,SRV004,8,54.4
CONSO000378,2022-01-07,MED002,SRV004,10,8.0
CONSO000379,2022-01-07,MED009,SRV004,6,10.8
CONSO000380,2022-01-07,MED004,SRV005,19,28.5
CONSO000381,2022-01-07,MED008,SRV005,13,585.0
CONSO000382,2022-01-07,MED005,SRV005,9,28.8
CONSO000383,2022-01-07,MED010,SRV005,5,21.0
CONSO000384,2022-01-07,MED002,SRV005,5,4.0
CONSO000385,2022-01-07,MED007,SRV006,13,110.5
CONSO000386,2022-01-07,MED001,SRV006,7,17.5
CONSO000387,2022-01-07,MED013,SRV006,6,40.8
CONSO000388,2022-01-07,MED015,SRV006,6,33.0
CONSO000389,2022-01-07,MED002,SRV006,8,6.4
CONSO000390,2022-01-07,MED012,SRV007,9,166.5
CONSO000391,2022-01-07,MED014,SRV007,13,286.0
CONSO000392,2022-01-07,MED013,SRV007,13,88.4
CONSO000393,2022-01-07,MED008,SRV007,8,360.0
CONSO000394,2022-01-07,MED023,SRV007,4,340.0
CONSO000395,2022-01-07,MED024,SRV007,5,175.0
CONSO000396,2022-01-07,MED011,SRV007,6,72.0
CONSO000397,2022-01-07,MED023,SRV008,4,340.0
CONSO000398,2022-01-07,MED013,SRV008,12,81.6
CONSO000399,2022-01-07,MED012,SRV008,7,129.5
CONSO000400,2022-01-07,MED024,SRV008,5,175.0
CONSO000401,2022-01-07,MED002,SRV008,7,5.6
CONSO000402,2022-01-07,MED014,SRV008,5,110.0
CONSO000403,2022-01-07,MED002,SRV009,10,8.0
CONSO000404,2022-01-07,MED005,SRV009,7,22.4
CONSO000405,2022-01-07,MED017,SRV009,5,20.5
CONSO000406,2022-01-07,MED009,SRV009,5,9.0
CONSO000407,2022-01-07,MED010,SRV009,5,21.0
CONSO000408,2022-01-07,MED002,SRV010,12,9.6
CONSO000409,2022-01-07,MED022,SRV010,10,9.0
CONSO000410,2022-01-07,MED021,SRV010,8,8.8
CONSO000411,2022-01-07,MED001,SRV010,6,15.0
CONSO000412,2022-01-07,MED013,SRV010,4,27.2
CONSO000413,2022-01-07,MED014,SRV010,5,110.0
CONSO000414,2022-01-08,MED001,SRV001,8,20.0
CONSO000415,2022-01-08,MED002,SRV001,14,11.2
CONSO000416,2022-01-08,MED003,SRV001,8,9.6
CONSO000417,2022-01-08,MED011,SRV001,6,72.0
CONSO000418,2022-01-08,MED013,SRV001,4,27.2
CONSO000419,2022-01-08,MED019,SRV001,4,19.2
CONSO000420,2022-01-08,MED017,SRV001,2,8.2
CONSO000421,2022-01-08,MED005,SRV002,14,44.8
CONSO000422,2022-01-08,MED009,SRV002,9,16.2
CONSO000423,2022-01-08,MED010,SRV002,9,37.8
CONSO000424,2022-01-08,MED014,SRV002,6,132.0
CONSO000425,2022-01-08,MED025,SRV002,5,19.0
CONSO000426,2022-01-08,MED002,SRV002,5,4.0
CONSO000427,2022-01-08,MED020,SRV003,8,25.6
CONSO000428,2022-01-08,MED002,SRV003,8,6.4
CONSO000429,2022-01-08,MED015,SRV003,6,33.0
CONSO000430,2022-01-08,MED007,SRV003,4,34.0
CONSO000431,2022-01-08,MED022,SRV003,3,2.7
CONSO000432,2022-01-08,MED001,SRV003,2,5.0
CONSO000433,2022-01-08,MED011,SRV004,7,84.0
CONSO000434,2022-01-08,MED014,SRV004,10,220.0
CONSO000435,2022-01-08,MED012,SRV004,5,92.5
CONSO000436,2022-01-08,MED013,SRV004,5,34.0
CONSO000437,2022-01-08,MED002,SRV004,9,7.2
CONSO000438,2022-01-08,MED009,SRV004,2,3.6
CONSO000439,2022-01-08,MED004,SRV005,12,18.0
CONSO000440,2022-01-08,MED008,SRV005,11,495.0
CONSO000441,2022-01-08,MED005,SRV005,7,22.4
CONSO000442,2022-01-08,MED010,SRV005,5,21.0
CONSO000443,2022-01-08,MED002,SRV005,3,2.4
CONSO000444,2022-01-08,MED007,SRV006,11,93.5
CONSO000445,2022-01-08,MED001,SRV006,4,10.0
CONSO000446,2022-01-08,MED013,SRV006,5,34.0
CONSO000447,2022-01-08,MED015,SRV006,3,16.5
CONSO000448,2022-01-08,MED002,SRV006,4,3.2
CONSO000449,2022-01-08,MED012,SRV007,6,111.0
CONSO000450,2022-01-08,MED014,SRV007,9,198.0
CONSO000451,2022-01-08,MED013,SRV007,9,61.2
CONSO000452,2022-01-08,MED008,SRV007,8,360.0
CONSO000453,2022-01-08,MED023,SRV007,2,170.0
CONSO000454,2022-01-08,MED024,SRV007,4,140.0
CONSO000455,2022-01-08,MED011,SRV007,5,60.0
CONSO000456,2022-01-08,MED023,SRV008,4,340.0
CONSO000457,2022-01-08,MED013,SRV008,7,47.6
CONSO000458,2022-01-08,MED012,SRV008,4,74.0
CONSO000459,2022-01-08,MED024,SRV008,3,105.0
CONSO000460,2022-01-08,MED002,SRV008,6,4.8
CONSO000461,2022-01-08,MED014,SRV008,6,132.0
CONSO000462,2022-01-08,MED002,SRV009,7,5.6
CONSO000463,2022-01-08,MED005,SRV009,5,16.0
CONSO000464,2022-01-08,MED017,SRV009,4,16.4
CONSO000465,2022-01-08,MED009,SRV009,3,5.4
CONSO000466,2022-01-08,MED010,SRV009,4,16.8
CONSO000467,2022-01-08,MED002,SRV010,10,8.0
CONSO000468,2022-01-08,MED022,SRV010,8,7.2
CONSO000469,2022-01-08,MED021,SRV010,5,5.5
CONSO000470,2022-01-08,MED001,SRV010,4,10.0
CONSO000471,2022-01-08,MED013,SRV010,3,20.4
CONSO000472,2022-01-08,MED014,SRV010,3,66.0
CONSO000473,2022-01-09,MED001,SRV001,5,12.5
CONSO000474,2022-01-09,MED002,SRV001,16,12.8
CONSO000475,2022-01-09,MED003,SRV001,11,13.2
CONSO000476,2022-01-09,MED011,SRV001,5,60.0
CONSO000477,2022-01-09,MED013,SRV001,5,34.0
CONSO000478,2022-01-09,MED019,SRV001,3,14.4
CONSO000479,2022-01-09,MED017,SRV001,4,16.4
CONSO000480,2022-01-09,MED005,SRV002,13,41.6
