contact_id,client_id,campagne_source_id,canal_acquisition,date_acquisition,pays,segment,nb_achats,ltv_fcfa,dernier_achat_date,statut_crm
CNT0000042,CLI010,CAM00109,Email,2023-05-08,Sénégal,Nouveau client,2,118706,2024-03-09,Actif
CNT0000043,CLI017,CAM00225,Email,2023-12-26,Burkina Faso,Nouveau client,4,313756,2025-01-24,Perdu
CNT0000044,CLI008,CAM00069,SMS,2023-11-12,Sénégal,Prospect,5,276410,2024-06-08,Inactif
CNT0000045,CLI019,CAM00275,SMS,2023-11-10,Burkina Faso,Prospect,5,46405,2024-06-26,Perdu
CNT0000046,CLI015,CAM00197,Email,2024-01-16,Burkina Faso,Client dormant,3,88386,2025-02-14,Actif
CNT0000047,CLI015,CAM00190,SMS,2023-10-22,Burkina Faso,Client dormant,1,28685,2024-09-28,Actif
CNT0000048,CLI017,CAM00235,Email,2023-09-06,Côte d'Ivoire,Nouveau client,4,63868,2023-10-16,Actif
CNT0000049,CLI015,CAM00190,SMS,2023-10-17,Burkina Faso,Prospect,7,149219,2024-10-29,Perdu
CNT0000050,CLI010,CAM00098,Facebook,2022-09-08,Cameroun,Client dormant,4,164688,2023-02-15,Actif
CNT0000051,CLI010,CAM00102,Email,2023-10-27,Cameroun,Prospect,0,0,,Inactif
CNT0000052,CLI023,CAM00340,Email,2023-08-17,Burkina Faso,Client dormant,8,378016,2024-05-14,Actif
CNT0000053,CLI017,CAM00238,Facebook,2023-01-05,Mali,Client actif,6,156780,2024-01-04,Actif
CNT0000054,CLI017,CAM00235,Email,2023-09-02,Côte d'Ivoire,Client actif,3,128460,2024-05-29,Perdu
CNT0000055,CLI017,CAM00234,Facebook,2024-02-21,Burkina Faso,Client actif,8,546152,2024-11-23,Inactif
CNT0000056,CLI017,CAM00235,Email,2023-08-25,Côte d'Ivoire,Client actif,4,172140,2024-02-14,Actif
CNT0000057,CLI017,CAM00240,Email,2022-10-06,Sénégal,Nouveau client,3,132075,2023-09-30,Perdu
CNT0000058,CLI015,CAM00183,Email,2022-09-20,Mali,Client dormant,0,0,,Inactif
CNT0000059,CLI015,CAM00183,Email,2022-10-19,Mali,Nouveau client,4,56904,2022-12-19,Inactif
CNT0000060,CLI019,CAM00275,SMS,2023-11-06,Burkina Faso,Nouveau client,0,0,,Perdu
CNT0000061,CLI015,CAM00197,Email,2024-01-04,Burkina Faso,Client dormant,8,389224,2024-03-31,Actif
CNT0000062,CLI015,CAM00195,SMS,2023-08-07,Ghana,Prospect,7,39928,2024-08-28,Inactif
CNT0000063,CLI012,CAM00140,Email,2024-01-02,Ghana,Prospect,7,260596,2024-06-11,Perdu
CNT0000064,CLI012,CAM00137,SMS,2024-05-16,Sénégal,Client dormant,3,162744,2024-07-09,Perdu
CNT0000065,CLI015,CAM00193,SMS,2023-10-21,Burkina Faso,Client actif,8,364424,2024-02-17,Perdu
CNT0000066,CLI018,CAM00269,Email,2022-08-24,Ghana,Client actif,4,291192,2023-07-26,Inactif
CNT0000067,CLI015,CAM00190,SMS,2023-10-09,Burkina Faso,Client dormant,5,341285,2023-12-23,Actif
CNT0000068,CLI015,CAM00197,Email,2023-12-25,Burkina Faso,Prospect,0,0,,Inactif
CNT0000069,CLI023,CAM00333,SMS,2023-10-17,Burkina Faso,Nouveau client,1,37317,2024-07-04,Inactif
CNT0000070,CLI017,CAM00248,Email,2024-02-20,Cameroun,Client dormant,2,51432,2024-12-16,Inactif
CNT0000071,CLI021,CAM00297,Facebook,2024-04-29,Cameroun,Prospect,4,273668,2024-06-14,Inactif
CNT0000072,CLI015,CAM00197,Email,2024-01-09,Burkina Faso,Prospect,5,200500,2024-07-10,Actif
CNT0000073,CLI017,CAM00246,SMS,2023-08-19,Côte d'Ivoire,Nouveau client,0,0,,Perdu
CNT0000074,CLI013,CAM00158,Email,2022-11-04,Mali,Prospect,3,46440,2023-04-25,Inactif
CNT0000075,CLI015,CAM00195,SMS,2023-08-07,Ghana,Nouveau client,6,111666,2023-09-12,Perdu
CNT0000076,CLI015,CAM00184,SMS,2023-10-25,Côte d'Ivoire,Nouveau client,1,69253,2024-02-06,Actif
CNT0000077,CLI023,CAM00335,Google,2022-11-17,Ghana,Client dormant,1,55924,2023-04-19,Inactif
CNT0000078,CLI010,CAM00109,Email,2023-05-25,Sénégal,Client actif,2,114586,2024-01-22,Inactif
CNT0000079,CLI020,CAM00286,Email,2023-09-15,Côte d'Ivoire,Nouveau client,1,64638,2024-04-17,Inactif
CNT0000080,CLI017,CAM00231,Email,2023-03-17,Burkina Faso,Client dormant,8,135592,2024-02-23,Inactif
CNT0000081,CLI017,CAM00231,Email,2023-03-16,Burkina Faso,Prospect,0,0,,Perdu
CNT0000082,CLI012,CAM00128,Facebook,2022-08-30,Burkina Faso,Nouveau client,5,363405,2023-08-29,Actif
CNT0000083,CLI010,CAM00099,SMS,2022-11-11,Côte d'Ivoire,Prospect,6,169428,2023-12-08,Perdu
CNT0000084,CLI016,CAM00201,SMS,2023-06-28,Burkina Faso,Nouveau client,2,88976,2023-11-07,Perdu
CNT0000085,CLI015,CAM00190,SMS,2023-10-20,Burkina Faso,Client dormant,7,244286,2023-12-10,Actif
CNT0000086,CLI018,CAM00269,Email,2022-08-21,Ghana,Prospect,2,65782,2022-12-21,Inactif
CNT0000087,CLI017,CAM00231,Email,2023-03-22,Burkina Faso,Client actif,0,0,,Perdu
CNT0000088,CLI023,CAM00333,SMS,2023-10-26,Burkina Faso,Client actif,7,289772,2024-07-05,Inactif
CNT0000089,CLI007,CAM00067,Google,2024-01-17,Sénégal,Client actif,1,10333,2024-06-02,Actif
CNT0000090,CLI012,CAM00137,SMS,2024-05-23,Sénégal,Prospect,5,246370,2024-06-26,Actif
CNT0000091,CLI010,CAM00099,SMS,2022-12-14,Côte d'Ivoire,Prospect,2,155976,2023-02-25,Perdu
CNT0000092,CLI019,CAM00271,Email,2022-08-06,Mali,Nouveau client,5,250200,2023-02-22,Inactif
CNT0000093,CLI016,CAM00213,SMS,2023-09-30,Burkina Faso,Prospect,4,129460,2023-12-19,Inactif
CNT0000094,CLI015,CAM00183,Email,2022-10-08,Mali,Nouveau client,2,85928,2023-09-02,Perdu
CNT0000095,CLI012,CAM00131,Email,2023-12-14,Burkina Faso,Prospect,1,75961,2024-04-27,Inactif
CNT0000096,CLI012,CAM00131,Email,2023-12-20,Burkina Faso,Client dormant,6,410670,2024-05-02,Inactif
CNT0000097,CLI013,CAM00159,Facebook,2022-08-08,Côte d'Ivoire,Client dormant,5,210730,2023-07-30,Actif
CNT0000098,CLI018,CAM00262,SMS,2024-02-13,Cameroun,Client dormant,4,132820,2025-01-01,Perdu
CNT0000099,CLI017,CAM00246,SMS,2023-08-20,Côte d'Ivoire,Client actif,0,0,,Inactif
CNT0000100,CLI012,CAM00144,Email,2023-06-01,Mali,Nouveau client,2,69496,2023-08-23,Perdu
CNT0000101,CLI015,CAM00195,SMS,2023-07-31,Ghana,Nouveau client,3,101127,2023-09-14,Actif
CNT0000102,CLI018,CAM00265,Email,2023-02-04,Côte d'Ivoire,Client dormant,3,96102,2023-05-11,Inactif
CNT0000103,CLI017,CAM00231,Email,2023-03-18,Burkina Faso,Client actif,4,219344,2024-01-08,Perdu
CNT0000104,CLI015,CAM00196,Email,2023-10-05,Côte d'Ivoire,Client actif,0,0,,Inactif
CNT0000105,CLI015,CAM00183,Email,2022-10-18,Mali,Client dormant,3,233697,2023-11-15,Actif
CNT0000106,CLI020,CAM00290,Email,2024-05-14,Sénégal,Client actif,2,49956,2025-03-16,Inactif
CNT0000107,CLI016,CAM00201,SMS,2023-06-27,Burkina Faso,Nouveau client,6,411246,2024-02-21,Inactif
CNT0000108,CLI015,CAM00188,Email,2023-02-15,Sénégal,Client dormant,5,249335,2023-09-21,Inactif
CNT0000109,CLI018,CAM00263,Google,2023-06-24,Mali,Prospect,6,369864,2023-09-28,Actif
CNT0000110,CLI007,CAM00057,Email,2024-05-14,Ghana,Client actif,4,232352,2024-07-18,Perdu
CNT0000111,CLI017,CAM00246,SMS,2023-08-06,Côte d'Ivoire,Nouveau client,5,263845,2023-12-16,Perdu
CNT0000112,CLI018,CAM00253,SMS,2023-02-27,Mali,Client dormant,5,361815,2023-04-21,Perdu
CNT0000113,CLI019,CAM00277,Email,2023-05-18,Cameroun,Nouveau client,3,174258,2023-11-18,Inactif
CNT0000114,CLI006,CAM00052,SMS,2023-03-20,Côte d'Ivoire,Client dormant,0,0,,Perdu
CNT0000115,CLI021,CAM00303,SMS,2023-11-04,Côte d'Ivoire,Prospect,6,325002,2024-01-27,Inactif
CNT0000116,CLI020,CAM00287,Email,2023-10-06,Burkina Faso,Nouveau client,3,192312,2024-09-26,Actif
CNT0000117,CLI006,CAM00054,Email,2023-06-09,Burkina Faso,Prospect,5,263850,2024-05-26,Actif
CNT0000118,CLI012,CAM00131,Email,2023-11-20,Burkina Faso,Prospect,6,311790,2024-04-20,Perdu
CNT0000119,CLI010,CAM00099,SMS,2022-11-13,Côte d'Ivoire,Client dormant,1,76936,2022-12-12,Inactif
CNT0000120,CLI019,CAM00275,SMS,2023-11-12,Burkina Faso,Client actif,6,112284,2024-11-04,Actif
CNT0000121,CLI016,CAM00214,Email,2022-11-25,Côte d'Ivoire,Nouveau client,5,191675,2023-07-28,Actif
CNT0000122,CLI012,CAM00127,Facebook,2023-04-16,Sénégal,Client dormant,7,150528,2024-04-20,Actif
CNT0000123,CLI006,CAM00046,Email,2022-06-09,Burkina Faso,Prospect,1,18536,2023-02-06,Actif
CNT0000124,CLI012,CAM00134,Email,2024-02-27,Côte d'Ivoire,Prospect,3,171525,2024-08-16,Actif
CNT0000125,CLI023,CAM00342,Email,2022-09-13,Ghana,Client dormant,6,403086,2023-04-07,Actif
CNT0000126,CLI015,CAM00182,SMS,2023-12-20,Burkina Faso,Client dormant,8,491960,2024-02-06,Perdu
CNT0000127,CLI010,CAM00111,Google,2023-05-08,Cameroun,Client dormant,7,537124,2024-04-02,Perdu
CNT0000128,CLI017,CAM00242,Email,2022-07-05,Sénégal,Nouveau client,0,0,,Actif
CNT0000129,CLI010,CAM00102,Email,2023-10-18,Cameroun,Prospect,3,87642,2024-03-20,Inactif
CNT0000130,CLI017,CAM00241,Email,2023-07-26,Burkina Faso,Nouveau client,4,98940,2024-03-23,Inactif
CNT0000131,CLI017,CAM00235,Email,2023-08-28,Côte d'Ivoire,Nouveau client,1,12271,2024-10-01,Actif
CNT0000132,CLI017,CAM00236,Email,2024-04-16,Burkina Faso,Client actif,5,228505,2024-07-13,Perdu
CNT0000133,CLI004,CAM00032,SMS,2023-03-23,Burkina Faso,Nouveau client,7,167181,2023-12-04,Inactif
CNT0000134,CLI015,CAM00197,Email,2024-01-11,Burkina Faso,Prospect,0,0,,Perdu
CNT0000135,CLI017,CAM00225,Email,2024-01-17,Burkina Faso,Prospect,0,0,,Perdu
CNT0000136,CLI015,CAM00197,Email,2024-01-15,Burkina Faso,Client dormant,8,64168,2024-10-27,Actif
CNT0000137,CLI017,CAM00249,Google,2023-05-26,Cameroun,Nouveau client,6,151140,2024-02-01,Perdu
CNT0000138,CLI017,CAM00231,Email,2023-03-31,Burkina Faso,Client dormant,8,290000,2023-06-03,Actif
CNT0000139,CLI012,CAM00131,Email,2023-11-21,Burkina Faso,Client dormant,6,457572,2024-09-05,Inactif
CNT0000140,CLI012,CAM00147,Facebook,2023-02-27,Cameroun,Client dormant,2,84628,2023-08-29,Inactif
CNT0000141,CLI012,CAM00137,SMS,2024-04-29,Sénégal,Prospect,1,58256,2025-03-17,Perdu
CNT0000142,CLI018,CAM00262,SMS,2024-02-06,Cameroun,Client dormant,7,166558,2024-04-15,Perdu
CNT0000143,CLI016,CAM00206,SMS,2022-10-31,Burkina Faso,Client dormant,1,63968,2023-01-25,Perdu
CNT0000144,CLI017,CAM00238,Facebook,2023-01-17,Mali,Client actif,5,168640,2023-05-18,Perdu
CNT0000145,CLI022,CAM00324,Email,2024-02-25,Mali,Client dormant,1,58589,2024-12-23,Actif
CNT0000146,CLI012,CAM00139,Email,2023-05-10,Cameroun,Client dormant,8,112648,2023-09-16,Inactif
CNT0000147,CLI016,CAM00214,Email,2022-11-17,Côte d'Ivoire,Nouveau client,0,0,,Perdu
CNT0000148,CLI017,CAM00236,Email,2024-04-24,Burkina Faso,Nouveau client,1,68331,2024-08-11,Actif
CNT0000149,CLI012,CAM00131,Email,2023-12-06,Burkina Faso,Prospect,4,144064,2024-04-20,Inactif
CNT0000150,CLI015,CAM00190,SMS,2023-09-26,Burkina Faso,Nouveau client,8,293880,2023-11-26,Perdu
CNT0000151,CLI007,CAM00057,Email,2024-05-10,Ghana,Client dormant,8,449096,2025-02-20,Inactif
CNT0000152,CLI017,CAM00231,Email,2023-03-04,Burkina Faso,Client dormant,0,0,,Actif
CNT0000153,CLI009,CAM00083,SMS,2022-12-17,Cameroun,Prospect,1,49709,2023-04-04,Actif
CNT0000154,CLI018,CAM00250,Email,2024-05-04,Ghana,Client dormant,2,92966,2024-08-01,Perdu
CNT0000155,CLI012,CAM00144,Email,2023-05-25,Mali,Nouveau client,2,81252,2024-02-05,Perdu
CNT0000156,CLI025,CAM00354,SMS,2023-06-26,Côte d'Ivoire,Client actif,0,0,,Perdu
CNT0000157,CLI012,CAM00129,Facebook,2022-09-04,Cameroun,Nouveau client,4,210776,2023-03-18,Actif
CNT0000158,CLI016,CAM00206,SMS,2022-11-05,Burkina Faso,Client actif,4,101560,2023-06-02,Actif
CNT0000159,CLI012,CAM00144,Email,2023-06-08,Mali,Nouveau client,7,245357,2023-09-19,Actif
CNT0000160,CLI017,CAM00225,Email,2024-01-18,Burkina Faso,Prospect,0,0,,Inactif
CNT0000161,CLI016,CAM00201,SMS,2023-07-01,Burkina Faso,Prospect,6,219876,2023-08-24,Inactif
CNT0000162,CLI017,CAM00249,Google,2023-05-22,Cameroun,Nouveau client,8,84816,2023-09-20,Inactif
CNT0000163,CLI016,CAM00214,Email,2022-11-25,Côte d'Ivoire,Nouveau client,2,22888,2023-01-11,Actif
CNT0000164,CLI010,CAM00102,Email,2023-10-01,Cameroun,Client dormant,6,229440,2024-01-21,Perdu
CNT0000165,CLI018,CAM00266,Email,2022-10-06,Burkina Faso,Prospect,1,17561,2023-09-15,Actif
CNT0000166,CLI016,CAM00216,SMS,2022-06-12,Cameroun,Client actif,4,312828,2022-12-18,Actif
CNT0000167,CLI015,CAM00188,Email,2023-02-16,Sénégal,Nouveau client,0,0,,Actif
CNT0000168,CLI018,CAM00253,SMS,2023-03-02,Mali,Client actif,4,297668,2023-05-13,Actif
CNT0000169,CLI015,CAM00190,SMS,2023-10-05,Burkina Faso,Client actif,5,134460,2024-02-15,Actif
CNT0000170,CLI015,CAM00194,SMS,2023-01-21,Burkina Faso,Nouveau client,1,47950,2024-02-10,Perdu
CNT0000171,CLI012,CAM00144,Email,2023-05-31,Mali,Client actif,0,0,,Actif
CNT0000172,CLI016,CAM00208,Email,2023-10-07,Mali,Client actif,0,0,,Actif
CNT0000173,CLI011,CAM00120,SMS,2023-02-16,Mali,Prospect,0,0,,Perdu
CNT0000174,CLI010,CAM00107,Facebook,2023-04-27,Burkina Faso,Prospect,7,138019,2024-05-24,Perdu
CNT0000175,CLI018,CAM00259,Google,2023-11-20,Côte d'Ivoire,Client actif,7,276150,2024-05-13,Inactif
CNT0000176,CLI017,CAM00249,Google,2023-05-25,Cameroun,Nouveau client,8,168296,2023-05-30,Inactif
CNT0000177,CLI017,CAM00242,Email,2022-07-07,Sénégal,Prospect,5,262370,2022-09-01,Inactif
CNT0000178,CLI018,CAM00263,Google,2023-06-03,Mali,Nouveau client,5,30705,2024-03-08,Perdu
CNT0000179,CLI011,CAM00122,SMS,2023-10-11,Sénégal,Prospect,2,86684,2024-04-19,Actif
CNT0000180,CLI010,CAM00102,Email,2023-09-30,Cameroun,Nouveau client,5,339080,2024-08-05,Inactif
CNT0000181,CLI018,CAM00265,Email,2023-02-03,Côte d'Ivoire,Client dormant,0,0,,Inactif
CNT0000182,CLI017,CAM00225,Email,2024-01-22,Burkina Faso,Nouveau client,0,0,,Perdu
CNT0000183,CLI010,CAM00110,SMS,2022-07-25,Mali,Prospect,6,187614,2022-10-23,Inactif
CNT0000184,CLI010,CAM00103,SMS,2024-05-12,Cameroun,Client dormant,6,237978,2024-12-22,Inactif
CNT0000185,CLI023,CAM00342,Email,2022-09-13,Ghana,Client actif,8,84560,2022-10-01,Inactif
CNT0000186,CLI012,CAM00137,SMS,2024-04-12,Sénégal,Client actif,8,387304,2024-07-21,Perdu
CNT0000187,CLI013,CAM00153,Email,2023-08-25,Burkina Faso,Prospect,4,240436,2024-08-22,Perdu
CNT0000188,CLI008,CAM00075,Email,2022-07-06,Sénégal,Client dormant,5,136200,2023-02-24,Perdu
CNT0000189,CLI018,CAM00265,Email,2023-02-07,Côte d'Ivoire,Client actif,0,0,,Actif
CNT0000190,CLI015,CAM00197,Email,2024-01-04,Burkina Faso,Prospect,6,279786,2024-07-29,Actif
CNT0000191,CLI015,CAM00195,SMS,2023-07-31,Ghana,Client dormant,2,112580,2024-04-20,Actif
CNT0000192,CLI016,CAM00206,SMS,2022-11-04,Burkina Faso,Prospect,4,160496,2022-11-20,Perdu
CNT0000193,CLI016,CAM00213,SMS,2023-09-28,Burkina Faso,Client dormant,6,416232,2024-07-14,Perdu
CNT0000194,CLI018,CAM00254,Facebook,2024-04-27,Burkina Faso,Nouveau client,6,369450,2025-03-12,Inactif
CNT0000195,CLI010,CAM00102,Email,2023-10-08,Cameroun,Client actif,5,169740,2024-07-16,Actif
CNT0000196,CLI010,CAM00103,SMS,2024-05-06,Cameroun,Client dormant,7,98042,2025-02-20,Actif
CNT0000197,CLI015,CAM00195,SMS,2023-08-06,Ghana,Client actif,2,15072,2024-06-24,Perdu
CNT0000198,CLI016,CAM00214,Email,2022-11-25,Côte d'Ivoire,Client dormant,7,307538,2023-05-28,Perdu
CNT0000199,CLI010,CAM00109,Email,2023-04-26,Sénégal,Nouveau client,2,108558,2023-09-01,Inactif
CNT0000200,CLI017,CAM00242,Email,2022-07-05,Sénégal,Prospect,7,442778,2022-08-18,Perdu
CNT0000201,CLI010,CAM00091,SMS,2024-01-06,Cameroun,Client actif,8,161368,2024-10-15,Actif
CNT0000202,CLI015,CAM00193,SMS,2023-10-23,Burkina Faso,Client actif,4,40600,2024-01-16,Perdu
CNT0000203,CLI016,CAM00205,Email,2022-12-16,Burkina Faso,Client actif,4,154924,2023-01-11,Actif
CNT0000204,CLI020,CAM00293,Email,2022-09-02,Ghana,Nouveau client,0,0,,Inactif
CNT0000205,CLI017,CAM00231,Email,2023-03-24,Burkina Faso,Client actif,6,81888,2024-01-05,Perdu
CNT0000206,CLI018,CAM00265,Email,2023-02-07,Côte d'Ivoire,Client actif,0,0,,Actif
CNT0000207,CLI016,CAM00216,SMS,2022-06-19,Cameroun,Prospect,1,72071,2023-03-22,Actif
CNT0000208,CLI006,CAM00054,Email,2023-06-01,Burkina Faso,Nouveau client,2,108816,2023-08-17,Inactif
CNT0000209,CLI017,CAM00246,SMS,2023-08-03,Côte d'Ivoire,Nouveau client,4,286760,2024-01-22,Inactif
CNT0000210,CLI016,CAM00214,Email,2022-11-11,Côte d'Ivoire,Client actif,8,364400,2023-10-25,Inactif
CNT0000211,CLI015,CAM00183,Email,2022-09-30,Mali,Nouveau client,8,548672,2023-10-18,Inactif
CNT0000212,CLI017,CAM00233,Google,2023-07-25,Ghana,Client actif,3,131334,2023-08-18,Actif
CNT0000213,CLI016,CAM00201,SMS,2023-07-03,Burkina Faso,Client dormant,6,389724,2024-06-17,Inactif
CNT0000214,CLI012,CAM00137,SMS,2024-04-29,Sénégal,Prospect,1,61212,2024-06-02,Perdu
CNT0000215,CLI010,CAM00099,SMS,2022-11-24,Côte d'Ivoire,Client actif,3,70017,2023-09-11,Actif
CNT0000216,CLI017,CAM00226,SMS,2023-03-12,Mali,Nouveau client,7,262157,2023-06-24,Actif
CNT0000217,CLI023,CAM00339,SMS,2022-06-25,Sénégal,Nouveau client,6,165570,2023-07-11,Actif
CNT0000218,CLI015,CAM00182,SMS,2023-12-25,Burkina Faso,Nouveau client,6,77424,2023-12-27,Inactif
CNT0000219,CLI012,CAM00139,Email,2023-05-21,Cameroun,Prospect,1,30008,2023-07-04,Perdu
CNT0000220,CLI015,CAM00184,SMS,2023-10-17,Côte d'Ivoire,Prospect,6,224250,2024-03-16,Actif
CNT0000221,CLI017,CAM00246,SMS,2023-08-17,Côte d'Ivoire,Prospect,5,208365,2024-09-10,Perdu
CNT0000222,CLI015,CAM00195,SMS,2023-08-02,Ghana,Prospect,5,279280,2024-01-26,Perdu
CNT0000223,CLI018,CAM00266,Email,2022-10-02,Burkina Faso,Client actif,8,114744,2022-11-27,Inactif
CNT0000224,CLI018,CAM00265,Email,2023-02-02,Côte d'Ivoire,Nouveau client,0,0,,Perdu
CNT0000225,CLI015,CAM00197,Email,2024-01-13,Burkina Faso,Prospect,1,53921,2024-01-20,Perdu
CNT0000226,CLI012,CAM00140,Email,2024-01-05,Ghana,Client dormant,2,85520,2024-11-24,Perdu
CNT0000227,CLI013,CAM00156,Google,2023-11-01,Burkina Faso,Client dormant,5,250870,2024-02-17,Perdu
CNT0000228,CLI007,CAM00059,SMS,2023-02-12,Sénégal,Prospect,6,152964,2023-12-27,Perdu
CNT0000229,CLI010,CAM00109,Email,2023-05-22,Sénégal,Client dormant,5,207290,2024-04-16,Actif
CNT0000230,CLI007,CAM00061,SMS,2023-10-02,Côte d'Ivoire,Client actif,4,273132,2024-11-03,Perdu
CNT0000231,CLI015,CAM00190,SMS,2023-10-17,Burkina Faso,Prospect,1,38670,2023-12-17,Actif
CNT0000232,CLI017,CAM00231,Email,2023-03-03,Burkina Faso,Nouveau client,3,232872,2023-12-24,Actif
CNT0000233,CLI017,CAM00235,Email,2023-09-03,Côte d'Ivoire,Prospect,6,434748,2024-09-04,Perdu
CNT0000234,CLI015,CAM00176,Email,2022-12-10,Burkina Faso,Prospect,1,28179,2023-06-19,Inactif
CNT0000235,CLI017,CAM00225,Email,2024-01-09,Burkina Faso,Client dormant,2,69654,2024-12-24,Actif
CNT0000236,CLI012,CAM00143,Email,2023-01-05,Burkina Faso,Client actif,6,433770,2023-12-29,Perdu
CNT0000237,CLI017,CAM00231,Email,2023-03-25,Burkina Faso,Nouveau client,2,134456,2023-08-27,Inactif
CNT0000238,CLI017,CAM00231,Email,2023-03-15,Burkina Faso,Nouveau client,5,325295,2023-08-17,Actif
CNT0000239,CLI010,CAM00103,SMS,2024-05-04,Cameroun,Client dormant,5,205865,2024-06-20,Actif
CNT0000240,CLI016,CAM00214,Email,2022-11-26,Côte d'Ivoire,Nouveau client,8,544984,2023-08-27,Inactif
CNT0000241,CLI012,CAM00144,Email,2023-05-31,Mali,Client actif,4,81360,2024-05-29,Perdu
