perf_id,campagne_id,date_perf,canal,impressions,clics,depenses_fcfa,conversions,revenu_genere_fcfa,ctr,cpc_fcfa,cpa_fcfa,roas,taux_conversion,jour_campagne
PRF0000091,CAM00003,2023-06-01,Facebook,1778,9,1459,0,1621,0.0056,162.1,,1.112,0.0,30
PRF0000092,CAM00003,2023-06-02,Facebook,1236,7,1292,0,1558,0.0057,184.6,,1.206,0.0,31
PRF0000093,CAM00003,2023-06-03,Facebook,3348,11,1878,0,3053,0.0036,170.7,,1.626,0.0,32
PRF0000094,CAM00004,2024-03-27,Facebook,2315,14,2364,0,2862,0.0061,168.9,,1.211,0.0,1
PRF0000095,CAM00004,2024-03-28,Facebook,1448,16,2162,0,3385,0.0111,135.1,,1.566,0.0,2
PRF0000096,CAM00004,2024-03-29,Facebook,1494,12,1765,0,3283,0.0081,147.1,,1.86,0.0,3
PRF0000097,CAM00004,2024-03-30,Facebook,2529,22,3203,0,2683,0.0088,145.6,,0.838,0.0,4
PRF0000098,CAM00004,2024-03-31,Facebook,2942,21,3054,0,2999,0.0074,145.4,,0.982,0.0,5
PRF0000099,CAM00004,2024-04-01,Facebook,1565,20,3005,0,1855,0.013,150.2,,0.617,0.0,6
PRF0000100,CAM00004,2024-04-02,Facebook,3093,17,2727,0,1575,0.0057,160.4,,0.578,0.0,7
PRF0000101,CAM00004,2024-04-03,Facebook,1683,15,2396,0,4332,0.0093,159.7,,1.808,0.0,8
PRF0000102,CAM00004,2024-04-04,Facebook,1799,12,1744,0,2564,0.0068,145.3,,1.471,0.0,9
PRF0000103,CAM00004,2024-04-05,Facebook,1749,22,3226,0,5535,0.0127,146.6,,1.716,0.0,10
PRF0000104,CAM00004,2024-04-06,Facebook,1815,13,2071,0,1968,0.0075,159.3,,0.95,0.0,11
PRF0000105,CAM00004,2024-04-07,Facebook,1802,19,2899,0,2988,0.0107,152.6,,1.031,0.0,12
PRF0000106,CAM00004,2024-04-08,Facebook,1278,12,2077,0,1914,0.0099,173.1,,0.922,0.0,13
PRF0000107,CAM00004,2024-04-09,Facebook,1135,15,2601,0,3337,0.0134,173.4,,1.283,0.0,14
PRF0000108,CAM00004,2024-04-10,Facebook,1484,12,1915,0,1716,0.0085,159.6,,0.896,0.0,15
PRF0000109,CAM00004,2024-04-11,Facebook,2098,18,2824,0,2744,0.0086,156.9,,0.972,0.0,16
PRF0000110,CAM00004,2024-04-12,Facebook,1170,11,1919,0,2561,0.0102,174.5,,1.335,0.0,17
PRF0000111,CAM00004,2024-04-13,Facebook,2324,20,3374,0,4032,0.0089,168.7,,1.195,0.0,18
PRF0000112,CAM00004,2024-04-14,Facebook,1488,14,1894,0,3030,0.01,135.3,,1.6,0.0,19
PRF0000113,CAM00004,2024-04-15,Facebook,3516,19,2782,0,2634,0.0055,146.4,,0.947,0.0,20
PRF0000114,CAM00004,2024-04-16,Facebook,2143,17,2918,0,5035,0.0083,171.6,,1.726,0.0,21
PRF0000115,CAM00005,2023-03-27,Facebook,1023,22,4072,0,9151,0.0219,185.1,,2.247,0.0,1
PRF0000116,CAM00005,2023-03-28,Facebook,800,22,2947,0,6902,0.0276,134.0,,2.342,0.0,2
PRF0000117,CAM00005,2023-03-29,Facebook,1368,25,4033,0,13576,0.019,161.3,,3.366,0.0,3
PRF0000118,CAM00005,2023-03-30,Facebook,874,24,3195,0,9324,0.0283,133.1,,2.919,0.0,4
PRF0000119,CAM00005,2023-03-31,Facebook,491,13,2486,0,8434,0.0278,191.2,,3.393,0.0,5
PRF0000120,CAM00005,2023-04-01,Facebook,1274,24,4059,0,14353,0.0192,169.1,,3.536,0.0,6
PRF0000121,CAM00005,2023-04-02,Facebook,584,12,1973,0,4645,0.0217,164.4,,2.354,0.0,7
PRF0000122,CAM00005,2023-04-03,Facebook,808,20,3416,0,9175,0.0257,170.8,,2.686,0.0,8
PRF0000123,CAM00005,2023-04-04,Facebook,1516,28,3820,0,10033,0.0187,136.4,,2.627,0.0,9
PRF0000124,CAM00005,2023-04-05,Facebook,597,18,3180,0,7152,0.0316,176.7,,2.249,0.0,10
PRF0000125,CAM00005,2023-04-06,Facebook,717,15,2133,0,4501,0.0221,142.2,,2.11,0.0,11
PRF0000126,CAM00005,2023-04-07,Facebook,658,21,3192,0,9788,0.0319,152.0,,3.067,0.0,12
PRF0000127,CAM00005,2023-04-08,Facebook,662,16,2502,0,8308,0.0245,156.4,,3.321,0.0,13
PRF0000128,CAM00005,2023-04-09,Facebook,538,17,3199,0,11136,0.0321,188.2,,3.481,0.0,14
PRF0000129,CAM00005,2023-04-10,Facebook,454,12,2323,0,7990,0.0275,193.6,,3.44,0.0,15
PRF0000130,CAM00005,2023-04-11,Facebook,718,20,3595,0,13959,0.029,179.8,,3.883,0.0,16
PRF0000131,CAM00005,2023-04-12,Facebook,880,19,3012,0,13470,0.0222,158.5,,4.472,0.0,17
PRF0000132,CAM00005,2023-04-13,Facebook,784,22,3713,0,11098,0.0293,168.8,,2.989,0.0,18
PRF0000133,CAM00005,2023-04-14,Facebook,864,14,2028,0,6507,0.0167,144.9,,3.209,0.0,19
PRF0000134,CAM00005,2023-04-15,Facebook,673,16,2730,0,5956,0.0243,170.6,,2.182,0.0,20
PRF0000135,CAM00005,2023-04-16,Facebook,465,10,2055,0,8299,0.0236,205.5,,4.039,0.0,21
PRF0000136,CAM00005,2023-04-17,Facebook,1439,26,3843,0,12553,0.0187,147.8,,3.266,0.0,22
PRF0000137,CAM00005,2023-04-18,Facebook,953,16,2963,0,7801,0.0177,185.2,,2.633,0.0,23
PRF0000138,CAM00005,2023-04-19,Facebook,783,17,2463,0,5006,0.0221,144.9,,2.033,0.0,24
PRF0000139,CAM00005,2023-04-20,Facebook,1232,23,3677,0,7333,0.0191,159.9,,1.994,0.0,25
PRF0000140,CAM00005,2023-04-21,Facebook,830,16,2313,0,10053,0.0197,144.6,,4.347,0.0,26
PRF0000141,CAM00005,2023-04-22,Facebook,704,13,2145,0,8017,0.0196,165.0,,3.738,0.0,27
PRF0000142,CAM00005,2023-04-23,Facebook,1205,17,2925,0,6799,0.0142,172.1,,2.324,0.0,28
PRF0000143,CAM00005,2023-04-24,Facebook,1490,23,3203,0,6841,0.0159,139.3,,2.136,0.0,29
PRF0000144,CAM00005,2023-04-25,Facebook,1734,20,3808,0,10027,0.0117,190.4,,2.633,0.0,30
PRF0000145,CAM00005,2023-04-26,Facebook,1664,26,3503,0,12691,0.0161,134.7,,3.623,0.0,31
PRF0000146,CAM00005,2023-04-27,Facebook,1386,18,2840,0,11026,0.013,157.8,,3.882,0.0,32
PRF0000147,CAM00005,2023-04-28,Facebook,1551,25,3994,1,10231,0.0164,159.8,3994.0,2.562,0.04,33
PRF0000148,CAM00005,2023-04-29,Facebook,1639,25,3454,0,12546,0.0158,138.2,,3.632,0.0,34
PRF0000149,CAM00005,2023-04-30,Facebook,2168,28,4108,0,13251,0.0131,146.7,,3.226,0.0,35
PRF0000150,CAM00005,2023-05-01,Facebook,1535,25,3844,0,12629,0.0164,153.8,,3.285,0.0,36
PRF0000151,CAM00005,2023-05-02,Facebook,1865,23,3495,0,8209,0.0123,152.0,,2.349,0.0,37
PRF0000152,CAM00005,2023-05-03,Facebook,2649,31,4080,1,14678,0.0117,131.6,4080.0,3.598,0.0323,38
PRF0000153,CAM00005,2023-05-04,Facebook,1534,25,3582,0,7638,0.0164,143.3,,2.132,0.0,39
PRF0000154,CAM00005,2023-05-05,Facebook,1269,22,3966,0,12110,0.0175,180.3,,3.054,0.0,40
PRF0000155,CAM00005,2023-05-06,Facebook,1551,25,3284,0,12179,0.0164,131.4,,3.709,0.0,41
PRF0000156,CAM00005,2023-05-07,Facebook,687,10,1889,0,5486,0.0157,188.9,,2.905,0.0,42
PRF0000157,CAM00006,2023-10-23,SMS,6204,268,6836,11,19910,0.0433,25.5,621.5,2.913,0.041,1
PRF0000158,CAM00006,2023-10-24,SMS,5027,275,8935,14,43517,0.0547,32.5,638.2,4.87,0.0509,2
PRF0000159,CAM00006,2023-10-25,SMS,5554,235,6438,6,25240,0.0425,27.4,1073.0,3.921,0.0255,3
PRF0000160,CAM00006,2023-10-26,SMS,5581,260,7243,9,42783,0.0467,27.9,804.8,5.907,0.0346,4
PRF0000161,CAM00006,2023-10-27,SMS,5547,333,9781,9,53775,0.06,29.4,1086.8,5.498,0.027,5
PRF0000162,CAM00006,2023-10-28,SMS,4060,235,7679,12,37730,0.058,32.7,639.9,4.913,0.0511,6
PRF0000163,CAM00006,2023-10-29,SMS,5643,207,6559,7,32366,0.0368,31.7,937.0,4.935,0.0338,7
PRF0000164,CAM00006,2023-10-30,SMS,2671,165,4827,5,25429,0.062,29.3,965.4,5.268,0.0303,8
PRF0000165,CAM00006,2023-10-31,SMS,8638,316,9686,12,38226,0.0367,30.7,807.2,3.947,0.038,9
PRF0000166,CAM00006,2023-11-01,SMS,3788,144,5407,4,20450,0.0382,37.5,1351.8,3.782,0.0278,10
PRF0000167,CAM00006,2023-11-02,SMS,5521,292,9069,12,46129,0.0529,31.1,755.8,5.086,0.0411,11
PRF0000168,CAM00006,2023-11-03,SMS,5277,204,5195,9,15157,0.0387,25.5,577.2,2.918,0.0441,12
PRF0000169,CAM00006,2023-11-04,SMS,5626,328,9587,7,55306,0.0584,29.2,1369.6,5.769,0.0213,13
PRF0000170,CAM00006,2023-11-05,SMS,4547,230,6073,8,21388,0.0508,26.4,759.1,3.522,0.0348,14
PRF0000171,CAM00006,2023-11-06,SMS,5422,184,4993,9,15008,0.034,27.1,554.8,3.006,0.0489,15
PRF0000172,CAM00006,2023-11-07,SMS,3407,204,7186,10,38806,0.0601,35.2,718.6,5.4,0.049,16
PRF0000173,CAM00006,2023-11-08,SMS,5939,201,6105,4,35393,0.0339,30.4,1526.2,5.797,0.0199,17
PRF0000174,CAM00006,2023-11-09,SMS,5618,260,7813,6,43139,0.0463,30.1,1302.2,5.521,0.0231,18
PRF0000175,CAM00006,2023-11-10,SMS,5939,174,6228,5,30562,0.0294,35.8,1245.6,4.907,0.0287,19
PRF0000176,CAM00006,2023-11-11,SMS,9891,345,9202,11,37009,0.0349,26.7,836.5,4.022,0.0319,20
PRF0000177,CAM00006,2023-11-12,SMS,6800,191,5871,6,21552,0.0282,30.7,978.5,3.671,0.0314,21
PRF0000178,CAM00006,2023-11-13,SMS,8911,298,8598,10,39550,0.0335,28.9,859.8,4.6,0.0336,22
PRF0000179,CAM00007,2024-01-23,Email,1485,95,3938,6,21408,0.0646,41.5,656.3,5.436,0.0632,1
PRF0000180,CAM00007,2024-01-24,Email,1392,91,3811,3,16622,0.066,41.9,1270.3,4.362,0.033,2
PRF0000181,CAM00007,2024-01-25,Email,1254,73,3218,3,13063,0.0582,44.1,1072.7,4.059,0.0411,3
PRF0000182,CAM00007,2024-01-26,Email,945,47,2188,3,8612,0.0501,46.6,729.3,3.936,0.0638,4
PRF0000183,CAM00007,2024-01-27,Email,882,47,1863,4,10093,0.0537,39.6,465.8,5.418,0.0851,5
PRF0000184,CAM00007,2024-01-28,Email,1526,104,4229,6,20941,0.0686,40.7,704.8,4.952,0.0577,6
PRF0000185,CAM00007,2024-01-29,Email,1250,66,2888,4,18593,0.053,43.8,722.0,6.438,0.0606,7
PRF0000186,CAM00007,2024-01-30,Email,749,50,2830,4,16002,0.0675,56.6,707.5,5.655,0.08,8
PRF0000187,CAM00007,2024-01-31,Email,2015,86,4214,8,18133,0.043,49.0,526.8,4.303,0.093,9
PRF0000188,CAM00007,2024-02-01,Email,1418,79,4021,5,14720,0.0558,50.9,804.2,3.661,0.0633,10
PRF0000189,CAM00007,2024-02-02,Email,915,65,2703,4,20132,0.0711,41.6,675.8,7.448,0.0615,11
PRF0000190,CAM00007,2024-02-03,Email,1314,75,2888,5,22935,0.0572,38.5,577.6,7.942,0.0667,12
PRF0000191,CAM00007,2024-02-04,Email,1676,96,3914,4,14812,0.0573,40.8,978.5,3.784,0.0417,13
PRF0000192,CAM00007,2024-02-05,Email,956,62,3181,5,18149,0.0656,51.3,636.2,5.706,0.0806,14
PRF0000193,CAM00007,2024-02-06,Email,841,41,1992,2,12273,0.0489,48.6,996.0,6.161,0.0488,15
PRF0000194,CAM00007,2024-02-07,Email,1499,104,4109,9,17396,0.0698,39.5,456.6,4.234,0.0865,16
PRF0000195,CAM00007,2024-02-08,Email,1043,55,2678,3,15830,0.0535,48.7,892.7,5.911,0.0545,17
PRF0000196,CAM00007,2024-02-09,Email,908,59,2900,5,22528,0.0653,49.2,580.0,7.768,0.0847,18
PRF0000197,CAM00007,2024-02-10,Email,1053,44,1866,2,14305,0.0424,42.4,933.0,7.666,0.0455,19
PRF0000198,CAM00007,2024-02-11,Email,1077,58,2184,4,9310,0.0539,37.7,546.0,4.263,0.069,20
PRF0000199,CAM00008,2022-10-19,Facebook,723,19,2931,0,12485,0.027,154.3,,4.26,0.0,1
PRF0000200,CAM00008,2022-10-20,Facebook,1125,23,3008,0,7555,0.0206,130.8,,2.512,0.0,2
PRF0000201,CAM00008,2022-10-21,Facebook,1609,29,4040,1,13308,0.0185,139.3,4040.0,3.294,0.0345,3
PRF0000202,CAM00008,2022-10-22,Facebook,675,21,2686,0,5642,0.0318,127.9,,2.101,0.0,4
PRF0000203,CAM00008,2022-10-23,Facebook,600,19,2562,0,7312,0.0323,134.8,,2.854,0.0,5
PRF0000204,CAM00008,2022-10-24,Facebook,1473,30,4216,0,16828,0.0206,140.5,,3.992,0.0,6
PRF0000205,CAM00008,2022-10-25,Facebook,1670,30,4398,1,19121,0.018,146.6,4398.0,4.348,0.0333,7
PRF0000206,CAM00008,2022-10-26,Facebook,1157,22,3278,0,8232,0.0191,149.0,,2.511,0.0,8
PRF0000207,CAM00008,2022-10-27,Facebook,428,14,1984,0,4541,0.0336,141.7,,2.289,0.0,9
PRF0000208,CAM00008,2022-10-28,Facebook,942,30,4410,0,8887,0.0323,147.0,,2.015,0.0,10
PRF0000209,CAM00008,2022-10-29,Facebook,1120,34,4406,1,18191,0.0311,129.6,4406.0,4.129,0.0294,11
PRF0000210,CAM00008,2022-10-30,Facebook,806,18,2872,0,10929,0.0231,159.6,,3.806,0.0,12
PRF0000211,CAM00008,2022-10-31,Facebook,963,25,3672,0,13740,0.026,146.9,,3.742,0.0,13
PRF0000212,CAM00008,2022-11-01,Facebook,1187,32,4333,0,15759,0.0274,135.4,,3.637,0.0,14
PRF0000213,CAM00008,2022-11-02,Facebook,558,15,2982,0,7180,0.0285,198.8,,2.408,0.0,15
PRF0000214,CAM00008,2022-11-03,Facebook,1048,26,3837,0,14973,0.025,147.6,,3.902,0.0,16
PRF0000215,CAM00008,2022-11-04,Facebook,854,17,2463,0,8622,0.0203,144.9,,3.501,0.0,17
PRF0000216,CAM00008,2022-11-05,Facebook,634,14,2257,0,4866,0.0223,161.2,,2.156,0.0,18
PRF0000217,CAM00008,2022-11-06,Facebook,856,20,2826,0,11390,0.0235,141.3,,4.031,0.0,19
PRF0000218,CAM00008,2022-11-07,Facebook,1520,28,3910,0,9729,0.0185,139.6,,2.488,0.0,20
PRF0000219,CAM00008,2022-11-08,Facebook,795,18,2908,0,6052,0.0238,161.6,,2.081,0.0,21
PRF0000220,CAM00008,2022-11-09,Facebook,1300,19,3091,0,12926,0.0149,162.7,,4.182,0.0,22
PRF0000221,CAM00008,2022-11-10,Facebook,976,21,2974,0,10161,0.0224,141.6,,3.417,0.0,23
PRF0000222,CAM00008,2022-11-11,Facebook,816,13,2578,0,5269,0.017,198.3,,2.044,0.0,24
PRF0000223,CAM00008,2022-11-12,Facebook,1244,15,2672,0,11215,0.0124,178.1,,4.198,0.0,25
PRF0000224,CAM00008,2022-11-13,Facebook,837,17,2180,0,6129,0.0207,128.2,,2.812,0.0,26
PRF0000225,CAM00008,2022-11-14,Facebook,1745,30,4343,0,15665,0.0173,144.8,,3.607,0.0,27
PRF0000226,CAM00008,2022-11-15,Facebook,1983,20,3130,0,13820,0.0101,156.5,,4.415,0.0,28
PRF0000227,CAM00008,2022-11-16,Facebook,1205,21,3447,0,12494,0.0175,164.1,,3.625,0.0,29
PRF0000228,CAM00008,2022-11-17,Facebook,1004,12,2235,0,7145,0.0122,186.2,,3.197,0.0,30
PRF0000229,CAM00008,2022-11-18,Facebook,1384,13,1992,0,7042,0.0095,153.2,,3.535,0.0,31
PRF0000230,CAM00009,2023-10-14,Email,1700,82,4101,5,19269,0.0486,50.0,820.2,4.699,0.061,1
PRF0000231,CAM00009,2023-10-15,Email,1530,82,3597,7,13677,0.0537,43.9,513.9,3.803,0.0854,2
PRF0000232,CAM00009,2023-10-16,Email,1309,80,3080,6,24755,0.0611,38.5,513.3,8.038,0.075,3
PRF0000233,CAM00009,2023-10-17,Email,1606,117,5730,4,42776,0.073,49.0,1432.5,7.465,0.0342,4
PRF0000234,CAM00009,2023-10-18,Email,2019,135,5398,11,41556,0.067,40.0,490.7,7.698,0.0815,5
PRF0000235,CAM00009,2023-10-19,Email,2169,112,4463,9,21647,0.0518,39.8,495.9,4.851,0.0804,6
PRF0000236,CAM00009,2023-10-20,Email,2036,124,4711,4,39182,0.061,38.0,1177.8,8.317,0.0323,7
PRF0000237,CAM00009,2023-10-21,Email,1925,133,5658,11,36483,0.0695,42.5,514.4,6.448,0.0827,8
PRF0000238,CAM00009,2023-10-22,Email,1153,82,3580,5,27547,0.0713,43.7,716.0,7.695,0.061,9
