ad_id,campaign_id,ad_group_name,headline_1,headline_2,description,quality_score,statut
AD00060,CAMP0012,Brand-Search-EdTech_AdGroup05,Brand - Solution Premium 5,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Paused
AD00061,CAMP0012,Brand-Search-EdTech_AdGroup06,Brand - Solution Premium 6,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00062,CAMP0013,Search-Formations_AdGroup01,Search - Solution Premium 1,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00063,CAMP0013,Search-Formations_AdGroup02,Search - Solution Premium 2,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Paused
AD00064,CAMP0013,Search-Formations_AdGroup03,Search - Solution Premium 3,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00065,CAMP0013,Search-Formations_AdGroup04,Search - Solution Premium 4,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
AD00066,CAMP0014,Video-YouTubeAwareness_AdGroup01,Video - Solution Premium 1,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00067,CAMP0014,Video-YouTubeAwareness_AdGroup02,Video - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00068,CAMP0014,Video-YouTubeAwareness_AdGroup03,Video - Solution Premium 3,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00069,CAMP0015,Display-LookAlike_AdGroup01,Display - Solution Premium 1,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00070,CAMP0015,Display-LookAlike_AdGroup02,Display - Solution Premium 2,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00071,CAMP0015,Display-LookAlike_AdGroup03,Display - Solution Premium 3,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00072,CAMP0015,Display-LookAlike_AdGroup04,Display - Solution Premium 4,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Paused
AD00073,CAMP0015,Display-LookAlike_AdGroup05,Display - Solution Premium 5,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00074,CAMP0016,PerfMax-Inscriptions_AdGroup01,PerfMax - Solution Premium 1,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00075,CAMP0016,PerfMax-Inscriptions_AdGroup02,PerfMax - Solution Premium 2,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00076,CAMP0016,PerfMax-Inscriptions_AdGroup03,PerfMax - Solution Premium 3,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00077,CAMP0016,PerfMax-Inscriptions_AdGroup04,PerfMax - Solution Premium 4,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00078,CAMP0016,PerfMax-Inscriptions_AdGroup05,PerfMax - Solution Premium 5,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00079,CAMP0017,Brand-Hotels-CI_AdGroup01,Brand - Solution Premium 1,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00080,CAMP0017,Brand-Hotels-CI_AdGroup02,Brand - Solution Premium 2,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00081,CAMP0017,Brand-Hotels-CI_AdGroup03,Brand - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00082,CAMP0017,Brand-Hotels-CI_AdGroup04,Brand - Solution Premium 4,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Paused
AD00083,CAMP0017,Brand-Hotels-CI_AdGroup05,Brand - Solution Premium 5,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00084,CAMP0017,Brand-Hotels-CI_AdGroup06,Brand - Solution Premium 6,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00085,CAMP0017,Brand-Hotels-CI_AdGroup07,Brand - Solution Premium 7,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Paused
AD00086,CAMP0017,Brand-Hotels-CI_AdGroup08,Brand - Solution Premium 8,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
AD00087,CAMP0018,Search-Destinations_AdGroup01,Search - Solution Premium 1,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00088,CAMP0018,Search-Destinations_AdGroup02,Search - Solution Premium 2,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00089,CAMP0018,Search-Destinations_AdGroup03,Search - Solution Premium 3,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00090,CAMP0018,Search-Destinations_AdGroup04,Search - Solution Premium 4,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00091,CAMP0019,Shopping-Packages_AdGroup01,Shopping - Solution Premium 1,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00092,CAMP0019,Shopping-Packages_AdGroup02,Shopping - Solution Premium 2,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00093,CAMP0019,Shopping-Packages_AdGroup03,Shopping - Solution Premium 3,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00094,CAMP0019,Shopping-Packages_AdGroup04,Shopping - Solution Premium 4,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Paused
AD00095,CAMP0020,PerfMax-Bookings_AdGroup01,PerfMax - Solution Premium 1,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00096,CAMP0020,PerfMax-Bookings_AdGroup02,PerfMax - Solution Premium 2,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00097,CAMP0020,PerfMax-Bookings_AdGroup03,PerfMax - Solution Premium 3,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00098,CAMP0021,Display-Retargeting_AdGroup01,Display - Solution Premium 1,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Paused
AD00099,CAMP0021,Display-Retargeting_AdGroup02,Display - Solution Premium 2,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00100,CAMP0021,Display-Retargeting_AdGroup03,Display - Solution Premium 3,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00101,CAMP0021,Display-Retargeting_AdGroup04,Display - Solution Premium 4,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00102,CAMP0022,Brand-MedSupply_AdGroup01,Brand - Solution Premium 1,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00103,CAMP0022,Brand-MedSupply_AdGroup02,Brand - Solution Premium 2,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00104,CAMP0022,Brand-MedSupply_AdGroup03,Brand - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00105,CAMP0022,Brand-MedSupply_AdGroup04,Brand - Solution Premium 4,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Paused
AD00106,CAMP0022,Brand-MedSupply_AdGroup05,Brand - Solution Premium 5,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
AD00107,CAMP0023,Search-MedicalEquip_AdGroup01,Search - Solution Premium 1,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00108,CAMP0023,Search-MedicalEquip_AdGroup02,Search - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00109,CAMP0023,Search-MedicalEquip_AdGroup03,Search - Solution Premium 3,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00110,CAMP0023,Search-MedicalEquip_AdGroup04,Search - Solution Premium 4,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00111,CAMP0023,Search-MedicalEquip_AdGroup05,Search - Solution Premium 5,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00112,CAMP0023,Search-MedicalEquip_AdGroup06,Search - Solution Premium 6,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00113,CAMP0023,Search-MedicalEquip_AdGroup07,Search - Solution Premium 7,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00114,CAMP0024,Display-HealthcareB2B_AdGroup01,Display - Solution Premium 1,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00115,CAMP0024,Display-HealthcareB2B_AdGroup02,Display - Solution Premium 2,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00116,CAMP0024,Display-HealthcareB2B_AdGroup03,Display - Solution Premium 3,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00117,CAMP0025,PerfMax-LeadGen_AdGroup01,PerfMax - Solution Premium 1,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00118,CAMP0025,PerfMax-LeadGen_AdGroup02,PerfMax - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00119,CAMP0025,PerfMax-LeadGen_AdGroup03,PerfMax - Solution Premium 3,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00120,CAMP0025,PerfMax-LeadGen_AdGroup04,PerfMax - Solution Premium 4,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00121,CAMP0025,PerfMax-LeadGen_AdGroup05,PerfMax - Solution Premium 5,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Paused
