evenement_id,livraison_id,type_evenement,date_evenement,localisation,commentaire,agent_id
EVT0000104,LIV011810,Départ entrepôt,2022-06-30 06:00,Dakar,,AGT015
EVT0000105,LIV011810,Passage frontière,2022-07-01 05:00,Bamako,,AGT021
EVT0000106,LIV001040,Prise en charge,2023-03-22 23:00,Ouagadougou,,AGT004
EVT0000107,LIV001040,Départ entrepôt,2023-03-23 11:00,Douala,,AGT004
EVT0000108,LIV002849,Prise en charge,2023-04-19 13:00,Douala,,AGT010
EVT0000109,LIV002849,Départ entrepôt,2023-04-20 06:00,Ouagadougou,,AGT011
EVT0000110,LIV003372,Prise en charge,2022-07-12 20:00,Bamako,,AGT016
EVT0000111,LIV003372,Départ entrepôt,2022-07-13 16:00,Frontière,,AGT002
EVT0000112,LIV003372,Passage frontière,2022-07-14 01:00,Ouagadougou,,AGT014
EVT0000113,LIV008830,Prise en charge,2022-12-30 01:00,Frontière,,AGT005
EVT0000114,LIV008830,Départ entrepôt,2022-12-30 21:00,Dakar,,AGT024
EVT0000115,LIV008830,Passage frontière,2023-01-01 05:00,Bamako,,AGT023
EVT0000116,LIV008830,Arrivée entrepôt transit,2023-01-02 12:00,Bamako,,AGT001
EVT0000117,LIV010350,Prise en charge,2022-04-12 08:00,Ouagadougou,,AGT005
EVT0000118,LIV010350,Départ entrepôt,2022-04-12 14:00,Frontière,,AGT012
EVT0000119,LIV008798,Prise en charge,2023-11-15 07:00,Dakar,,AGT002
EVT0000120,LIV008798,Départ entrepôt,2023-11-16 06:00,Douala,,AGT002
EVT0000121,LIV008798,Passage frontière,2023-11-17 08:00,Dakar,,AGT022
EVT0000122,LIV000765,Prise en charge,2022-06-29 02:00,Frontière,,AGT018
EVT0000123,LIV000765,Départ entrepôt,2022-06-30 08:00,Bamako,,AGT024
EVT0000124,LIV000765,Passage frontière,2022-06-30 21:00,Dakar,,AGT006
EVT0000125,LIV001594,Prise en charge,2022-12-25 06:00,Abidjan,,AGT006
EVT0000126,LIV001594,Départ entrepôt,2022-12-26 07:00,Frontière,,AGT014
EVT0000127,LIV001594,Passage frontière,2022-12-27 02:00,Douala,,AGT006
EVT0000128,LIV014233,Prise en charge,2022-06-01 04:00,Frontière,,AGT002
EVT0000129,LIV014233,Départ entrepôt,2022-06-02 14:00,Dakar,,AGT007
EVT0000130,LIV005873,Prise en charge,2022-05-13 02:00,Douala,,AGT008
EVT0000131,LIV005873,Départ entrepôt,2022-05-13 20:00,Abidjan,,AGT022
EVT0000132,LIV005873,Passage frontière,2022-05-14 12:00,Accra,,AGT011
EVT0000133,LIV005873,Arrivée entrepôt transit,2022-05-15 09:00,Frontière,,AGT003
EVT0000134,LIV005873,Départ entrepôt transit,2022-05-16 06:00,Douala,,AGT021
EVT0000135,LIV009941,Prise en charge,2022-08-14 01:00,Abidjan,,AGT004
EVT0000136,LIV009941,Départ entrepôt,2022-08-14 21:00,Dakar,,AGT019
EVT0000137,LIV009941,Passage frontière,2022-08-15 17:00,Abidjan,,AGT004
EVT0000138,LIV009941,Arrivée entrepôt transit,2022-08-17 00:00,Douala,,AGT024
EVT0000139,LIV009941,Départ entrepôt transit,2022-08-18 00:00,Accra,,AGT020
EVT0000140,LIV005170,Prise en charge,2023-03-15 16:00,Douala,,AGT002
EVT0000141,LIV005170,Départ entrepôt,2023-03-16 23:00,Abidjan,,AGT017
EVT0000142,LIV010910,Prise en charge,2022-01-26 03:00,Accra,,AGT003
EVT0000143,LIV010910,Départ entrepôt,2022-01-27 04:00,Bamako,,AGT011
EVT0000144,LIV010910,Passage frontière,2022-01-27 15:00,Ouagadougou,,AGT010
EVT0000145,LIV004123,Prise en charge,2022-01-27 00:00,Accra,,AGT023
EVT0000146,LIV004123,Départ entrepôt,2022-01-27 22:00,Bamako,,AGT005
EVT0000147,LIV004123,Passage frontière,2022-01-28 14:00,Accra,,AGT022
EVT0000148,LIV004123,Arrivée entrepôt transit,2022-01-29 18:00,Ouagadougou,,AGT024
EVT0000149,LIV012949,Prise en charge,2023-08-14 23:00,Accra,,AGT018
EVT0000150,LIV012949,Départ entrepôt,2023-08-15 03:00,Douala,,AGT010
EVT0000151,LIV012949,Passage frontière,2023-08-15 20:00,Accra,,AGT019
EVT0000152,LIV014483,Prise en charge,2022-02-18 08:00,Ouagadougou,,AGT007
EVT0000153,LIV014483,Départ entrepôt,2022-02-19 20:00,Accra,,AGT024
EVT0000154,LIV014483,Passage frontière,2022-02-20 10:00,Ouagadougou,,AGT003
EVT0000155,LIV014483,Arrivée entrepôt transit,2022-02-21 08:00,Bamako,,AGT022
EVT0000156,LIV000150,Prise en charge,2023-10-29 19:00,Ouagadougou,,AGT010
EVT0000157,LIV000150,Départ entrepôt,2023-10-30 13:00,Frontière,,AGT007
EVT0000158,LIV000150,Passage frontière,2023-10-31 02:00,Abidjan,,AGT002
EVT0000159,LIV000150,Arrivée entrepôt transit,2023-10-31 21:00,Accra,,AGT020
EVT0000160,LIV011737,Prise en charge,2022-11-17 16:00,Ouagadougou,,AGT023
EVT0000161,LIV011737,Départ entrepôt,2022-11-18 20:00,Accra,,AGT013
EVT0000162,LIV000388,Prise en charge,2022-06-01 13:00,Ouagadougou,,AGT023
EVT0000163,LIV000388,Départ entrepôt,2022-06-01 17:00,Frontière,,AGT025
EVT0000164,LIV000388,Passage frontière,2022-06-02 03:00,Frontière,,AGT014
EVT0000165,LIV003947,Prise en charge,2022-10-23 15:00,Frontière,,AGT023
EVT0000166,LIV003947,Départ entrepôt,2022-10-25 00:00,Abidjan,,AGT018
EVT0000167,LIV003947,Passage frontière,2022-10-25 19:00,Frontière,,AGT004
EVT0000168,LIV013403,Prise en charge,2023-10-06 12:00,Frontière,,AGT015
EVT0000169,LIV013403,Départ entrepôt,2023-10-07 12:00,Frontière,,AGT015
EVT0000170,LIV013403,Passage frontière,2023-10-09 00:00,Accra,,AGT018
EVT0000171,LIV013403,Arrivée entrepôt transit,2023-10-10 08:00,Dakar,,AGT024
EVT0000172,LIV013403,Départ entrepôt transit,2023-10-11 18:00,Accra,,AGT009
EVT0000173,LIV001374,Prise en charge,2023-02-04 21:00,Frontière,,AGT025
EVT0000174,LIV001374,Départ entrepôt,2023-02-06 08:00,Ouagadougou,,AGT008
EVT0000175,LIV001374,Passage frontière,2023-02-07 05:00,Accra,,AGT003
EVT0000176,LIV002885,Prise en charge,2022-06-04 01:00,Douala,,AGT018
EVT0000177,LIV002885,Départ entrepôt,2022-06-04 10:00,Dakar,,AGT005
EVT0000178,LIV002885,Passage frontière,2022-06-05 04:00,Accra,,AGT023
EVT0000179,LIV002885,Arrivée entrepôt transit,2022-06-05 17:00,Ouagadougou,,AGT007
EVT0000180,LIV014043,Prise en charge,2023-03-15 06:00,Accra,,AGT011
EVT0000181,LIV014043,Départ entrepôt,2023-03-16 15:00,Accra,,AGT002
EVT0000182,LIV011361,Prise en charge,2023-01-06 04:00,Frontière,,AGT019
EVT0000183,LIV011361,Départ entrepôt,2023-01-06 09:00,Frontière,,AGT025
EVT0000184,LIV011361,Passage frontière,2023-01-07 13:00,Accra,,AGT001
EVT0000185,LIV002992,Prise en charge,2022-05-23 04:00,Frontière,,AGT014
EVT0000186,LIV002992,Départ entrepôt,2022-05-23 22:00,Accra,,AGT008
EVT0000187,LIV002992,Passage frontière,2022-05-24 19:00,Accra,,AGT016
EVT0000188,LIV002992,Arrivée entrepôt transit,2022-05-25 00:00,Accra,,AGT011
EVT0000189,LIV011596,Prise en charge,2023-05-12 14:00,Frontière,,AGT015
EVT0000190,LIV011596,Départ entrepôt,2023-05-13 02:00,Bamako,,AGT018
EVT0000191,LIV011596,Passage frontière,2023-05-13 07:00,Accra,,AGT019
EVT0000192,LIV011596,Arrivée entrepôt transit,2023-05-13 12:00,Abidjan,,AGT021
EVT0000193,LIV011596,Départ entrepôt transit,2023-05-14 19:00,Dakar,,AGT015
EVT0000194,LIV010582,Prise en charge,2023-04-29 07:00,Douala,,AGT013
EVT0000195,LIV010582,Départ entrepôt,2023-04-30 07:00,Dakar,,AGT015
EVT0000196,LIV010582,Passage frontière,2023-05-01 07:00,Douala,,AGT025
EVT0000197,LIV014868,Prise en charge,2023-10-02 06:00,Douala,,AGT003
EVT0000198,LIV014868,Départ entrepôt,2023-10-03 16:00,Abidjan,,AGT024
EVT0000199,LIV014868,Passage frontière,2023-10-03 23:00,Douala,,AGT008
EVT0000200,LIV014868,Arrivée entrepôt transit,2023-10-04 07:00,Frontière,,AGT021
EVT0000201,LIV014868,Départ entrepôt transit,2023-10-04 13:00,Frontière,,AGT001
EVT0000202,LIV014425,Prise en charge,2023-05-28 16:00,Frontière,,AGT001
EVT0000203,LIV014425,Départ entrepôt,2023-05-29 05:00,Dakar,,AGT005
EVT0000204,LIV014425,Passage frontière,2023-05-30 15:00,Ouagadougou,,AGT004
EVT0000205,LIV003025,Prise en charge,2023-01-17 20:00,Frontière,,AGT012
EVT0000206,LIV003025,Départ entrepôt,2023-01-18 10:00,Bamako,,AGT020
EVT0000207,LIV003025,Passage frontière,2023-01-18 21:00,Frontière,,AGT006
EVT0000208,LIV000252,Prise en charge,2022-03-15 05:00,Douala,,AGT019
EVT0000209,LIV000252,Départ entrepôt,2022-03-16 09:00,Accra,,AGT023
EVT0000210,LIV000252,Passage frontière,2022-03-17 01:00,Abidjan,,AGT019
EVT0000211,LIV000252,Arrivée entrepôt transit,2022-03-17 20:00,Abidjan,,AGT023
EVT0000212,LIV012147,Prise en charge,2023-02-12 11:00,Frontière,,AGT019
EVT0000213,LIV012147,Départ entrepôt,2023-02-12 17:00,Douala,,AGT018
EVT0000214,LIV012147,Passage frontière,2023-02-14 00:00,Ouagadougou,,AGT012
EVT0000215,LIV012147,Arrivée entrepôt transit,2023-02-14 08:00,Bamako,,AGT021
EVT0000216,LIV011439,Prise en charge,2023-02-02 04:00,Frontière,,AGT014
EVT0000217,LIV011439,Départ entrepôt,2023-02-03 15:00,Abidjan,,AGT014
EVT0000218,LIV011439,Passage frontière,2023-02-04 18:00,Ouagadougou,,AGT015
EVT0000219,LIV011439,Arrivée entrepôt transit,2023-02-05 07:00,Accra,,AGT006
EVT0000220,LIV007093,Prise en charge,2022-06-20 10:00,Accra,,AGT014
EVT0000221,LIV007093,Départ entrepôt,2022-06-21 07:00,Douala,,AGT008
EVT0000222,LIV007093,Passage frontière,2022-06-21 16:00,Douala,,AGT015
EVT0000223,LIV007093,Arrivée entrepôt transit,2022-06-22 11:00,Frontière,,AGT015
EVT0000224,LIV000933,Prise en charge,2023-09-15 11:00,Frontière,,AGT011
EVT0000225,LIV000933,Départ entrepôt,2023-09-16 02:00,Accra,,AGT007
EVT0000226,LIV000933,Passage frontière,2023-09-17 04:00,Frontière,,AGT009
EVT0000227,LIV000933,Arrivée entrepôt transit,2023-09-18 05:00,Douala,,AGT020
EVT0000228,LIV000933,Départ entrepôt transit,2023-09-19 02:00,Bamako,,AGT001
EVT0000229,LIV007218,Prise en charge,2022-03-24 09:00,Dakar,,AGT024
EVT0000230,LIV007218,Départ entrepôt,2022-03-25 15:00,Accra,,AGT018
EVT0000231,LIV007218,Passage frontière,2022-03-26 10:00,Ouagadougou,,AGT016
EVT0000232,LIV003685,Prise en charge,2022-05-30 08:00,Frontière,,AGT001
EVT0000233,LIV003685,Départ entrepôt,2022-05-30 17:00,Douala,,AGT008
EVT0000234,LIV003685,Passage frontière,2022-05-31 22:00,Ouagadougou,,AGT008
EVT0000235,LIV003685,Arrivée entrepôt transit,2022-06-01 21:00,Ouagadougou,,AGT019
EVT0000236,LIV003685,Départ entrepôt transit,2022-06-03 00:00,Accra,,AGT018
EVT0000237,LIV008369,Prise en charge,2022-02-01 07:00,Ouagadougou,,AGT018
EVT0000238,LIV008369,Départ entrepôt,2022-02-02 08:00,Douala,,AGT023
EVT0000239,LIV008369,Passage frontière,2022-02-03 17:00,Douala,,AGT010
EVT0000240,LIV008369,Arrivée entrepôt transit,2022-02-04 13:00,Dakar,,AGT004
EVT0000241,LIV009479,Prise en charge,2022-06-30 15:00,Dakar,,AGT007
EVT0000242,LIV009479,Départ entrepôt,2022-07-02 01:00,Douala,,AGT024
EVT0000243,LIV009479,Passage frontière,2022-07-02 23:00,Abidjan,,AGT007
EVT0000244,LIV011725,Prise en charge,2023-09-06 18:00,Douala,,AGT006
EVT0000245,LIV011725,Départ entrepôt,2023-09-07 17:00,Abidjan,,AGT023
EVT0000246,LIV011725,Passage frontière,2023-09-08 05:00,Douala,,AGT002
EVT0000247,LIV011725,Arrivée entrepôt transit,2023-09-08 12:00,Bamako,,AGT010
EVT0000248,LIV007418,Prise en charge,2022-05-16 11:00,Abidjan,,AGT001
EVT0000249,LIV007418,Départ entrepôt,2022-05-17 09:00,Accra,,AGT016
EVT0000250,LIV007418,Passage frontière,2022-05-18 17:00,Douala,,AGT006
EVT0000251,LIV010505,Prise en charge,2022-06-17 20:00,Frontière,,AGT016
EVT0000252,LIV010505,Départ entrepôt,2022-06-18 07:00,Frontière,,AGT003
EVT0000253,LIV010516,Prise en charge,2023-05-21 11:00,Abidjan,,AGT019
EVT0000254,LIV010516,Départ entrepôt,2023-05-21 18:00,Dakar,,AGT005
EVT0000255,LIV010516,Passage frontière,2023-05-22 17:00,Abidjan,,AGT008
EVT0000256,LIV010516,Arrivée entrepôt transit,2023-05-23 04:00,Bamako,,AGT025
EVT0000257,LIV010516,Départ entrepôt transit,2023-05-24 10:00,Bamako,,AGT020
EVT0000258,LIV013510,Prise en charge,2023-07-11 04:00,Accra,,AGT015
EVT0000259,LIV013510,Départ entrepôt,2023-07-12 03:00,Frontière,,AGT019
EVT0000260,LIV013510,Passage frontière,2023-07-13 10:00,Douala,,AGT019
EVT0000261,LIV007173,Prise en charge,2022-10-27 10:00,Frontière,,AGT007
EVT0000262,LIV007173,Départ entrepôt,2022-10-28 03:00,Douala,,AGT022
EVT0000263,LIV003329,Prise en charge,2022-08-16 15:00,Bamako,,AGT003
EVT0000264,LIV003329,Départ entrepôt,2022-08-17 05:00,Abidjan,,AGT014
EVT0000265,LIV005024,Prise en charge,2023-10-23 10:00,Douala,,AGT002
EVT0000266,LIV005024,Départ entrepôt,2023-10-24 04:00,Douala,,AGT023
EVT0000267,LIV005024,Passage frontière,2023-10-25 02:00,Ouagadougou,,AGT015
EVT0000268,LIV005024,Arrivée entrepôt transit,2023-10-25 10:00,Ouagadougou,,AGT008
EVT0000269,LIV005024,Départ entrepôt transit,2023-10-26 06:00,Frontière,,AGT021
EVT0000270,LIV002215,Prise en charge,2023-10-31 18:00,Ouagadougou,,AGT005
EVT0000271,LIV002215,Départ entrepôt,2023-11-01 15:00,Frontière,,AGT005
EVT0000272,LIV002215,Passage frontière,2023-11-01 23:00,Abidjan,,AGT006
EVT0000273,LIV002217,Prise en charge,2023-04-27 22:00,Accra,,AGT004
EVT0000274,LIV002217,Départ entrepôt,2023-04-29 07:00,Ouagadougou,,AGT010
EVT0000275,LIV002217,Passage frontière,2023-04-30 12:00,Douala,,AGT017
EVT0000276,LIV002217,Arrivée entrepôt transit,2023-05-01 23:00,Accra,,AGT003
EVT0000277,LIV014796,Prise en charge,2023-08-24 00:00,Bamako,,AGT009
EVT0000278,LIV014796,Départ entrepôt,2023-08-24 05:00,Abidjan,,AGT008
EVT0000279,LIV002860,Prise en charge,2023-08-07 21:00,Bamako,,AGT002
EVT0000280,LIV002860,Départ entrepôt,2023-08-08 12:00,Accra,,AGT017
EVT0000281,LIV004025,Prise en charge,2022-08-26 15:00,Bamako,,AGT014
EVT0000282,LIV004025,Départ entrepôt,2022-08-28 02:00,Abidjan,,AGT016
EVT0000283,LIV004025,Passage frontière,2022-08-29 04:00,Accra,,AGT011
EVT0000284,LIV004025,Arrivée entrepôt transit,2022-08-30 04:00,Ouagadougou,,AGT004
EVT0000285,LIV004025,Départ entrepôt transit,2022-08-30 18:00,Douala,,AGT014
EVT0000286,LIV002761,Prise en charge,2022-12-22 05:00,Frontière,,AGT025
EVT0000287,LIV002761,Départ entrepôt,2022-12-22 11:00,Accra,,AGT003
EVT0000288,LIV002761,Passage frontière,2022-12-23 11:00,Douala,,AGT011
EVT0000289,LIV002761,Arrivée entrepôt transit,2022-12-23 22:00,Frontière,,AGT013
EVT0000290,LIV002761,Départ entrepôt transit,2022-12-25 10:00,Frontière,,AGT001
EVT0000291,LIV003291,Prise en charge,2023-05-31 06:00,Abidjan,,AGT007
EVT0000292,LIV003291,Départ entrepôt,2023-06-01 09:00,Bamako,,AGT025
EVT0000293,LIV003291,Passage frontière,2023-06-02 20:00,Ouagadougou,,AGT015
EVT0000294,LIV003291,Arrivée entrepôt transit,2023-06-03 03:00,Dakar,,AGT009
EVT0000295,LIV003291,Départ entrepôt transit,2023-06-03 15:00,Douala,,AGT015
EVT0000296,LIV010044,Prise en charge,2023-05-18 19:00,Ouagadougou,,AGT006
EVT0000297,LIV010044,Départ entrepôt,2023-05-19 18:00,Bamako,,AGT001
EVT0000298,LIV010044,Passage frontière,2023-05-21 00:00,Abidjan,,AGT008
EVT0000299,LIV010044,Arrivée entrepôt transit,2023-05-21 11:00,Accra,,AGT004
EVT0000300,LIV010044,Départ entrepôt transit,2023-05-22 00:00,Accra,,AGT023
EVT0000301,LIV002627,Prise en charge,2022-05-11 12:00,Ouagadougou,,AGT009
EVT0000302,LIV002627,Départ entrepôt,2022-05-12 18:00,Frontière,,AGT016
EVT0000303,LIV002627,Passage frontière,2022-05-14 04:00,Dakar,,AGT015
EVT0000304,LIV002627,Arrivée entrepôt transit,2022-05-14 17:00,Accra,,AGT007
EVT0000305,LIV004610,Prise en charge,2023-10-21 08:00,Douala,,AGT025
EVT0000306,LIV004610,Départ entrepôt,2023-10-22 14:00,Douala,,AGT017
EVT0000307,LIV004610,Passage frontière,2023-10-23 11:00,Frontière,,AGT001
EVT0000308,LIV013284,Prise en charge,2023-11-08 23:00,Frontière,,AGT019
EVT0000309,LIV013284,Départ entrepôt,2023-11-10 10:00,Frontière,,AGT005
EVT0000310,LIV013284,Passage frontière,2023-11-11 18:00,Bamako,,AGT016
EVT0000311,LIV013284,Arrivée entrepôt transit,2023-11-12 20:00,Douala,,AGT018
EVT0000312,LIV012473,Prise en charge,2023-11-22 00:00,Frontière,,AGT007
EVT0000313,LIV012473,Départ entrepôt,2023-11-22 19:00,Bamako,,AGT013
EVT0000314,LIV012473,Passage frontière,2023-11-23 13:00,Frontière,,AGT025
EVT0000315,LIV012473,Arrivée entrepôt transit,2023-11-24 19:00,Abidjan,,AGT011
EVT0000316,LIV012473,Départ entrepôt transit,2023-11-26 05:00,Ouagadougou,,AGT013
