alerte_id,livraison_id,client_id,transporteur_id,type_alerte,date_alerte,delai_retard_jours,penalite_estimee_fcfa,niveau_urgence,traitee
ALT00027,LIV008728,CLI024,TRP05,SLA Breach,2022-04-01 07:00,3.6,23,Élevé,1
ALT00028,LIV012967,CLI024,TRP12,Escalade client,2023-06-19 10:00,2.2,1,Moyen,1
ALT00029,LIV010676,CLI001,TRP05,SLA Breach,2022-11-24 08:00,6.7,9,Élevé,0
ALT00030,LIV001004,CLI024,TRP10,SLA Breach,2022-11-22 10:00,16.2,205,Élevé,1
ALT00031,LIV007077,CLI027,TRP02,Retard critique,2022-05-10 01:00,3.1,0,Élevé,1
ALT00032,LIV006921,CLI012,TRP09,SLA Breach,2023-12-06 04:00,1.9,0,Moyen,1
ALT00033,LIV014336,CLI024,TRP14,Retard critique,2022-01-06 04:00,0.3,4,Moyen,1
ALT00034,LIV011361,CLI018,TRP12,SLA Breach,2023-01-08 01:00,5.0,27,Élevé,0
ALT00035,LIV014865,CLI002,TRP10,SLA Breach,2022-11-18 10:00,7.5,0,Critique,1
ALT00036,LIV010403,CLI004,TRP07,SLA Breach,2022-08-21 02:00,4.3,19,Élevé,1
ALT00037,LIV005788,CLI021,TRP11,Escalade client,2023-04-17 09:00,0.3,0,Moyen,0
ALT00038,LIV013789,CLI016,TRP10,Escalade client,2022-02-06 10:00,0.4,0,Moyen,1
ALT00039,LIV005967,CLI006,TRP06,Retard critique,2022-12-14 10:00,2.0,0,Moyen,1
ALT00040,LIV008802,CLI014,TRP12,Retard critique,2023-07-11 12:00,30.5,0,Critique,1
ALT00041,LIV008442,CLI014,TRP04,SLA Breach,2023-07-03 07:00,1.7,0,Moyen,1
ALT00042,LIV002837,CLI010,TRP11,Escalade client,2023-03-16 12:00,3.9,29,Élevé,1
ALT00043,LIV002284,CLI018,TRP06,Escalade client,2022-06-05 02:00,4.9,140,Élevé,1
ALT00044,LIV009716,CLI028,TRP04,Escalade client,2022-09-15 01:00,0.4,0,Moyen,1
ALT00045,LIV008641,CLI006,TRP13,SLA Breach,2023-03-17 09:00,0.4,0,Moyen,1
ALT00046,LIV012355,CLI028,TRP13,Retard critique,2023-08-17 04:00,8.6,0,Élevé,1
ALT00047,LIV003111,CLI027,TRP05,SLA Breach,2023-11-04 09:00,14.3,0,Élevé,1
ALT00048,LIV004770,CLI027,TRP12,Escalade client,2023-07-11 06:00,2.3,0,Moyen,1
ALT00049,LIV014367,CLI025,TRP12,Escalade client,2023-04-06 02:00,15.4,0,Élevé,1
ALT00050,LIV011083,CLI025,TRP12,Escalade client,2022-11-14 04:00,2.2,0,Moyen,1
ALT00051,LIV006301,CLI009,TRP04,Escalade client,2022-06-18 07:00,0.7,0,Moyen,1
ALT00052,LIV002497,CLI004,TRP07,Escalade client,2023-01-02 02:00,0.7,2,Moyen,1
ALT00053,LIV005980,CLI001,TRP08,Escalade client,2023-01-23 08:00,2.8,107,Moyen,1
ALT00054,LIV006626,CLI013,TRP07,Retard critique,2022-11-02 01:00,3.8,18,Élevé,1
ALT00055,LIV008874,CLI015,TRP09,Escalade client,2022-01-30 06:00,10.7,0,Critique,0
ALT00056,LIV000775,CLI011,TRP02,Retard critique,2023-10-17 09:00,3.0,0,Moyen,1
ALT00057,LIV000471,CLI009,TRP12,Escalade client,2022-02-18 01:00,6.9,0,Élevé,1
ALT00058,LIV007897,CLI013,TRP11,Retard critique,2022-12-16 08:00,1.4,55,Moyen,0
ALT00059,LIV010688,CLI017,TRP06,Escalade client,2022-09-23 01:00,5.9,0,Critique,0
ALT00060,LIV012948,CLI010,TRP12,SLA Breach,2023-02-04 02:00,7.7,185,Élevé,0
ALT00061,LIV005599,CLI016,TRP02,Escalade client,2023-10-24 04:00,4.2,0,Élevé,1
ALT00062,LIV010058,CLI001,TRP14,Escalade client,2023-03-25 09:00,0.2,79,Moyen,1
ALT00063,LIV006808,CLI001,TRP10,Retard critique,2023-08-21 11:00,10.0,42,Élevé,1
ALT00064,LIV008799,CLI017,TRP05,SLA Breach,2023-05-22 10:00,3.4,0,Élevé,0
ALT00065,LIV008167,CLI001,TRP01,SLA Breach,2022-07-28 04:00,11.2,36,Élevé,1
ALT00066,LIV007441,CLI019,TRP11,SLA Breach,2023-07-10 02:00,3.4,0,Élevé,0
ALT00067,LIV006884,CLI007,TRP01,SLA Breach,2022-11-22 12:00,3.0,0,Moyen,1
ALT00068,LIV008432,CLI024,TRP10,Retard critique,2022-06-14 07:00,6.3,194,Élevé,1
ALT00069,LIV010299,CLI021,TRP08,Retard critique,2022-03-22 02:00,0.3,68,Moyen,0
ALT00070,LIV005287,CLI017,TRP06,Retard critique,2022-05-27 11:00,2.2,0,Moyen,1
ALT00071,LIV012814,CLI006,TRP12,Retard critique,2022-05-16 11:00,1.0,0,Moyen,1
ALT00072,LIV011121,CLI013,TRP05,Escalade client,2023-11-20 10:00,1.1,11,Moyen,1
ALT00073,LIV001330,CLI024,TRP02,Escalade client,2023-11-06 05:00,1.2,59,Moyen,1
ALT00074,LIV008743,CLI012,TRP03,SLA Breach,2023-03-20 11:00,16.3,0,Élevé,1
ALT00075,LIV014553,CLI016,TRP10,Retard critique,2022-04-08 03:00,2.4,0,Moyen,1
ALT00076,LIV002770,CLI024,TRP12,Retard critique,2022-12-26 12:00,8.9,32,Critique,0
ALT00077,LIV006560,CLI010,TRP11,Retard critique,2023-05-30 11:00,0.6,7,Moyen,1
ALT00078,LIV006875,CLI025,TRP10,Escalade client,2022-01-18 01:00,2.8,0,Moyen,1
ALT00079,LIV011775,CLI019,TRP06,Retard critique,2022-11-15 06:00,0.3,0,Moyen,1
ALT00080,LIV012229,CLI002,TRP14,Retard critique,2023-03-31 03:00,0.1,0,Moyen,0
ALT00081,LIV003546,CLI023,TRP06,Retard critique,2023-09-09 12:00,6.0,0,Élevé,0
ALT00082,LIV002401,CLI008,TRP04,SLA Breach,2022-01-31 02:00,3.7,88,Élevé,1
ALT00083,LIV012596,CLI013,TRP11,Retard critique,2022-11-29 12:00,2.6,8,Moyen,1
ALT00084,LIV007556,CLI010,TRP01,SLA Breach,2022-12-13 09:00,2.9,93,Moyen,0
ALT00085,LIV008962,CLI015,TRP07,Escalade client,2022-01-22 10:00,5.5,0,Critique,1
ALT00086,LIV003416,CLI001,TRP05,SLA Breach,2022-01-21 07:00,0.3,1,Moyen,1
ALT00087,LIV004676,CLI001,TRP03,Escalade client,2023-04-07 05:00,9.5,46,Élevé,1
ALT00088,LIV011053,CLI027,TRP03,Escalade client,2022-06-02 09:00,1.4,0,Moyen,0
ALT00089,LIV013237,CLI015,TRP02,Retard critique,2023-05-10 09:00,6.3,0,Élevé,1
ALT00090,LIV002100,CLI018,TRP13,Escalade client,2022-11-01 11:00,16.1,426,Critique,1
ALT00091,LIV002104,CLI019,TRP01,SLA Breach,2022-08-29 07:00,13.6,0,Élevé,1
ALT00092,LIV001313,CLI008,TRP02,SLA Breach,2023-12-19 01:00,3.7,9,Élevé,1
ALT00093,LIV007804,CLI012,TRP14,Escalade client,2023-05-02 06:00,26.4,0,Critique,1
ALT00094,LIV002810,CLI006,TRP05,Retard critique,2022-09-06 08:00,7.5,0,Critique,1
ALT00095,LIV001509,CLI011,TRP13,SLA Breach,2022-09-09 06:00,5.9,0,Élevé,1
ALT00096,LIV012602,CLI013,TRP05,Retard critique,2022-11-02 11:00,7.6,257,Élevé,1
ALT00097,LIV004094,CLI014,TRP11,Escalade client,2022-01-15 09:00,3.8,0,Élevé,0
ALT00098,LIV013433,CLI008,TRP14,Retard critique,2022-05-08 12:00,3.9,198,Élevé,1
ALT00099,LIV005001,CLI006,TRP06,Escalade client,2023-04-09 01:00,19.9,0,Élevé,1
ALT00100,LIV004503,CLI008,TRP06,Escalade client,2023-04-23 08:00,1.9,22,Moyen,1
ALT00101,LIV011766,CLI001,TRP09,Retard critique,2023-02-26 01:00,1.1,3,Moyen,0
ALT00102,LIV001920,CLI024,TRP06,Retard critique,2023-05-17 07:00,9.5,222,Critique,1
ALT00103,LIV005547,CLI011,TRP01,Retard critique,2023-01-22 03:00,2.7,0,Moyen,0
ALT00104,LIV009685,CLI008,TRP05,Retard critique,2023-01-26 05:00,15.5,125,Critique,1
ALT00105,LIV007527,CLI014,TRP06,Retard critique,2022-03-11 09:00,1.0,0,Moyen,1
ALT00106,LIV006220,CLI008,TRP05,Escalade client,2023-02-03 11:00,13.1,50,Élevé,0
ALT00107,LIV010888,CLI018,TRP06,Retard critique,2022-05-05 03:00,7.9,52,Élevé,1
ALT00108,LIV007183,CLI027,TRP06,Escalade client,2022-05-18 10:00,1.2,0,Moyen,1
ALT00109,LIV005839,CLI004,TRP12,Escalade client,2023-11-30 05:00,4.3,29,Élevé,1
ALT00110,LIV014835,CLI016,TRP10,Escalade client,2024-01-03 05:00,4.4,0,Élevé,0
ALT00111,LIV006716,CLI024,TRP02,Escalade client,2023-01-04 01:00,6.2,37,Élevé,0
ALT00112,LIV010133,CLI001,TRP13,SLA Breach,2022-09-18 12:00,2.4,115,Moyen,1
ALT00113,LIV002988,CLI030,TRP14,Escalade client,2022-05-08 10:00,0.1,0,Moyen,0
ALT00114,LIV014117,CLI018,TRP04,Retard critique,2022-03-14 07:00,3.4,286,Élevé,1
ALT00115,LIV003514,CLI029,TRP06,Escalade client,2023-11-27 04:00,1.4,25,Moyen,0
ALT00116,LIV003661,CLI029,TRP06,Escalade client,2023-07-22 11:00,3.9,21,Élevé,1
ALT00117,LIV010019,CLI002,TRP09,Retard critique,2023-11-15 01:00,5.3,0,Critique,1
ALT00118,LIV010074,CLI011,TRP03,Retard critique,2023-12-14 06:00,8.3,0,Élevé,1
ALT00119,LIV006867,CLI010,TRP02,Escalade client,2022-04-01 01:00,5.1,16,Critique,1
ALT00120,LIV013027,CLI018,TRP01,SLA Breach,2023-12-25 12:00,6.1,200,Élevé,1
ALT00121,LIV011074,CLI024,TRP03,Retard critique,2023-03-22 12:00,40.2,241,Critique,0
ALT00122,LIV003272,CLI017,TRP01,Retard critique,2023-12-27 01:00,8.2,0,Élevé,1
ALT00123,LIV002309,CLI021,TRP10,Escalade client,2022-10-18 04:00,2.9,11,Moyen,1
ALT00124,LIV009995,CLI006,TRP05,Retard critique,2023-05-21 04:00,0.6,0,Moyen,1
ALT00125,LIV008726,CLI015,TRP02,Retard critique,2023-11-13 07:00,6.7,0,Élevé,1
ALT00126,LIV005384,CLI016,TRP02,Escalade client,2023-12-06 12:00,5.7,0,Critique,1
ALT00127,LIV014162,CLI011,TRP10,Retard critique,2023-06-29 08:00,6.6,0,Critique,1
ALT00128,LIV005828,CLI018,TRP02,SLA Breach,2023-10-24 07:00,10.6,180,Élevé,0
ALT00129,LIV001532,CLI008,TRP14,Escalade client,2022-01-31 02:00,3.2,132,Élevé,0
ALT00130,LIV012674,CLI006,TRP05,Retard critique,2023-02-05 03:00,1.1,0,Moyen,1
ALT00131,LIV003870,CLI027,TRP12,Escalade client,2023-12-22 05:00,2.0,0,Moyen,1
ALT00132,LIV011013,CLI018,TRP05,SLA Breach,2022-08-27 05:00,1.0,0,Moyen,1
ALT00133,LIV008871,CLI024,TRP05,Retard critique,2022-11-03 05:00,1.8,5,Moyen,1
ALT00134,LIV011332,CLI018,TRP06,Retard critique,2023-12-20 07:00,3.1,89,Élevé,0
ALT00135,LIV014079,CLI008,TRP06,Escalade client,2023-08-05 04:00,5.4,25,Critique,1
ALT00136,LIV011873,CLI024,TRP06,Retard critique,2022-11-06 12:00,4.3,16,Élevé,1
ALT00137,LIV014678,CLI001,TRP13,SLA Breach,2023-01-16 02:00,9.3,40,Élevé,1
ALT00138,LIV013821,CLI013,TRP13,SLA Breach,2023-05-02 03:00,2.9,1,Moyen,1
ALT00139,LIV000270,CLI004,TRP05,Retard critique,2023-06-29 04:00,27.3,585,Critique,0
ALT00140,LIV012396,CLI030,TRP05,Retard critique,2022-08-02 03:00,16.4,0,Élevé,0
ALT00141,LIV000825,CLI001,TRP04,Retard critique,2022-09-06 05:00,5.1,117,Critique,1
ALT00142,LIV014168,CLI002,TRP05,SLA Breach,2023-02-05 06:00,1.1,0,Moyen,1
ALT00143,LIV000425,CLI009,TRP12,Retard critique,2022-10-22 03:00,10.9,0,Élevé,1
ALT00144,LIV011304,CLI026,TRP13,Retard critique,2022-11-27 06:00,2.6,0,Moyen,1
ALT00145,LIV005042,CLI009,TRP12,Retard critique,2022-12-04 02:00,1.7,0,Moyen,1
ALT00146,LIV011693,CLI025,TRP09,Escalade client,2023-12-11 07:00,9.7,0,Élevé,1
ALT00147,LIV002020,CLI025,TRP14,SLA Breach,2022-04-04 08:00,2.8,0,Moyen,1
ALT00148,LIV001513,CLI001,TRP12,SLA Breach,2022-10-01 11:00,19.6,434,Élevé,1
ALT00149,LIV003520,CLI008,TRP03,Retard critique,2023-09-28 08:00,3.8,13,Élevé,1
ALT00150,LIV011655,CLI001,TRP01,SLA Breach,2024-01-01 04:00,9.0,288,Élevé,0
ALT00151,LIV007146,CLI002,TRP03,Escalade client,2022-03-09 12:00,1.5,0,Moyen,0
ALT00152,LIV005479,CLI003,TRP12,SLA Breach,2023-05-28 07:00,28.8,23,Élevé,1
ALT00153,LIV003360,CLI024,TRP09,Retard critique,2023-06-28 04:00,8.2,78,Élevé,0
ALT00154,LIV009546,CLI002,TRP03,SLA Breach,2022-01-25 09:00,1.5,0,Moyen,1
ALT00155,LIV006166,CLI009,TRP10,Escalade client,2022-01-06 08:00,0.1,0,Moyen,1
ALT00156,LIV000631,CLI027,TRP11,Escalade client,2022-05-08 11:00,20.8,0,Élevé,0
ALT00157,LIV001248,CLI019,TRP05,Escalade client,2022-11-28 02:00,1.3,0,Moyen,1
ALT00158,LIV009754,CLI011,TRP01,Retard critique,2022-09-04 03:00,18.4,0,Élevé,1
ALT00159,LIV003828,CLI001,TRP06,Retard critique,2023-04-17 03:00,8.2,68,Élevé,1
ALT00160,LIV013132,CLI030,TRP12,Escalade client,2022-02-14 02:00,0.2,0,Moyen,1
ALT00161,LIV010757,CLI009,TRP07,SLA Breach,2022-07-25 04:00,6.1,0,Élevé,1
ALT00162,LIV000424,CLI018,TRP12,Escalade client,2023-10-31 03:00,5.5,40,Critique,1
ALT00163,LIV004801,CLI014,TRP08,SLA Breach,2022-06-22 12:00,3.0,0,Moyen,1
ALT00164,LIV000531,CLI029,TRP09,SLA Breach,2023-01-28 04:00,3.9,154,Élevé,0
ALT00165,LIV013305,CLI027,TRP08,Escalade client,2022-03-06 08:00,1.2,0,Moyen,0
ALT00166,LIV000622,CLI004,TRP01,SLA Breach,2023-07-27 05:00,3.3,18,Élevé,1
ALT00167,LIV011152,CLI025,TRP12,SLA Breach,2022-05-04 05:00,14.4,0,Élevé,1
ALT00168,LIV007285,CLI018,TRP12,Escalade client,2023-10-14 06:00,4.0,150,Élevé,1
ALT00169,LIV012705,CLI021,TRP12,SLA Breach,2023-03-02 09:00,0.4,4,Moyen,1
ALT00170,LIV003185,CLI006,TRP02,Escalade client,2023-05-13 04:00,1.9,0,Moyen,1
ALT00171,LIV003760,CLI011,TRP02,Escalade client,2023-11-19 10:00,4.2,0,Élevé,1
ALT00172,LIV004972,CLI008,TRP07,Escalade client,2023-05-17 02:00,3.2,56,Élevé,1
ALT00173,LIV007954,CLI017,TRP13,Retard critique,2023-07-15 06:00,6.8,0,Critique,1
ALT00174,LIV003750,CLI028,TRP04,Escalade client,2023-03-29 09:00,6.6,0,Élevé,0
ALT00175,LIV005635,CLI006,TRP14,SLA Breach,2023-03-22 02:00,4.7,0,Élevé,0
ALT00176,LIV011220,CLI015,TRP12,SLA Breach,2022-06-27 10:00,5.3,0,Élevé,1
ALT00177,LIV000355,CLI011,TRP06,Retard critique,2022-05-10 07:00,2.3,0,Moyen,0
ALT00178,LIV014845,CLI016,TRP11,SLA Breach,2023-01-15 12:00,5.6,0,Élevé,0
ALT00179,LIV010392,CLI006,TRP07,Escalade client,2023-05-07 09:00,6.3,0,Élevé,0
ALT00180,LIV000449,CLI025,TRP11,Escalade client,2022-11-21 10:00,10.7,0,Critique,0
ALT00181,LIV005065,CLI019,TRP09,Escalade client,2023-01-03 02:00,5.3,0,Élevé,1
ALT00182,LIV000879,CLI018,TRP14,SLA Breach,2022-11-21 05:00,6.2,55,Critique,0
ALT00183,LIV010610,CLI007,TRP05,SLA Breach,2023-10-20 05:00,9.1,0,Élevé,1
ALT00184,LIV005601,CLI021,TRP03,Escalade client,2022-05-11 05:00,8.9,146,Élevé,0
ALT00185,LIV001036,CLI030,TRP05,SLA Breach,2023-06-03 02:00,1.5,0,Moyen,1
ALT00186,LIV008550,CLI018,TRP11,Escalade client,2023-09-10 05:00,20.5,41,Élevé,1
ALT00187,LIV009060,CLI024,TRP02,Escalade client,2023-09-13 04:00,0.4,5,Moyen,1
ALT00188,LIV008691,CLI009,TRP02,Retard critique,2022-02-01 10:00,2.0,0,Moyen,0
ALT00189,LIV006822,CLI001,TRP05,Escalade client,2022-12-14 01:00,0.6,27,Moyen,1
ALT00190,LIV001074,CLI003,TRP12,Retard critique,2022-07-17 01:00,9.7,131,Élevé,1
ALT00191,LIV014185,CLI006,TRP02,SLA Breach,2023-03-06 01:00,4.5,0,Élevé,1
ALT00192,LIV008381,CLI001,TRP05,SLA Breach,2022-03-16 12:00,10.1,17,Élevé,1
ALT00193,LIV010285,CLI009,TRP13,SLA Breach,2023-12-16 09:00,10.4,0,Élevé,1
ALT00194,LIV004931,CLI010,TRP10,Escalade client,2023-08-01 07:00,19.9,59,Critique,1
ALT00195,LIV000972,CLI014,TRP06,SLA Breach,2022-08-01 01:00,0.7,0,Moyen,1
ALT00196,LIV011811,CLI001,TRP07,Retard critique,2022-02-03 07:00,7.0,150,Élevé,1
ALT00197,LIV013100,CLI009,TRP08,SLA Breach,2022-05-31 10:00,7.3,0,Élevé,1
ALT00198,LIV007928,CLI021,TRP07,Escalade client,2023-01-07 10:00,5.3,96,Élevé,1
ALT00199,LIV012192,CLI001,TRP11,Escalade client,2022-03-02 08:00,13.4,18,Critique,1
ALT00200,LIV004775,CLI027,TRP12,Retard critique,2023-12-29 04:00,4.2,0,Élevé,1
ALT00201,LIV000450,CLI027,TRP10,Retard critique,2022-04-10 11:00,3.9,0,Élevé,1
ALT00202,LIV006011,CLI001,TRP12,Retard critique,2023-04-02 09:00,21.8,248,Élevé,1
ALT00203,LIV009663,CLI021,TRP04,Escalade client,2023-02-21 01:00,1.3,4,Moyen,1
ALT00204,LIV012485,CLI024,TRP10,Escalade client,2023-10-10 03:00,11.7,237,Critique,1
ALT00205,LIV008985,CLI008,TRP03,SLA Breach,2023-12-30 05:00,3.7,112,Élevé,1
ALT00206,LIV006622,CLI001,TRP08,Escalade client,2023-07-13 11:00,1.5,129,Moyen,1
ALT00207,LIV005903,CLI010,TRP09,Escalade client,2022-03-07 11:00,8.3,36,Élevé,0
ALT00208,LIV010034,CLI012,TRP11,SLA Breach,2023-05-08 01:00,2.4,0,Moyen,1
ALT00209,LIV004851,CLI013,TRP06,Retard critique,2022-07-30 01:00,2.8,34,Moyen,1
ALT00210,LIV007409,CLI027,TRP08,SLA Breach,2023-01-10 08:00,15.0,0,Critique,1
ALT00211,LIV000216,CLI015,TRP03,SLA Breach,2022-12-11 01:00,11.3,0,Critique,1
ALT00212,LIV000593,CLI018,TRP05,Escalade client,2023-06-19 06:00,2.1,17,Moyen,1
ALT00213,LIV005767,CLI012,TRP09,SLA Breach,2023-05-09 09:00,1.4,0,Moyen,0
ALT00214,LIV014650,CLI002,TRP09,Retard critique,2022-12-04 11:00,13.8,0,Critique,1
ALT00215,LIV004792,CLI017,TRP05,SLA Breach,2023-12-24 01:00,1.9,0,Moyen,0
ALT00216,LIV003863,CLI010,TRP06,Escalade client,2023-03-21 11:00,7.0,186,Critique,0
ALT00217,LIV005667,CLI024,TRP13,Escalade client,2022-02-14 08:00,3.1,40,Élevé,1
ALT00218,LIV001805,CLI017,TRP02,SLA Breach,2023-05-22 08:00,12.0,0,Élevé,1
ALT00219,LIV012831,CLI013,TRP03,Retard critique,2022-03-17 03:00,1.5,31,Moyen,1
ALT00220,LIV001377,CLI011,TRP07,SLA Breach,2023-02-03 01:00,5.3,0,Élevé,0
ALT00221,LIV001302,CLI013,TRP11,SLA Breach,2022-09-16 12:00,0.5,2,Moyen,1
ALT00222,LIV008069,CLI010,TRP09,Retard critique,2023-09-22 06:00,6.0,97,Élevé,0
ALT00223,LIV003885,CLI029,TRP05,Escalade client,2023-09-06 08:00,6.3,161,Élevé,1
ALT00224,LIV005229,CLI002,TRP02,SLA Breach,2022-10-09 04:00,4.4,0,Élevé,1
ALT00225,LIV006249,CLI010,TRP08,SLA Breach,2023-11-08 01:00,3.4,652,Élevé,0
ALT00226,LIV007229,CLI009,TRP05,SLA Breach,2023-09-28 01:00,1.5,0,Moyen,0
ALT00227,LIV013681,CLI025,TRP01,SLA Breach,2023-06-04 07:00,11.6,0,Élevé,1
ALT00228,LIV009368,CLI018,TRP12,Retard critique,2022-08-02 09:00,10.8,56,Élevé,1
ALT00229,LIV012546,CLI009,TRP02,SLA Breach,2023-12-20 06:00,8.7,0,Élevé,1
ALT00230,LIV007639,CLI001,TRP05,Retard critique,2023-11-03 03:00,13.5,87,Élevé,0
ALT00231,LIV005503,CLI002,TRP05,Retard critique,2022-12-09 11:00,7.8,0,Élevé,1
ALT00232,LIV013996,CLI013,TRP05,Retard critique,2022-09-03 03:00,3.5,13,Élevé,1
ALT00233,LIV003396,CLI015,TRP06,Escalade client,2023-01-19 06:00,3.9,0,Élevé,1
ALT00234,LIV012252,CLI011,TRP08,Retard critique,2022-07-30 04:00,3.0,0,Moyen,0
ALT00235,LIV003624,CLI009,TRP02,SLA Breach,2023-11-02 12:00,1.4,0,Moyen,1
ALT00236,LIV004809,CLI018,TRP05,Retard critique,2023-03-07 04:00,8.4,295,Élevé,0
ALT00237,LIV013920,CLI030,TRP12,Escalade client,2022-05-30 06:00,4.8,0,Élevé,0
ALT00238,LIV006006,CLI014,TRP09,Escalade client,2023-06-23 03:00,3.4,0,Élevé,1
ALT00239,LIV000214,CLI006,TRP08,Retard critique,2023-12-18 09:00,0.5,0,Moyen,0
ALT00240,LIV010374,CLI025,TRP06,SLA Breach,2023-01-07 09:00,13.2,0,Élevé,0
ALT00241,LIV004433,CLI018,TRP08,SLA Breach,2023-01-04 09:00,2.3,480,Moyen,1
ALT00242,LIV009586,CLI024,TRP09,Retard critique,2023-06-24 03:00,9.5,9,Élevé,1
ALT00243,LIV014890,CLI001,TRP14,SLA Breach,2023-11-13 07:00,6.1,180,Élevé,1
ALT00244,LIV007870,CLI001,TRP06,Escalade client,2023-11-11 02:00,3.1,31,Élevé,1
ALT00245,LIV002679,CLI014,TRP06,SLA Breach,2022-11-27 04:00,2.2,0,Moyen,0
ALT00246,LIV007216,CLI003,TRP04,Retard critique,2023-04-28 01:00,1.8,4,Moyen,1
ALT00247,LIV012962,CLI025,TRP05,Escalade client,2023-07-28 11:00,4.6,0,Élevé,0
ALT00248,LIV002361,CLI028,TRP01,Retard critique,2023-04-22 06:00,4.7,0,Élevé,0
ALT00249,LIV013766,CLI008,TRP06,SLA Breach,2022-06-09 06:00,0.2,0,Moyen,0
ALT00250,LIV005114,CLI025,TRP06,Escalade client,2022-06-23 08:00,3.1,0,Élevé,0
ALT00251,LIV004400,CLI001,TRP06,Escalade client,2022-12-06 01:00,9.7,57,Critique,1
ALT00252,LIV006840,CLI028,TRP06,SLA Breach,2023-06-29 07:00,12.4,0,Élevé,1
ALT00253,LIV011347,CLI014,TRP02,SLA Breach,2022-05-13 06:00,4.9,0,Élevé,0
ALT00254,LIV011377,CLI024,TRP14,Retard critique,2022-09-30 03:00,9.5,48,Élevé,0
ALT00255,LIV000804,CLI018,TRP06,Escalade client,2023-05-09 11:00,3.0,96,Moyen,1
ALT00256,LIV000683,CLI024,TRP06,SLA Breach,2023-09-17 01:00,0.5,2,Moyen,0
ALT00257,LIV002697,CLI006,TRP11,Retard critique,2022-01-29 02:00,7.9,0,Élevé,1
ALT00258,LIV013910,CLI016,TRP06,Escalade client,2022-09-12 03:00,3.8,0,Élevé,0
ALT00259,LIV013061,CLI013,TRP06,SLA Breach,2022-05-16 10:00,16.3,29,Élevé,1
ALT00260,LIV011257,CLI009,TRP07,Retard critique,2023-07-25 02:00,6.2,0,Critique,1
ALT00261,LIV000884,CLI028,TRP01,Retard critique,2023-01-16 04:00,6.6,0,Critique,1
ALT00262,LIV000032,CLI010,TRP14,Retard critique,2022-05-02 10:00,1.9,57,Moyen,1
ALT00263,LIV004755,CLI007,TRP03,Escalade client,2023-07-11 09:00,1.0,0,Moyen,0
ALT00264,LIV013252,CLI025,TRP12,SLA Breach,2022-04-07 07:00,24.9,0,Élevé,1
ALT00265,LIV006795,CLI014,TRP10,SLA Breach,2023-01-17 11:00,1.1,0,Moyen,1
