salaire_id,employe_id,departement_id,periode,annee,mois,salaire_brut,prime,cotisations,impot_revenu,salaire_net,statut_paiement
SAL000033,EMP0001,DEP01,2024-03,2024,3,5938007,0,385970,712561,4839476,Paye
SAL000034,EMP0001,DEP01,2024-04,2024,4,5938007,0,385970,712561,4839476,Paye
SAL000035,EMP0001,DEP01,2024-05,2024,5,5938007,0,385970,712561,4839476,Paye
SAL000036,EMP0001,DEP01,2024-06,2024,6,5938007,1150251,385970,712561,5989727,Paye
SAL000037,EMP0002,DEP01,2021-01,2021,1,3572455,0,232210,428695,2911550,Paye
SAL000038,EMP0002,DEP01,2021-02,2021,2,3572455,0,232210,428695,2911550,Paye
SAL000039,EMP0002,DEP01,2021-03,2021,3,3572455,0,232210,428695,2911550,Paye
SAL000040,EMP0002,DEP01,2021-04,2021,4,3572455,0,232210,428695,2911550,Paye
SAL000041,EMP0002,DEP01,2021-05,2021,5,3572455,0,232210,428695,2911550,Paye
SAL000042,EMP0002,DEP01,2021-06,2021,6,3572455,365136,232210,428695,3276686,Paye
SAL000043,EMP0002,DEP01,2021-07,2021,7,3572455,0,232210,428695,2911550,Paye
SAL000044,EMP0002,DEP01,2021-08,2021,8,3572455,0,232210,428695,2911550,Paye
SAL000045,EMP0002,DEP01,2021-09,2021,9,3572455,0,232210,428695,2911550,Paye
SAL000046,EMP0002,DEP01,2021-10,2021,10,3572455,0,232210,428695,2911550,Paye
SAL000047,EMP0002,DEP01,2021-11,2021,11,3572455,0,232210,428695,2911550,Paye
SAL000048,EMP0002,DEP01,2021-12,2021,12,3572455,2285646,232210,428695,5197196,Paye
SAL000049,EMP0002,DEP01,2022-01,2022,1,3799021,0,246936,455883,3096202,Paye
SAL000050,EMP0002,DEP01,2022-02,2022,2,3799021,0,246936,455883,3096202,Paye
SAL000051,EMP0002,DEP01,2022-03,2022,3,3799021,0,246936,455883,3096202,Paye
SAL000052,EMP0002,DEP01,2022-04,2022,4,3799021,0,246936,455883,3096202,Paye
SAL000053,EMP0002,DEP01,2022-05,2022,5,3799021,0,246936,455883,3096202,Paye
SAL000054,EMP0002,DEP01,2022-06,2022,6,3799021,1017234,246936,455883,4113436,Paye
SAL000055,EMP0002,DEP01,2022-07,2022,7,3799021,0,246936,455883,3096202,Paye
SAL000056,EMP0002,DEP01,2022-08,2022,8,3799021,0,246936,455883,3096202,Paye
SAL000057,EMP0002,DEP01,2022-09,2022,9,3799021,0,246936,455883,3096202,Paye
SAL000058,EMP0002,DEP01,2022-10,2022,10,3799021,0,246936,455883,3096202,Paye
SAL000059,EMP0002,DEP01,2022-11,2022,11,3799021,0,246936,455883,3096202,Paye
SAL000060,EMP0002,DEP01,2022-12,2022,12,3799021,2788252,246936,455883,5884454,Paye
SAL000061,EMP0002,DEP01,2023-01,2023,1,3966441,0,257819,475973,3232649,Paye
SAL000062,EMP0002,DEP01,2023-02,2023,2,3966441,0,257819,475973,3232649,Paye
SAL000063,EMP0002,DEP01,2023-03,2023,3,3966441,0,257819,475973,3232649,Paye
SAL000064,EMP0002,DEP01,2023-04,2023,4,3966441,0,257819,475973,3232649,Paye
SAL000065,EMP0002,DEP01,2023-05,2023,5,3966441,0,257819,475973,3232649,Paye
SAL000066,EMP0002,DEP01,2023-06,2023,6,3966441,880217,257819,475973,4112866,Paye
SAL000067,EMP0002,DEP01,2023-07,2023,7,3966441,0,257819,475973,3232649,Paye
SAL000068,EMP0002,DEP01,2023-08,2023,8,3966441,0,257819,475973,3232649,Paye
SAL000069,EMP0002,DEP01,2023-09,2023,9,3966441,0,257819,475973,3232649,Paye
SAL000070,EMP0002,DEP01,2023-10,2023,10,3966441,0,257819,475973,3232649,Paye
SAL000071,EMP0002,DEP01,2023-11,2023,11,3966441,0,257819,475973,3232649,Paye
SAL000072,EMP0002,DEP01,2023-12,2023,12,3966441,2622895,257819,475973,5855544,Paye
SAL000073,EMP0002,DEP01,2024-01,2024,1,4115641,0,267517,493877,3354247,Paye
SAL000074,EMP0002,DEP01,2024-02,2024,2,4115641,0,267517,493877,3354247,Paye
SAL000075,EMP0002,DEP01,2024-03,2024,3,4115641,0,267517,493877,3354247,Paye
SAL000076,EMP0002,DEP01,2024-04,2024,4,4115641,0,267517,493877,3354247,Paye
SAL000077,EMP0002,DEP01,2024-05,2024,5,4115641,0,267517,493877,3354247,Paye
SAL000078,EMP0002,DEP01,2024-06,2024,6,4115641,858291,267517,493877,4212538,Paye
SAL000079,EMP0003,DEP01,2022-11,2022,11,934000,0,60710,112080,761210,Paye
SAL000080,EMP0003,DEP01,2022-12,2022,12,934000,1365412,60710,112080,2126622,Paye
SAL000081,EMP0003,DEP01,2023-01,2023,1,994696,0,64655,119364,810677,Paye
SAL000082,EMP0003,DEP01,2023-02,2023,2,994696,0,64655,119364,810677,Paye
SAL000083,EMP0003,DEP01,2023-03,2023,3,994696,0,64655,119364,810677,Paye
SAL000084,EMP0003,DEP01,2023-04,2023,4,994696,0,64655,119364,810677,Paye
SAL000085,EMP0003,DEP01,2023-05,2023,5,994696,0,64655,119364,810677,Paye
SAL000086,EMP0003,DEP01,2023-06,2023,6,994696,180709,64655,119364,991386,Paye
SAL000087,EMP0003,DEP01,2023-07,2023,7,994696,0,64655,119364,810677,Paye
SAL000088,EMP0003,DEP01,2023-08,2023,8,994696,0,64655,119364,810677,Paye
SAL000089,EMP0003,DEP01,2023-09,2023,9,994696,0,64655,119364,810677,Paye
SAL000090,EMP0003,DEP01,2023-10,2023,10,994696,0,64655,119364,810677,Paye
SAL000091,EMP0003,DEP01,2023-11,2023,11,994696,0,64655,119364,810677,Paye
SAL000092,EMP0003,DEP01,2023-12,2023,12,994696,673183,64655,119364,1483860,Paye
SAL000093,EMP0003,DEP01,2024-01,2024,1,1062262,0,69047,127471,865744,Paye
SAL000094,EMP0003,DEP01,2024-02,2024,2,1062262,0,69047,127471,865744,Paye
SAL000095,EMP0003,DEP01,2024-03,2024,3,1062262,0,69047,127471,865744,Paye
SAL000096,EMP0003,DEP01,2024-04,2024,4,1062262,0,69047,127471,865744,Paye
SAL000097,EMP0003,DEP01,2024-05,2024,5,1062262,0,69047,127471,865744,Paye
SAL000098,EMP0003,DEP01,2024-06,2024,6,1062262,133137,69047,127471,998881,Paye
SAL000099,EMP0004,DEP01,2021-01,2021,1,980477,0,63731,117657,799089,Paye
SAL000100,EMP0004,DEP01,2021-02,2021,2,980477,0,63731,117657,799089,Paye
SAL000101,EMP0004,DEP01,2021-03,2021,3,980477,0,63731,117657,-46314,Paye
SAL000102,EMP0004,DEP01,2021-04,2021,4,980477,0,63731,117657,799089,Paye
SAL000103,EMP0004,DEP01,2021-05,2021,5,980477,0,63731,117657,799089,Paye
SAL000104,EMP0004,DEP01,2021-06,2021,6,980477,148226,63731,117657,947315,Paye
SAL000105,EMP0004,DEP01,2021-07,2021,7,980477,0,63731,117657,799089,Paye
SAL000106,EMP0004,DEP01,2021-08,2021,8,980477,0,63731,117657,799089,Paye
SAL000107,EMP0004,DEP01,2021-09,2021,9,980477,0,63731,117657,799089,Paye
SAL000108,EMP0004,DEP01,2021-10,2021,10,980477,0,63731,117657,799089,Paye
SAL000109,EMP0004,DEP01,2021-11,2021,11,980477,0,63731,117657,799089,Paye
SAL000110,EMP0004,DEP01,2021-12,2021,12,980477,963126,63731,117657,1762215,Paye
SAL000111,EMP0004,DEP01,2022-01,2022,1,1013947,0,65907,121674,826366,Paye
SAL000112,EMP0004,DEP01,2022-02,2022,2,1013947,0,65907,121674,826366,Paye
SAL000113,EMP0004,DEP01,2022-03,2022,3,1013947,0,65907,121674,826366,Paye
SAL000114,EMP0004,DEP01,2022-04,2022,4,1013947,0,65907,121674,826366,Paye
SAL000115,EMP0004,DEP01,2022-05,2022,5,1013947,0,65907,121674,826366,Paye
SAL000116,EMP0004,DEP01,2022-06,2022,6,1013947,182604,65907,121674,1008970,Paye
SAL000117,EMP0004,DEP01,2022-07,2022,7,1013947,0,65907,121674,826366,Paye
SAL000118,EMP0004,DEP01,2022-08,2022,8,1013947,0,65907,121674,826366,Paye
SAL000119,EMP0004,DEP01,2022-09,2022,9,1013947,0,65907,121674,826366,Paye
SAL000120,EMP0004,DEP01,2022-10,2022,10,1013947,0,65907,121674,826366,Paye
SAL000121,EMP0004,DEP01,2022-11,2022,11,1013947,0,65907,121674,826366,Paye
SAL000122,EMP0004,DEP01,2022-12,2022,12,1013947,649179,65907,121674,1475545,Paye
SAL000123,EMP0004,DEP01,2023-01,2023,1,1049870,0,68242,125984,855644,Paye
SAL000124,EMP0004,DEP01,2023-02,2023,2,1049870,0,68242,125984,855644,Paye
SAL000125,EMP0004,DEP01,2023-03,2023,3,1049870,0,68242,125984,855644,Paye
SAL000126,EMP0004,DEP01,2023-04,2023,4,1049870,0,68242,125984,855644,Paye
SAL000127,EMP0004,DEP01,2023-05,2023,5,1049870,0,68242,125984,855644,Paye
SAL000128,EMP0004,DEP01,2023-06,2023,6,1049870,138921,68242,125984,994565,Paye
SAL000129,EMP0004,DEP01,2023-07,2023,7,1049870,0,68242,125984,855644,Paye
SAL000130,EMP0004,DEP01,2023-08,2023,8,1049870,0,68242,125984,855644,Paye
SAL000131,EMP0004,DEP01,2023-09,2023,9,1049870,0,68242,125984,855644,Paye
SAL000132,EMP0004,DEP01,2023-10,2023,10,1049870,0,68242,125984,855644,Paye
SAL000133,EMP0004,DEP01,2023-11,2023,11,1049870,0,68242,125984,855644,Paye
SAL000134,EMP0004,DEP01,2023-12,2023,12,1049870,1373494,68242,125984,2229138,Paye
SAL000135,EMP0004,DEP01,2024-01,2024,1,1131387,0,73540,135766,922081,Paye
SAL000136,EMP0004,DEP01,2024-02,2024,2,1131387,0,73540,135766,922081,Paye
SAL000137,EMP0004,DEP01,2024-03,2024,3,1131387,0,73540,135766,922081,Paye
SAL000138,EMP0004,DEP01,2024-04,2024,4,1131387,0,73540,135766,922081,Paye
SAL000139,EMP0004,DEP01,2024-05,2024,5,1131387,0,73540,135766,922081,Paye
SAL000140,EMP0004,DEP01,2024-06,2024,6,1131387,128382,73540,135766,1050463,Paye
SAL000141,EMP0005,DEP01,2021-01,2021,1,968418,0,62947,116210,789261,Paye
SAL000142,EMP0005,DEP01,2021-02,2021,2,968418,0,62947,116210,789261,Paye
SAL000143,EMP0005,DEP01,2021-03,2021,3,968418,0,62947,116210,789261,Paye
SAL000144,EMP0005,DEP01,2021-04,2021,4,968418,0,62947,116210,789261,Paye
SAL000145,EMP0005,DEP01,2021-05,2021,5,968418,0,62947,116210,789261,Paye
SAL000146,EMP0005,DEP01,2021-06,2021,6,968418,188627,62947,116210,977888,Paye
SAL000147,EMP0005,DEP01,2021-07,2021,7,968418,0,62947,116210,789261,Paye
SAL000148,EMP0005,DEP01,2021-08,2021,8,968418,0,62947,116210,789261,Paye
SAL000149,EMP0005,DEP01,2021-09,2021,9,968418,0,62947,116210,789261,Paye
SAL000150,EMP0005,DEP01,2021-10,2021,10,968418,0,62947,116210,789261,Paye
SAL000151,EMP0005,DEP01,2021-11,2021,11,968418,0,62947,116210,789261,Paye
SAL000152,EMP0005,DEP01,2021-12,2021,12,968418,1391436,62947,116210,2180697,Paye
SAL000153,EMP0005,DEP01,2022-01,2022,1,1003415,0,65222,120410,817783,Paye
SAL000154,EMP0005,DEP01,2022-02,2022,2,1003415,0,65222,120410,817783,Paye
SAL000155,EMP0005,DEP01,2022-03,2022,3,1003415,0,65222,120410,817783,Paye
SAL000156,EMP0005,DEP01,2022-04,2022,4,1003415,0,65222,120410,817783,Paye
SAL000157,EMP0005,DEP01,2022-05,2022,5,1003415,0,65222,120410,817783,Paye
SAL000158,EMP0005,DEP01,2022-06,2022,6,1003415,159473,65222,120410,977256,Paye
SAL000159,EMP0005,DEP01,2022-07,2022,7,1003415,0,65222,120410,817783,Paye
SAL000160,EMP0005,DEP01,2022-08,2022,8,1003415,0,65222,120410,817783,Paye
SAL000161,EMP0005,DEP01,2022-09,2022,9,1003415,0,65222,120410,817783,Paye
SAL000162,EMP0005,DEP01,2022-10,2022,10,1003415,0,65222,120410,817783,Paye
SAL000163,EMP0005,DEP01,2022-11,2022,11,1003415,0,65222,120410,817783,Paye
SAL000164,EMP0005,DEP01,2022-12,2022,12,1003415,732148,65222,120410,1549931,Paye
SAL000165,EMP0005,DEP01,2023-01,2023,1,1067516,0,69389,128102,870025,Paye
SAL000166,EMP0005,DEP01,2023-02,2023,2,1067516,0,69389,128102,870025,Paye
SAL000167,EMP0005,DEP01,2023-03,2023,3,1067516,0,69389,128102,870025,Paye
SAL000168,EMP0005,DEP01,2023-04,2023,4,1067516,0,69389,128102,870025,Paye
SAL000169,EMP0005,DEP01,2023-05,2023,5,1067516,0,69389,128102,870025,Paye
SAL000170,EMP0005,DEP01,2023-06,2023,6,1067516,364276,69389,128102,1234301,Paye
SAL000171,EMP0005,DEP01,2023-07,2023,7,1067516,0,69389,128102,870025,Paye
SAL000172,EMP0005,DEP01,2023-08,2023,8,1067516,0,69389,128102,870025,Paye
SAL000173,EMP0005,DEP01,2023-09,2023,9,1067516,0,69389,128102,870025,Paye
SAL000174,EMP0005,DEP01,2023-10,2023,10,1067516,0,69389,128102,870025,Paye
SAL000175,EMP0005,DEP01,2023-11,2023,11,1067516,0,69389,128102,870025,Paye
SAL000176,EMP0005,DEP01,2023-12,2023,12,1067516,855026,69389,128102,1725051,Paye
SAL000177,EMP0005,DEP01,2024-01,2024,1,1134922,0,73770,136191,924961,Paye
SAL000178,EMP0005,DEP01,2024-02,2024,2,1134922,0,73770,136191,924961,Paye
SAL000179,EMP0005,DEP01,2024-03,2024,3,1134922,0,73770,136191,924961,Paye
SAL000180,EMP0005,DEP01,2024-04,2024,4,1134922,0,73770,136191,924961,Paye
SAL000181,EMP0005,DEP01,2024-05,2024,5,1134922,0,73770,136191,924961,Paye
SAL000182,EMP0005,DEP01,2024-06,2024,6,1134922,329346,73770,136191,1254307,Paye
SAL000183,EMP0006,DEP02,2021-01,2021,1,2876685,0,186985,345202,2344498,Paye
SAL000184,EMP0006,DEP02,2021-02,2021,2,2876685,0,186985,345202,2344498,Paye
SAL000185,EMP0006,DEP02,2021-03,2021,3,2876685,0,186985,345202,2344498,Paye
SAL000186,EMP0006,DEP02,2021-04,2021,4,2876685,0,186985,345202,2344498,Paye
SAL000187,EMP0006,DEP02,2021-05,2021,5,2876685,0,186985,345202,2344498,Paye
SAL000188,EMP0006,DEP02,2021-06,2021,6,2876685,691021,186985,345202,3035519,Paye
SAL000189,EMP0006,DEP02,2021-07,2021,7,2876685,0,186985,345202,2344498,Paye
SAL000190,EMP0006,DEP02,2021-08,2021,8,2876685,0,186985,345202,2344498,Paye
SAL000191,EMP0006,DEP02,2021-09,2021,9,2876685,0,186985,345202,2344498,Paye
SAL000192,EMP0006,DEP02,2021-10,2021,10,2876685,0,186985,345202,2344498,Paye
SAL000193,EMP0006,DEP02,2021-11,2021,11,2876685,0,186985,345202,2344498,Paye
SAL000194,EMP0006,DEP02,2021-12,2021,12,2876685,2965199,186985,345202,5309697,Paye
SAL000195,EMP0006,DEP02,2022-01,2022,1,3087796,0,200707,370536,2516553,Paye
SAL000196,EMP0006,DEP02,2022-02,2022,2,3087796,0,200707,370536,2516553,Paye
SAL000197,EMP0006,DEP02,2022-03,2022,3,3087796,0,200707,370536,2516553,Paye
SAL000198,EMP0006,DEP02,2022-04,2022,4,3087796,0,200707,370536,2516553,Paye
SAL000199,EMP0006,DEP02,2022-05,2022,5,3087796,0,200707,370536,2516553,Paye
SAL000200,EMP0006,DEP02,2022-06,2022,6,3087796,1112370,200707,370536,3628923,Paye
SAL000201,EMP0006,DEP02,2022-07,2022,7,3087796,0,200707,370536,2516553,Paye
SAL000202,EMP0006,DEP02,2022-08,2022,8,3087796,0,200707,370536,2516553,Paye
SAL000203,EMP0006,DEP02,2022-09,2022,9,3087796,0,200707,370536,2516553,Paye
SAL000204,EMP0006,DEP02,2022-10,2022,10,3087796,0,200707,370536,2516553,Paye
SAL000205,EMP0006,DEP02,2022-11,2022,11,3087796,0,200707,370536,2516553,Paye
SAL000206,EMP0006,DEP02,2022-12,2022,12,3087796,1749418,200707,370536,4265971,Paye
SAL000207,EMP0006,DEP02,2023-01,2023,1,3202998,0,208195,384360,2610443,Paye
SAL000208,EMP0006,DEP02,2023-02,2023,2,3202998,0,208195,384360,2610443,Paye
SAL000209,EMP0006,DEP02,2023-03,2023,3,3202998,0,208195,384360,2610443,Paye
SAL000210,EMP0006,DEP02,2023-04,2023,4,3202998,0,208195,384360,2610443,Paye
SAL000211,EMP0006,DEP02,2023-05,2023,5,3202998,0,208195,384360,2610443,Paye
SAL000212,EMP0006,DEP02,2023-06,2023,6,3202998,593887,208195,384360,3204330,Paye
SAL000213,EMP0006,DEP02,2023-07,2023,7,3202998,0,208195,384360,2610443,Paye
SAL000214,EMP0006,DEP02,2023-08,2023,8,3202998,0,208195,384360,2610443,Paye
SAL000215,EMP0006,DEP02,2023-09,2023,9,3202998,0,208195,384360,2610443,Paye
SAL000216,EMP0006,DEP02,2023-10,2023,10,3202998,0,208195,384360,2610443,Paye
SAL000217,EMP0006,DEP02,2023-11,2023,11,3202998,0,208195,384360,2610443,Paye
SAL000218,EMP0006,DEP02,2023-12,2023,12,3202998,3494931,208195,384360,6105374,Paye
SAL000219,EMP0006,DEP02,2024-01,2024,1,3362128,0,218538,403455,2740135,Paye
SAL000220,EMP0006,DEP02,2024-02,2024,2,3362128,0,218538,403455,2740135,Paye
SAL000221,EMP0006,DEP02,2024-03,2024,3,3362128,0,218538,403455,2740135,Paye
SAL000222,EMP0006,DEP02,2024-04,2024,4,3362128,0,218538,403455,2740135,Paye
SAL000223,EMP0006,DEP02,2024-05,2024,5,3362128,0,218538,403455,2740135,Paye
SAL000224,EMP0006,DEP02,2024-06,2024,6,3362128,519279,218538,403455,3259414,Paye
SAL000225,EMP0007,DEP02,2021-01,2021,1,1841001,0,119665,220920,1500416,Paye
SAL000226,EMP0007,DEP02,2021-02,2021,2,1841001,0,119665,220920,1500416,Paye
SAL000227,EMP0007,DEP02,2021-03,2021,3,1841001,0,119665,220920,1500416,Paye
SAL000228,EMP0007,DEP02,2021-04,2021,4,1841001,0,119665,220920,1500416,Paye
SAL000229,EMP0007,DEP02,2021-05,2021,5,1841001,0,119665,220920,1500416,Paye
SAL000230,EMP0007,DEP02,2021-06,2021,6,1841001,240254,119665,220920,1740670,Paye
SAL000231,EMP0007,DEP02,2021-07,2021,7,1841001,0,119665,220920,1500416,Paye
SAL000232,EMP0007,DEP02,2021-08,2021,8,1841001,0,119665,220920,1500416,Paye
SAL000233,EMP0007,DEP02,2021-09,2021,9,1841001,0,119665,220920,1500416,Paye
SAL000234,EMP0007,DEP02,2021-10,2021,10,1841001,0,119665,220920,1500416,Paye
SAL000235,EMP0007,DEP02,2021-11,2021,11,1841001,0,119665,220920,1500416,Paye
SAL000236,EMP0007,DEP02,2021-12,2021,12,1841001,2723891,119665,220920,4224307,Paye
SAL000237,EMP0007,DEP02,2022-01,2022,1,1967982,0,127919,236158,1603905,Paye
SAL000238,EMP0007,DEP02,2022-02,2022,2,1967982,0,127919,236158,1603905,Paye
SAL000239,EMP0007,DEP02,2022-03,2022,3,1967982,0,127919,236158,1603905,Paye
SAL000240,EMP0007,DEP02,2022-04,2022,4,1967982,0,127919,236158,1603905,Paye
SAL000241,EMP0007,DEP02,2022-05,2022,5,1967982,0,127919,236158,1603905,Paye
SAL000242,EMP0007,DEP02,2022-06,2022,6,1967982,703104,127919,236158,2307009,Paye
SAL000243,EMP0007,DEP02,2022-07,2022,7,1967982,0,127919,236158,1603905,Paye
SAL000244,EMP0007,DEP02,2022-08,2022,8,1967982,0,127919,236158,1603905,Paye
SAL000245,EMP0007,DEP02,2022-09,2022,9,1967982,0,127919,236158,1603905,Paye
SAL000246,EMP0007,DEP02,2022-10,2022,10,1967982,0,127919,236158,1603905,Paye
SAL000247,EMP0007,DEP02,2022-11,2022,11,1967982,0,127919,236158,1603905,Paye
SAL000248,EMP0007,DEP02,2022-12,2022,12,1967982,1804422,127919,236158,3408327,Paye
SAL000249,EMP0007,DEP02,2023-01,2023,1,2063184,0,134107,247582,1681495,Paye
SAL000250,EMP0007,DEP02,2023-02,2023,2,2063184,0,134107,247582,1681495,Paye
SAL000251,EMP0007,DEP02,2023-03,2023,3,2063184,0,134107,247582,1681495,Paye
SAL000252,EMP0007,DEP02,2023-04,2023,4,2063184,0,134107,247582,1681495,Paye
SAL000253,EMP0007,DEP02,2023-05,2023,5,2063184,0,134107,247582,1681495,Paye
SAL000254,EMP0007,DEP02,2023-06,2023,6,2063184,793619,134107,247582,2475114,Paye
SAL000255,EMP0007,DEP02,2023-07,2023,7,2063184,0,134107,247582,1681495,Paye
SAL000256,EMP0007,DEP02,2023-08,2023,8,2063184,0,134107,247582,1681495,Paye
SAL000257,EMP0007,DEP02,2023-09,2023,9,2063184,0,134107,247582,1681495,Paye
SAL000258,EMP0007,DEP02,2023-10,2023,10,2063184,0,134107,247582,1681495,Paye
SAL000259,EMP0007,DEP02,2023-11,2023,11,2063184,0,134107,247582,1681495,Paye
SAL000260,EMP0007,DEP02,2023-12,2023,12,2063184,2691200,134107,247582,4372695,Paye
SAL000261,EMP0007,DEP02,2024-01,2024,1,2190371,0,142374,262845,1785152,Paye
SAL000262,EMP0007,DEP02,2024-02,2024,2,2190371,0,142374,262845,1785152,Paye
SAL000263,EMP0007,DEP02,2024-03,2024,3,2190371,0,142374,262845,1785152,Paye
SAL000264,EMP0007,DEP02,2024-04,2024,4,2190371,0,142374,262845,1785152,Paye
SAL000265,EMP0007,DEP02,2024-05,2024,5,2190371,0,142374,262845,1785152,Paye
SAL000266,EMP0007,DEP02,2024-06,2024,6,2190371,305843,142374,262845,2090995,Paye
SAL000267,EMP0008,DEP02,2021-01,2021,1,2033293,0,132164,243995,1657134,Paye
SAL000268,EMP0008,DEP02,2021-02,2021,2,2033293,0,132164,243995,1657134,Paye
SAL000269,EMP0008,DEP02,2021-03,2021,3,2033293,0,132164,243995,1657134,Paye
SAL000270,EMP0008,DEP02,2021-04,2021,4,2033293,0,132164,243995,1657134,Paye
SAL000271,EMP0008,DEP02,2021-05,2021,5,2033293,0,132164,243995,1657134,Paye
SAL000272,EMP0008,DEP02,2021-06,2021,6,2033293,691859,132164,243995,2348993,Paye
SAL000273,EMP0008,DEP02,2021-07,2021,7,2033293,0,132164,243995,1657134,Paye
SAL000274,EMP0008,DEP02,2021-08,2021,8,2033293,0,132164,243995,1657134,Paye
SAL000275,EMP0008,DEP02,2021-09,2021,9,2033293,0,132164,243995,1657134,Paye
SAL000276,EMP0008,DEP02,2021-10,2021,10,2033293,0,132164,243995,1657134,Paye
SAL000277,EMP0008,DEP02,2021-11,2021,11,2033293,0,132164,243995,1657134,Paye
SAL000278,EMP0008,DEP02,2021-12,2021,12,2033293,1209909,132164,243995,2867043,Paye
SAL000279,EMP0008,DEP02,2022-01,2022,1,2111706,0,137261,253405,1721040,Paye
SAL000280,EMP0008,DEP02,2022-02,2022,2,2111706,0,137261,253405,1721040,Paye
SAL000281,EMP0008,DEP02,2022-03,2022,3,2111706,0,137261,253405,1721040,Paye
SAL000282,EMP0008,DEP02,2022-04,2022,4,2111706,0,137261,253405,1721040,Paye
SAL000283,EMP0008,DEP02,2022-05,2022,5,2111706,0,137261,253405,1721040,Paye
SAL000284,EMP0008,DEP02,2022-06,2022,6,2111706,717502,137261,253405,2438542,Paye
SAL000285,EMP0008,DEP02,2022-07,2022,7,2111706,0,137261,253405,1721040,Paye
SAL000286,EMP0008,DEP02,2022-08,2022,8,2111706,0,137261,253405,1721040,Paye
SAL000287,EMP0008,DEP02,2022-09,2022,9,2111706,0,137261,253405,1721040,Paye
SAL000288,EMP0008,DEP02,2022-10,2022,10,2111706,0,137261,253405,1721040,Paye
SAL000289,EMP0008,DEP02,2022-11,2022,11,2111706,0,137261,253405,1721040,Paye
SAL000290,EMP0008,DEP02,2022-12,2022,12,2111706,2445067,137261,253405,4166107,Paye
SAL000291,EMP0008,DEP02,2023-01,2023,1,2256814,0,146693,270818,1839303,Paye
SAL000292,EMP0008,DEP02,2023-02,2023,2,2256814,0,146693,270818,1839303,Paye
SAL000293,EMP0008,DEP02,2023-03,2023,3,2256814,0,146693,270818,1839303,Paye
SAL000294,EMP0008,DEP02,2023-04,2023,4,2256814,0,146693,270818,1839303,Paye
SAL000295,EMP0008,DEP02,2023-05,2023,5,2256814,0,146693,270818,1839303,Paye
SAL000296,EMP0008,DEP02,2023-06,2023,6,2256814,472255,146693,270818,2311558,Paye
