id_client,code_offre,ville,statut,jours_depuis_derniere_facture,n_reclamations_6m,arpu_6m,R_score,F_score,M_score
CL06436,PULSE,Yamoussoukro,resilie,670,0,0.0,1,4,1
CL06129,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL06038,ETUDIANT,Abidjan,resilie,670,0,0.0,1,4,1
CL02232,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL07865,CONNECT,Abidjan,resilie,670,0,0.0,1,4,1
CL00053,ETUDIANT,Korhogo,resilie,670,0,0.0,1,4,1
CL00080,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL00374,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL00909,ETUDIANT,Bouake,resilie,670,0,0.0,1,4,1
CL01182,CONNECT,Yamoussoukro,resilie,670,0,0.0,1,4,1
CL01875,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL06156,PULSE,Korhogo,resilie,670,0,0.0,1,4,1
CL07506,SENIOR,San-Pedro,resilie,670,0,0.0,1,4,1
CL01394,ETUDIANT,Abidjan,resilie,670,0,0.0,1,4,1
CL06857,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL05542,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL07121,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL06254,CONNECT,Bouake,resilie,670,0,0.0,1,4,1
CL00808,CONNECT,Abidjan,resilie,670,0,0.0,1,4,1
CL03944,CONNECT,Bouake,resilie,670,0,0.0,1,4,1
CL04736,ETUDIANT,Abidjan,resilie,670,0,0.0,1,4,1
CL07927,PULSE,Korhogo,resilie,670,0,0.0,1,4,1
CL06062,PULSE,Yamoussoukro,resilie,670,0,0.0,1,4,1
CL05871,CONNECT,Bouake,resilie,670,0,0.0,1,4,1
CL03040,PULSE,Bouake,resilie,670,0,0.0,1,4,1
CL00612,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL06034,CONNECT,Korhogo,resilie,639,0,0.0,1,4,1
CL00002,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL00093,PULSE,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL01855,ETUDIANT,San-Pedro,resilie,639,0,0.0,1,4,1
CL02654,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL06343,CONNECT,Korhogo,resilie,639,0,0.0,1,4,1
CL06201,CONNECT,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL05979,CONNECT,Abidjan,resilie,639,0,0.0,1,4,1
CL00679,ETUDIANT,Abidjan,resilie,639,0,0.0,1,4,1
CL05417,CONNECT,San-Pedro,resilie,639,0,0.0,1,4,1
CL03838,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL04835,PREMIUM,Abidjan,resilie,639,0,0.0,1,4,1
CL02092,PULSE,Korhogo,resilie,639,0,0.0,1,4,1
CL05658,PULSE,Bouake,resilie,639,0,0.0,1,4,1
CL04942,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL02263,CONNECT,Abidjan,resilie,639,0,0.0,1,4,1
CL02430,CONNECT,San-Pedro,resilie,639,0,0.0,1,4,1
CL05404,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL00936,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL03417,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL07735,PREMIUM,Abidjan,resilie,639,0,0.0,1,4,1
CL07409,PREMIUM,Korhogo,resilie,639,0,0.0,1,4,1
CL04853,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL03264,SENIOR,Abidjan,resilie,639,0,0.0,1,4,1
CL00885,PULSE,Korhogo,resilie,639,0,0.0,1,4,1
CL01421,ETUDIANT,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL02003,PULSE,Korhogo,resilie,639,0,0.0,1,4,1
CL00632,CONNECT,Abidjan,resilie,639,0,0.0,1,4,1
CL00677,PULSE,San-Pedro,resilie,639,0,0.0,1,4,1
CL03095,CONNECT,Abidjan,resilie,639,0,0.0,1,4,1
CL01472,ETUDIANT,Abidjan,resilie,639,0,0.0,1,4,1
CL00114,ETUDIANT,Bouake,resilie,639,0,0.0,1,4,1
CL00010,PULSE,Bouake,resilie,639,0,0.0,1,4,1
CL07582,CONNECT,Abidjan,resilie,639,0,0.0,1,4,1
CL06459,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL03058,CONNECT,Bouake,resilie,639,0,0.0,1,4,1
CL00893,CONNECT,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL06077,PULSE,Bouake,resilie,639,0,0.0,1,4,1
CL01401,PULSE,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL05586,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL01832,PULSE,Korhogo,resilie,639,0,0.0,1,4,1
CL02910,CONNECT,Abidjan,resilie,639,0,0.0,1,4,1
CL04453,SENIOR,Abidjan,resilie,639,0,0.0,1,4,1
CL02769,CONNECT,Korhogo,resilie,639,0,0.0,1,4,1
CL07761,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL07598,ETUDIANT,San-Pedro,resilie,639,0,0.0,1,4,1
CL02714,PREMIUM,Abidjan,resilie,639,0,0.0,1,4,1
CL01917,PULSE,Korhogo,resilie,639,0,0.0,1,4,1
CL07724,CONNECT,Korhogo,resilie,639,0,0.0,1,4,1
CL04325,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL06088,PULSE,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL07294,PREMIUM,Abidjan,resilie,639,0,0.0,1,4,1
CL03620,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL01928,CONNECT,Yamoussoukro,resilie,639,0,0.0,1,4,1
CL00730,CONNECT,Bouake,resilie,639,0,0.0,1,4,1
CL01162,PULSE,Abidjan,resilie,639,0,0.0,1,4,1
CL04813,PULSE,Bouake,resilie,639,0,0.0,1,4,1
CL03420,CONNECT,Korhogo,resilie,609,0,0.0,1,4,1
CL05634,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL00259,PULSE,Bouake,resilie,609,0,0.0,1,4,1
CL04016,CONNECT,Bouake,resilie,609,0,0.0,1,4,1
CL03538,PREMIUM,Yamoussoukro,resilie,609,0,0.0,1,4,1
CL02549,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL01119,PULSE,Yamoussoukro,resilie,609,0,0.0,1,4,1
CL03034,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL07987,ETUDIANT,Abidjan,resilie,609,0,0.0,1,4,1
CL01742,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL01176,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL05779,ETUDIANT,San-Pedro,resilie,609,0,0.0,1,4,1
CL07710,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL06596,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL06628,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL05935,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL06542,CONNECT,Bouake,resilie,609,0,0.0,1,4,1
CL00098,PREMIUM,Korhogo,resilie,609,0,0.0,1,4,1
CL07340,ETUDIANT,Bouake,resilie,609,0,0.0,1,4,1
CL06550,CONNECT,San-Pedro,resilie,609,0,0.0,1,4,1
CL01073,ETUDIANT,Korhogo,resilie,609,0,0.0,1,4,1
CL05887,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL03587,PULSE,San-Pedro,resilie,609,0,0.0,1,4,1
CL04284,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL06037,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL05308,SENIOR,Abidjan,resilie,609,0,0.0,1,4,1
CL02836,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL03755,CONNECT,Yamoussoukro,resilie,609,0,0.0,1,4,1
CL02168,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL07824,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL03938,ETUDIANT,Bouake,resilie,609,0,0.0,1,4,1
CL02667,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL04705,PREMIUM,Abidjan,resilie,609,0,0.0,1,4,1
CL02391,CONNECT,San-Pedro,resilie,609,0,0.0,1,4,1
CL05539,CONNECT,Korhogo,resilie,609,0,0.0,1,4,1
CL03157,ETUDIANT,Korhogo,resilie,609,0,0.0,1,4,1
CL03182,ETUDIANT,Abidjan,resilie,609,0,0.0,1,4,1
CL04914,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL00920,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL04722,PULSE,Bouake,resilie,609,0,0.0,1,4,1
CL04539,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL02229,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL05915,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL07203,CONNECT,Korhogo,resilie,609,0,0.0,1,4,1
CL02682,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL03384,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL02744,CONNECT,Abidjan,resilie,609,0,0.0,1,4,1
CL06494,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL02612,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL02827,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL01351,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL05052,PULSE,Abidjan,resilie,609,0,0.0,1,4,1
CL06893,ETUDIANT,Abidjan,resilie,609,0,0.0,1,4,1
CL07149,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL03371,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL04063,PREMIUM,Korhogo,resilie,578,0,0.0,1,4,1
CL04187,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL04415,SENIOR,Abidjan,resilie,578,0,0.0,1,4,1
CL05978,PULSE,Yamoussoukro,resilie,578,0,0.0,1,4,1
CL06496,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL05954,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL05253,CONNECT,Korhogo,resilie,578,0,0.0,1,4,1
CL06681,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL06397,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL01450,ETUDIANT,Bouake,resilie,578,0,0.0,1,4,1
CL06168,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL01006,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL04932,CONNECT,San-Pedro,resilie,578,0,0.0,1,4,1
CL02333,ETUDIANT,Bouake,resilie,578,0,0.0,1,4,1
CL01048,CONNECT,San-Pedro,resilie,578,0,0.0,1,4,1
CL03105,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL03053,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL04739,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL00477,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL05360,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL01507,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL06703,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL06856,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL01753,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL02722,CONNECT,Bouake,resilie,578,0,0.0,1,4,1
CL03374,PREMIUM,Abidjan,resilie,578,0,0.0,1,4,1
CL07342,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL05167,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL02195,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL03211,CONNECT,Yamoussoukro,resilie,578,0,0.0,1,4,1
CL01346,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL06131,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL05843,PULSE,Korhogo,resilie,578,0,0.0,1,4,1
CL06330,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL02935,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL05315,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL01850,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL00789,ETUDIANT,Yamoussoukro,resilie,578,0,0.0,1,4,1
CL04941,CONNECT,Bouake,resilie,578,0,0.0,1,4,1
CL07817,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL03339,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL04156,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL02671,PULSE,Yamoussoukro,resilie,578,0,0.0,1,4,1
CL01255,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL04710,PULSE,San-Pedro,resilie,578,0,0.0,1,4,1
CL06495,PULSE,Bouake,resilie,578,0,0.0,1,4,1
CL05332,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL00983,PULSE,Abidjan,resilie,578,0,0.0,1,4,1
CL07307,CONNECT,Bouake,resilie,578,0,0.0,1,4,1
CL03359,PULSE,San-Pedro,resilie,578,0,0.0,1,4,1
CL04546,PULSE,Yamoussoukro,resilie,578,0,0.0,1,4,1
CL04659,PULSE,Yamoussoukro,resilie,578,0,0.0,1,4,1
CL04727,PREMIUM,San-Pedro,resilie,578,0,0.0,1,4,1
CL02986,PRO,Abidjan,resilie,578,0,0.0,1,4,1
CL06578,ETUDIANT,Abidjan,resilie,578,0,0.0,1,4,1
CL00466,CONNECT,Abidjan,resilie,578,0,0.0,1,4,1
CL02352,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL02254,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL04658,SENIOR,Abidjan,resilie,548,0,0.0,1,4,1
CL01240,PULSE,San-Pedro,resilie,548,0,0.0,1,4,1
CL00992,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL05856,ETUDIANT,Bouake,resilie,548,0,0.0,1,4,1
CL05942,CONNECT,Abidjan,resilie,548,0,0.0,1,4,1
CL07869,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL06970,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL01086,PULSE,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL01132,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL00523,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL01217,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL06335,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL06531,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL07642,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL07199,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL04019,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL04078,PULSE,San-Pedro,resilie,548,0,0.0,1,4,1
CL04242,PULSE,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL02100,PULSE,Korhogo,resilie,548,0,0.0,1,4,1
CL01986,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL06221,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL01284,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL07913,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL02728,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL04827,CONNECT,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL04001,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL07581,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL05570,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL05654,PULSE,San-Pedro,resilie,548,0,0.0,1,4,1
CL02325,PULSE,San-Pedro,resilie,548,0,0.0,1,4,1
CL01892,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL01458,PULSE,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL06323,ETUDIANT,Korhogo,resilie,548,0,0.0,1,4,1
CL07611,CONNECT,Abidjan,resilie,548,0,0.0,1,4,1
CL07379,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL06813,CONNECT,Bouake,resilie,548,0,0.0,1,4,1
CL07225,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL03123,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL03170,CONNECT,Bouake,resilie,548,0,0.0,1,4,1
CL00666,PULSE,Korhogo,resilie,548,0,0.0,1,4,1
CL03803,PULSE,Korhogo,resilie,548,0,0.0,1,4,1
CL07697,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL04448,ETUDIANT,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL05368,ETUDIANT,Korhogo,resilie,548,0,0.0,1,4,1
CL03121,PULSE,San-Pedro,resilie,548,0,0.0,1,4,1
CL07347,CONNECT,Bouake,resilie,548,0,0.0,1,4,1
CL03291,CONNECT,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL04399,PULSE,Korhogo,resilie,548,0,0.0,1,4,1
CL04435,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL07535,CONNECT,Bouake,resilie,548,0,0.0,1,4,1
CL04774,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL05420,PULSE,Yamoussoukro,resilie,548,0,0.0,1,4,1
CL07193,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL01568,CONNECT,Abidjan,resilie,548,0,0.0,1,4,1
CL06210,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL01042,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL00442,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL00113,PREMIUM,Abidjan,resilie,548,0,0.0,1,4,1
CL03119,ETUDIANT,San-Pedro,resilie,548,0,0.0,1,4,1
CL02726,CONNECT,Korhogo,resilie,548,0,0.0,1,4,1
CL04091,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL02563,CONNECT,Abidjan,resilie,548,0,0.0,1,4,1
CL02425,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL02306,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL04604,CONNECT,Abidjan,resilie,548,0,0.0,1,4,1
CL07700,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL01036,ETUDIANT,Abidjan,resilie,548,0,0.0,1,4,1
CL03885,PULSE,Korhogo,resilie,548,0,0.0,1,4,1
CL05293,PULSE,Bouake,resilie,548,0,0.0,1,4,1
CL07479,CONNECT,Bouake,resilie,548,0,0.0,1,4,1
CL05852,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL03188,ETUDIANT,San-Pedro,resilie,548,0,0.0,1,4,1
CL06236,CONNECT,Abidjan,resilie,548,0,0.0,1,4,1
CL02221,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL00138,PULSE,Abidjan,resilie,548,0,0.0,1,4,1
CL00075,CONNECT,Abidjan,resilie,517,0,0.0,1,4,1
CL04794,PRO,Abidjan,resilie,517,0,0.0,1,4,1
CL05632,PULSE,Abidjan,resilie,517,0,0.0,1,4,1
CL05682,CONNECT,Abidjan,resilie,517,0,0.0,1,4,1
CL05974,PREMIUM,Abidjan,resilie,517,0,0.0,1,4,1
CL06485,CONNECT,San-Pedro,resilie,517,0,0.0,1,4,1
CL06727,PULSE,Yamoussoukro,resilie,517,0,0.0,1,4,1
CL07005,PULSE,Yamoussoukro,resilie,517,0,0.0,1,4,1
CL02962,PULSE,Korhogo,resilie,517,0,0.0,1,4,1
CL05510,ETUDIANT,Abidjan,resilie,517,0,0.0,1,4,1
CL04457,CONNECT,Abidjan,resilie,517,0,0.0,1,4,1
CL00204,ETUDIANT,Korhogo,resilie,517,0,0.0,1,4,1
CL02273,CONNECT,Bouake,resilie,517,0,0.0,1,4,1
CL07453,CONNECT,Yamoussoukro,resilie,517,0,0.0,1,4,1
CL01576,PULSE,Bouake,resilie,517,0,0.0,1,4,1
CL04185,PULSE,Yamoussoukro,resilie,517,0,0.0,1,4,1
CL02812,PREMIUM,San-Pedro,resilie,517,0,0.0,1,4,1
CL02626,ETUDIANT,Bouake,resilie,517,0,0.0,1,4,1
CL02537,PREMIUM,Bouake,resilie,517,0,0.0,1,4,1
CL02069,PULSE,Korhogo,resilie,517,0,0.0,1,4,1
CL01470,PULSE,San-Pedro,resilie,517,0,0.0,1,4,1
CL00751,SENIOR,Abidjan,resilie,517,0,0.0,1,4,1
CL06811,ETUDIANT,Bouake,resilie,517,0,0.0,1,4,1
CL04469,CONNECT,San-Pedro,resilie,517,0,0.0,1,4,1
CL05986,PULSE,Bouake,resilie,517,0,0.0,1,4,1
CL05998,PULSE,Abidjan,resilie,517,0,0.0,1,4,1
CL00839,PREMIUM,Abidjan,resilie,517,0,0.0,1,4,1
CL00094,PULSE,Abidjan,resilie,517,0,0.0,1,4,1
CL07682,PULSE,Abidjan,resilie,517,0,0.0,1,4,1
CL00929,CONNECT,Abidjan,resilie,517,0,0.0,1,4,1
CL04224,PULSE,Abidjan,resilie,517,0,0.0,1,4,1
CL04681,ETUDIANT,Abidjan,resilie,517,0,0.0,1,4,1
